Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jonathan Bridges,Douglas Gook,Damien Kurek,James MacKay,Brent Sutton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 616","Three Hills--Kneehill County",8,1,464,2,38,1,514,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 617","Three Hills--Kneehill County",33,4,824,16,77,4,958,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 618","Kneehill County",15,2,571,6,49,1,644,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 619","Drumheller",16,7,1120,43,224,30,1440,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 620","Drumheller--Starland County",4,1,262,6,38,0,311,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 621","Hanna",14,2,629,18,40,4,707,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 622","Hanna",4,2,261,1,17,1,286,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 623","Paintearth County No. 18",0,0,78,0,7,0,85,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 624","Oyen--Acadia",7,1,455,2,25,1,491,
48002,"Battle River--Crowfoot/Battle River--Crowfoot",,Group 1/Groupe 1, 12,9,754,32,167,45,1019,152
48002,"Battle River--Crowfoot/Battle River--Crowfoot",,Group 2/Groupe 2, 26,27,2672,138,542,33,3438,
