Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Martin Charron,Bertha Fuchsman-Small,Martin Héroux,Stéphane Lauzon,Lindsey Therrien,Michel Welt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 109","Saint-André-d'Argenteuil",37,0,45,34,2,7,3,128,343
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 110","Saint-André-d'Argenteuil",33,4,36,30,1,3,1,108,314
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 111","Mulgrave-et-Derry",57,2,23,61,1,3,0,147,245
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 112","Fassett",63,0,59,115,5,4,2,248,452
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 113","Notre-Dame-de-la-Salette",63,0,37,95,2,4,1,202,424
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 114","Notre-Dame-de-la-Salette",43,2,30,68,2,4,1,150,314
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 115","Mayo",16,2,8,9,0,0,0,35,306
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 116","Mayo",40,2,15,13,2,1,0,73,411
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 117","L'Ange-Gardien",30,0,12,31,4,2,2,81,242
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 118","Lochaber",39,0,18,36,1,4,0,98,269
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 119","Gatineau",34,3,28,44,2,4,1,116,347
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 120","Gatineau",36,1,24,38,3,5,2,109,384
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 121","Gatineau",27,1,23,64,0,4,3,122,498
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 122","Gatineau",44,4,25,48,1,3,2,127,409
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 123","Gatineau",31,2,28,45,1,8,2,117,525
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 124","Gatineau",24,1,23,62,1,4,0,115,451
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 125","Papineauville--Saint-Amédée",26,1,40,53,1,3,2,126,349
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 126","Sainte-Angélique",29,3,56,103,4,4,4,203,423
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 127","Papineauville",45,3,40,55,3,2,0,148,352
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 128","Papineauville",50,4,34,88,6,4,1,187,417
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 129","Papineauville",27,2,28,67,2,8,5,139,313
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 130","Sainte-Angélique",35,2,30,72,1,6,0,146,316
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 131A","Val-des-Monts",58,2,4,60,4,5,0,133,257
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 131B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°518,,,,,,,,23
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 132","Val-des-Monts",20,4,14,29,4,3,1,75,277
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 133","Val-des-Monts",35,0,10,28,0,1,0,74,258
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 134","Saint-Sixte",63,10,66,121,4,8,5,277,456
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 135","Lochaber",52,2,54,41,1,6,4,160,317
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 136","Lochaber",39,1,16,30,0,2,0,88,380
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 137","Plaisance",42,1,41,115,3,5,9,216,417
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 138","Plaisance",49,2,54,106,1,5,3,220,374
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 139","Lochaber",16,0,17,30,0,6,0,69,311
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 140","Thurso",60,2,49,56,5,4,1,177,506
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 141","Lochaber",54,1,38,58,2,9,3,165,415
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 142","Thurso",24,0,25,51,2,4,0,106,369
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 143","Thurso",32,0,40,51,6,2,4,135,376
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 144","Thurso",38,5,28,50,0,5,1,127,446
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 145","Thurso",33,2,26,35,4,4,3,107,303
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 146","L'Ange-Gardien",57,6,31,59,0,4,0,157,436
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 147","L'Ange-Gardien",38,1,32,60,2,4,0,137,367
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 148","L'Ange-Gardien",49,4,23,69,0,5,1,151,335
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 149","L'Ange-Gardien",65,2,43,126,0,6,4,246,523
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 150","L'Ange-Gardien",37,1,10,33,2,4,2,89,231
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 151","L'Ange-Gardien",69,5,48,105,0,5,0,232,429
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 152","L'Ange-Gardien",57,1,44,81,4,6,2,195,454
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 153","Val-des-Monts",30,1,17,24,3,4,1,80,253
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 154","Val-des-Monts",67,4,39,69,2,4,4,189,431
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 155","Val-des-Monts",37,0,22,70,1,6,1,137,357
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 156","Val-des-Monts",47,2,24,52,0,6,1,132,382
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 157","Val-des-Monts",65,1,34,57,3,3,0,163,445
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 158","Val-des-Monts",43,4,19,54,6,7,2,135,410
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 159","Val-des-Monts",41,1,8,57,1,4,2,114,296
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 160","L'Ange-Gardien",74,5,38,108,1,9,2,237,491
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 161","L'Ange-Gardien",32,4,19,66,0,3,0,124,244
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 162","Gatineau",45,1,25,40,1,0,2,114,413
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 163","Gatineau",37,0,21,39,2,7,2,108,365
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 164","Gatineau",32,4,20,54,1,5,0,116,381
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 165","Gatineau",34,2,27,47,4,5,2,121,407
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 166","Gatineau",27,1,22,52,0,3,1,106,351
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 167","Gatineau",42,2,24,41,4,4,3,120,339
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 168","Gatineau",28,0,23,33,0,1,1,86,361
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 169","Gatineau",67,1,35,52,8,5,4,172,462
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 170","Gatineau",49,2,37,60,1,4,2,155,419
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 171","Gatineau",47,6,31,85,1,2,0,172,447
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 172","Gatineau",48,1,26,38,2,4,1,120,359
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 173","Val-des-Monts",58,3,24,86,3,3,0,177,397
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 174","Val-des-Monts",32,6,25,48,1,3,1,116,285
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 175","Val-des-Monts",57,3,32,97,2,2,2,195,455
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 176","Val-des-Monts",33,4,29,42,3,4,0,115,296
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 177","Val-des-Monts",41,2,17,53,1,4,1,119,319
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 178","Val-des-Monts",53,3,21,43,3,3,0,126,380
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 179","Val-des-Monts",53,1,19,72,1,6,1,153,346
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 180","Val-des-Monts",70,2,39,36,0,11,2,160,429
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 181","Val-des-Monts",71,2,42,84,1,4,1,205,482
