Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Mathieu Dufort,Gregory Evdokias,Tommy Fournier,Raymond Frizzell,Matthew Rusniak,Francis Scarpaleggia,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 80","Kirkland",3,11,5,6,48,98,1,172,459
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 81","Kirkland",1,2,2,2,23,90,0,120,377
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 82","Kirkland",0,3,1,3,57,73,1,138,399
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 83","Kirkland",0,5,0,0,28,82,0,115,417
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 84","Kirkland",1,2,4,2,30,89,2,130,373
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 85","Kirkland",1,8,3,0,36,77,1,126,427
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 86","Kirkland",0,5,3,1,61,77,1,148,432
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 87","Montréal",2,5,8,0,47,55,0,117,343
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 88","Montréal",2,11,2,0,53,86,0,154,415
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 89","Montréal",2,2,6,3,54,52,3,122,361
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 90","Montréal",1,0,3,1,80,61,1,147,468
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 91","Montréal",1,3,9,1,36,62,1,113,340
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 92","Montréal",4,5,7,0,111,76,2,205,567
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 93","Montréal",0,3,2,4,50,75,0,134,467
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 94","Montréal",1,4,2,1,66,76,1,151,403
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 95","Montréal",3,10,9,4,32,78,0,136,406
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 96","Montréal",2,3,7,0,67,60,1,140,497
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 97","Montréal",0,5,10,5,37,85,0,142,430
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 98","Montréal",5,2,3,3,47,75,0,135,427
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 99","Montréal",0,10,5,7,90,118,2,232,557
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 100","Montréal",0,8,7,3,61,105,0,184,518
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 101","Montréal",1,1,3,4,58,84,0,151,411
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 102","Montréal",2,1,3,0,43,63,0,112,398
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 103","Pointe-Claire",1,4,7,1,33,114,2,162,418
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 104","Pointe-Claire",3,0,1,4,24,112,0,144,430
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 105","Pointe-Claire",1,2,2,0,34,108,1,148,391
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 106","Pointe-Claire",3,7,8,4,26,94,0,142,341
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 107","Pointe-Claire",1,4,5,3,46,89,3,151,426
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 108","Pointe-Claire",0,1,8,1,34,84,0,128,357
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 109","Beaconsfield",0,5,4,1,43,135,1,189,431
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 110","Beaconsfield",1,5,10,2,47,121,1,187,403
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 111","Beaconsfield",1,7,6,3,43,124,2,186,408
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 112","Beaconsfield",2,7,2,1,54,171,0,237,422
