Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Stephen Fuhr,Tracy Gray,Trevor McAleese,Catriona Wright,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59016,"Kelowna/Kelowna"," 106","Kelowna",63,58,6,2,0,129,448
59016,"Kelowna/Kelowna"," 107","Kelowna",49,89,4,2,0,144,470
59016,"Kelowna/Kelowna"," 108","Kelowna",71,73,5,1,1,151,551
59016,"Kelowna/Kelowna"," 109","Kelowna",73,71,4,2,0,150,444
59016,"Kelowna/Kelowna"," 110","Kelowna",85,78,13,2,2,180,557
59016,"Kelowna/Kelowna"," 111","Kelowna",73,72,3,5,2,155,330
59016,"Kelowna/Kelowna"," 112","Kelowna",110,102,10,1,3,226,672
59016,"Kelowna/Kelowna"," 113","Kelowna",49,79,12,3,0,143,518
59016,"Kelowna/Kelowna"," 114","Kelowna",57,78,7,1,2,145,524
59016,"Kelowna/Kelowna"," 115","Kelowna",72,101,11,2,0,186,574
59016,"Kelowna/Kelowna"," 116","Kelowna",70,81,7,3,0,161,472
59016,"Kelowna/Kelowna"," 117","Kelowna",40,53,11,3,0,107,412
59016,"Kelowna/Kelowna"," 118","Kelowna",41,66,4,2,0,113,468
59016,"Kelowna/Kelowna"," 119","Kelowna",51,50,5,3,2,111,465
59016,"Kelowna/Kelowna"," 120","Kelowna",31,90,12,1,0,134,500
59016,"Kelowna/Kelowna"," 121","Kelowna",56,66,2,1,0,125,461
59016,"Kelowna/Kelowna"," 122","Kelowna",60,82,8,6,1,157,463
59016,"Kelowna/Kelowna"," 123","Kelowna",54,83,8,0,3,148,450
59016,"Kelowna/Kelowna"," 124","Kelowna",54,74,9,7,1,145,423
59016,"Kelowna/Kelowna"," 125","Kelowna",40,55,5,3,0,103,277
59016,"Kelowna/Kelowna"," 126","Kelowna",69,38,5,0,0,112,526
59016,"Kelowna/Kelowna"," 127","Kelowna",74,59,11,2,0,146,499
59016,"Kelowna/Kelowna"," 128","Kelowna",62,54,2,0,2,120,448
59016,"Kelowna/Kelowna"," 129","Kelowna",44,40,3,1,0,88,463
59016,"Kelowna/Kelowna"," 130","Kelowna",90,84,5,6,3,188,536
59016,"Kelowna/Kelowna"," 131","Kelowna",49,36,6,0,1,92,410
59016,"Kelowna/Kelowna"," 132","Kelowna",76,70,7,1,0,154,531
59016,"Kelowna/Kelowna"," 133","Kelowna",Combined with No./Résultats combinés à ceux du n°111,,,,,,330
59016,"Kelowna/Kelowna"," 134","Kelowna",63,63,1,1,0,128,452
59016,"Kelowna/Kelowna"," 135","Kelowna",39,40,1,1,0,81,309
59016,"Kelowna/Kelowna"," 136A","Kelowna",72,94,1,4,1,172,350
59016,"Kelowna/Kelowna"," 136B","Kelowna",88,97,8,2,0,195,403
59016,"Kelowna/Kelowna"," 137","Kelowna",55,57,6,1,0,119,493
59016,"Kelowna/Kelowna"," 138","Kelowna",67,60,8,4,3,142,541
59016,"Kelowna/Kelowna"," 139","Kelowna",64,75,10,3,0,152,459
59016,"Kelowna/Kelowna"," 140","Kelowna",64,92,4,0,1,161,493
59016,"Kelowna/Kelowna"," 141","Kelowna",72,63,7,1,0,143,403
59016,"Kelowna/Kelowna"," 142","Kelowna",53,95,7,3,3,161,434
59016,"Kelowna/Kelowna"," 143","Kelowna",56,65,4,0,0,125,416
59016,"Kelowna/Kelowna"," 144","Kelowna",62,71,4,0,0,137,465
59016,"Kelowna/Kelowna"," 145","Kelowna",69,69,9,3,1,151,425
59016,"Kelowna/Kelowna"," 146","Kelowna",52,72,1,1,1,127,445
59016,"Kelowna/Kelowna"," 147","Kelowna",77,96,6,2,0,181,517
59016,"Kelowna/Kelowna"," 148","Kelowna",80,36,4,0,0,120,429
59016,"Kelowna/Kelowna"," 149","Kelowna",69,64,4,2,0,139,450
59016,"Kelowna/Kelowna"," 150A","Kelowna",Combined with No./Résultats combinés à ceux du n°136A,,,,,,97
59016,"Kelowna/Kelowna"," 150B","Kelowna",Combined with No./Résultats combinés à ceux du n°136B,,,,,,112
59016,"Kelowna/Kelowna"," 151","Kelowna",56,63,4,2,1,126,469
59016,"Kelowna/Kelowna"," 152","Kelowna",83,102,8,2,0,195,511
59016,"Kelowna/Kelowna"," 153","Kelowna",94,162,5,0,3,264,782
59016,"Kelowna/Kelowna"," 154","Kelowna",104,171,12,1,1,289,673
59016,"Kelowna/Kelowna"," 155","Kelowna",74,134,7,0,0,215,548
59016,"Kelowna/Kelowna"," 156","Kelowna",97,132,8,0,0,237,532
59016,"Kelowna/Kelowna"," 157","Kelowna",118,137,3,3,2,263,595
59016,"Kelowna/Kelowna"," 158","Kelowna",43,70,6,4,1,124,455
59016,"Kelowna/Kelowna"," 159","Kelowna",57,86,5,1,0,149,462
59016,"Kelowna/Kelowna"," 160","Kelowna",54,96,5,6,0,161,428
59016,"Kelowna/Kelowna"," 161","Kelowna",53,75,6,1,0,135,449
59016,"Kelowna/Kelowna"," 162","Kelowna",53,94,8,0,0,155,542
59016,"Kelowna/Kelowna"," 163","Kelowna",63,92,3,0,0,158,424
59016,"Kelowna/Kelowna"," 164","Kelowna",63,76,2,2,0,143,475
59016,"Kelowna/Kelowna"," 165","Kelowna",55,103,7,2,0,167,458
59016,"Kelowna/Kelowna"," 166","Kelowna",77,112,6,3,0,198,505
59016,"Kelowna/Kelowna"," 167","Kelowna",67,76,3,1,0,147,428
59016,"Kelowna/Kelowna"," 168","Kelowna",72,137,6,6,0,221,534
59016,"Kelowna/Kelowna"," 169","Kelowna",32,114,4,2,0,152,325
59016,"Kelowna/Kelowna"," 170","Big White",78,46,9,4,1,138,262
59016,"Kelowna/Kelowna"," 171","Beaverdell",53,193,14,9,3,272,441
59016,"Kelowna/Kelowna"," 400","Kelowna",Combined with No./Résultats combinés à ceux du n°1,,,,,,65
59016,"Kelowna/Kelowna"," 401","Kelowna",Void/Supprimé,,,,,,
59016,"Kelowna/Kelowna"," 402","Kelowna",Combined with No./Résultats combinés à ceux du n°32,,,,,,43
59016,"Kelowna/Kelowna"," 403","Kelowna",Combined with No./Résultats combinés à ceux du n°405,,,,,,220
59016,"Kelowna/Kelowna"," 404","Kelowna",Combined with No./Résultats combinés à ceux du n°36,,,,,,176
59016,"Kelowna/Kelowna"," 405","Kelowna",65,85,3,2,2,157,246
59016,"Kelowna/Kelowna"," 406","Kelowna",Combined with No./Résultats combinés à ceux du n°43,,,,,,0
59016,"Kelowna/Kelowna"," 407","Kelowna",Combined with No./Résultats combinés à ceux du n°46,,,,,,0
59016,"Kelowna/Kelowna"," 408","Kelowna",Combined with No./Résultats combinés à ceux du n°46,,,,,,0
59016,"Kelowna/Kelowna"," 409","Kelowna",Combined with No./Résultats combinés à ceux du n°49,,,,,,90
59016,"Kelowna/Kelowna"," 410","Kelowna",Combined with No./Résultats combinés à ceux du n°46,,,,,,1
59016,"Kelowna/Kelowna"," 411","Kelowna",Combined with No./Résultats combinés à ceux du n°49,,,,,,0
59016,"Kelowna/Kelowna"," 412","Kelowna",Combined with No./Résultats combinés à ceux du n°49,,,,,,140
59016,"Kelowna/Kelowna"," 413","Kelowna",Combined with No./Résultats combinés à ceux du n°51,,,,,,129
59016,"Kelowna/Kelowna"," 414","Kelowna",Combined with No./Résultats combinés à ceux du n°56,,,,,,0
59016,"Kelowna/Kelowna"," 415","Kelowna",Combined with No./Résultats combinés à ceux du n°63,,,,,,262
59016,"Kelowna/Kelowna"," 416","Kelowna",Combined with No./Résultats combinés à ceux du n°66,,,,,,214
59016,"Kelowna/Kelowna"," 417","Kelowna",Combined with No./Résultats combinés à ceux du n°84,,,,,,2
59016,"Kelowna/Kelowna"," 418","Kelowna",Combined with No./Résultats combinés à ceux du n°87,,,,,,21
59016,"Kelowna/Kelowna"," 419","Kelowna",Combined with No./Résultats combinés à ceux du n°87,,,,,,1
59016,"Kelowna/Kelowna"," 420","Kelowna",Combined with No./Résultats combinés à ceux du n°109,,,,,,14
59016,"Kelowna/Kelowna"," 421","Kelowna",Combined with No./Résultats combinés à ceux du n°122,,,,,,0
59016,"Kelowna/Kelowna"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,42
59016,"Kelowna/Kelowna"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,37
59016,"Kelowna/Kelowna"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°522,,,,,,43
59016,"Kelowna/Kelowna"," 503","Mobile poll/Bureau itinérant",91,46,7,4,0,148,161
59016,"Kelowna/Kelowna"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,60
59016,"Kelowna/Kelowna"," 505","Mobile poll/Bureau itinérant",90,61,7,0,3,161,149
59016,"Kelowna/Kelowna"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,28
59016,"Kelowna/Kelowna"," 507","Mobile poll/Bureau itinérant",56,39,9,2,4,110,127
59016,"Kelowna/Kelowna"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,26
59016,"Kelowna/Kelowna"," 509","Mobile poll/Bureau itinérant",30,43,3,1,6,83,122
59016,"Kelowna/Kelowna"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,0
59016,"Kelowna/Kelowna"," 511","Mobile poll/Bureau itinérant",29,42,10,3,2,86,92
59016,"Kelowna/Kelowna"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,80
59016,"Kelowna/Kelowna"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,35
59016,"Kelowna/Kelowna"," 514","Mobile poll/Bureau itinérant",52,29,9,1,3,94,103
59016,"Kelowna/Kelowna"," 515","Mobile poll/Bureau itinérant",58,65,11,2,3,139,134
59016,"Kelowna/Kelowna"," 516","Mobile poll/Bureau itinérant",52,38,6,1,2,99,101
59016,"Kelowna/Kelowna"," 517","Mobile poll/Bureau itinérant",60,34,2,0,1,97,120
59016,"Kelowna/Kelowna"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,4
59016,"Kelowna/Kelowna"," 519","Mobile poll/Bureau itinérant",69,35,1,1,2,108,140
59016,"Kelowna/Kelowna"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°521,,,,,,38
59016,"Kelowna/Kelowna"," 521","Mobile poll/Bureau itinérant",63,60,5,1,1,130,173
59016,"Kelowna/Kelowna"," 522","Mobile poll/Bureau itinérant",87,67,5,3,2,164,169
59016,"Kelowna/Kelowna"," 600","Kelowna",Combined with No./Résultats combinés à ceux du n°601,,,,,,
59016,"Kelowna/Kelowna"," 601","Kelowna",549,644,13,4,6,1216,
59016,"Kelowna/Kelowna"," 602","Kelowna",980,917,31,9,4,1941,
59016,"Kelowna/Kelowna"," 603","Kelowna",656,507,26,11,5,1205,
59016,"Kelowna/Kelowna"," 604","Kelowna",1013,708,54,11,2,1788,
59016,"Kelowna/Kelowna"," 605","Kelowna",665,523,35,12,2,1237,
59016,"Kelowna/Kelowna"," 606","Kelowna",993,802,22,8,4,1829,
59016,"Kelowna/Kelowna"," 607","Kelowna",485,630,31,8,2,1156,
59016,"Kelowna/Kelowna"," 608","Kelowna",676,810,64,17,4,1571,
59016,"Kelowna/Kelowna"," 609","Kelowna",578,529,52,6,1,1166,
59016,"Kelowna/Kelowna"," 610","Kelowna",795,467,40,15,1,1318,
59016,"Kelowna/Kelowna"," 611","Kelowna",628,451,39,6,3,1127,
59016,"Kelowna/Kelowna"," 612","Kelowna",980,697,65,15,10,1767,
59016,"Kelowna/Kelowna"," 613","Kelowna",1044,682,52,9,6,1793,
59016,"Kelowna/Kelowna"," 614","Kelowna",Combined with No./Résultats combinés à ceux du n°615,,,,,,
59016,"Kelowna/Kelowna"," 615","Kelowna",818,634,54,12,9,1527,
59016,"Kelowna/Kelowna"," 616","Kelowna",603,608,48,8,2,1269,
59016,"Kelowna/Kelowna"," 617","Kelowna",587,667,40,12,4,1310,
59016,"Kelowna/Kelowna"," 618","Kelowna",748,890,36,8,6,1688,
59016,"Kelowna/Kelowna"," 619","Rock Creek",127,237,5,1,0,370,
59016,"Kelowna/Kelowna",,Group 1/Groupe 1, 367,302,22,5,41,737,283
59016,"Kelowna/Kelowna",,Group 2/Groupe 2, 2554,1608,128,29,80,4399,
