Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Miles Berry,Christian Bourque,Atul Deshmukh,Graham Lettner,Heather McPherson,Ron Thiering,David Joel Wojtowicz,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48022,"Edmonton Strathcona/Edmonton Strathcona"," 138","Edmonton",69,0,0,0,112,43,0,1,225,549
48022,"Edmonton Strathcona/Edmonton Strathcona"," 139","Edmonton",73,0,0,1,95,47,1,0,217,485
48022,"Edmonton Strathcona/Edmonton Strathcona"," 140","Edmonton",82,0,0,0,111,49,2,3,247,543
48022,"Edmonton Strathcona/Edmonton Strathcona"," 141","Edmonton",51,0,0,1,70,34,1,1,158,379
48022,"Edmonton Strathcona/Edmonton Strathcona"," 142","Edmonton",44,0,0,0,79,31,1,2,157,482
48022,"Edmonton Strathcona/Edmonton Strathcona"," 143","Edmonton",92,0,1,0,82,26,2,0,203,478
48022,"Edmonton Strathcona/Edmonton Strathcona"," 144","Edmonton",68,1,1,1,99,29,1,0,200,460
48022,"Edmonton Strathcona/Edmonton Strathcona"," 145","Edmonton",51,0,1,0,54,15,2,1,124,368
48022,"Edmonton Strathcona/Edmonton Strathcona"," 146","Edmonton",52,2,1,0,65,25,2,0,147,392
48022,"Edmonton Strathcona/Edmonton Strathcona"," 147","Edmonton",60,2,4,1,53,36,2,0,158,474
48022,"Edmonton Strathcona/Edmonton Strathcona"," 148","Edmonton",39,0,2,0,67,34,3,0,145,426
48022,"Edmonton Strathcona/Edmonton Strathcona"," 149","Edmonton",58,2,1,0,42,43,1,0,147,450
48022,"Edmonton Strathcona/Edmonton Strathcona"," 150","Edmonton",97,2,0,0,65,54,0,0,218,523
48022,"Edmonton Strathcona/Edmonton Strathcona"," 151","Edmonton",45,1,1,0,62,33,0,1,143,378
48022,"Edmonton Strathcona/Edmonton Strathcona"," 152","Edmonton",80,0,0,0,65,37,0,1,183,370
48022,"Edmonton Strathcona/Edmonton Strathcona"," 153","Edmonton",60,0,1,0,75,22,1,0,159,405
48022,"Edmonton Strathcona/Edmonton Strathcona"," 154","Edmonton",50,0,0,0,95,28,1,1,175,451
48022,"Edmonton Strathcona/Edmonton Strathcona"," 155","Edmonton",44,0,0,0,58,12,0,0,114,400
48022,"Edmonton Strathcona/Edmonton Strathcona"," 156","Edmonton",45,0,0,1,98,14,2,1,161,354
48022,"Edmonton Strathcona/Edmonton Strathcona"," 157","Edmonton",55,0,0,1,67,20,1,0,144,347
48022,"Edmonton Strathcona/Edmonton Strathcona"," 158","Edmonton",78,0,1,0,52,40,1,2,174,527
48022,"Edmonton Strathcona/Edmonton Strathcona"," 159","Edmonton",51,0,1,1,40,44,0,0,137,411
48022,"Edmonton Strathcona/Edmonton Strathcona"," 160","Edmonton",36,0,0,0,47,21,3,0,107,322
48022,"Edmonton Strathcona/Edmonton Strathcona"," 161","Edmonton",55,0,0,0,67,60,0,1,183,531
48022,"Edmonton Strathcona/Edmonton Strathcona"," 162","Edmonton",50,0,0,0,50,32,2,0,134,402
48022,"Edmonton Strathcona/Edmonton Strathcona"," 163","Edmonton",64,0,0,1,80,38,1,0,184,456
48022,"Edmonton Strathcona/Edmonton Strathcona"," 164","Edmonton",73,1,1,0,100,35,1,0,211,457
48022,"Edmonton Strathcona/Edmonton Strathcona"," 165","Edmonton",44,2,3,0,59,34,3,3,148,402
48022,"Edmonton Strathcona/Edmonton Strathcona"," 166","Edmonton",75,0,2,1,60,39,2,1,180,549
48022,"Edmonton Strathcona/Edmonton Strathcona"," 167","Edmonton",51,0,1,0,79,25,0,1,157,401
48022,"Edmonton Strathcona/Edmonton Strathcona"," 168","Edmonton",83,0,1,1,79,15,4,1,184,462
48022,"Edmonton Strathcona/Edmonton Strathcona"," 169","Edmonton",94,0,3,2,80,31,0,0,210,553
48022,"Edmonton Strathcona/Edmonton Strathcona"," 170","Edmonton",180,3,5,3,57,31,4,3,286,571
48022,"Edmonton Strathcona/Edmonton Strathcona"," 171","Edmonton",145,2,1,2,55,27,2,2,236,474
48022,"Edmonton Strathcona/Edmonton Strathcona"," 172","Edmonton",177,1,3,1,53,39,4,1,279,514
48022,"Edmonton Strathcona/Edmonton Strathcona"," 173","Edmonton",47,0,1,1,42,38,2,0,131,408
48022,"Edmonton Strathcona/Edmonton Strathcona"," 174","Edmonton",67,0,0,2,44,31,3,1,148,377
48022,"Edmonton Strathcona/Edmonton Strathcona"," 175","Edmonton",64,1,0,1,57,27,3,1,154,349
48022,"Edmonton Strathcona/Edmonton Strathcona"," 176","Edmonton",77,1,1,0,53,26,0,0,158,425
48022,"Edmonton Strathcona/Edmonton Strathcona"," 177","Edmonton",89,2,0,1,68,28,3,0,191,463
48022,"Edmonton Strathcona/Edmonton Strathcona"," 178","Edmonton",78,2,0,0,26,90,2,2,200,591
48022,"Edmonton Strathcona/Edmonton Strathcona"," 179","Edmonton",61,0,1,1,41,41,2,3,150,352
48022,"Edmonton Strathcona/Edmonton Strathcona"," 180","Edmonton",88,1,0,0,81,47,0,3,220,440
48022,"Edmonton Strathcona/Edmonton Strathcona"," 181","Edmonton",51,1,1,0,61,43,1,1,159,367
48022,"Edmonton Strathcona/Edmonton Strathcona"," 182","Edmonton",89,0,2,1,51,36,0,0,179,350
48022,"Edmonton Strathcona/Edmonton Strathcona"," 400","Edmonton",81,0,3,1,61,54,2,3,205,306
48022,"Edmonton Strathcona/Edmonton Strathcona"," 500","Mobile poll/Bureau itinérant",27,0,2,1,17,20,2,2,71,85
48022,"Edmonton Strathcona/Edmonton Strathcona"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°534,,,,,,,,,35
48022,"Edmonton Strathcona/Edmonton Strathcona"," 502","Edmonton",Combined with No./Résultats combinés à ceux du n°6,,,,,,,,,51
48022,"Edmonton Strathcona/Edmonton Strathcona"," 503","Mobile poll/Bureau itinérant",24,3,2,2,17,23,2,2,75,114
48022,"Edmonton Strathcona/Edmonton Strathcona"," 504","Mobile poll/Bureau itinérant",32,0,0,1,35,20,2,1,91,84
48022,"Edmonton Strathcona/Edmonton Strathcona"," 505","Edmonton",Combined with No./Résultats combinés à ceux du n°53,,,,,,,,,49
48022,"Edmonton Strathcona/Edmonton Strathcona"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°537,,,,,,,,,37
48022,"Edmonton Strathcona/Edmonton Strathcona"," 507","Mobile poll/Bureau itinérant",34,1,2,3,25,16,2,1,84,33
48022,"Edmonton Strathcona/Edmonton Strathcona"," 508","Edmonton",Combined with No./Résultats combinés à ceux du n°29,,,,,,,,,9
48022,"Edmonton Strathcona/Edmonton Strathcona"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,,,51
48022,"Edmonton Strathcona/Edmonton Strathcona"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,,,22
48022,"Edmonton Strathcona/Edmonton Strathcona"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°528,,,,,,,,,32
48022,"Edmonton Strathcona/Edmonton Strathcona"," 512","Mobile poll/Bureau itinérant",15,0,2,0,34,35,5,0,91,81
48022,"Edmonton Strathcona/Edmonton Strathcona"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,,71
48022,"Edmonton Strathcona/Edmonton Strathcona"," 514","Mobile poll/Bureau itinérant",22,0,0,2,22,18,2,0,66,48
48022,"Edmonton Strathcona/Edmonton Strathcona"," 515","Mobile poll/Bureau itinérant",22,0,0,2,16,21,1,0,62,55
48022,"Edmonton Strathcona/Edmonton Strathcona"," 516","Mobile poll/Bureau itinérant",46,1,1,4,51,52,2,0,157,219
48022,"Edmonton Strathcona/Edmonton Strathcona"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,,,53
48022,"Edmonton Strathcona/Edmonton Strathcona"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°80B,,,,,,,,,58
48022,"Edmonton Strathcona/Edmonton Strathcona"," 519","Mobile poll/Bureau itinérant",18,2,1,0,14,15,1,1,52,34
48022,"Edmonton Strathcona/Edmonton Strathcona"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°80B,,,,,,,,,53
48022,"Edmonton Strathcona/Edmonton Strathcona"," 521","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°524,,,,,,,,,34
48022,"Edmonton Strathcona/Edmonton Strathcona"," 522","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°524,,,,,,,,,66
48022,"Edmonton Strathcona/Edmonton Strathcona"," 523","Mobile poll/Bureau itinérant",17,1,0,2,9,12,3,0,44,29
48022,"Edmonton Strathcona/Edmonton Strathcona"," 524","Mobile poll/Bureau itinérant",43,0,1,0,25,47,2,11,129,119
48022,"Edmonton Strathcona/Edmonton Strathcona"," 525","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,,,,42
48022,"Edmonton Strathcona/Edmonton Strathcona"," 526","Mobile poll/Bureau itinérant",18,0,0,1,15,7,3,1,45,55
48022,"Edmonton Strathcona/Edmonton Strathcona"," 527","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,,57
48022,"Edmonton Strathcona/Edmonton Strathcona"," 528","Mobile poll/Bureau itinérant",11,2,1,1,12,13,2,0,42,36
48022,"Edmonton Strathcona/Edmonton Strathcona"," 529","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,,,,,28
48022,"Edmonton Strathcona/Edmonton Strathcona"," 530","Edmonton",Combined with No./Résultats combinés à ceux du n°89,,,,,,,,,50
48022,"Edmonton Strathcona/Edmonton Strathcona"," 531","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,,,81
48022,"Edmonton Strathcona/Edmonton Strathcona"," 532","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°526,,,,,,,,,28
48022,"Edmonton Strathcona/Edmonton Strathcona"," 533","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,,,27
48022,"Edmonton Strathcona/Edmonton Strathcona"," 534","Mobile poll/Bureau itinérant",93,1,3,1,26,29,2,2,157,201
48022,"Edmonton Strathcona/Edmonton Strathcona"," 535","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,,,34
48022,"Edmonton Strathcona/Edmonton Strathcona"," 536","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°523,,,,,,,,,20
48022,"Edmonton Strathcona/Edmonton Strathcona"," 537","Mobile poll/Bureau itinérant",28,0,2,0,17,37,1,2,87,112
48022,"Edmonton Strathcona/Edmonton Strathcona"," 600","Edmonton",202,0,1,1,571,234,4,4,1017,
48022,"Edmonton Strathcona/Edmonton Strathcona"," 601","Edmonton",377,0,5,7,769,249,4,4,1415,
48022,"Edmonton Strathcona/Edmonton Strathcona"," 602","Edmonton",467,2,4,4,918,267,10,4,1676,
48022,"Edmonton Strathcona/Edmonton Strathcona"," 603","Edmonton",385,0,2,1,482,146,4,6,1026,
48022,"Edmonton Strathcona/Edmonton Strathcona"," 604","Edmonton",463,1,1,1,415,156,1,3,1041,
48022,"Edmonton Strathcona/Edmonton Strathcona"," 605","Edmonton",489,0,4,5,450,185,5,6,1144,
48022,"Edmonton Strathcona/Edmonton Strathcona"," 606","Edmonton",425,1,5,2,475,134,5,4,1051,
48022,"Edmonton Strathcona/Edmonton Strathcona"," 607","Edmonton",326,1,4,4,679,160,1,1,1176,
48022,"Edmonton Strathcona/Edmonton Strathcona"," 608","Edmonton",238,4,4,1,687,171,2,1,1108,
