Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Waseem Botros,Bardish Chagger,Santa Claus Chatham,Héline Chow,Simon Guthrie,Jamie Hari,Val Neekman,Hans Roach,Douglas Ross,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35114,"Waterloo/Waterloo"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,,,,73
35114,"Waterloo/Waterloo"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,,,,,149
35114,"Waterloo/Waterloo"," 504","Waterloo",Combined with No./Résultats combinés à ceux du n°113,,,,,,,,,,,83
35114,"Waterloo/Waterloo"," 505","Mobile poll/Bureau itinérant",47,234,2,4,2,0,2,0,0,11,302,293
35114,"Waterloo/Waterloo"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,,,,166
35114,"Waterloo/Waterloo"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,,,,,115
35114,"Waterloo/Waterloo"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,,,,,83
35114,"Waterloo/Waterloo"," 509","Mobile poll/Bureau itinérant",53,140,0,11,3,1,0,0,1,0,209,142
35114,"Waterloo/Waterloo"," 510","Mobile poll/Bureau itinérant",39,86,1,1,6,0,0,2,1,3,139,123
35114,"Waterloo/Waterloo"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,,,,,83
35114,"Waterloo/Waterloo"," 512","Mobile poll/Bureau itinérant",33,38,1,6,2,0,1,0,1,0,82,84
35114,"Waterloo/Waterloo"," 513","Mobile poll/Bureau itinérant",36,129,1,1,4,0,1,0,0,2,174,125
35114,"Waterloo/Waterloo"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,,,,,145
35114,"Waterloo/Waterloo"," 600","Kitchener",533,861,0,31,20,0,8,0,5,3,1461,
35114,"Waterloo/Waterloo"," 601","Kitchener",487,721,2,40,17,0,1,0,5,2,1275,
35114,"Waterloo/Waterloo"," 602","Waterloo",429,816,1,32,20,1,4,0,4,0,1307,
35114,"Waterloo/Waterloo"," 603","Waterloo",364,669,5,47,23,1,2,0,10,1,1122,
35114,"Waterloo/Waterloo"," 604","Waterloo",384,817,1,41,30,1,0,0,5,0,1279,
35114,"Waterloo/Waterloo"," 605","Kitchener",360,892,4,56,43,2,3,3,11,3,1377,
35114,"Waterloo/Waterloo"," 606","Waterloo",214,843,4,57,49,1,1,1,5,0,1175,
35114,"Waterloo/Waterloo"," 607","Waterloo",255,1122,3,57,33,1,3,3,4,3,1484,
35114,"Waterloo/Waterloo"," 608","Waterloo",163,443,0,30,15,0,1,0,0,3,655,
35114,"Waterloo/Waterloo"," 609","Waterloo",534,754,2,76,26,3,1,3,13,6,1418,
