Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Elizabeth Benoit,Coreen Corcoran,Mona Fortier,Christian Legeais,Tristan Oliff,Christian Proulx,Marty Simms,Dean Wythe,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 62","Ottawa",3,0,86,0,11,1,0,44,0,145,390
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 63","Ottawa",1,1,106,1,6,6,1,42,0,164,445
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 64","Ottawa",2,1,84,1,13,2,1,29,1,134,458
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 65","Ottawa",0,1,111,0,13,2,2,50,4,183,621
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 66","Ottawa",1,0,146,0,20,6,0,50,1,224,602
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 67","Ottawa",2,2,262,0,16,5,1,77,1,366,541
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 68","Ottawa",0,0,110,2,5,3,1,52,0,173,502
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 69","Ottawa",0,0,69,0,1,1,1,44,1,117,462
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 70","Ottawa",0,1,100,1,7,3,0,48,0,160,558
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 71","Ottawa",2,1,89,0,9,3,0,39,0,143,514
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 72","Ottawa",0,2,108,0,14,1,0,39,4,168,525
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 73","Ottawa",1,0,104,0,20,4,0,34,1,164,538
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 74","Ottawa",0,2,88,1,18,7,1,39,1,157,522
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 75","Ottawa",0,0,131,0,16,6,1,42,0,196,442
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 76","Ottawa",0,0,85,0,21,2,2,48,0,158,509
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 77","Ottawa",3,2,120,0,26,3,0,46,2,202,555
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 78","Ottawa",3,0,110,0,7,9,0,34,0,163,522
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 79","Ottawa",0,2,98,0,24,5,1,47,0,177,576
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 80","Ottawa",3,1,123,1,30,7,1,47,0,213,538
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 81","Ottawa",0,0,127,1,33,9,2,38,0,210,592
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 82","Ottawa",0,0,117,0,20,5,1,37,1,181,445
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 83","Ottawa",0,1,119,1,19,4,0,22,0,166,435
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 84","Ottawa",2,0,113,0,3,3,1,26,0,148,475
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 85","Ottawa",0,0,86,0,11,1,1,12,0,111,361
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 86","Ottawa",0,2,131,0,15,1,0,29,4,182,507
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 87","Ottawa",1,1,91,0,12,6,0,16,1,128,390
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 88","Ottawa",2,0,56,0,16,2,0,24,0,100,326
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 89","Ottawa",1,0,101,0,12,6,1,17,1,139,394
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 90","Ottawa",0,0,105,0,10,4,0,22,1,142,418
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 91","Ottawa",0,0,93,1,13,9,0,29,0,145,540
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 92","Ottawa",0,0,89,0,12,5,1,31,0,138,386
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 93","Ottawa",0,1,80,1,17,6,3,52,2,162,429
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 94","Ottawa",1,0,68,0,14,5,1,42,0,131,376
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 95","Ottawa",1,1,105,0,8,0,1,58,1,175,386
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 96","Ottawa",1,5,150,1,15,8,2,74,5,261,630
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 97","Ottawa",0,0,96,0,23,3,1,54,0,177,356
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 98","Ottawa",0,2,131,0,22,3,0,65,0,223,508
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 99","Ottawa",3,0,114,0,10,1,0,42,0,170,407
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 100A","Ottawa",0,1,58,1,6,1,0,29,0,96,288
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 100B","Ottawa",0,0,81,0,6,2,0,37,2,128,286
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 100C","Mobile poll/Bureau itinérant",1,2,162,1,8,4,2,25,0,205,162
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 101","Ottawa",1,2,149,0,9,3,1,36,1,202,597
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 102","Ottawa",1,1,68,1,18,8,1,57,0,155,473
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 103","Ottawa",0,1,100,0,8,3,1,53,1,167,474
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 104","Ottawa",0,1,165,0,15,4,0,45,2,232,557
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 105","Ottawa",1,0,103,1,10,5,1,49,0,170,467
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 106","Ottawa",2,1,151,0,21,1,1,69,4,250,455
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 107","Ottawa",0,0,124,0,15,1,0,46,0,186,455
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 108","Ottawa",0,0,98,0,16,4,0,29,1,148,411
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 109","Ottawa",1,4,78,1,7,0,0,39,4,134,417
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 110","Ottawa",0,0,56,0,18,5,0,28,1,108,327
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 111","Ottawa",2,0,91,1,17,3,3,52,2,171,515
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 112","Ottawa",0,1,55,0,7,2,0,25,2,92,396
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 113","Ottawa",0,1,82,1,10,3,4,35,2,138,431
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 114","Ottawa",1,0,82,1,21,2,0,24,0,131,394
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 115","Ottawa",0,0,97,0,20,8,0,22,0,147,421
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 116","Ottawa",1,0,66,1,9,1,2,31,0,111,378
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 117","Ottawa",0,1,73,1,20,2,0,26,2,125,442
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 118","Ottawa",1,0,124,0,13,4,2,87,2,233,537
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 119","Ottawa",0,1,148,0,18,5,0,68,0,240,469
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 120","Ottawa",1,1,74,0,13,2,1,41,0,133,315
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 121","Ottawa",1,1,123,0,11,2,0,75,0,213,484
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 122","Ottawa",1,1,85,0,17,1,1,53,0,159,424
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 123","Ottawa",2,1,73,0,7,2,1,35,2,123,405
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 124","Ottawa",0,0,68,0,6,0,0,39,0,113,356
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 125","Ottawa",2,0,105,0,21,1,0,61,0,190,421
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 126","Ottawa",1,2,130,0,11,2,2,60,0,208,484
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 127","Ottawa",0,2,96,0,14,3,2,40,0,157,415
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 128","Ottawa",1,0,85,1,6,4,0,57,1,155,386
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 129","Ottawa",1,0,54,1,12,2,0,21,2,93,419
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 130","Ottawa",0,1,63,2,10,2,1,30,1,110,381
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 131","Ottawa",1,1,78,0,8,2,1,28,1,120,463
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 132","Ottawa",1,0,51,0,15,1,0,36,0,104,391
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 133","Ottawa",1,2,67,0,11,5,2,21,3,112,484
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 134","Ottawa",1,1,76,1,15,3,3,27,1,128,402
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 135A","Ottawa",0,1,77,1,11,1,2,43,1,137,459
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 135B","Ottawa",Combined with No./Résultats combinés à ceux du n°423A,,,,,,,,,,197
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 135C","Ottawa",Combined with No./Résultats combinés à ceux du n°423B,,,,,,,,,,194
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 136","Ottawa",2,1,81,0,18,6,1,29,0,138,492
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 137","Ottawa",1,0,99,0,16,0,0,20,0,136,458
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 138","Ottawa",1,0,78,0,13,8,1,16,2,119,397
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 139","Ottawa",0,0,120,0,26,5,1,34,0,186,507
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 140","Ottawa",0,0,81,2,24,5,1,17,0,130,338
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 141","Ottawa",2,0,86,1,16,4,0,37,4,150,433
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 142","Ottawa",1,3,97,1,22,4,0,37,1,166,527
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 143","Ottawa",1,4,84,0,14,1,4,30,2,140,444
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 144","Ottawa",0,4,153,0,21,4,2,46,2,232,612
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 145","Ottawa",0,1,111,2,22,5,1,26,0,168,458
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 146","Ottawa",0,0,71,1,16,0,2,30,1,121,358
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 147","Ottawa",0,2,74,0,10,1,1,29,2,119,334
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 148","Ottawa",0,0,112,0,23,2,0,27,0,164,477
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 149","Ottawa",1,1,87,1,16,3,0,30,0,139,462
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 150","Ottawa",0,0,75,4,26,1,0,16,3,125,387
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 151","Ottawa",0,0,86,4,25,4,3,19,1,142,429
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 152","Ottawa",0,0,125,0,30,9,1,27,3,195,599
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 153","Ottawa",0,0,120,2,31,5,1,33,6,198,596
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 154","Ottawa",0,0,119,0,8,2,3,34,0,166,548
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 155","Ottawa",0,0,68,1,12,3,0,20,1,105,637
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 156","Ottawa",0,0,95,0,16,2,0,35,1,149,494
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 157","Ottawa",0,0,83,1,14,2,0,29,1,130,419
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 158","Ottawa",1,1,81,2,12,1,0,49,0,147,482
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 159","Ottawa",0,0,90,0,18,3,3,47,2,163,436
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 160","Ottawa",1,1,69,0,12,3,2,41,1,130,542
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 161","Ottawa",1,1,104,0,24,5,1,28,2,166,412
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 162","Ottawa",0,1,92,2,16,8,0,25,3,147,458
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 163","Ottawa",1,0,116,1,32,4,0,33,1,188,632
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 164","Ottawa",0,0,118,0,16,3,2,36,1,176,589
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 165","Ottawa",0,2,105,0,19,4,0,23,0,153,435
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 166","Ottawa",1,0,129,0,32,2,2,31,2,199,473
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 167","Ottawa",1,1,103,0,27,2,1,33,0,168,426
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 168A","Ottawa",0,1,92,2,9,4,1,38,1,148,333
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 168B","Ottawa",1,1,67,0,11,0,5,25,2,112,356
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 169","Ottawa",1,0,101,2,16,0,0,39,1,160,434
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 170","Ottawa",0,0,86,0,22,3,1,43,0,155,547
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 171","Ottawa",0,0,83,0,9,5,1,36,1,135,425
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 172","Ottawa",0,3,97,0,10,1,0,33,0,144,449
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 173","Ottawa",0,3,102,1,11,2,1,33,6,159,462
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 174","Ottawa",0,2,101,2,9,1,0,60,7,182,466
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 175","Ottawa",1,0,82,0,14,5,2,54,4,162,430
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 176","Ottawa",1,1,87,0,9,1,2,24,5,130,426
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 177","Ottawa",1,0,116,0,20,7,2,52,1,199,395
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 178A","Ottawa",0,1,68,0,12,3,1,17,0,102,303
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 178B","Ottawa",0,1,64,2,12,1,1,10,0,91,305
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 179","Ottawa",0,0,90,1,24,4,0,17,1,137,430
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 180","Ottawa",0,2,130,0,22,7,3,36,0,200,577
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 181","Ottawa",0,1,30,0,4,0,0,8,0,43,199
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 182","Ottawa",0,0,143,0,30,4,0,32,2,211,545
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 183","Ottawa",0,1,149,2,30,5,1,34,2,224,547
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 184A","Ottawa",0,1,89,0,10,2,1,22,0,125,336
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 184B","Ottawa",0,1,60,0,14,0,3,18,0,96,293
