Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,John Hetherington,Murali Krishnan,Sukh Pandher,Shannon Permal,Gurbux Saini,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 54","Surrey",0,1,66,11,83,2,163,656
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 55","Surrey",0,2,38,13,64,0,117,479
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 56","Surrey",1,0,42,9,50,2,104,305
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 57","Surrey",2,1,59,18,93,1,174,619
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 58","Surrey",1,2,41,14,45,0,103,402
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 59","Surrey",2,1,69,7,40,0,119,366
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 60","Surrey",2,1,69,13,63,0,148,208
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 61","Surrey",Combined with No./Résultats combinés à ceux du n°60,,,,,,,240
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 62","Surrey",1,1,56,5,51,0,114,442
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 63","Surrey",1,2,51,5,53,0,112,504
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 64","Surrey",6,2,73,14,60,1,156,487
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 65","Surrey",1,1,58,8,44,0,112,423
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 66","Surrey",1,0,50,6,45,2,104,329
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 67","Surrey",2,2,61,8,71,0,144,413
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 68","Surrey",1,1,47,5,46,1,101,343
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 69","Surrey",5,0,93,9,91,0,198,443
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 70","Surrey",0,1,56,10,61,0,128,412
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 71","Surrey",0,1,69,7,55,1,133,434
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 72","Surrey",3,1,30,10,55,0,99,335
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 73","Surrey",2,1,59,4,65,3,134,482
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 74","Surrey",2,3,72,19,70,0,166,573
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 75","Surrey",1,0,38,3,47,0,89,567
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 76","Surrey",3,2,78,11,91,0,185,384
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 77","Surrey",3,2,99,7,75,0,186,664
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 78","Surrey",Combined with No./Résultats combinés à ceux du n°76,,,,,,,171
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 79","Surrey",3,4,80,3,64,0,154,511
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 80","Surrey",0,2,47,10,88,0,147,499
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 81","Surrey",1,0,47,11,75,0,134,485
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 82","Surrey",1,1,70,8,61,0,141,483
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 83","Surrey",1,1,52,4,63,1,122,529
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 84","Surrey",0,4,42,3,54,2,105,495
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 85","Surrey",1,1,95,4,52,0,153,537
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 86A","Surrey",2,2,70,11,63,1,149,325
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 86B","Surrey",2,3,82,14,74,2,177,360
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 87A","Surrey",Combined with No./Résultats combinés à ceux du n°86A,,,,,,,113
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 87B","Surrey",Combined with No./Résultats combinés à ceux du n°86B,,,,,,,157
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 88","Surrey",2,2,94,7,85,1,191,491
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 89","Surrey",2,3,93,6,101,0,205,509
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 90","Surrey",4,1,105,22,108,0,240,651
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 91","Surrey",0,2,61,7,51,0,121,479
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 92","Surrey",2,2,91,14,51,0,160,485
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 93A","Surrey",0,0,52,6,46,0,104,429
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 93B","Surrey",1,3,63,6,52,0,125,427
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 94","Surrey",1,0,49,11,45,0,106,307
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 95","Surrey",2,0,53,4,61,3,123,519
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 96","Surrey",1,3,80,10,62,0,156,442
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 97A","Surrey",0,1,57,5,37,2,102,408
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 97B","Surrey",1,1,58,11,47,0,118,341
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 98","Surrey",2,2,97,7,107,1,216,625
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 99","Surrey",1,3,98,6,79,4,191,559
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 100","Surrey",2,0,112,6,77,3,200,541
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 101","Surrey",2,0,75,5,56,3,141,505
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 102","Surrey",2,2,52,6,68,0,130,555
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 103","Surrey",2,0,31,10,42,1,86,390
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 104","Surrey",2,0,40,10,57,0,109,398
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 105","Surrey",1,0,86,8,84,2,181,616
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 106","Surrey",0,0,38,4,64,0,106,384
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 107","Surrey",1,1,35,9,67,0,113,410
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 108","Surrey",1,1,53,3,65,0,123,543
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 109","Surrey",1,0,62,4,49,1,117,441
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 110","Surrey",2,0,63,9,50,1,125,483
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 111","Surrey",1,2,54,7,66,1,131,455
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 112A","Surrey",1,0,79,17,60,0,157,564
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 112B","Surrey",0,2,66,9,50,0,127,464
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 113","Surrey",1,2,90,6,91,0,190,567
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 114","Surrey",1,4,63,6,50,1,125,415
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 115","Surrey",1,0,46,6,45,2,100,304
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 116","Surrey",0,1,50,7,75,0,133,502
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 117","Surrey",0,2,62,14,63,0,141,380
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 118","Surrey",1,1,43,3,55,1,104,410
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 119","Surrey",0,2,83,7,92,0,184,548
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 120","Surrey",4,1,80,7,48,1,141,513
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 121","Surrey",3,5,98,5,90,1,202,616
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 122","Surrey",1,3,91,7,89,1,192,546
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 123","Surrey",0,1,60,5,56,0,122,462
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 124","Surrey",4,0,48,1,68,3,124,535
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 125","Surrey",0,0,39,3,41,0,83,388
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 126","Surrey",2,0,39,1,51,4,97,337
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 127","Surrey",1,0,64,11,61,0,137,542
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 128A","Surrey",0,3,54,8,68,1,134,349
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 128B","Surrey",0,0,76,3,36,0,115,370
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 129","Surrey",1,0,41,8,66,3,119,517
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 130","Surrey",0,0,74,5,57,1,137,504
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 131","Surrey",1,1,79,3,48,2,134,532
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 132","Surrey",1,0,61,3,56,2,123,345
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 133A","Surrey",Combined with No./Résultats combinés à ceux du n°128A,,,,,,,164
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 133B","Surrey",Combined with No./Résultats combinés à ceux du n°128B,,,,,,,153
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 134","Surrey",2,1,48,10,61,1,123,403
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 135","Surrey",3,0,47,5,53,0,108,457
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 136","Surrey",0,1,44,5,64,1,115,457
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 137A","Surrey",0,3,62,8,64,1,138,294
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 137B","Surrey",1,3,50,10,52,0,116,276
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 138A","Surrey",Combined with No./Résultats combinés à ceux du n°137A,,,,,,,109
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 138B","Surrey",Combined with No./Résultats combinés à ceux du n°137B,,,,,,,127
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 139","Surrey",0,0,62,6,95,0,163,452
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 140","Surrey",1,1,78,10,78,4,172,457
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 141","Surrey",0,1,43,10,64,0,118,449
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 142","Surrey",0,1,41,2,64,0,108,365
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 143","Surrey",0,3,51,4,36,0,94,418
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 144","Surrey",0,0,56,4,72,0,132,482
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 145","Surrey",2,0,44,2,78,2,128,464
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 146A","Surrey",0,2,57,4,47,0,110,349
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 146B","Surrey",0,2,52,8,35,1,98,354
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 147","Surrey",0,1,67,1,65,0,134,380
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 148","Surrey",1,0,108,10,75,2,196,496
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 149","Surrey",1,1,40,2,65,0,109,338
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 150","Surrey",0,4,90,6,71,1,172,489
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 151","Surrey",2,0,88,14,117,0,221,572
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 152","Surrey",3,1,86,9,95,0,194,569
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 153","Surrey",1,0,67,6,71,2,147,494
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 154","Surrey",2,2,75,9,56,1,145,486
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 155","Surrey",0,1,93,2,92,0,188,553
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 156","Surrey",0,4,68,18,97,3,190,462
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 157","Surrey",3,1,81,9,88,1,183,615
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 158","Surrey",0,1,55,5,74,2,137,333
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 159A","Surrey",Combined with No./Résultats combinés à ceux du n°160A,,,,,,,218
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 159B","Surrey",Combined with No./Résultats combinés à ceux du n°160B,,,,,,,179
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 160A","Surrey",1,3,83,8,66,0,161,283
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 160B","Surrey",2,0,74,5,60,0,141,344
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 500","Surrey",Combined with No./Résultats combinés à ceux du n°16,,,,,,,92
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 501","Mobile poll/Bureau itinérant",1,0,21,7,18,1,48,76
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,37
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,28
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,28
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 505","Mobile poll/Bureau itinérant",1,4,21,24,25,0,75,77
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,41
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 507","Mobile poll/Bureau itinérant",3,2,19,20,64,2,110,106
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 600","Surrey",46,28,758,158,784,15,1789,
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 601","Surrey",15,12,604,117,634,6,1388,
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 602","Surrey",6,10,407,70,477,2,972,
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 603","Surrey",18,17,585,122,786,11,1539,
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 604","Surrey",12,15,321,48,437,1,834,
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 605","Surrey",9,21,853,95,938,15,1931,
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 606","Surrey",11,5,378,25,367,5,791,
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 607","Surrey",2,10,697,57,693,11,1470,
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 608","Surrey",14,17,565,56,593,7,1252,
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 609","Surrey",15,16,493,75,569,6,1174,
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 610","Surrey",7,8,457,54,544,5,1075,
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 611","Surrey",7,6,429,43,531,6,1022,
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 612","Surrey",7,4,417,75,547,4,1054,
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 613","Surrey",17,9,801,82,1178,13,2100,
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 614","Surrey",7,3,623,45,686,9,1373,
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 615","Surrey",9,12,732,67,667,13,1500,
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 616","Surrey",14,16,690,98,923,27,1768,
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 617","Surrey",12,4,659,67,711,6,1459,
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells",,Group 1/Groupe 1, 9,10,249,52,370,38,728,227
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells",,Group 2/Groupe 2, 14,5,500,46,650,64,1279,
