Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jerry Kroll,Taleeb Noormohamed,Marie Rogers,Sukhi Singh Sahota,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59038,"Vancouver Granville/Vancouver Granville"," 145","Vancouver",0,39,52,4,0,95,374
59038,"Vancouver Granville/Vancouver Granville"," 146","Vancouver",1,28,54,7,0,90,353
59038,"Vancouver Granville/Vancouver Granville"," 147","Vancouver",0,37,52,2,2,93,438
59038,"Vancouver Granville/Vancouver Granville"," 148","Vancouver",3,63,48,6,0,120,469
59038,"Vancouver Granville/Vancouver Granville"," 149","Vancouver",3,39,32,6,0,80,358
59038,"Vancouver Granville/Vancouver Granville"," 150","Vancouver",5,60,46,10,1,122,498
59038,"Vancouver Granville/Vancouver Granville"," 151","Vancouver",0,85,79,13,0,177,414
59038,"Vancouver Granville/Vancouver Granville"," 152","Vancouver",2,99,63,8,0,172,417
59038,"Vancouver Granville/Vancouver Granville"," 153","Vancouver",4,55,68,6,1,134,404
59038,"Vancouver Granville/Vancouver Granville"," 154","Vancouver",1,56,50,4,0,111,416
59038,"Vancouver Granville/Vancouver Granville"," 155","Vancouver",6,62,53,20,0,141,376
59038,"Vancouver Granville/Vancouver Granville"," 156","Vancouver",2,50,54,16,1,123,395
59038,"Vancouver Granville/Vancouver Granville"," 157","Vancouver",2,60,51,5,0,118,416
59038,"Vancouver Granville/Vancouver Granville"," 158","Vancouver",0,48,45,15,1,109,438
59038,"Vancouver Granville/Vancouver Granville"," 159","Vancouver",3,42,61,15,0,121,418
59038,"Vancouver Granville/Vancouver Granville"," 160","Vancouver",1,54,54,18,0,127,386
59038,"Vancouver Granville/Vancouver Granville"," 161","Vancouver",0,57,42,17,1,117,464
59038,"Vancouver Granville/Vancouver Granville"," 162","Vancouver",1,57,60,13,1,132,373
59038,"Vancouver Granville/Vancouver Granville"," 163","Vancouver",2,54,45,11,0,112,518
59038,"Vancouver Granville/Vancouver Granville"," 164","Vancouver",2,74,60,15,2,153,421
59038,"Vancouver Granville/Vancouver Granville"," 165","Vancouver",0,56,35,12,2,105,361
59038,"Vancouver Granville/Vancouver Granville"," 166","Vancouver",0,89,78,14,0,181,410
59038,"Vancouver Granville/Vancouver Granville"," 167","Vancouver",2,81,59,11,1,154,413
59038,"Vancouver Granville/Vancouver Granville"," 168","Vancouver",2,53,69,7,1,132,451
59038,"Vancouver Granville/Vancouver Granville"," 169","Vancouver",0,82,59,10,0,151,480
59038,"Vancouver Granville/Vancouver Granville"," 170","Vancouver",3,39,47,1,0,90,521
59038,"Vancouver Granville/Vancouver Granville"," 171","Vancouver",5,56,65,8,0,134,552
59038,"Vancouver Granville/Vancouver Granville"," 172","Vancouver",0,32,20,6,1,59,388
59038,"Vancouver Granville/Vancouver Granville"," 173","Vancouver",3,45,32,6,0,86,406
59038,"Vancouver Granville/Vancouver Granville"," 174","Vancouver",0,57,58,4,0,119,607
59038,"Vancouver Granville/Vancouver Granville"," 175","Vancouver",2,49,50,16,0,117,461
59038,"Vancouver Granville/Vancouver Granville"," 176","Vancouver",0,53,63,7,3,126,378
59038,"Vancouver Granville/Vancouver Granville"," 177","Vancouver",2,83,64,26,1,176,485
59038,"Vancouver Granville/Vancouver Granville"," 178","Vancouver",4,40,50,12,0,106,454
59038,"Vancouver Granville/Vancouver Granville"," 179","Vancouver",0,46,40,3,2,91,490
59038,"Vancouver Granville/Vancouver Granville"," 180","Vancouver",3,45,56,17,0,121,341
59038,"Vancouver Granville/Vancouver Granville"," 181","Vancouver",0,44,44,7,2,97,412
59038,"Vancouver Granville/Vancouver Granville"," 182","Vancouver",0,84,47,14,1,146,375
59038,"Vancouver Granville/Vancouver Granville"," 183","Vancouver",1,61,48,15,2,127,391
59038,"Vancouver Granville/Vancouver Granville"," 184","Vancouver",0,65,31,4,1,101,396
59038,"Vancouver Granville/Vancouver Granville"," 400","Vancouver",0,41,36,5,0,82,160
59038,"Vancouver Granville/Vancouver Granville"," 401","Vancouver",Combined with No./Résultats combinés à ceux du n°400,,,,,,130
59038,"Vancouver Granville/Vancouver Granville"," 500","Mobile poll/Bureau itinérant",0,73,26,8,0,107,96
59038,"Vancouver Granville/Vancouver Granville"," 501","Mobile poll/Bureau itinérant",5,19,11,18,1,54,59
59038,"Vancouver Granville/Vancouver Granville"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,21
59038,"Vancouver Granville/Vancouver Granville"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,41
