Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Param Bhatti,Grant Cool,Robert Crooks,Ben Homer-Dixon,Stephanie McLean,David Schaafsma,Maja Tait,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 195","East Sooke",0,59,1,1,67,0,28,0,156,561
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 196","Metchosin",0,90,0,5,75,0,28,0,198,506
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 197","Metchosin",0,52,0,3,76,0,20,0,151,373
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 198","Metchosin",0,53,1,6,65,0,18,0,143,349
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 199","Metchosin",0,53,0,4,68,1,23,0,149,393
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 200","Metchosin",0,27,0,5,33,1,31,0,97,312
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 201","Metchosin",0,86,0,10,84,0,42,0,222,345
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 201-1","Becher Bay 1",Combined with No./Résultats combinés à ceux du n°201,,,,,,,,,188
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 400","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°401,,,,,,,,,61
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 401","Mobile poll/Bureau itinérant",2,29,0,3,80,1,27,2,144,120
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,,31
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,,72
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 502","Mobile poll/Bureau itinérant",5,31,1,11,54,3,43,1,149,145
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,,21
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 504","Mobile poll/Bureau itinérant",1,8,0,7,19,0,15,0,50,53
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 600","Juan de Fuca (Part 1)",6,529,2,20,640,0,215,4,1416,
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 601","T'Sou-ke",0,21,0,0,10,0,6,0,37,
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 602","Sooke",2,624,3,39,737,2,364,1,1772,
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 603","Sooke",1,604,3,38,887,3,323,3,1862,
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 604","Sooke",0,292,3,21,353,2,164,0,835,
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 605","Juan de Fuca (Part 1)",1,321,0,16,403,0,108,3,852,
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 606","Becher Bay 1",0,8,0,0,28,0,8,0,44,
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 607","Metchosin",1,476,6,56,780,3,205,4,1531,
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 608","Colwood",0,429,1,13,912,7,180,4,1546,
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 609","Colwood",2,339,0,11,683,2,117,5,1159,
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 610","Colwood",2,335,0,17,504,1,170,0,1029,
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 611","Colwood",1,447,6,20,913,1,198,5,1591,
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 612","View Royal",0,207,1,12,493,0,147,2,862,
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 613","Esquimalt",0,1,0,1,2,0,2,0,6,
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 614","New Songhees 1A",1,31,0,3,147,2,66,2,252,
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 615","Esquimalt",1,284,1,26,807,1,338,1,1459,
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 616","Esquimalt",6,294,1,21,953,5,392,1,1673,
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 617","Esquimalt",2,241,2,31,617,1,303,3,1200,
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 618","Saanich",2,198,2,33,578,2,253,5,1073,
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 619","Saanich",0,216,1,22,586,0,173,2,1000,
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 620","Saanich",3,232,2,26,618,1,290,0,1172,
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 621","Saanich",3,305,2,70,947,3,328,12,1670,
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 622","Saanich",2,174,11,49,558,1,189,0,984,
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 623","Saanich",1,234,0,26,429,0,117,0,807,
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 624","Saanich",2,351,1,24,707,0,199,1,1285,
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 625","Saanich",0,247,1,23,582,2,134,1,990,
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 626","Saanich--View Royal",2,362,2,17,833,1,176,0,1393,
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 627","Saanich",0,367,1,38,530,1,90,0,1027,
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke",,Group 1/Groupe 1, 6,813,8,61,1088,4,347,95,2422,376
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke",,Group 2/Groupe 2, 20,1270,9,139,3408,17,1138,149,6150,
