Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Britt Baumann,Chey Craik,Mike Gardiner,Tabitha Mukamusoni,Fraser Tolmie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 143","Drinkwater",7,3,1,10,92,0,113,289
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 144","Moose Jaw",11,3,1,39,71,0,125,407
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 145","Moose Jaw",21,3,2,25,102,0,153,395
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 146","Bushell Park",11,0,0,27,45,0,83,300
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 147","Baildon",15,13,1,11,115,0,155,342
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 148","Regina",5,3,1,33,115,1,158,252
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 149","Shamrock",8,11,0,9,194,1,223,380
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 150","Briercrest",6,9,1,22,176,0,214,426
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 151","Rouleau",8,5,1,17,108,1,140,454
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 152","Wilcox",12,8,1,43,171,0,235,475
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 153","Mossbank",9,13,3,22,219,0,266,445
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 154","Gravelbourg",5,3,0,24,88,1,121,323
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 155","Gravelbourg",10,2,1,36,67,1,117,349
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 156","Gravelbourg",6,2,3,8,114,0,133,325
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 157","Avonlea",3,0,0,13,102,0,118,307
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 158","Avonlea",2,5,1,12,136,2,158,319
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 159","Milestone",8,1,3,43,261,0,316,447
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 160","Milestone",3,1,0,18,141,0,163,255
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 400","Moose Jaw",14,2,4,26,37,1,84,154
