Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Martin Champoux,François Choquette,François Fréchette,Ghada Jerbi,William Trottier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24023,"Drummond/Drummond"," 83","Drummondville",37,9,19,23,3,8,99,390
24023,"Drummond/Drummond"," 84","Drummondville",44,7,24,24,1,3,103,372
24023,"Drummond/Drummond"," 85","Drummondville",36,16,34,30,4,4,124,499
24023,"Drummond/Drummond"," 86","Drummondville",40,14,29,30,1,3,117,383
24023,"Drummond/Drummond"," 87","Drummondville",69,6,39,36,6,1,157,430
24023,"Drummond/Drummond"," 88","Drummondville",60,12,36,26,5,2,141,404
24023,"Drummond/Drummond"," 89","Drummondville",13,5,16,13,4,1,52,297
24023,"Drummond/Drummond"," 90","Drummondville",73,11,24,30,4,0,142,329
24023,"Drummond/Drummond"," 91","Drummondville",107,8,51,96,8,2,272,543
24023,"Drummond/Drummond"," 92","Drummondville",61,9,38,35,12,2,157,369
24023,"Drummond/Drummond"," 93","Drummondville",120,18,46,54,6,6,250,360
24023,"Drummond/Drummond"," 94","Drummondville",51,10,21,41,5,0,128,349
24023,"Drummond/Drummond"," 95","Drummondville",42,3,32,33,3,2,115,412
24023,"Drummond/Drummond"," 96","Drummondville",55,10,27,36,1,5,134,400
24023,"Drummond/Drummond"," 97","Drummondville",49,10,24,22,1,2,108,344
24023,"Drummond/Drummond"," 98","Drummondville",59,9,50,50,3,0,171,478
24023,"Drummond/Drummond"," 99","Drummondville",79,14,49,65,2,3,212,504
24023,"Drummond/Drummond"," 100","Drummondville",72,11,33,38,4,2,160,434
24023,"Drummond/Drummond"," 101","Drummondville",95,9,46,45,2,6,203,422
24023,"Drummond/Drummond"," 102","Drummondville",63,3,34,26,6,3,135,359
24023,"Drummond/Drummond"," 103","Drummondville",62,7,41,20,2,2,134,322
24023,"Drummond/Drummond"," 104","Drummondville",51,9,23,40,1,3,127,393
24023,"Drummond/Drummond"," 105","Drummondville",63,10,31,42,1,4,151,410
24023,"Drummond/Drummond"," 106","Drummondville",71,13,34,32,2,4,156,412
24023,"Drummond/Drummond"," 107","Drummondville",64,16,40,37,4,2,163,359
24023,"Drummond/Drummond"," 108","Drummondville",74,12,43,47,2,3,181,384
24023,"Drummond/Drummond"," 109","Drummondville",86,10,34,50,0,2,182,383
24023,"Drummond/Drummond"," 110","Drummondville",49,2,34,17,0,0,102,427
24023,"Drummond/Drummond"," 111","Drummondville",43,14,37,38,3,8,143,448
24023,"Drummond/Drummond"," 112","Drummondville",74,12,65,51,5,3,210,482
24023,"Drummond/Drummond"," 113","Drummondville",79,3,46,61,2,4,195,432
24023,"Drummond/Drummond"," 114","Drummondville",93,8,34,73,0,2,210,409
24023,"Drummond/Drummond"," 115","Drummondville",83,9,44,37,7,7,187,419
24023,"Drummond/Drummond"," 116","Drummondville",76,15,41,51,4,6,193,401
24023,"Drummond/Drummond"," 117","Drummondville",83,9,44,60,9,5,210,458
24023,"Drummond/Drummond"," 118","Drummondville",48,3,27,28,0,5,111,335
24023,"Drummond/Drummond"," 119","Drummondville",78,12,74,61,5,2,232,552
24023,"Drummond/Drummond"," 120","Drummondville",71,7,33,50,4,6,171,438
24023,"Drummond/Drummond"," 121","Drummondville",57,8,26,26,2,5,124,347
24023,"Drummond/Drummond"," 122","Drummondville",67,5,41,35,1,1,150,466
24023,"Drummond/Drummond"," 123","Drummondville",61,8,22,33,0,5,129,404
24023,"Drummond/Drummond"," 124","Drummondville",103,8,39,46,1,3,200,523
24023,"Drummond/Drummond"," 125","Drummondville",87,10,48,55,4,2,206,449
24023,"Drummond/Drummond"," 126","Drummondville",113,13,44,87,7,4,268,367
24023,"Drummond/Drummond"," 127","Drummondville",78,7,41,57,5,7,195,426
24023,"Drummond/Drummond"," 128","Drummondville",106,6,58,56,3,5,234,477
24023,"Drummond/Drummond"," 129","Drummondville",117,9,48,54,4,0,232,425
24023,"Drummond/Drummond"," 130","Drummondville",85,12,42,52,0,2,193,459
24023,"Drummond/Drummond"," 131","Drummondville",56,4,39,27,3,3,132,352
24023,"Drummond/Drummond"," 132","Drummondville",81,10,43,54,1,0,189,455
24023,"Drummond/Drummond"," 133","Drummondville",70,8,46,52,0,4,180,388
24023,"Drummond/Drummond"," 134","Drummondville",102,12,76,66,4,3,263,551
24023,"Drummond/Drummond"," 135","Kingsey",74,8,64,40,3,2,191,349
24023,"Drummond/Drummond"," 136","Kingsey",66,3,63,40,2,0,174,267
24023,"Drummond/Drummond"," 137","Domaine-Guaybois",63,3,43,47,3,5,164,307
24023,"Drummond/Drummond"," 138","Saint-Félix-de-Kingsey",76,7,60,70,3,5,221,339
24023,"Drummond/Drummond"," 139","Drummondville",91,9,53,61,0,7,221,512
24023,"Drummond/Drummond"," 140","Drummondville",99,13,52,34,2,3,203,465
24023,"Drummond/Drummond"," 141","Drummondville",104,11,67,63,4,1,250,534
24023,"Drummond/Drummond"," 142","Drummondville",105,10,62,40,2,4,223,528
24023,"Drummond/Drummond"," 143","Drummondville",60,7,34,28,2,7,138,377
24023,"Drummond/Drummond"," 144","Drummondville",67,10,44,27,5,5,158,447
24023,"Drummond/Drummond"," 145","Drummondville",106,11,56,51,4,7,235,543
24023,"Drummond/Drummond"," 146","Drummondville",112,7,75,61,0,8,263,551
24023,"Drummond/Drummond"," 147","Drummondville",70,3,35,27,4,2,141,372
24023,"Drummond/Drummond"," 148","Drummondville",39,7,55,49,0,1,151,402
24023,"Drummond/Drummond"," 149","Drummondville",78,16,64,34,4,4,200,513
24023,"Drummond/Drummond"," 150","Drummondville",46,6,35,32,1,0,120,326
24023,"Drummond/Drummond"," 151","Drummondville",63,4,55,14,1,3,140,413
24023,"Drummond/Drummond"," 152","Drummondville",71,10,39,30,2,2,154,427
24023,"Drummond/Drummond"," 153","Drummondville",61,7,42,48,3,0,161,442
24023,"Drummond/Drummond"," 154","Drummondville",70,7,37,58,2,5,179,441
24023,"Drummond/Drummond"," 155","Drummondville",67,5,51,30,1,4,158,425
24023,"Drummond/Drummond"," 156","Drummondville",29,9,36,18,2,4,98,273
24023,"Drummond/Drummond"," 157","Drummondville",87,4,64,25,3,6,189,528
24023,"Drummond/Drummond"," 158","Drummondville",67,12,32,24,2,0,137,353
24023,"Drummond/Drummond"," 159","Drummondville",67,11,45,18,1,3,145,409
24023,"Drummond/Drummond"," 160","Drummondville",83,8,48,32,1,3,175,418
24023,"Drummond/Drummond"," 161","Drummondville",70,7,33,42,3,1,156,411
24023,"Drummond/Drummond"," 162","Drummondville",104,11,58,61,1,0,235,449
24023,"Drummond/Drummond"," 163","Drummondville",78,6,71,48,2,2,207,530
24023,"Drummond/Drummond"," 164","Drummondville",57,7,31,36,0,6,137,373
24023,"Drummond/Drummond"," 165","Drummondville",78,12,77,64,0,4,235,535
24023,"Drummond/Drummond"," 166","Drummondville",90,5,42,46,1,3,187,425
24023,"Drummond/Drummond"," 167","Drummondville",91,7,48,61,1,8,216,467
24023,"Drummond/Drummond"," 168","Drummondville",81,4,61,65,5,6,222,450
24023,"Drummond/Drummond"," 169","Drummondville",107,4,71,53,4,3,242,579
24023,"Drummond/Drummond"," 170","Drummondville",58,7,62,33,3,11,174,455
24023,"Drummond/Drummond"," 171","Drummondville",73,13,49,41,0,9,185,416
24023,"Drummond/Drummond"," 172","Drummondville",66,11,76,20,2,5,180,409
24023,"Drummond/Drummond"," 173","Saint-Edmond-de-Grantham",82,7,59,37,0,0,185,322
24023,"Drummond/Drummond"," 174","Saint-Edmond-de-Grantham",70,14,50,46,2,4,186,290
24023,"Drummond/Drummond"," 175","Drummondville",70,13,25,31,1,3,143,329
24023,"Drummond/Drummond"," 176","Drummondville",91,6,43,54,2,2,198,408
24023,"Drummond/Drummond"," 177","Drummondville",88,11,49,66,6,3,223,479
24023,"Drummond/Drummond"," 178","Drummondville",77,5,34,38,5,6,165,387
24023,"Drummond/Drummond"," 179","Drummondville",74,2,30,40,1,3,150,381
24023,"Drummond/Drummond"," 180","Drummondville",135,8,59,78,3,2,285,552
24023,"Drummond/Drummond"," 181","Drummondville",67,11,54,29,2,3,166,414
24023,"Drummond/Drummond"," 182","Saint-Germain-de-Grantham",97,10,53,40,5,7,212,388
24023,"Drummond/Drummond"," 183","Saint-Germain-de-Grantham",126,5,64,69,3,5,272,443
24023,"Drummond/Drummond"," 184","Saint-Germain-de-Grantham",157,11,113,63,4,4,352,518
24023,"Drummond/Drummond"," 185","Saint-Germain-de-Grantham",108,78,3,49,6,2,246,452
24023,"Drummond/Drummond"," 186","Saint-Guillaume",126,8,61,38,4,2,239,406
24023,"Drummond/Drummond"," 187A","Saint-Guillaume",106,12,62,42,2,7,231,411
24023,"Drummond/Drummond"," 187B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,22
24023,"Drummond/Drummond"," 188","Saint-Guillaume",99,7,62,43,6,5,222,360
24023,"Drummond/Drummond"," 189","Saint-Germain-de-Grantham",100,6,61,38,1,4,210,428
24023,"Drummond/Drummond"," 190","Saint-Germain-de-Grantham",92,7,53,60,2,3,217,395
24023,"Drummond/Drummond"," 191","Saint-Germain-de-Grantham",130,5,86,58,6,6,291,485
24023,"Drummond/Drummond"," 192","Saint-Germain-de-Grantham",81,6,41,34,2,0,164,317
24023,"Drummond/Drummond"," 193","Saint-Germain-de-Grantham",103,4,53,41,8,1,210,399
24023,"Drummond/Drummond"," 194","L'Avenir",95,8,55,58,6,7,229,412
24023,"Drummond/Drummond"," 195","L'Avenir",92,8,71,39,7,1,218,361
24023,"Drummond/Drummond"," 196","L'Avenir",92,14,85,59,1,8,259,412
24023,"Drummond/Drummond"," 197","Wickham",91,65,6,40,2,7,211,386
24023,"Drummond/Drummond"," 198","Wickham",61,8,58,32,0,7,166,374
24023,"Drummond/Drummond"," 199","Wickham",92,10,42,55,3,0,202,344
24023,"Drummond/Drummond"," 200","Wickham",96,17,50,52,3,1,219,363
24023,"Drummond/Drummond"," 201","Wickham",78,8,66,29,3,3,187,311
24023,"Drummond/Drummond"," 202","Wickham",73,7,61,56,5,3,205,398
24023,"Drummond/Drummond"," 203","Saint-Eugène",115,5,62,16,3,0,201,360
24023,"Drummond/Drummond"," 204","Saint-Eugène",73,7,52,38,1,0,171,300
24023,"Drummond/Drummond"," 205","Saint-Eugène",76,5,48,35,1,5,170,312
24023,"Drummond/Drummond"," 206","Lefebvre",74,5,78,49,9,7,222,353
24023,"Drummond/Drummond"," 207","Lefebvre",83,15,85,51,9,9,252,392
24023,"Drummond/Drummond"," 208","Durham-Sud",99,12,67,64,6,1,249,382
24023,"Drummond/Drummond"," 209","Durham-Sud",104,15,56,72,3,2,252,427
24023,"Drummond/Drummond"," 400A","Drummondville",55,6,13,99,0,9,182,247
24023,"Drummond/Drummond"," 400B","Drummondville",40,3,16,93,1,8,161,222
24023,"Drummond/Drummond"," 401A","Drummondville",59,5,13,84,1,6,168,218
24023,"Drummond/Drummond"," 401B","Drummondville",50,1,14,90,2,8,165,220
24023,"Drummond/Drummond"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,63
24023,"Drummond/Drummond"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,36
24023,"Drummond/Drummond"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,79
24023,"Drummond/Drummond"," 503","Mobile poll/Bureau itinérant",25,1,5,23,1,1,56,322
24023,"Drummond/Drummond"," 504","Mobile poll/Bureau itinérant",36,8,8,26,3,9,90,61
24023,"Drummond/Drummond"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,93
24023,"Drummond/Drummond"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,90
24023,"Drummond/Drummond"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,34
24023,"Drummond/Drummond"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,45
24023,"Drummond/Drummond"," 509","Drummondville",Combined with No./Résultats combinés à ceux du n°58,,,,,,,3
24023,"Drummond/Drummond"," 510","Mobile poll/Bureau itinérant",74,3,11,40,2,13,143,90
24023,"Drummond/Drummond"," 511","Mobile poll/Bureau itinérant",24,1,9,28,3,2,67,86
24023,"Drummond/Drummond"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,61
24023,"Drummond/Drummond"," 513","Mobile poll/Bureau itinérant",43,6,16,52,3,7,127,155
24023,"Drummond/Drummond"," 514","Drummondville",Combined with No./Résultats combinés à ceux du n°92,,,,,,,22
24023,"Drummond/Drummond"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,57
24023,"Drummond/Drummond"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,65
24023,"Drummond/Drummond"," 600","Notre-Dame-du-Bon-Conseil",214,16,157,163,6,15,571,
24023,"Drummond/Drummond"," 601","Drummondville",527,22,164,447,9,17,1186,
24023,"Drummond/Drummond"," 602","Notre-Dame-du-Bon-Conseil",119,2,55,75,2,3,256,
24023,"Drummond/Drummond"," 603","Saint-Cyrille-de-Wendover",296,28,187,220,6,8,745,
24023,"Drummond/Drummond"," 604","Drummondville",500,46,234,327,9,15,1131,
24023,"Drummond/Drummond"," 605","Drummondville",585,38,239,429,13,17,1321,
24023,"Drummond/Drummond"," 606","Drummondville",416,14,148,330,10,12,930,
24023,"Drummond/Drummond"," 607","Drummondville",438,54,145,397,10,25,1069,
24023,"Drummond/Drummond"," 608","Drummondville",343,29,102,217,7,9,707,
24023,"Drummond/Drummond"," 609","Drummondville",196,21,49,150,1,7,424,
24023,"Drummond/Drummond"," 610","Drummondville",225,30,90,166,4,13,528,
24023,"Drummond/Drummond"," 611","Drummondville",426,42,218,348,6,7,1047,
24023,"Drummond/Drummond"," 612","Drummondville",572,38,171,393,11,15,1200,
24023,"Drummond/Drummond"," 613","Drummondville",317,35,114,252,5,16,739,
24023,"Drummond/Drummond"," 614","Drummondville",242,20,73,253,5,8,601,
24023,"Drummond/Drummond"," 615","Drummondville",524,41,146,571,5,26,1313,
24023,"Drummond/Drummond"," 616","Drummondville",399,36,161,364,4,9,973,
24023,"Drummond/Drummond"," 617","Drummondville",487,24,210,344,14,12,1091,
24023,"Drummond/Drummond"," 618","Saint-Germain-de-Grantham",231,29,104,155,0,5,524,
24023,"Drummond/Drummond"," 619","Wickham",293,24,129,165,15,4,630,
24023,"Drummond/Drummond",,Group 1/Groupe 1, 77,25,39,81,3,18,243,68
24023,"Drummond/Drummond",,Group 2/Groupe 2, 695,75,227,557,14,29,1597,
