Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Angie Bonazzo,Jodie Capling,Todd Doherty,Clinton Emslie,Rudy Sans,Kenneth B. Thomson,Jake Wiens,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59004,"Cariboo--Prince George/Cariboo--Prince George"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,,,24
59004,"Cariboo--Prince George/Cariboo--Prince George"," 600","Vanderhoof",61,15,1379,435,18,5,17,8,1938,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 601","Stony Creek 1--Laketown 3",Combined with No./Résultats combinés à ceux du n°600,,,,,,,,,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 602","Prince George",111,42,898,758,8,1,4,5,1827,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 603","Prince George",57,12,351,317,5,2,2,1,747,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 604","Prince George",146,24,726,664,12,3,3,2,1580,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 605","Prince George",67,18,710,550,7,5,4,3,1364,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 606","Prince George",70,23,597,469,5,4,3,6,1177,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 607","Prince George",57,24,897,485,9,1,1,2,1476,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 608","Prince George",27,4,524,177,3,1,1,0,737,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 609","Quesnel--Nazco 20",4,3,168,52,2,0,0,0,229,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 610","Kluskus 1",No poll held/Pas de scrutin,,,,,,,,,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 611","Betty Creek 18--Salmon River Meadow 7",Combined with No./Résultats combinés à ceux du n°609,,,,,,,,,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 612","Nazko 20",Combined with No./Résultats combinés à ceux du n°609,,,,,,,,,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 613","Quesnel",31,3,297,190,1,0,1,0,523,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 614","Quesnel",55,19,478,328,3,4,4,10,901,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 615","Quesnel",37,8,520,209,3,1,1,1,780,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 616","Cariboo A",23,2,290,211,2,1,0,0,529,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 617","Quesnel 1--Dragon Lake 3",Combined with No./Résultats combinés à ceux du n°616,,,,,,,,,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 618","Quesnel",35,9,462,207,4,1,0,0,718,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 619","Alexandria",Combined with No./Résultats combinés à ceux du n°618,,,,,,,,,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 620","Dugan Lake",21,6,400,130,3,1,0,0,561,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 621","Soda Creek 1--Deep Creek 2",Combined with No./Résultats combinés à ceux du n°620,,,,,,,,,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 622","Chilanko Forks--Anahim Lake",1,1,19,23,0,0,0,0,44,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 623","Squinas 2--Ulkatcho 14A",Combined with No./Résultats combinés à ceux du n°622,,,,,,,,,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 624","Redstone Flat 1",Combined with No./Résultats combinés à ceux du n°622,,,,,,,,,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 625","Chilco Lake 1A",Combined with No./Résultats combinés à ceux du n°622,,,,,,,,,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 626","Anahim's Flat 1",Combined with No./Résultats combinés à ceux du n°622,,,,,,,,,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 627","Stone 1",Combined with No./Résultats combinés à ceux du n°622,,,,,,,,,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 628","Toosey 1",Combined with No./Résultats combinés à ceux du n°622,,,,,,,,,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 629","Alexandria",Combined with No./Résultats combinés à ceux du n°622,,,,,,,,,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 630","Williams Lake",68,24,797,459,5,4,3,6,1366,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 631","Williams Lake",73,34,780,449,10,2,1,11,1360,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 632","Williams Lake 1",Combined with No./Résultats combinés à ceux du n°633,,,,,,,,,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 633","150 Mile House",21,18,497,177,6,0,0,0,719,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 634","Alkali Lake",Combined with No./Résultats combinés à ceux du n°633,,,,,,,,,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 635","Dog Creek 1",Combined with No./Résultats combinés à ceux du n°633,,,,,,,,,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 636","100 Mile House--70 Mile House",35,12,342,235,6,3,1,0,634,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 637","Lac la Hache ",66,9,607,358,11,7,2,6,1066,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 638","Windy Mouth 7",Combined with No./Résultats combinés à ceux du n°637,,,,,,,,,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 639","Canim Lake 4",Combined with No./Résultats combinés à ceux du n°637,,,,,,,,,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 640","Canim Lake 1",Combined with No./Résultats combinés à ceux du n°641,,,,,,,,,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 641","Canim Lake",33,2,255,143,1,2,1,0,437,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 642","Lone Butte",38,10,402,168,5,3,1,0,627,
59004,"Cariboo--Prince George/Cariboo--Prince George",,Group 1/Groupe 1, 39,11,378,281,4,6,4,67,790,166
59004,"Cariboo--Prince George/Cariboo--Prince George",,Group 2/Groupe 2, 328,111,3800,2125,38,17,12,63,6494,
