Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Albert Batten,Serge Dubord,Robert Fleming,Jean-Denis Garon,Mario Guay,Christian Montpetit,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24047,"Mirabel/Mirabel"," 49","Mirabel",6,35,43,81,2,6,2,175,479
24047,"Mirabel/Mirabel"," 50","Mirabel",1,73,65,51,9,3,5,207,575
24047,"Mirabel/Mirabel"," 51A","Mirabel",0,20,40,17,0,0,1,78,310
24047,"Mirabel/Mirabel"," 51B","Mirabel",7,22,49,21,0,0,2,101,312
24047,"Mirabel/Mirabel"," 52A","Mirabel",2,27,42,40,0,1,0,112,378
24047,"Mirabel/Mirabel"," 52B","Mirabel",6,38,60,26,2,0,5,137,375
24047,"Mirabel/Mirabel"," 53","Mirabel",5,49,51,63,2,0,2,172,451
24047,"Mirabel/Mirabel"," 54","Mirabel",5,44,90,47,1,0,2,189,513
24047,"Mirabel/Mirabel"," 55","Mirabel",5,57,74,70,5,1,2,214,477
24047,"Mirabel/Mirabel"," 56","Mirabel",4,66,58,78,2,1,1,210,439
24047,"Mirabel/Mirabel"," 57","Mirabel",4,39,97,111,1,3,7,262,499
24047,"Mirabel/Mirabel"," 58","Mirabel",4,39,77,86,4,1,0,211,443
24047,"Mirabel/Mirabel"," 59","Mirabel",10,73,106,60,1,1,7,258,511
24047,"Mirabel/Mirabel"," 60","Mirabel",3,64,78,48,0,0,1,194,409
24047,"Mirabel/Mirabel"," 61","Mirabel",2,43,69,57,2,4,0,177,365
24047,"Mirabel/Mirabel"," 62","Mirabel",7,47,54,51,1,0,1,161,370
24047,"Mirabel/Mirabel"," 63","Mirabel",1,61,88,80,1,1,1,233,517
24047,"Mirabel/Mirabel"," 64","Mirabel",3,50,35,63,1,4,0,156,403
24047,"Mirabel/Mirabel"," 65","Mirabel",4,42,67,90,3,2,1,209,470
24047,"Mirabel/Mirabel"," 66","Mirabel",6,48,62,62,3,2,3,186,502
24047,"Mirabel/Mirabel"," 67","Mirabel",1,55,59,86,1,1,2,205,445
24047,"Mirabel/Mirabel"," 68","Mirabel",2,40,47,54,0,0,1,144,400
24047,"Mirabel/Mirabel"," 69","Mirabel",1,43,48,77,2,2,3,176,454
24047,"Mirabel/Mirabel"," 70","Mirabel",2,31,22,59,1,0,2,117,261
24047,"Mirabel/Mirabel"," 71","Mirabel",3,27,51,34,6,1,3,125,337
24047,"Mirabel/Mirabel"," 72","Mirabel",5,26,39,44,0,0,1,115,281
24047,"Mirabel/Mirabel"," 73","Mirabel",3,39,61,84,1,0,5,193,430
24047,"Mirabel/Mirabel"," 74","Mirabel",8,61,51,105,4,2,1,232,511
24047,"Mirabel/Mirabel"," 75","Mirabel",3,41,68,108,1,0,5,226,516
24047,"Mirabel/Mirabel"," 76","Mirabel",3,71,61,107,4,2,8,256,547
24047,"Mirabel/Mirabel"," 77","Mirabel",7,47,72,126,2,0,0,254,511
24047,"Mirabel/Mirabel"," 78","Mirabel",4,46,35,92,5,0,1,183,446
24047,"Mirabel/Mirabel"," 79","Mirabel",8,56,31,71,3,0,7,176,458
24047,"Mirabel/Mirabel"," 80","Mirabel",8,41,65,79,1,2,5,201,392
24047,"Mirabel/Mirabel"," 81","Mirabel",6,40,36,98,0,1,8,189,450
24047,"Mirabel/Mirabel"," 82","Mirabel",3,53,57,100,5,0,2,220,400
24047,"Mirabel/Mirabel"," 83","Mirabel",3,91,84,75,3,0,2,258,510
24047,"Mirabel/Mirabel"," 84","Mirabel",8,27,29,101,3,0,3,171,439
24047,"Mirabel/Mirabel"," 85","Mirabel",5,73,84,140,6,2,2,312,518
24047,"Mirabel/Mirabel"," 86","Mirabel",4,48,52,69,4,0,3,180,343
24047,"Mirabel/Mirabel"," 87","Mirabel",6,45,55,67,1,3,5,182,338
24047,"Mirabel/Mirabel"," 88","Mirabel",9,56,37,112,4,3,2,223,524
24047,"Mirabel/Mirabel"," 89","Mirabel",7,77,89,93,0,1,1,268,559
24047,"Mirabel/Mirabel"," 90","Mirabel",2,54,46,104,4,0,7,217,505
24047,"Mirabel/Mirabel"," 91","Mirabel",2,58,56,68,1,0,4,189,394
24047,"Mirabel/Mirabel"," 92","Mirabel",7,46,63,106,6,2,6,236,491
24047,"Mirabel/Mirabel"," 93","Mirabel",10,60,31,51,3,2,2,159,382
24047,"Mirabel/Mirabel"," 94","Mirabel",3,56,81,98,4,0,3,245,427
24047,"Mirabel/Mirabel"," 95","Mirabel",1,56,67,97,6,1,4,232,523
24047,"Mirabel/Mirabel"," 96","Mirabel",5,54,79,120,4,2,4,268,571
24047,"Mirabel/Mirabel"," 97","Mirabel",1,37,36,73,4,2,0,153,392
24047,"Mirabel/Mirabel"," 98","Mirabel",5,49,38,127,5,0,1,225,451
24047,"Mirabel/Mirabel"," 99","Mirabel",5,60,49,124,5,0,6,249,419
24047,"Mirabel/Mirabel"," 100","Mirabel",1,54,54,71,4,0,3,187,301
24047,"Mirabel/Mirabel"," 101","Mirabel",2,53,53,121,1,4,9,243,317
24047,"Mirabel/Mirabel"," 102","Mirabel",5,64,41,121,7,3,4,245,411
24047,"Mirabel/Mirabel"," 103","Mirabel",3,80,41,139,1,9,10,283,486
24047,"Mirabel/Mirabel"," 104","Mirabel",3,61,52,127,7,4,2,256,407
24047,"Mirabel/Mirabel"," 105A","Sainte-Marthe-sur-le-Lac",7,47,70,67,0,0,2,193,390
24047,"Mirabel/Mirabel"," 105B","Sainte-Marthe-sur-le-Lac",4,58,78,23,1,0,3,167,400
24047,"Mirabel/Mirabel"," 106","Sainte-Marthe-sur-le-Lac",7,61,93,74,1,2,1,239,577
24047,"Mirabel/Mirabel"," 107","Sainte-Marthe-sur-le-Lac",6,55,84,81,1,0,3,230,537
24047,"Mirabel/Mirabel"," 108","Sainte-Marthe-sur-le-Lac",3,53,82,104,1,2,2,247,549
24047,"Mirabel/Mirabel"," 109A","Sainte-Marthe-sur-le-Lac",6,29,69,59,4,0,1,168,322
24047,"Mirabel/Mirabel"," 109B","Sainte-Marthe-sur-le-Lac",2,37,51,45,1,1,2,139,350
24047,"Mirabel/Mirabel"," 110A","Sainte-Marthe-sur-le-Lac",3,38,40,40,3,0,4,128,308
24047,"Mirabel/Mirabel"," 110B","Sainte-Marthe-sur-le-Lac",5,29,36,39,2,0,1,112,313
24047,"Mirabel/Mirabel"," 111A","Sainte-Marthe-sur-le-Lac",6,41,48,51,1,1,2,150,302
24047,"Mirabel/Mirabel"," 111B","Sainte-Marthe-sur-le-Lac",3,27,49,34,1,0,4,118,295
24047,"Mirabel/Mirabel"," 112","Sainte-Marthe-sur-le-Lac",6,32,42,65,2,3,2,152,378
24047,"Mirabel/Mirabel"," 113A","Sainte-Marthe-sur-le-Lac",7,30,67,56,5,1,2,168,303
24047,"Mirabel/Mirabel"," 113B","Sainte-Marthe-sur-le-Lac",3,43,72,72,1,1,1,193,306
24047,"Mirabel/Mirabel"," 114","Sainte-Marthe-sur-le-Lac",4,67,92,64,1,2,1,231,526
24047,"Mirabel/Mirabel"," 115","Sainte-Marthe-sur-le-Lac",1,50,97,75,0,0,5,228,512
24047,"Mirabel/Mirabel"," 116","Sainte-Marthe-sur-le-Lac",5,30,71,55,4,2,3,170,436
24047,"Mirabel/Mirabel"," 117","Sainte-Marthe-sur-le-Lac",7,58,132,82,2,2,8,291,550
24047,"Mirabel/Mirabel"," 118","Sainte-Marthe-sur-le-Lac",7,52,84,102,1,1,2,249,475
24047,"Mirabel/Mirabel"," 119","Sainte-Marthe-sur-le-Lac",9,58,70,86,6,0,3,232,487
24047,"Mirabel/Mirabel"," 120","Sainte-Marthe-sur-le-Lac",9,49,48,94,5,2,0,207,484
24047,"Mirabel/Mirabel"," 121","Sainte-Marthe-sur-le-Lac",7,42,107,75,3,0,0,234,463
24047,"Mirabel/Mirabel"," 122","Sainte-Marthe-sur-le-Lac",4,56,99,67,5,0,6,237,512
24047,"Mirabel/Mirabel"," 123","Sainte-Marthe-sur-le-Lac",2,43,48,74,2,0,2,171,406
24047,"Mirabel/Mirabel"," 124","Sainte-Marthe-sur-le-Lac",8,42,44,58,5,4,1,162,430
24047,"Mirabel/Mirabel"," 125","Sainte-Marthe-sur-le-Lac",3,56,81,82,3,0,2,227,562
24047,"Mirabel/Mirabel"," 126","Sainte-Marthe-sur-le-Lac",6,37,50,51,2,1,1,148,373
24047,"Mirabel/Mirabel"," 127","Sainte-Marthe-sur-le-Lac",4,43,47,53,4,0,3,154,402
24047,"Mirabel/Mirabel"," 128","Sainte-Marthe-sur-le-Lac",11,55,53,73,2,1,2,197,496
24047,"Mirabel/Mirabel"," 129","Sainte-Marthe-sur-le-Lac",5,42,44,62,2,2,3,160,404
24047,"Mirabel/Mirabel"," 130","Sainte-Marthe-sur-le-Lac",7,58,63,81,5,2,2,218,500
24047,"Mirabel/Mirabel"," 131","Sainte-Marthe-sur-le-Lac",1,43,40,61,4,2,3,154,419
24047,"Mirabel/Mirabel"," 132","Sainte-Marthe-sur-le-Lac",8,40,45,63,7,4,7,174,440
24047,"Mirabel/Mirabel"," 133","Saint-Eustache",2,38,29,47,0,2,3,121,262
24047,"Mirabel/Mirabel"," 134","Saint-Joseph-du-Lac",4,63,81,108,6,1,5,268,484
24047,"Mirabel/Mirabel"," 135","Saint-Joseph-du-Lac",2,44,87,94,6,0,3,236,407
24047,"Mirabel/Mirabel"," 136","Saint-Joseph-du-Lac",2,26,60,63,4,2,3,160,353
24047,"Mirabel/Mirabel"," 137","Saint-Joseph-du-Lac",5,40,76,88,2,2,3,216,395
24047,"Mirabel/Mirabel"," 138A","Sainte-Marthe-sur-le-Lac",4,56,44,33,3,0,1,141,298
24047,"Mirabel/Mirabel"," 138B","Sainte-Marthe-sur-le-Lac",4,44,59,35,1,0,2,145,298
24047,"Mirabel/Mirabel"," 139A","Sainte-Marthe-sur-le-Lac",4,50,38,36,1,0,3,132,305
24047,"Mirabel/Mirabel"," 139B","Sainte-Marthe-sur-le-Lac",8,41,53,55,2,0,2,161,326
24047,"Mirabel/Mirabel"," 140","Sainte-Marthe-sur-le-Lac",0,34,30,57,2,1,0,124,331
24047,"Mirabel/Mirabel"," 141","Saint-Joseph-du-Lac",11,49,78,117,3,2,3,263,520
