Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Vance Badawey,Natashia Bergen,Fred Davies,Chantal McCollum,Peter Taras,David Vedova,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35071,"Niagara South/Niagara-Sud"," 35","Thorold",80,6,112,11,4,1,2,216,345
35071,"Niagara South/Niagara-Sud"," 36","Welland",21,0,73,5,0,0,0,99,215
35071,"Niagara South/Niagara-Sud"," 37","Welland",23,1,92,2,2,1,0,121,261
35071,"Niagara South/Niagara-Sud"," 38","Thorold",46,1,115,9,3,0,0,174,436
35071,"Niagara South/Niagara-Sud"," 39","Thorold",56,0,96,8,0,0,0,160,478
35071,"Niagara South/Niagara-Sud"," 40","Thorold",62,2,73,4,1,0,1,143,400
35071,"Niagara South/Niagara-Sud"," 41","Thorold",60,0,51,2,0,0,0,113,363
35071,"Niagara South/Niagara-Sud"," 42","Thorold",59,2,99,1,2,0,2,165,448
35071,"Niagara South/Niagara-Sud"," 43","Thorold",56,0,70,7,0,0,0,133,400
35071,"Niagara South/Niagara-Sud"," 44","Welland",75,4,97,11,2,1,0,190,512
35071,"Niagara South/Niagara-Sud"," 45","Welland",93,5,101,14,2,2,0,217,559
35071,"Niagara South/Niagara-Sud"," 46","Welland",73,0,64,9,2,0,0,148,535
35071,"Niagara South/Niagara-Sud"," 47","Welland",109,4,126,6,3,2,0,250,566
35071,"Niagara South/Niagara-Sud"," 48","Welland",131,0,96,14,2,1,1,245,560
35071,"Niagara South/Niagara-Sud"," 49","Welland",86,0,101,10,2,0,2,201,447
35071,"Niagara South/Niagara-Sud"," 50","Welland",121,4,67,3,0,0,1,196,531
35071,"Niagara South/Niagara-Sud"," 51","Welland",82,3,73,5,1,0,0,164,441
35071,"Niagara South/Niagara-Sud"," 52","Welland",100,1,77,5,2,1,2,188,506
35071,"Niagara South/Niagara-Sud"," 53","Welland",80,4,118,20,6,0,0,228,559
35071,"Niagara South/Niagara-Sud"," 54","Welland",114,4,107,15,0,0,0,240,543
35071,"Niagara South/Niagara-Sud"," 55","Welland",98,6,104,23,9,1,0,241,601
35071,"Niagara South/Niagara-Sud"," 56","Welland",98,1,119,15,3,0,0,236,571
35071,"Niagara South/Niagara-Sud"," 57","Welland",111,0,105,8,2,0,0,226,491
35071,"Niagara South/Niagara-Sud"," 58","Welland",95,3,96,11,2,1,3,211,490
35071,"Niagara South/Niagara-Sud"," 59","Welland",84,0,95,14,0,0,2,195,391
35071,"Niagara South/Niagara-Sud"," 60","Welland",106,1,129,20,3,1,0,260,538
35071,"Niagara South/Niagara-Sud"," 61","Welland",79,4,106,11,3,0,0,203,457
35071,"Niagara South/Niagara-Sud"," 62","Welland",67,3,135,21,3,1,0,230,515
35071,"Niagara South/Niagara-Sud"," 63","Welland",56,1,62,19,3,2,2,145,384
35071,"Niagara South/Niagara-Sud"," 64","Welland",82,3,92,13,1,0,0,191,454
35071,"Niagara South/Niagara-Sud"," 65","Welland",77,1,71,11,1,0,2,163,345
35071,"Niagara South/Niagara-Sud"," 66","Welland",103,1,118,9,1,1,1,234,484
35071,"Niagara South/Niagara-Sud"," 67","Welland",141,4,116,9,4,0,0,274,566
35071,"Niagara South/Niagara-Sud"," 68","Welland",91,1,81,10,0,0,0,183,388
35071,"Niagara South/Niagara-Sud"," 69","Welland",98,3,112,23,1,3,1,241,483
35071,"Niagara South/Niagara-Sud"," 70","Welland",100,5,101,10,2,2,0,220,428
35071,"Niagara South/Niagara-Sud"," 71","Welland",72,0,115,7,1,1,1,197,347
35071,"Niagara South/Niagara-Sud"," 72","Welland",102,3,129,20,2,0,2,258,528
35071,"Niagara South/Niagara-Sud"," 73","Fort Erie",72,0,113,8,9,0,1,203,327
35071,"Niagara South/Niagara-Sud"," 74","Fort Erie",85,2,154,13,5,0,5,264,400
35071,"Niagara South/Niagara-Sud"," 75","Fort Erie",79,2,126,8,6,1,1,223,421
35071,"Niagara South/Niagara-Sud"," 76","Welland",81,3,109,11,1,0,1,206,453
35071,"Niagara South/Niagara-Sud"," 77","Welland",103,2,98,14,2,0,0,219,433
35071,"Niagara South/Niagara-Sud"," 78","Welland",104,4,109,16,1,1,4,239,484
35071,"Niagara South/Niagara-Sud"," 79","Welland",79,5,131,11,4,1,0,231,552
35071,"Niagara South/Niagara-Sud"," 80","Welland",147,4,92,12,0,0,2,257,537
35071,"Niagara South/Niagara-Sud"," 81","Welland",93,1,84,29,5,1,1,214,482
35071,"Niagara South/Niagara-Sud"," 82","Welland",108,1,115,14,3,2,2,245,558
35071,"Niagara South/Niagara-Sud"," 83","Welland",109,1,102,9,2,0,0,223,533
35071,"Niagara South/Niagara-Sud"," 84","Welland",84,3,97,10,3,2,1,200,455
35071,"Niagara South/Niagara-Sud"," 85","Welland",98,3,131,13,1,2,0,248,524
35071,"Niagara South/Niagara-Sud"," 86","Welland",132,5,115,9,6,1,1,269,547
35071,"Niagara South/Niagara-Sud"," 87","Welland",67,0,132,18,3,0,0,220,573
35071,"Niagara South/Niagara-Sud"," 88","Welland",87,6,106,13,6,1,1,220,524
35071,"Niagara South/Niagara-Sud"," 89","Welland",63,3,90,11,1,1,0,169,467
35071,"Niagara South/Niagara-Sud"," 90","Welland",98,2,112,36,6,1,2,257,593
35071,"Niagara South/Niagara-Sud"," 91","Welland",64,4,63,8,4,2,0,145,388
35071,"Niagara South/Niagara-Sud"," 92","Welland",64,2,99,23,3,0,1,192,512
35071,"Niagara South/Niagara-Sud"," 93","Welland",57,2,71,8,6,1,0,145,468
35071,"Niagara South/Niagara-Sud"," 94","Welland",72,2,91,10,8,1,0,184,529
35071,"Niagara South/Niagara-Sud"," 95","Welland",74,5,92,12,3,0,3,189,512
35071,"Niagara South/Niagara-Sud"," 96","Welland",65,4,90,20,5,0,4,188,513
35071,"Niagara South/Niagara-Sud"," 97","Welland",76,4,110,13,7,2,1,213,510
35071,"Niagara South/Niagara-Sud"," 98","Welland",72,1,67,13,8,2,1,164,474
35071,"Niagara South/Niagara-Sud"," 99","Welland",52,2,63,11,6,1,2,137,433
35071,"Niagara South/Niagara-Sud"," 100","Welland",77,0,90,13,2,0,0,182,412
35071,"Niagara South/Niagara-Sud"," 101","Welland",94,1,76,15,0,0,1,187,433
35071,"Niagara South/Niagara-Sud"," 102","Welland",98,3,117,22,7,0,2,249,615
35071,"Niagara South/Niagara-Sud"," 103","Welland",50,3,117,5,2,1,0,178,442
35071,"Niagara South/Niagara-Sud"," 104","Welland",97,3,71,17,4,3,1,196,507
35071,"Niagara South/Niagara-Sud"," 105","Welland",51,1,104,8,1,2,1,168,398
35071,"Niagara South/Niagara-Sud"," 106","Welland",102,2,108,19,2,2,3,238,574
35071,"Niagara South/Niagara-Sud"," 107","Welland",69,2,119,6,3,0,0,199,405
35071,"Niagara South/Niagara-Sud"," 108","Welland",123,0,126,11,2,1,1,264,537
35071,"Niagara South/Niagara-Sud"," 109","Welland",121,2,116,7,3,1,0,250,551
35071,"Niagara South/Niagara-Sud"," 110","Welland",100,2,107,13,1,0,1,224,455
35071,"Niagara South/Niagara-Sud"," 111","Welland",71,0,84,3,0,0,1,159,371
35071,"Niagara South/Niagara-Sud"," 112","Welland",68,1,87,2,5,0,0,163,432
35071,"Niagara South/Niagara-Sud"," 113","Welland",122,5,112,5,5,1,0,250,584
35071,"Niagara South/Niagara-Sud"," 114","Welland",77,0,76,8,0,1,0,162,421
35071,"Niagara South/Niagara-Sud"," 115","Welland",29,0,59,1,2,0,1,92,254
35071,"Niagara South/Niagara-Sud"," 116","Fort Erie",53,2,59,2,2,0,0,118,312
35071,"Niagara South/Niagara-Sud"," 117","Fort Erie",38,2,77,5,4,0,0,126,370
35071,"Niagara South/Niagara-Sud"," 118","Fort Erie",78,0,99,11,3,0,0,191,575
35071,"Niagara South/Niagara-Sud"," 119","Fort Erie",59,2,107,16,4,2,1,191,560
35071,"Niagara South/Niagara-Sud"," 120","Fort Erie",39,0,73,5,2,0,1,120,470
35071,"Niagara South/Niagara-Sud"," 121","Welland",74,6,83,18,1,1,1,184,495
35071,"Niagara South/Niagara-Sud"," 122","Welland",71,1,76,21,2,1,1,173,495
35071,"Niagara South/Niagara-Sud"," 123","Welland",44,5,87,15,7,1,0,159,498
35071,"Niagara South/Niagara-Sud"," 124","Welland",72,3,76,14,3,2,0,170,493
35071,"Niagara South/Niagara-Sud"," 125","Welland",69,1,104,25,0,2,0,201,556
35071,"Niagara South/Niagara-Sud"," 126A","Welland",57,4,88,11,2,0,0,162,497
35071,"Niagara South/Niagara-Sud"," 126B","Mobile poll/Bureau itinérant",88,1,28,4,0,0,1,122,147
35071,"Niagara South/Niagara-Sud"," 127","Welland",44,0,61,10,4,1,3,123,451
35071,"Niagara South/Niagara-Sud"," 128","Welland",69,0,117,14,10,0,1,211,555
35071,"Niagara South/Niagara-Sud"," 129","Fort Erie",41,0,60,8,9,1,0,119,360
35071,"Niagara South/Niagara-Sud"," 130","Fort Erie",59,1,62,6,8,1,0,137,469
35071,"Niagara South/Niagara-Sud"," 131","Fort Erie",60,3,97,13,3,0,2,178,537
35071,"Niagara South/Niagara-Sud"," 132","Welland",71,3,91,7,4,2,0,178,470
35071,"Niagara South/Niagara-Sud"," 133","Welland",61,3,81,13,2,1,2,163,419
35071,"Niagara South/Niagara-Sud"," 134","Welland",60,4,92,20,4,0,1,181,522
35071,"Niagara South/Niagara-Sud"," 135","Welland",47,0,86,4,5,0,0,142,384
35071,"Niagara South/Niagara-Sud"," 136","Welland",71,1,116,24,1,3,2,218,529
35071,"Niagara South/Niagara-Sud"," 137","Welland",84,0,137,22,11,1,0,255,657
35071,"Niagara South/Niagara-Sud"," 138","Welland",66,2,83,18,5,0,0,174,531
35071,"Niagara South/Niagara-Sud"," 139","Welland",64,0,112,18,3,2,0,199,542
35071,"Niagara South/Niagara-Sud"," 140","Welland",79,5,133,15,3,0,2,237,616
35071,"Niagara South/Niagara-Sud"," 141","Fort Erie",101,0,116,10,6,2,1,236,546
35071,"Niagara South/Niagara-Sud"," 142","Fort Erie",68,1,93,14,0,0,1,177,597
35071,"Niagara South/Niagara-Sud"," 143","Fort Erie",55,2,101,8,9,1,1,177,397
35071,"Niagara South/Niagara-Sud"," 144","Fort Erie",56,1,103,12,5,0,0,177,443
35071,"Niagara South/Niagara-Sud"," 145","Fort Erie",85,1,131,16,5,1,0,239,515
35071,"Niagara South/Niagara-Sud"," 146","Fort Erie",77,4,116,11,6,2,0,216,466
35071,"Niagara South/Niagara-Sud"," 147","Fort Erie",67,3,126,6,7,2,0,211,424
35071,"Niagara South/Niagara-Sud"," 148","Fort Erie",23,0,94,8,2,0,0,127,259
35071,"Niagara South/Niagara-Sud"," 149","Fort Erie",58,2,84,6,1,0,0,151,364
35071,"Niagara South/Niagara-Sud"," 150","Fort Erie",71,2,94,16,4,0,0,187,576
35071,"Niagara South/Niagara-Sud"," 151","Fort Erie",53,0,79,9,3,1,0,145,362
35071,"Niagara South/Niagara-Sud"," 152","Welland",78,1,93,17,3,1,0,193,490
35071,"Niagara South/Niagara-Sud"," 153","Welland",52,3,70,7,3,0,0,135,459
35071,"Niagara South/Niagara-Sud"," 154","Welland",49,3,104,16,3,1,0,176,453
35071,"Niagara South/Niagara-Sud"," 155","Welland",64,1,80,12,1,0,0,158,371
35071,"Niagara South/Niagara-Sud"," 156","Welland",44,1,84,11,7,0,1,148,397
35071,"Niagara South/Niagara-Sud"," 157","Welland",58,3,92,7,2,1,1,164,455
35071,"Niagara South/Niagara-Sud"," 158","Welland",100,5,159,28,4,1,1,298,563
35071,"Niagara South/Niagara-Sud"," 159","Welland",137,5,160,16,7,1,0,326,604
35071,"Niagara South/Niagara-Sud"," 160","Port Colborne",66,1,121,6,1,0,1,196,440
35071,"Niagara South/Niagara-Sud"," 161","Port Colborne",66,6,155,20,0,0,0,247,473
35071,"Niagara South/Niagara-Sud"," 162","Fort Erie",65,0,92,3,3,0,0,163,394
35071,"Niagara South/Niagara-Sud"," 163","Fort Erie",84,1,122,8,2,1,2,220,582
35071,"Niagara South/Niagara-Sud"," 164","Fort Erie",65,2,110,7,3,2,1,190,559
35071,"Niagara South/Niagara-Sud"," 165","Fort Erie",53,0,83,14,4,1,1,156,446
35071,"Niagara South/Niagara-Sud"," 166","Fort Erie",80,1,122,12,3,0,1,219,579
35071,"Niagara South/Niagara-Sud"," 167","Fort Erie",67,3,132,9,9,0,0,220,599
35071,"Niagara South/Niagara-Sud"," 168","Fort Erie",37,2,70,9,4,0,0,122,350
35071,"Niagara South/Niagara-Sud"," 169","Fort Erie",77,0,128,10,4,1,0,220,500
35071,"Niagara South/Niagara-Sud"," 170","Fort Erie",38,1,100,7,3,1,0,150,438
35071,"Niagara South/Niagara-Sud"," 171","Fort Erie",95,1,89,5,4,0,0,194,534
35071,"Niagara South/Niagara-Sud"," 172","Port Colborne",45,4,79,8,4,0,1,141,413
35071,"Niagara South/Niagara-Sud"," 173","Port Colborne",101,3,103,9,4,1,1,222,581
35071,"Niagara South/Niagara-Sud"," 174","Port Colborne",48,2,94,8,3,0,0,155,374
35071,"Niagara South/Niagara-Sud"," 175","Port Colborne",59,5,90,8,0,2,2,166,465
35071,"Niagara South/Niagara-Sud"," 176","Port Colborne",61,1,113,8,2,0,2,187,427
35071,"Niagara South/Niagara-Sud"," 177","Port Colborne",78,2,110,18,5,0,3,216,528
35071,"Niagara South/Niagara-Sud"," 178","Fort Erie",45,1,52,5,2,0,0,105,297
35071,"Niagara South/Niagara-Sud"," 179","Fort Erie",48,2,89,7,4,0,1,151,410
35071,"Niagara South/Niagara-Sud"," 180","Fort Erie",53,0,89,1,3,0,0,146,388
35071,"Niagara South/Niagara-Sud"," 181","Fort Erie",81,3,113,9,4,1,1,212,570
35071,"Niagara South/Niagara-Sud"," 182","Fort Erie",67,1,115,9,3,0,1,196,500
35071,"Niagara South/Niagara-Sud"," 183","Fort Erie",60,7,81,7,5,0,0,160,456
35071,"Niagara South/Niagara-Sud"," 184","Fort Erie",47,2,95,10,1,0,0,155,370
35071,"Niagara South/Niagara-Sud"," 185","Fort Erie",86,1,112,20,4,0,0,223,570
35071,"Niagara South/Niagara-Sud"," 186","Fort Erie",55,3,80,15,2,1,3,159,459
35071,"Niagara South/Niagara-Sud"," 187","Fort Erie",56,4,95,5,1,2,1,164,426
35071,"Niagara South/Niagara-Sud"," 188","Fort Erie",74,1,95,14,1,2,0,187,525
35071,"Niagara South/Niagara-Sud"," 189","Fort Erie",85,0,107,11,6,2,0,211,590
35071,"Niagara South/Niagara-Sud"," 190","Fort Erie",76,6,119,8,3,1,3,216,604
35071,"Niagara South/Niagara-Sud"," 191","Fort Erie",71,2,98,6,3,0,0,180,578
35071,"Niagara South/Niagara-Sud"," 192","Port Colborne",59,0,87,18,5,0,0,169,467
35071,"Niagara South/Niagara-Sud"," 193","Port Colborne",76,1,111,12,5,0,1,206,480
35071,"Niagara South/Niagara-Sud"," 194","Port Colborne",67,3,123,15,5,0,1,214,476
35071,"Niagara South/Niagara-Sud"," 195","Port Colborne",102,2,120,14,4,2,0,244,454
35071,"Niagara South/Niagara-Sud"," 196","Port Colborne",89,4,113,27,4,2,1,240,508
35071,"Niagara South/Niagara-Sud"," 197","Port Colborne",105,2,103,18,0,0,0,228,458
35071,"Niagara South/Niagara-Sud"," 198","Port Colborne",54,5,45,3,0,0,0,107,362
35071,"Niagara South/Niagara-Sud"," 199","Port Colborne",79,2,74,15,3,0,0,173,532
35071,"Niagara South/Niagara-Sud"," 200","Port Colborne",95,4,89,19,3,0,2,212,625
35071,"Niagara South/Niagara-Sud"," 201","Port Colborne",105,1,101,6,3,1,1,218,523
35071,"Niagara South/Niagara-Sud"," 202","Port Colborne",84,0,93,8,1,1,0,187,503
35071,"Niagara South/Niagara-Sud"," 203","Port Colborne",81,0,108,14,1,1,0,205,485
35071,"Niagara South/Niagara-Sud"," 204","Port Colborne",118,1,111,11,3,0,0,244,492
35071,"Niagara South/Niagara-Sud"," 205","Port Colborne",143,2,124,6,3,1,1,280,579
35071,"Niagara South/Niagara-Sud"," 206","Port Colborne",81,1,117,6,0,1,0,206,393
35071,"Niagara South/Niagara-Sud"," 207","Fort Erie",72,0,102,7,9,0,0,190,554
35071,"Niagara South/Niagara-Sud"," 208","Fort Erie",47,0,68,4,9,2,1,131,342
35071,"Niagara South/Niagara-Sud"," 209","Fort Erie",87,0,108,6,4,1,1,207,574
35071,"Niagara South/Niagara-Sud"," 210","Fort Erie",93,6,128,13,3,1,0,244,624
35071,"Niagara South/Niagara-Sud"," 211","Fort Erie",81,2,95,16,4,0,2,200,595
35071,"Niagara South/Niagara-Sud"," 212","Fort Erie",50,0,68,13,0,0,0,131,387
35071,"Niagara South/Niagara-Sud"," 213","Fort Erie",86,5,92,20,4,1,0,208,589
35071,"Niagara South/Niagara-Sud"," 214","Fort Erie",42,1,91,7,1,1,0,143,432
35071,"Niagara South/Niagara-Sud"," 215","Fort Erie",80,0,125,6,1,0,0,212,487
35071,"Niagara South/Niagara-Sud"," 216","Fort Erie",92,0,60,3,6,0,1,162,526
35071,"Niagara South/Niagara-Sud"," 217","Fort Erie",47,1,116,9,5,0,1,179,411
35071,"Niagara South/Niagara-Sud"," 218","Fort Erie",70,2,65,6,5,0,0,148,423
35071,"Niagara South/Niagara-Sud"," 219","Fort Erie",36,2,54,6,2,0,0,100,338
35071,"Niagara South/Niagara-Sud"," 220","Port Colborne",85,1,122,11,7,0,0,226,440
35071,"Niagara South/Niagara-Sud"," 221","Port Colborne",66,1,112,10,1,0,1,191,461
35071,"Niagara South/Niagara-Sud"," 222","Port Colborne",97,0,155,3,5,1,1,262,476
35071,"Niagara South/Niagara-Sud"," 223","Port Colborne",50,3,97,12,4,2,0,168,459
35071,"Niagara South/Niagara-Sud"," 224","Port Colborne",61,2,135,9,1,0,0,208,547
35071,"Niagara South/Niagara-Sud"," 225","Port Colborne",74,3,137,10,2,1,1,228,529
35071,"Niagara South/Niagara-Sud"," 226","Port Colborne",64,2,134,21,2,0,1,224,555
35071,"Niagara South/Niagara-Sud"," 227","Port Colborne",90,4,85,22,3,0,0,204,558
35071,"Niagara South/Niagara-Sud"," 228","Port Colborne",50,1,58,18,5,0,0,132,476
35071,"Niagara South/Niagara-Sud"," 229","Port Colborne",65,1,93,6,2,0,0,167,444
35071,"Niagara South/Niagara-Sud"," 400","Fort Erie",239,4,132,24,4,1,2,406,597
35071,"Niagara South/Niagara-Sud"," 401","Fort Erie",45,1,23,5,1,1,0,76,116
35071,"Niagara South/Niagara-Sud"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,58
35071,"Niagara South/Niagara-Sud"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,34
35071,"Niagara South/Niagara-Sud"," 502","Mobile poll/Bureau itinérant",33,2,16,16,1,1,1,70,69
35071,"Niagara South/Niagara-Sud"," 503","Mobile poll/Bureau itinérant",31,2,13,4,1,1,4,56,131
35071,"Niagara South/Niagara-Sud"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,96
35071,"Niagara South/Niagara-Sud"," 505","Mobile poll/Bureau itinérant",105,0,31,9,1,0,4,150,131
35071,"Niagara South/Niagara-Sud"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,,157
35071,"Niagara South/Niagara-Sud"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,,16
35071,"Niagara South/Niagara-Sud"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,,66
35071,"Niagara South/Niagara-Sud"," 509","Mobile poll/Bureau itinérant",52,3,6,7,1,0,4,73,55
35071,"Niagara South/Niagara-Sud"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,,82
35071,"Niagara South/Niagara-Sud"," 511","Mobile poll/Bureau itinérant",53,0,19,12,1,1,2,88,103
35071,"Niagara South/Niagara-Sud"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°126B,,,,,,,,59
35071,"Niagara South/Niagara-Sud"," 513","Mobile poll/Bureau itinérant",35,0,17,11,0,0,3,66,90
35071,"Niagara South/Niagara-Sud"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,,120
35071,"Niagara South/Niagara-Sud"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°518,,,,,,,,25
35071,"Niagara South/Niagara-Sud"," 516","Mobile poll/Bureau itinérant",19,4,17,7,1,3,0,51,35
35071,"Niagara South/Niagara-Sud"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,,,100
35071,"Niagara South/Niagara-Sud"," 518","Mobile poll/Bureau itinérant",53,1,30,15,1,1,2,103,206
35071,"Niagara South/Niagara-Sud"," 519","Mobile poll/Bureau itinérant",83,3,51,12,3,2,4,158,127
35071,"Niagara South/Niagara-Sud"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,,,,60
35071,"Niagara South/Niagara-Sud"," 521","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,,,,88
35071,"Niagara South/Niagara-Sud"," 600","Thorold",616,6,567,115,14,5,3,1326,
35071,"Niagara South/Niagara-Sud"," 601","Thorold",836,14,659,64,15,2,7,1597,
35071,"Niagara South/Niagara-Sud"," 602","Thorold",437,3,457,43,6,0,2,948,
35071,"Niagara South/Niagara-Sud"," 603","Thorold",234,6,281,33,6,0,1,561,
35071,"Niagara South/Niagara-Sud"," 604","Welland",709,2,604,36,10,1,3,1365,
35071,"Niagara South/Niagara-Sud"," 605","Thorold",794,10,631,56,9,1,3,1504,
35071,"Niagara South/Niagara-Sud"," 606","Welland",624,7,551,49,9,4,1,1245,
35071,"Niagara South/Niagara-Sud"," 607","Welland",532,6,440,60,11,0,3,1052,
35071,"Niagara South/Niagara-Sud"," 608","Welland",636,6,489,47,9,2,4,1193,
35071,"Niagara South/Niagara-Sud"," 609","Welland",400,12,358,59,19,4,2,854,
35071,"Niagara South/Niagara-Sud"," 610","Welland",532,6,515,79,20,1,1,1154,
35071,"Niagara South/Niagara-Sud"," 611","Welland",509,8,543,82,12,3,9,1166,
35071,"Niagara South/Niagara-Sud"," 612","Welland",852,8,734,77,22,4,4,1701,
35071,"Niagara South/Niagara-Sud"," 613","Port Colborne",587,7,661,64,8,1,6,1334,
35071,"Niagara South/Niagara-Sud"," 614","Port Colborne",648,9,490,57,9,1,6,1220,
35071,"Niagara South/Niagara-Sud"," 615","Port Colborne",457,6,557,52,25,3,3,1103,
35071,"Niagara South/Niagara-Sud"," 616","Fort Erie",302,5,420,19,23,0,5,774,
35071,"Niagara South/Niagara-Sud"," 617","Fort Erie",593,14,625,69,15,0,5,1321,
35071,"Niagara South/Niagara-Sud"," 618","Fort Erie",525,9,549,45,21,0,4,1153,
35071,"Niagara South/Niagara-Sud"," 619","Fort Erie",736,11,793,53,25,1,8,1627,
35071,"Niagara South/Niagara-Sud"," 620","Fort Erie",971,7,745,51,34,2,5,1815,
35071,"Niagara South/Niagara-Sud"," 621","Fort Erie",783,9,571,62,27,1,2,1455,
35071,"Niagara South/Niagara-Sud",,Group 1/Groupe 1, 458,11,339,54,15,4,51,932,313
35071,"Niagara South/Niagara-Sud",,Group 2/Groupe 2, 1479,15,959,126,29,5,90,2703,
