Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jaime Battiste,Joanna Clark,Allan MacMaster,Ryan Smyth,Rebecca Wall,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 151","Hazel Hill",21,5,39,0,0,0,65,195
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 152","Canso",28,10,60,1,0,0,99,320
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 153","Canso",32,10,42,3,0,0,87,273
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 154","Paqtnkek-Niktuek 23",108,2,11,1,1,0,123,261
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 155","Arisaig",77,2,49,1,1,1,131,287
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 156","Lanark--Antigonish Landing",57,6,38,4,0,1,106,275
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 157","Lanark--Antigonish Landing",125,3,59,1,0,1,189,441
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 158","Cloverville",41,2,40,1,1,0,85,238
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 159","Clydesdale",51,4,55,1,0,0,111,318
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 160","Heatherton",63,7,139,4,1,2,216,374
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 161","North Grant",59,11,71,2,1,0,144,410
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 162","Maryvale",89,8,84,1,1,0,183,431
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 163","Dover",66,2,81,5,1,1,156,250
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 164","Halfway Cove",39,7,88,1,3,2,140,281
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 165","Williams Point",59,7,48,0,1,0,115,458
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 166","West River",52,5,48,2,0,0,107,312
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 167","Boylston",57,4,85,0,1,0,147,272
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 168","North Intervale",43,7,72,1,0,0,123,248
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 169","Greenwold",81,6,56,0,0,1,144,596
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 170","Antigonish",56,12,68,1,0,0,137,437
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 171","Sylvan Valley",78,2,45,1,0,0,126,339
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 172","Antigonish",108,11,63,1,0,0,183,509
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 173","Antigonish",108,7,48,1,0,0,164,463
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 174","Antigonish",82,10,64,1,0,0,157,428
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 175","Antigonish",85,12,45,2,0,2,146,381
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 176","Antigonish",61,5,23,1,0,0,90,318
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 177","West River",79,5,43,0,0,0,127,386
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 178","Antigonish",86,10,51,0,0,2,149,475
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 179","Post Road",82,14,54,3,1,1,155,431
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 180","James River",59,4,47,0,1,0,111,249
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 181","Lower South River",39,7,78,0,0,2,126,361
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 182","West River",54,9,53,1,1,0,118,323
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 183","Pitchers Farm",85,7,68,1,0,0,161,440
