Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Louis Bellemare,Danick Bisson,Paul Cyr,Dominique Harrisson,Bladimir Laborit Infante,Pierre Paul-Hus,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,,17
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 501","Mobile poll/Bureau itinérant",10,0,0,0,3,3,0,16,110
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,25
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,22
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 504","Mobile poll/Bureau itinérant",182,0,2,3,50,69,7,313,396
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 505","Mobile poll/Bureau itinérant",12,0,1,2,6,25,0,46,53
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 506","Mobile poll/Bureau itinérant",53,1,0,2,15,30,4,105,133
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 507","Mobile poll/Bureau itinérant",18,0,0,2,3,9,1,33,24
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 508","Mobile poll/Bureau itinérant",19,2,0,0,2,5,6,34,53
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 509","Mobile poll/Bureau itinérant",53,3,0,1,9,33,11,110,134
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°524,,,,,,,,28
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,57
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,,79
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,,19
