Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ken Charko,Tom Digby,John Odan Ede,Alim Fakirani,Wade Grant,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59040,"Vancouver Quadra/Vancouver Quadra"," 36","Vancouver",30,8,0,7,79,0,124,447
59040,"Vancouver Quadra/Vancouver Quadra"," 37","Vancouver",26,8,1,9,99,0,143,606
59040,"Vancouver Quadra/Vancouver Quadra"," 38","Vancouver",44,2,0,7,59,0,112,520
59040,"Vancouver Quadra/Vancouver Quadra"," 39","Vancouver",45,4,1,9,76,0,135,548
59040,"Vancouver Quadra/Vancouver Quadra"," 40","Vancouver",44,2,0,3,82,0,131,508
59040,"Vancouver Quadra/Vancouver Quadra"," 41","Vancouver",36,0,0,7,70,0,113,486
59040,"Vancouver Quadra/Vancouver Quadra"," 42","Vancouver",66,3,3,6,66,0,144,572
59040,"Vancouver Quadra/Vancouver Quadra"," 43","Vancouver",52,6,1,13,105,0,177,608
59040,"Vancouver Quadra/Vancouver Quadra"," 44","Vancouver",42,3,1,11,71,0,128,453
59040,"Vancouver Quadra/Vancouver Quadra"," 45","Vancouver",43,4,0,5,93,0,145,545
59040,"Vancouver Quadra/Vancouver Quadra"," 46","Vancouver",42,4,0,11,89,0,146,532
59040,"Vancouver Quadra/Vancouver Quadra"," 47","Vancouver",33,3,1,15,111,0,163,586
59040,"Vancouver Quadra/Vancouver Quadra"," 48","Vancouver",45,3,0,7,106,1,162,523
59040,"Vancouver Quadra/Vancouver Quadra"," 49","Vancouver",39,2,0,5,88,3,137,529
59040,"Vancouver Quadra/Vancouver Quadra"," 50","Vancouver",50,2,2,11,88,1,154,611
59040,"Vancouver Quadra/Vancouver Quadra"," 51","Vancouver",85,4,0,8,91,1,189,590
59040,"Vancouver Quadra/Vancouver Quadra"," 52","Vancouver",54,5,1,6,108,1,175,561
59040,"Vancouver Quadra/Vancouver Quadra"," 53","Vancouver",49,6,0,10,81,0,146,593
59040,"Vancouver Quadra/Vancouver Quadra"," 54","Metro Vancouver A",28,0,0,3,56,0,87,426
59040,"Vancouver Quadra/Vancouver Quadra"," 55","Metro Vancouver A",50,2,0,7,64,1,124,601
59040,"Vancouver Quadra/Vancouver Quadra"," 56","Metro Vancouver A",38,4,0,5,80,0,127,413
59040,"Vancouver Quadra/Vancouver Quadra"," 57","Metro Vancouver A",65,3,1,12,138,0,219,611
59040,"Vancouver Quadra/Vancouver Quadra"," 58","Metro Vancouver A",76,4,0,8,82,0,170,505
59040,"Vancouver Quadra/Vancouver Quadra"," 59","Metro Vancouver A",62,3,1,11,95,1,173,453
59040,"Vancouver Quadra/Vancouver Quadra"," 60","Metro Vancouver A",36,8,0,25,120,1,190,505
