Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Christopher Bell,Blake Richards,David Sabine,Sean Secord,Sarah Zagoda,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 45","Cochrane",1,118,1,38,3,0,161,421
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 46","Cochrane",1,104,2,36,9,1,153,452
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 47","Cochrane",1,116,1,58,22,0,198,512
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 48","Cochrane",3,122,0,43,10,0,178,491
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 49","Cochrane",2,92,5,41,7,2,149,637
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 50","Airdrie",1,94,1,25,8,1,130,377
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 51","Airdrie",2,156,3,56,10,2,229,483
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 52","Airdrie",0,115,0,37,15,1,168,525
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 53","Airdrie",3,128,2,22,4,1,160,504
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 54","Airdrie",2,128,3,21,9,1,164,357
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 55","Airdrie",3,218,2,77,12,3,315,695
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 56","Airdrie",1,230,1,81,19,2,334,746
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 57","Rocky View County",0,60,1,28,12,1,102,387
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 58","Cochrane",1,67,0,31,2,0,101,357
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 59","Cochrane",1,82,0,26,8,1,118,443
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 60","Cochrane",5,165,5,34,2,1,212,482
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 61","Cochrane",3,157,2,50,5,0,217,489
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 62","Rocky View County",1,99,1,39,2,0,142,321
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 63","Rocky View County",0,111,2,39,0,2,154,429
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 64","Bearspaw",2,94,2,33,4,2,137,420
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 65","Airdrie",6,134,2,47,5,3,197,426
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 66","Airdrie",0,180,3,69,5,1,258,591
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 67","Airdrie",2,130,4,39,5,1,181,483
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 68","Airdrie",0,150,2,30,9,0,191,447
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 69","Airdrie",1,100,2,29,2,0,134,433
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 70","Airdrie",0,127,2,32,6,1,168,545
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 71","Airdrie",0,100,1,30,4,1,136,435
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 72","Airdrie",1,111,6,39,3,0,160,458
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 73","Airdrie",3,137,3,39,14,0,196,443
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 74A","Airdrie",0,126,0,40,3,1,170,476
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 74B","Airdrie",1,104,3,36,3,0,147,447
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 75","Cochrane",0,81,0,30,3,2,116,454
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 76","Cochrane",1,138,0,34,5,0,178,539
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 77","Cochrane",0,135,3,54,3,1,196,604
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 78","Cochrane",0,113,2,45,3,0,163,527
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 79","Airdrie",1,131,5,44,5,0,186,534
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 80","Airdrie",1,189,1,77,7,0,275,801
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 81","Airdrie",4,183,4,79,9,1,280,730
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 82","Airdrie",0,160,1,66,8,4,239,590
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 83","Airdrie",1,151,4,69,10,6,241,627
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 84","Airdrie",0,179,4,79,7,1,270,585
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 85","Airdrie",2,178,3,71,8,3,265,743
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 86","Airdrie",4,171,1,64,13,1,254,609
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 87","Cochrane",0,133,2,46,12,0,193,528
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 88","Cochrane",2,120,2,53,9,1,187,373
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 89A","Cochrane",0,165,5,82,15,0,267,668
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 89B","Cochrane",Combined with No./Résultats combinés à ceux du n°88,,,,,,,232
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 90","Cochrane",1,171,1,82,4,2,261,712
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 91","Cochrane",0,115,0,47,5,1,168,474
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 92","Airdrie",1,93,1,47,7,2,151,443
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 93","Airdrie",1,120,1,23,4,1,150,398
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 94","Airdrie",1,103,1,28,12,1,146,415
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 95","Airdrie",2,87,2,18,11,0,120,414
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 96","Airdrie",3,92,1,26,2,1,125,436
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 97","Airdrie",2,98,2,22,7,0,131,397
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 98","Airdrie",0,153,2,43,13,2,213,546
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 99","Rocky View County",1,146,0,26,3,0,176,396
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 100","Airdrie",1,164,1,62,14,1,243,534
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 101","Airdrie",4,144,1,41,14,1,205,493
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 102","Airdrie",0,131,3,49,12,2,197,432
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 103","Airdrie",0,164,2,34,14,1,215,462
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 104","Airdrie",0,109,1,19,6,1,136,346
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 105","Balzac",0,138,2,8,2,2,152,314
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 106","Balzac",0,108,1,17,0,0,126,305
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 107","Rocky View County",0,106,2,17,3,2,130,337
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 108","Balzac",0,119,4,34,2,2,161,393
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 109","Airdrie",0,140,1,45,9,1,196,661
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 110","Airdrie",1,192,3,50,8,3,257,630
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 111","Airdrie",1,147,2,39,7,2,198,535
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 112","Airdrie",2,119,0,49,7,0,177,426
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 113","Airdrie",0,76,0,33,4,1,114,336
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 114","Airdrie",1,119,1,55,7,1,184,491
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 115","Airdrie",0,105,1,36,9,1,152,350
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 116","Airdrie",1,154,0,46,20,1,222,549
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 117","Cochrane",1,100,0,40,7,0,148,498
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 118","Cochrane",3,234,2,79,15,1,334,681
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 119","Cochrane",2,155,2,63,7,0,229,599
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 120","Cochrane",2,245,2,90,12,1,352,680
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 121","Cochrane",1,140,2,55,6,1,205,467
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 122","Airdrie",0,112,2,17,9,1,141,477
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 123","Airdrie",0,104,1,28,3,1,137,422
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 124","Airdrie",1,106,2,29,9,0,147,384
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 125","Airdrie",2,120,1,34,11,3,171,486
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 126","Airdrie",5,100,2,36,6,2,151,447
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 127","Airdrie",1,127,0,32,4,0,164,442
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 128","Airdrie",0,105,1,17,6,0,129,387
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 129","Airdrie",0,142,1,36,1,0,180,439
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 130","Airdrie",0,104,0,39,7,1,151,422
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 131","Airdrie",0,91,1,44,7,0,143,441
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 132","Airdrie",1,213,4,69,9,0,296,770
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 133","Airdrie",1,154,3,53,13,2,226,591
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 134","Airdrie",2,154,2,45,6,1,210,536
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 135","Airdrie",1,170,1,35,7,1,215,687
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 136","Airdrie",3,124,0,40,3,0,170,484
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 137A","Airdrie",2,127,4,42,8,1,184,563
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 137B","Airdrie",1,142,1,50,10,2,206,511
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 138","Airdrie",1,211,0,44,3,1,260,531
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 139","Airdrie",0,247,4,97,7,4,359,828
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 140","Cochrane",0,156,4,52,4,1,217,605
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 141","Cochrane",0,187,0,73,8,1,269,769
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 142","Cochrane",0,201,1,55,9,0,266,565
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 143","Cochrane",2,201,3,77,9,0,292,612
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 144","Cochrane",2,117,2,79,15,0,215,511
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 145","Airdrie",0,168,2,38,2,0,210,405
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 146","Airdrie",4,150,3,66,3,0,226,483
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 147","Airdrie",1,158,1,30,4,0,194,361
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 148","Airdrie",0,163,2,28,5,2,200,434
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 149","Airdrie",0,142,4,34,5,1,186,441
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 150","Balzac",5,77,1,11,2,0,96,278
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 151","Airdrie",2,113,5,51,14,1,186,458
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 152","Airdrie",2,155,4,60,17,7,245,368
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 153","Airdrie",0,137,1,47,6,1,192,499
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 154","Airdrie",1,164,1,49,7,1,223,497
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 155A","Airdrie",1,155,7,54,2,7,226,629
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 155B","Airdrie",Combined with No./Résultats combinés à ceux du n°152,,,,,,,258
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 156","Airdrie",2,139,2,54,7,0,204,521
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 157","Airdrie",0,193,4,56,9,5,267,768
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 158","Airdrie",1,151,2,51,16,4,225,580
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 159","Airdrie",1,116,2,25,7,0,151,511
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 160","Airdrie",2,143,3,41,3,1,193,475
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 161","Airdrie",0,159,1,50,11,0,221,608
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 162","Airdrie",0,136,2,41,8,0,187,512
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 163","Airdrie",1,201,4,80,8,1,295,749
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 164","Airdrie",1,128,2,67,16,1,215,502
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 165A","Airdrie",0,137,2,41,5,1,186,528
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 165B","Airdrie",1,133,3,50,6,1,194,461
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 166","Airdrie",0,194,2,61,7,1,265,606
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 167","Airdrie",1,153,1,48,11,2,216,400
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 168","Airdrie",1,223,5,58,9,1,297,657
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 169","Airdrie",2,211,2,65,7,0,287,621
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 170","Airdrie",4,246,3,85,7,4,349,758
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 171","Airdrie",5,191,5,76,10,3,290,682
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 172","Rocky View County",1,167,1,49,4,0,222,433
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 173","Glendon",0,93,1,12,0,1,107,273
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 174","Rocky View County",0,133,0,23,5,0,161,378
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 175","Bearspaw",4,94,1,16,2,1,118,384
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 176","Bearspaw",0,106,2,35,0,0,143,450
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 177","Rocky View County",4,128,3,17,2,2,156,346
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 400","Airdrie",Combined with No./Résultats combinés à ceux du n°37,,,,,,,165
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 401","Airdrie",2,107,0,34,9,0,152,565
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 402","Airdrie",0,117,2,49,12,0,180,319
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 403","Airdrie",Combined with No./Résultats combinés à ceux du n°35,,,,,,,284
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 404","Airdrie",0,72,3,27,9,0,111,377
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 405","Airdrie",0,62,1,19,5,2,89,372
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 406","Airdrie",0,40,0,18,7,0,65,182
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,112
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,40
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 502","Airdrie",2,84,4,27,4,0,121,91
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,63
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 504","Mobile poll/Bureau itinérant",2,95,6,24,8,1,136,131
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 505","Mobile poll/Bureau itinérant",3,54,1,20,3,2,83,129
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 600","Rocky View County--Bighorn No. 8",2,651,1,161,17,0,832,
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 601","Cochrane",7,1040,12,405,44,3,1511,
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 602","Cochrane",5,1164,18,492,65,13,1757,
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 603","Cochrane",8,1200,18,525,65,16,1832,
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 604","Rocky View County",1,390,4,138,17,1,551,
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 605","Cochrane",8,916,11,421,37,4,1397,
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 606","Rocky View County",8,1137,21,440,68,8,1682,
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 607","Bearspaw",4,672,7,170,8,5,866,
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 608","Rocky View",2,330,1,61,4,0,398,
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 609","Airdrie",7,974,21,358,55,12,1427,
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 610","Airdrie",4,1114,13,387,59,4,1581,
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 611","Airdrie",10,976,14,336,71,9,1416,
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 612","Airdrie",13,979,15,330,75,7,1419,
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 613","Airdrie",13,986,5,316,29,9,1358,
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 614","Airdrie",3,1104,8,450,52,7,1624,
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 615","Airdrie",5,1066,10,341,63,6,1491,
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 616","Airdrie",3,790,15,246,64,8,1126,
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 617","Airdrie",7,953,14,361,47,4,1386,
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 618","Airdrie",6,1034,6,355,31,4,1436,
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 619","Airdrie",3,896,10,294,42,6,1251,
48001,"Airdrie--Cochrane/Airdrie--Cochrane",,Group 1/Groupe 1, 7,611,8,255,58,36,975,255
48001,"Airdrie--Cochrane/Airdrie--Cochrane",,Group 2/Groupe 2, 26,5259,41,1397,208,86,7017,
