Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Sima Acan,Tim Crowder,Diane Downey,Martin Gegus,Chris Kowalchuk,JD Meaney,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35076,"Oakville West/Oakville-Ouest"," 71","Oakville",83,81,0,0,0,2,0,166,416
35076,"Oakville West/Oakville-Ouest"," 72","Oakville",48,64,0,0,1,0,1,114,282
35076,"Oakville West/Oakville-Ouest"," 73","Oakville",81,59,0,0,1,1,0,142,332
35076,"Oakville West/Oakville-Ouest"," 74","Oakville",143,112,8,0,4,4,3,274,512
35076,"Oakville West/Oakville-Ouest"," 75","Oakville",59,92,3,0,0,2,0,156,460
35076,"Oakville West/Oakville-Ouest"," 76","Oakville",71,86,1,0,0,1,0,159,423
35076,"Oakville West/Oakville-Ouest"," 77","Oakville",63,93,1,1,1,1,0,160,510
35076,"Oakville West/Oakville-Ouest"," 78","Oakville",75,75,5,0,0,0,0,155,444
35076,"Oakville West/Oakville-Ouest"," 79","Oakville",124,124,5,0,4,0,2,259,612
35076,"Oakville West/Oakville-Ouest"," 80","Oakville",52,99,6,0,0,2,0,159,419
35076,"Oakville West/Oakville-Ouest"," 81","Oakville",56,73,0,1,1,1,0,132,464
35076,"Oakville West/Oakville-Ouest"," 82","Oakville",65,66,1,0,4,0,1,137,360
35076,"Oakville West/Oakville-Ouest"," 83","Oakville",57,90,0,0,2,0,0,149,482
35076,"Oakville West/Oakville-Ouest"," 84","Oakville",45,77,1,0,1,2,0,126,331
35076,"Oakville West/Oakville-Ouest"," 85","Oakville",66,85,3,0,2,1,0,157,355
35076,"Oakville West/Oakville-Ouest"," 86","Oakville",76,81,0,0,5,5,0,167,333
35076,"Oakville West/Oakville-Ouest"," 87","Oakville",65,80,5,0,4,4,2,160,432
35076,"Oakville West/Oakville-Ouest"," 88","Oakville",71,86,3,0,0,0,1,161,357
35076,"Oakville West/Oakville-Ouest"," 89","Oakville",103,108,5,1,1,3,0,221,578
35076,"Oakville West/Oakville-Ouest"," 90","Oakville",109,102,1,0,3,3,2,220,576
35076,"Oakville West/Oakville-Ouest"," 91","Oakville",82,59,2,0,1,1,0,145,488
35076,"Oakville West/Oakville-Ouest"," 92","Oakville",87,109,6,0,2,1,1,206,568
35076,"Oakville West/Oakville-Ouest"," 93","Oakville",88,117,4,0,0,2,1,212,667
35076,"Oakville West/Oakville-Ouest"," 94","Oakville",98,139,1,1,0,0,1,240,634
35076,"Oakville West/Oakville-Ouest"," 95","Oakville",73,88,1,0,0,2,1,165,493
35076,"Oakville West/Oakville-Ouest"," 96","Oakville",93,99,5,0,2,0,1,200,566
35076,"Oakville West/Oakville-Ouest"," 97","Oakville",143,137,1,0,1,1,0,283,609
35076,"Oakville West/Oakville-Ouest"," 98","Oakville",106,157,4,0,1,1,2,271,591
35076,"Oakville West/Oakville-Ouest"," 99","Oakville",67,68,1,0,0,0,2,138,403
35076,"Oakville West/Oakville-Ouest"," 100","Oakville",56,79,3,0,3,1,0,142,372
35076,"Oakville West/Oakville-Ouest"," 101","Oakville",76,77,1,0,1,0,1,156,430
35076,"Oakville West/Oakville-Ouest"," 102","Oakville",54,82,1,0,1,0,0,138,383
35076,"Oakville West/Oakville-Ouest"," 103","Oakville",68,97,2,0,3,2,0,172,506
35076,"Oakville West/Oakville-Ouest"," 104","Oakville",133,143,5,1,2,0,0,284,586
35076,"Oakville West/Oakville-Ouest"," 105","Oakville",112,135,2,0,0,1,1,251,621
35076,"Oakville West/Oakville-Ouest"," 106","Oakville",94,117,11,1,0,0,2,225,556
35076,"Oakville West/Oakville-Ouest"," 107","Oakville",127,92,3,0,1,0,3,226,575
35076,"Oakville West/Oakville-Ouest"," 108","Oakville",111,128,7,0,0,1,2,249,651
35076,"Oakville West/Oakville-Ouest"," 109","Oakville",97,134,1,0,0,1,4,237,545
35076,"Oakville West/Oakville-Ouest"," 110","Oakville",101,82,5,1,0,1,4,194,588
35076,"Oakville West/Oakville-Ouest"," 111","Oakville",94,90,1,0,0,0,2,187,557
35076,"Oakville West/Oakville-Ouest"," 112","Oakville",102,90,5,0,0,2,0,199,543
35076,"Oakville West/Oakville-Ouest"," 113","Oakville",53,83,0,0,2,0,0,138,456
35076,"Oakville West/Oakville-Ouest"," 114","Oakville",49,63,3,0,0,0,2,117,402
35076,"Oakville West/Oakville-Ouest"," 115","Oakville",65,89,2,0,0,0,0,156,464
35076,"Oakville West/Oakville-Ouest"," 116","Oakville",82,93,0,0,3,1,0,179,425
35076,"Oakville West/Oakville-Ouest"," 117","Oakville",106,96,8,0,5,0,2,217,567
35076,"Oakville West/Oakville-Ouest"," 118","Oakville",93,119,0,0,0,3,1,216,490
35076,"Oakville West/Oakville-Ouest"," 119","Oakville",89,86,1,0,3,3,0,182,403
35076,"Oakville West/Oakville-Ouest"," 120","Oakville",103,76,1,0,0,1,0,181,349
35076,"Oakville West/Oakville-Ouest"," 121","Oakville",81,111,0,1,2,0,0,195,440
35076,"Oakville West/Oakville-Ouest"," 122","Oakville",105,94,6,0,0,0,0,205,448
35076,"Oakville West/Oakville-Ouest"," 123","Oakville",103,71,1,0,1,0,1,177,434
35076,"Oakville West/Oakville-Ouest"," 124","Oakville",100,98,4,0,2,1,1,206,550
35076,"Oakville West/Oakville-Ouest"," 125A","Oakville",76,78,3,0,0,0,0,157,408
35076,"Oakville West/Oakville-Ouest"," 125B","Oakville",58,48,1,0,0,2,1,110,308
35076,"Oakville West/Oakville-Ouest"," 126","Oakville",93,84,3,0,1,0,0,181,382
35076,"Oakville West/Oakville-Ouest"," 127A","Oakville",84,100,3,0,0,2,0,189,512
35076,"Oakville West/Oakville-Ouest"," 127B","Oakville",48,87,4,2,0,0,1,142,454
35076,"Oakville West/Oakville-Ouest"," 128","Oakville",101,97,0,0,2,0,1,201,449
35076,"Oakville West/Oakville-Ouest"," 129","Oakville",80,109,4,1,1,0,0,195,492
35076,"Oakville West/Oakville-Ouest"," 130","Oakville",70,95,2,0,2,2,1,172,466
35076,"Oakville West/Oakville-Ouest"," 131","Oakville",73,84,2,0,0,3,0,162,318
35076,"Oakville West/Oakville-Ouest"," 132","Oakville",75,76,4,0,2,1,1,159,386
35076,"Oakville West/Oakville-Ouest"," 133","Oakville",117,152,6,0,4,2,1,282,611
35076,"Oakville West/Oakville-Ouest"," 134","Oakville",76,91,6,0,2,2,2,179,412
35076,"Oakville West/Oakville-Ouest"," 135","Oakville",86,83,2,0,2,1,4,178,420
35076,"Oakville West/Oakville-Ouest"," 136","Oakville",90,98,6,0,0,1,0,195,447
35076,"Oakville West/Oakville-Ouest"," 137","Oakville",76,78,1,0,1,1,1,158,357
35076,"Oakville West/Oakville-Ouest"," 138","Oakville",111,91,5,0,2,3,0,212,484
35076,"Oakville West/Oakville-Ouest"," 139","Oakville",85,107,2,0,3,3,0,200,461
35076,"Oakville West/Oakville-Ouest"," 140","Oakville",91,87,2,0,2,0,0,182,408
35076,"Oakville West/Oakville-Ouest"," 141","Oakville",83,81,1,0,2,0,0,167,440
35076,"Oakville West/Oakville-Ouest"," 142","Oakville",127,115,3,0,1,1,1,248,519
35076,"Oakville West/Oakville-Ouest"," 143","Oakville",72,97,5,0,1,0,1,176,482
35076,"Oakville West/Oakville-Ouest"," 144","Oakville",70,54,6,1,3,2,2,138,311
35076,"Oakville West/Oakville-Ouest"," 145","Oakville",109,115,2,0,2,0,0,228,465
35076,"Oakville West/Oakville-Ouest"," 146","Oakville",202,57,0,0,1,0,1,261,384
35076,"Oakville West/Oakville-Ouest"," 147","Oakville",90,93,6,0,4,0,1,194,506
35076,"Oakville West/Oakville-Ouest"," 148","Oakville",70,42,0,1,2,3,1,119,434
35076,"Oakville West/Oakville-Ouest"," 149","Oakville",76,81,1,0,1,0,1,160,440
35076,"Oakville West/Oakville-Ouest"," 150","Oakville",114,102,5,1,1,0,0,223,758
35076,"Oakville West/Oakville-Ouest"," 151","Oakville",116,98,6,0,4,0,0,224,452
35076,"Oakville West/Oakville-Ouest"," 152","Oakville",72,84,1,0,1,1,0,159,415
35076,"Oakville West/Oakville-Ouest"," 153","Oakville",91,57,2,0,2,2,0,154,427
35076,"Oakville West/Oakville-Ouest"," 154","Oakville",79,67,5,0,0,1,1,153,361
35076,"Oakville West/Oakville-Ouest"," 155","Oakville",107,93,3,1,2,0,0,206,541
35076,"Oakville West/Oakville-Ouest"," 156","Oakville",84,102,1,0,0,1,1,189,539
35076,"Oakville West/Oakville-Ouest"," 157","Oakville",27,36,0,0,1,0,0,64,183
35076,"Oakville West/Oakville-Ouest"," 158","Oakville",96,93,1,0,0,0,1,191,518
35076,"Oakville West/Oakville-Ouest"," 159","Oakville",121,111,2,0,0,1,3,238,572
35076,"Oakville West/Oakville-Ouest"," 160","Oakville",129,112,4,0,0,2,0,247,583
35076,"Oakville West/Oakville-Ouest"," 161","Oakville",118,73,3,1,3,1,0,199,453
35076,"Oakville West/Oakville-Ouest"," 162","Oakville",75,97,1,0,2,2,0,177,493
35076,"Oakville West/Oakville-Ouest"," 163","Oakville",77,87,2,0,0,0,3,169,462
35076,"Oakville West/Oakville-Ouest"," 164","Oakville",102,120,2,0,0,1,4,229,496
35076,"Oakville West/Oakville-Ouest"," 400","Oakville",70,57,3,0,1,1,1,133,226
35076,"Oakville West/Oakville-Ouest"," 401","Oakville",91,78,2,0,2,0,1,174,280
35076,"Oakville West/Oakville-Ouest"," 402","Mobile poll/Bureau itinérant",116,78,6,0,0,1,10,211,214
35076,"Oakville West/Oakville-Ouest"," 403","Oakville",123,52,0,0,0,0,4,179,249
35076,"Oakville West/Oakville-Ouest"," 404","Oakville",130,33,0,0,1,0,4,168,260
35076,"Oakville West/Oakville-Ouest"," 405","Oakville",123,61,3,0,0,0,3,190,254
35076,"Oakville West/Oakville-Ouest"," 406","Oakville",109,71,0,0,0,0,0,180,308
35076,"Oakville West/Oakville-Ouest"," 500","Mobile poll/Bureau itinérant",46,7,1,0,0,0,4,58,81
35076,"Oakville West/Oakville-Ouest"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,14
35076,"Oakville West/Oakville-Ouest"," 502","Mobile poll/Bureau itinérant",105,39,3,0,3,0,3,153,107
35076,"Oakville West/Oakville-Ouest"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,46
35076,"Oakville West/Oakville-Ouest"," 504","Mobile poll/Bureau itinérant",61,24,4,0,2,1,3,95,117
35076,"Oakville West/Oakville-Ouest"," 505","Mobile poll/Bureau itinérant",55,24,6,0,0,1,5,91,128
35076,"Oakville West/Oakville-Ouest"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,80
35076,"Oakville West/Oakville-Ouest"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,79
35076,"Oakville West/Oakville-Ouest"," 508","Mobile poll/Bureau itinérant",83,54,10,1,0,3,10,161,142
35076,"Oakville West/Oakville-Ouest"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,,133
35076,"Oakville West/Oakville-Ouest"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°402,,,,,,,,123
35076,"Oakville West/Oakville-Ouest"," 600","Oakville",932,700,24,0,10,6,5,1677,
35076,"Oakville West/Oakville-Ouest"," 601","Oakville",781,534,9,0,2,5,5,1336,
35076,"Oakville West/Oakville-Ouest"," 602","Oakville",830,600,14,0,9,6,8,1467,
35076,"Oakville West/Oakville-Ouest"," 603","Oakville",905,791,14,0,11,6,3,1730,
35076,"Oakville West/Oakville-Ouest"," 604","Oakville",898,747,13,0,1,7,8,1674,
35076,"Oakville West/Oakville-Ouest"," 605","Oakville",885,687,18,0,8,3,5,1606,
35076,"Oakville West/Oakville-Ouest"," 606","Oakville",770,641,12,0,4,4,1,1432,
35076,"Oakville West/Oakville-Ouest"," 607","Oakville",1109,694,10,5,2,4,12,1836,
35076,"Oakville West/Oakville-Ouest"," 608","Oakville",974,496,13,0,2,4,2,1491,
35076,"Oakville West/Oakville-Ouest"," 609","Oakville",825,472,22,1,11,6,4,1341,
35076,"Oakville West/Oakville-Ouest"," 610","Oakville",1191,815,22,3,10,3,7,2051,
35076,"Oakville West/Oakville-Ouest"," 611","Oakville",986,794,15,1,5,8,5,1814,
35076,"Oakville West/Oakville-Ouest"," 612","Oakville",1120,661,14,0,10,5,15,1825,
35076,"Oakville West/Oakville-Ouest"," 613","Oakville",923,683,12,1,5,8,5,1637,
35076,"Oakville West/Oakville-Ouest"," 614","Oakville",940,675,7,0,4,3,0,1629,
35076,"Oakville West/Oakville-Ouest",,Group 1/Groupe 1, 943,554,23,1,8,5,85,1619,665
35076,"Oakville West/Oakville-Ouest",,Group 2/Groupe 2, 1239,924,16,2,11,3,23,2218,
