Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Patrick Shea Boyd,Mark Embrett,Jessica Fancy-Landry,Hayden Henderson,Rick Perkins,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 45","Martins River",1,4,116,3,74,0,198,423
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 46","Newburne",8,3,80,4,64,0,159,336
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 47","New Cornwall",5,3,81,4,90,0,183,423
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 48","Clearland",2,4,64,2,66,0,138,412
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 49A","Mahone Bay",1,2,74,1,27,0,105,446
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 49B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,93
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 50","Indian Point",1,4,46,2,13,0,66,290
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 51","North River",3,1,38,4,54,3,103,269
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 52","Lilydale--Northwest",2,9,77,3,45,0,136,473
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 53","Lunenburg",1,4,60,2,24,3,94,356
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 54","Lunenburg",0,5,87,3,25,0,120,358
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 55","Lunenburg",0,1,90,1,16,0,108,341
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 56","Garden Lots--Heckmans Island",3,5,103,2,39,0,152,362
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 57","Blue Rock",2,3,112,2,43,3,165,307
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 58","New Germany",1,4,28,1,52,1,87,344
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 59","Stanley Section--Watford",1,3,50,6,58,0,118,345
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 60","Mahone Bay",1,3,97,2,44,2,149,433
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 61","Maders Cove",1,6,72,0,29,0,108,364
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 62","Fauxburg",1,1,59,4,43,1,109,337
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 63","Simpsons Corner",5,2,48,4,83,1,143,397
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 64","Upper Northfield",7,6,70,3,125,3,214,443
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 65","Blockhouse--Farmville",3,5,70,2,67,0,147,407
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 66","Maitland",0,7,87,0,68,2,164,390
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 67","Maitland",4,1,54,2,91,0,152,450
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 68","Lower Northfield",2,3,77,0,85,0,167,316
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 69A","West Northfield--Cookville",0,3,44,1,46,0,94,269
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 69B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,17
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 70","Lunenburg",8,4,89,0,30,0,131,417
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 71","Lunenburg",1,1,74,2,52,0,130,462
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 72","Centre",1,11,111,3,57,1,184,434
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 73","Masons Beach",4,2,88,3,67,0,164,430
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 74","Branch LaHave--New Canada",4,4,81,1,87,2,179,394
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 75","Lower Branch",2,3,61,1,65,1,133,266
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 76","Pine Grove",3,1,73,3,69,1,150,362
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 77","Pine Grove",0,1,69,0,43,0,113,311
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 78","Oak Hill",3,1,57,1,67,1,130,292
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 79","Oak Hill",2,0,47,1,40,0,90,232
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 80","Rhodes Corner",7,3,115,2,77,0,204,432
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 81","Hemford--Nineveh",5,9,78,2,121,1,216,402
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 82","Bridgewater",1,1,50,2,40,2,96,375
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 83","Bridgewater",4,0,64,0,48,0,116,389
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 84","Bridgewater",1,5,50,2,34,0,92,395
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 85","Bridgewater",2,4,87,0,40,0,133,364
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 86","Bridgewater",3,2,99,0,68,3,175,413
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 87","Midville Branch--Upper Branch",2,5,63,3,104,0,177,299
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 88","Auburndale",2,5,68,0,57,1,133,301
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 89","Dayspring",0,5,65,4,54,1,129,302
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 90","Upper LaHave--Crouses Settlement",1,4,128,1,58,1,193,442
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 91","Indian Path--Rosebay",6,2,103,2,66,0,179,347
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 92","Middle LaHave--East LaHave",2,2,93,0,52,0,149,373
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 93","Bridgewater",5,0,43,1,45,1,95,440
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 94","Bridgewater",0,0,70,0,43,1,114,412
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 95","Bridgewater",3,1,62,1,87,0,154,458
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 96","Bridgewater",3,1,59,0,49,0,112,395
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 97","Bridgewater",2,4,91,2,67,3,169,549
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 98","Bridgewater",2,7,63,2,62,2,138,508
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 99","Bridgewater",6,8,88,2,57,2,163,435
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 100","Bridgewater",1,3,105,2,72,2,185,514
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 101","Bridgewater",4,4,66,5,71,2,152,437
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 102","Bridgewater",1,2,77,3,48,0,131,433
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 103","Conquerall Bank",0,4,55,2,44,0,105,250
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 104","Conquerall Bank",2,2,56,0,45,0,105,251
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 105","Bridgewater",5,4,83,1,57,1,151,478
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 106","Bridgewater",3,3,49,1,47,0,103,361
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 107","Bridgewater",2,1,45,1,43,0,92,290
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 108","Bakers Settlement",3,5,63,2,121,0,194,411
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 109","Upper Kingsburg",7,3,76,2,40,1,129,309
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 110","Riverport",3,6,77,3,35,1,125,230
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 111","Wileville",3,2,50,3,44,1,103,337
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 112","Wileville",3,8,55,1,69,1,137,421
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 113","Hebbville",1,3,77,0,62,2,145,336
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 114","Hebbville",0,4,70,1,65,5,145,357
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 115","Pleasantville",1,3,77,0,48,1,130,365
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 116","Pleasantville--West LaHave",2,2,69,3,73,0,149,408
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 117","LaHave--Dublin Shore--Pentz",2,5,98,0,41,0,146,360
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 118","West Dublin",1,2,89,1,40,2,135,322
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 119","Conquerall Mills",2,1,88,0,64,0,155,333
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 120","Conquerall Mills",7,5,92,2,60,2,168,375
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 121","New Elm",3,3,51,0,62,0,119,232
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 122","Chelsea",2,1,45,0,75,0,123,242
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 123","Newcombville",1,2,48,3,71,0,125,284
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 124","Waterloo",1,6,39,0,59,2,107,232
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 125","North Brookfield--Westfield",1,2,51,2,62,0,118,314
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 126A","North Brookfield",3,1,29,1,63,0,97,215
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 126B","North Brookfield",Combined with No./Résultats combinés à ceux du n°141,,,,,,,63
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 126C","North Brookfield",Combined with No./Résultats combinés à ceux du n°126-1,,,,,,,24
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 126-1","Wildcat 12--Ponhook Lake 10",0,0,11,1,11,1,24,50
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 127","Hebbs Cross",3,1,56,1,38,0,99,271
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 128","Hebbs Cross",4,2,24,3,51,0,84,245
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 129","Crousetown--LaHave Islands",1,8,170,2,59,0,240,464
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 130","Camperdown",0,1,53,0,43,0,97,337
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 131","Italy Cross",4,0,34,2,67,0,107,317
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 132","Middlewood",2,2,74,3,73,0,154,332
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 133","Voglers Cove--Broad Cove--Cherry Hill",1,7,170,0,82,0,260,421
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 134","Kempt",2,1,1,41,43,0,88,211
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 135","Greenfield--LaBelle",6,7,159,6,95,0,273,444
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 136","Greenfield--Middlefield",2,2,59,0,87,0,150,282
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 137","Port Medway",1,4,79,3,61,3,151,244
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 138","Mill Village--East Port Medway",6,4,112,1,65,0,188,361
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 139","Charleston",3,2,66,2,67,0,140,281
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 140","Beach Meadows",0,1,102,2,99,0,204,425
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 141","Caledonia",3,8,76,4,116,3,210,473
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 142","Sandy Cove",5,3,70,2,78,0,158,374
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 143","Brooklyn",2,1,64,1,55,0,123,264
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 144","Brooklyn",3,3,101,1,68,1,177,331
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 145","Queens",3,0,71,0,44,0,118,368
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 146","Queens",6,1,48,1,51,2,109,410
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 147","Queens",1,2,59,1,46,0,109,431
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 148","Western Head",3,1,60,0,95,1,160,349
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 149","Western Head",2,0,62,1,45,0,110,268
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 150","Queens",5,2,65,4,77,1,154,467
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 151","Queens",2,3,37,0,72,2,116,345
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 152","Liverpool",0,1,22,1,52,3,79,267
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 153","Milton",3,1,51,2,67,0,124,401
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 154","Milton",5,1,55,2,64,0,127,307
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 155","Milton",2,3,78,1,69,1,154,357
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 156","Hunts Point--Summerville Centre",1,1,50,0,42,1,95,267
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 157","Hunts Point--Summerville Centre",1,1,70,2,54,0,128,239
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 158","South West Port Mouton",7,7,105,4,108,2,233,417
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 159","Port Joli--East Port L'Hebert",2,3,27,1,30,0,63,135
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 160","Jordan Falls",2,2,46,2,67,0,119,264
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 161","Jordan Falls--Jordan Bay",2,1,37,0,68,0,108,309
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 162","Sable River",14,3,46,1,91,1,156,269
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 163","Middle Ohio",2,4,83,1,120,1,211,416
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 164","Little Harbour",1,1,43,2,30,1,78,185
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 165","West Green Harbour",8,3,48,1,80,1,141,272
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 166","Shelburne",1,4,29,3,57,2,96,306
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 167","Shelburne",2,4,71,3,50,0,130,396
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 168","Shelburne",5,1,43,1,66,0,116,360
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 169","Shelburne",1,1,42,1,58,1,104,402
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 170","Shelburne",2,2,57,1,42,0,104,368
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 171","East Green Harbour",5,0,37,4,66,0,112,322
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 172","Lockeport",1,0,40,0,46,1,88,254
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 173","Lockeport",0,2,24,3,62,0,91,268
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 174","Sandy Point",1,1,56,0,102,0,160,429
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 175A","Birchtown--Gunning Cove",4,0,42,1,123,1,171,332
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 175B","Birchtown--Gunning Cove",Combined with No./Résultats combinés à ceux du n°178A,,,,,,,43
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 176","Thomasville",1,1,33,0,73,0,108,307
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 177","Clyde River--Port Saxon",4,1,60,2,126,4,197,297
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 178A","North West Harbour--Ingomar",2,3,30,1,88,2,126,238
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 178B","North West Harbour--Ingomar",Combined with No./Résultats combinés à ceux du n°177,,,,,,,92
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 179","Barrington",1,1,35,1,84,3,125,407
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 180","Barrington",2,2,39,0,69,1,113,400
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 181","Crowell",0,3,41,0,80,1,125,349
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 182","Port La Tour--Baccaro",2,1,64,0,138,1,206,455
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 183","Barrington Passage",2,1,42,0,83,2,130,411
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 184","Barrington",4,2,30,1,126,0,163,339
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 185","North East Point",2,1,40,1,86,2,132,363
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 186","Newellton",1,3,27,1,106,0,138,361
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 187","Stoney Island",3,3,29,0,153,0,188,409
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 188","Clark's Harbour",4,1,32,1,106,3,147,329
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 189","Clark's Harbour",0,0,32,0,74,0,106,281
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 190","Barrington",2,6,36,0,142,0,186,439
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 191","Upper Woods Harbour--Central Woods Harbour",0,0,25,0,120,4,149,297
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 192","Lower Shag Harbour",1,2,19,1,61,0,84,272
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 193","Lower Wood Harbour",1,0,17,1,89,2,110,245
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 194","Shag Harbour",1,1,21,0,70,2,95,292
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 195","Charlesville--Lower Woods Harbour",0,2,20,1,91,0,114,242
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,56
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 501","Mobile poll/Bureau itinérant",5,5,38,7,23,0,78,3
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,39
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 503","Mobile poll/Bureau itinérant",3,2,21,1,9,0,36,143
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,8
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,44
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 506","Mobile poll/Bureau itinérant",3,0,38,0,30,4,75,63
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 507","Mobile poll/Bureau itinérant",0,0,34,0,15,0,49,63
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 508","Bridgewater",Combined with No./Résultats combinés à ceux du n°86,,,,,,,89
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,29
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,49
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,44
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,28
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 513","Mobile poll/Bureau itinérant",2,3,43,3,21,3,75,63
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,37
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 515","Lockeport",Combined with No./Résultats combinés à ceux du n°172,,,,,,,8
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,10
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 517","Mobile poll/Bureau itinérant",3,1,19,1,32,3,59,68
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 518","Crowell",Combined with No./Résultats combinés à ceux du n°181,,,,,,,62
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 600","Upper Tantallon",7,7,619,3,330,3,969,
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 601","Upper Tantallon",9,9,689,7,244,0,958,
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 602","Hubbards",15,16,735,5,381,2,1154,
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 603","Chester",9,13,761,9,323,3,1118,
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 604","New Ross",Combined with No./Résultats combinés à ceux du n°605,,,,,,,
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 605","Pennal 19",9,6,255,5,200,6,481,
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 606","Chester",8,13,628,15,397,2,1063,
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 607","Gold River 21",Combined with No./Résultats combinés à ceux du n°606,,,,,,,
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 608","Mahone Bay",7,15,847,8,268,7,1152,
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 609","Lunenburg",6,10,953,7,218,13,1207,
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 610","Lunenburg",5,13,562,5,241,4,830,
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 611","Lake Centre--New Cumberland",4,15,494,1,156,6,676,
