Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Cody Chenier,Sandy Crawley,Carla Green,Matthew Green,Hayden Lawrence,Michael Loomans,Aslam Rana,David Speicher,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35036,"Hamilton Centre/Hamilton-Centre"," 106","Hamilton",1,5,1,84,51,0,99,2,0,243,458
35036,"Hamilton Centre/Hamilton-Centre"," 107","Hamilton",1,4,1,81,48,0,98,0,0,233,400
35036,"Hamilton Centre/Hamilton-Centre"," 108A","Hamilton",1,2,0,61,40,0,60,0,0,164,366
35036,"Hamilton Centre/Hamilton-Centre"," 108B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,,,17
35036,"Hamilton Centre/Hamilton-Centre"," 109","Hamilton",0,6,2,112,64,0,170,2,3,359,581
35036,"Hamilton Centre/Hamilton-Centre"," 110","Hamilton",0,3,1,69,56,1,72,5,0,207,472
35036,"Hamilton Centre/Hamilton-Centre"," 111","Hamilton",1,2,1,51,38,0,50,2,0,145,332
35036,"Hamilton Centre/Hamilton-Centre"," 112","Hamilton",0,3,0,38,71,0,50,1,3,166,453
35036,"Hamilton Centre/Hamilton-Centre"," 113","Hamilton",1,3,1,78,75,1,80,2,1,242,464
35036,"Hamilton Centre/Hamilton-Centre"," 114","Hamilton",0,2,0,87,84,0,69,4,2,248,485
35036,"Hamilton Centre/Hamilton-Centre"," 115","Hamilton",1,3,1,53,92,1,50,1,1,203,461
35036,"Hamilton Centre/Hamilton-Centre"," 116","Hamilton",0,1,1,50,100,0,47,1,0,200,499
35036,"Hamilton Centre/Hamilton-Centre"," 117","Hamilton",1,6,0,58,49,1,69,4,0,188,621
35036,"Hamilton Centre/Hamilton-Centre"," 118","Hamilton",2,3,2,63,43,2,52,2,0,169,477
35036,"Hamilton Centre/Hamilton-Centre"," 119","Hamilton",1,3,0,47,37,0,71,2,1,162,382
35036,"Hamilton Centre/Hamilton-Centre"," 120","Hamilton",0,0,2,43,35,0,35,0,1,116,363
35036,"Hamilton Centre/Hamilton-Centre"," 121","Hamilton",1,2,0,39,41,0,37,0,3,123,364
35036,"Hamilton Centre/Hamilton-Centre"," 122","Hamilton",0,2,0,48,34,0,53,4,0,141,407
35036,"Hamilton Centre/Hamilton-Centre"," 123","Hamilton",2,5,3,73,84,0,108,1,1,277,608
35036,"Hamilton Centre/Hamilton-Centre"," 124","Hamilton",0,2,0,42,42,0,59,3,1,149,379
