Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Frank Caputo,Iain Currie,Chris Enns,Miguel Godau,Jenna Lindley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 98","Kamloops",115,46,0,2,1,0,164,432
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 99","Kamloops",108,56,0,5,1,1,171,478
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 100","Sun Peaks",83,110,2,6,5,0,206,475
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 101","Sun Peaks",89,120,0,15,6,0,230,438
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 102","Kamloops",100,57,1,10,0,2,170,556
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 103","Kamloops",70,39,0,10,0,1,120,456
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 104","Kamloops",66,50,4,9,3,0,132,407
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 105","Kamloops",81,56,0,7,2,2,148,471
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 106","Kamloops",63,45,1,8,0,0,117,430
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 107","Kamloops",65,50,2,9,5,0,131,413
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 108","Kamloops",67,54,0,10,2,0,133,464
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 109","Kamloops",108,49,2,10,6,1,176,474
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 110","Kamloops",89,50,2,14,5,0,160,465
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 111","Kamloops",64,50,0,15,5,0,134,393
