Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Felix Dionne,Patrick Jasmin,Andréanne Larouche,Susanne Lefebvre,James Seale,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24071,"Shefford/Shefford"," 38","Granby",80,2,52,3,31,0,168,367
24071,"Shefford/Shefford"," 39","Granby",71,1,57,4,26,6,165,409
24071,"Shefford/Shefford"," 40","Granby",87,5,77,3,20,2,194,447
24071,"Shefford/Shefford"," 41","Granby",81,3,68,2,34,1,189,381
24071,"Shefford/Shefford"," 42","Granby",63,3,95,6,51,1,219,397
24071,"Shefford/Shefford"," 43","Granby",104,5,78,0,24,2,213,404
24071,"Shefford/Shefford"," 44","Granby",94,2,82,2,27,2,209,391
24071,"Shefford/Shefford"," 45","Granby",60,1,83,4,27,2,177,395
24071,"Shefford/Shefford"," 46","Granby",85,2,105,2,34,2,230,387
24071,"Shefford/Shefford"," 47","Granby",65,3,84,2,51,4,209,405
24071,"Shefford/Shefford"," 48","Granby",57,2,59,1,30,0,149,397
24071,"Shefford/Shefford"," 49","Granby",76,2,78,3,35,0,194,421
24071,"Shefford/Shefford"," 50","Granby",57,8,58,2,29,4,158,402
24071,"Shefford/Shefford"," 51","Warden",69,6,77,6,56,0,214,378
24071,"Shefford/Shefford"," 52","Shefford",40,4,36,2,30,4,116,309
24071,"Shefford/Shefford"," 53","Shefford",34,5,48,2,30,2,121,349
24071,"Shefford/Shefford"," 54","Granby",57,2,58,0,16,1,134,365
24071,"Shefford/Shefford"," 55","Granby",72,2,80,0,17,2,173,484
24071,"Shefford/Shefford"," 56","Granby",75,3,64,0,18,0,160,374
24071,"Shefford/Shefford"," 57","Granby",87,4,88,3,17,4,203,438
24071,"Shefford/Shefford"," 58","Granby",85,1,81,2,18,7,194,401
24071,"Shefford/Shefford"," 59","Granby",69,5,83,1,29,5,192,416
24071,"Shefford/Shefford"," 60","Granby",92,5,75,3,20,4,199,473
24071,"Shefford/Shefford"," 61","Granby",86,6,73,2,28,1,196,438
24071,"Shefford/Shefford"," 62","Granby",104,1,52,0,16,2,175,428
24071,"Shefford/Shefford"," 63","Granby",48,4,59,8,29,2,150,350
24071,"Shefford/Shefford"," 64","Granby",57,3,63,3,29,2,157,434
24071,"Shefford/Shefford"," 65","Granby",53,6,60,5,32,2,158,388
24071,"Shefford/Shefford"," 66","Granby",45,8,79,2,33,6,173,388
24071,"Shefford/Shefford"," 67A","Granby",103,10,75,1,38,1,228,478
24071,"Shefford/Shefford"," 67B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°523,,,,,,,20
24071,"Shefford/Shefford"," 68","Granby",58,9,56,2,22,4,151,423
24071,"Shefford/Shefford"," 69","Granby",33,1,30,1,12,4,81,355
24071,"Shefford/Shefford"," 70","Granby",59,6,77,3,34,8,187,425
24071,"Shefford/Shefford"," 71","Granby",55,6,56,2,32,6,157,369
24071,"Shefford/Shefford"," 72","Granby",56,5,78,0,24,0,163,409
24071,"Shefford/Shefford"," 73","Granby",40,7,69,3,15,6,140,345
24071,"Shefford/Shefford"," 74","Granby",55,3,67,2,30,3,160,433
24071,"Shefford/Shefford"," 75","Granby",61,6,87,3,43,1,201,392
24071,"Shefford/Shefford"," 76","Granby",54,4,66,3,22,8,157,380
24071,"Shefford/Shefford"," 77","Granby",54,1,72,4,24,2,157,414
24071,"Shefford/Shefford"," 78","Granby",25,1,40,0,10,1,77,261
24071,"Shefford/Shefford"," 79","Granby",60,5,67,1,12,5,150,408
24071,"Shefford/Shefford"," 80","Granby",47,5,57,4,19,3,135,412
24071,"Shefford/Shefford"," 81","Granby",36,4,49,3,32,2,126,412
24071,"Shefford/Shefford"," 82","Granby",10,8,33,2,14,5,72,328
24071,"Shefford/Shefford"," 83","Granby",92,7,81,0,23,3,206,457
24071,"Shefford/Shefford"," 84","Granby",56,2,52,8,18,5,141,419
24071,"Shefford/Shefford"," 85","Granby",48,2,34,1,15,4,104,336
24071,"Shefford/Shefford"," 86","Granby",46,7,58,2,27,3,143,416
24071,"Shefford/Shefford"," 87","Granby",88,5,86,2,37,5,223,590
24071,"Shefford/Shefford"," 88","Granby",58,1,64,1,26,3,153,390
24071,"Shefford/Shefford"," 89","Granby",48,6,61,4,21,0,140,320
24071,"Shefford/Shefford"," 90","Granby",67,4,84,1,32,6,194,605
24071,"Shefford/Shefford"," 91","Granby",65,5,50,3,33,3,159,421
24071,"Shefford/Shefford"," 92","Granby",39,2,69,5,25,5,145,419
24071,"Shefford/Shefford"," 93","Granby",36,4,57,2,32,1,132,455
24071,"Shefford/Shefford"," 94","Shefford",35,2,73,7,37,3,157,432
24071,"Shefford/Shefford"," 95","Shefford",48,2,66,2,48,2,168,401
24071,"Shefford/Shefford"," 96","Granby",56,6,72,2,29,3,168,440
24071,"Shefford/Shefford"," 97","Granby",93,8,81,2,44,1,229,568
24071,"Shefford/Shefford"," 98","Granby",65,6,61,4,42,1,179,417
24071,"Shefford/Shefford"," 99","Granby",59,5,83,2,49,2,200,419
24071,"Shefford/Shefford"," 100","Granby",55,4,56,4,29,2,150,444
24071,"Shefford/Shefford"," 101","Granby",60,3,77,1,37,5,183,447
24071,"Shefford/Shefford"," 102","Shefford",60,9,74,6,30,3,182,437
24071,"Shefford/Shefford"," 103","Shefford",80,3,46,0,33,1,163,439
24071,"Shefford/Shefford"," 104","Shefford",71,1,62,8,49,4,195,444
24071,"Shefford/Shefford"," 105","Granby",82,1,81,5,34,4,207,424
24071,"Shefford/Shefford"," 106","Granby",70,2,78,2,65,6,223,466
24071,"Shefford/Shefford"," 107","Granby",60,9,78,5,63,6,221,438
24071,"Shefford/Shefford"," 108","Granby",41,10,85,3,41,6,186,458
24071,"Shefford/Shefford"," 109","Granby",61,5,69,0,37,5,177,388
24071,"Shefford/Shefford"," 110","Granby",39,5,67,5,46,4,166,325
24071,"Shefford/Shefford"," 111","Saint-Paul-d'Abbotsford",54,1,57,1,28,2,143,332
24071,"Shefford/Shefford"," 112","Saint-Paul-d'Abbotsford",43,3,58,1,31,7,143,372
24071,"Shefford/Shefford"," 113","Saint-Paul-d'Abbotsford",45,4,60,7,54,5,175,381
24071,"Shefford/Shefford"," 114","Saint-Paul-d'Abbotsford",65,4,69,4,39,5,186,403
24071,"Shefford/Shefford"," 115","Saint-Paul-d'Abbotsford",62,6,71,4,41,3,187,420
24071,"Shefford/Shefford"," 116","Saint-Paul-d'Abbotsford",35,0,70,5,20,4,134,304
24071,"Shefford/Shefford"," 117","Granby",58,4,53,1,32,3,151,387
24071,"Shefford/Shefford"," 118","Granby",34,2,65,4,43,1,149,389
24071,"Shefford/Shefford"," 119","Granby",49,5,52,2,23,4,135,469
24071,"Shefford/Shefford"," 120","Granby",45,6,75,1,28,5,160,406
24071,"Shefford/Shefford"," 121","Granby",45,4,82,1,29,4,165,410
24071,"Shefford/Shefford"," 122","Granby",57,4,81,2,44,4,192,446
24071,"Shefford/Shefford"," 123","Granby",39,4,55,2,23,2,125,368
24071,"Shefford/Shefford"," 124","Granby",43,5,59,3,26,1,137,402
24071,"Shefford/Shefford"," 125","Granby",40,2,42,2,36,6,128,404
24071,"Shefford/Shefford"," 126","Granby",41,7,49,0,28,3,128,411
24071,"Shefford/Shefford"," 127","Granby",38,2,38,1,28,2,109,408
24071,"Shefford/Shefford"," 128","Granby",35,6,42,3,28,1,115,349
24071,"Shefford/Shefford"," 129","Granby",40,4,74,3,21,5,147,415
24071,"Shefford/Shefford"," 130","Granby",36,1,55,3,20,4,119,403
24071,"Shefford/Shefford"," 131","Granby",34,0,51,0,31,3,119,403
24071,"Shefford/Shefford"," 132","Granby",41,4,39,0,22,4,110,397
24071,"Shefford/Shefford"," 133","Granby",39,2,38,2,24,2,107,398
24071,"Shefford/Shefford"," 134","Granby",44,3,66,2,45,5,165,436
24071,"Shefford/Shefford"," 135","Granby",58,6,63,1,31,8,167,462
24071,"Shefford/Shefford"," 136","Granby",43,6,54,3,29,3,138,356
24071,"Shefford/Shefford"," 137","Granby",34,4,99,3,30,3,173,415
24071,"Shefford/Shefford"," 138","Granby",64,6,63,3,28,1,165,399
24071,"Shefford/Shefford"," 139","Granby",72,0,55,1,22,3,153,506
24071,"Shefford/Shefford"," 140","Granby",87,14,86,2,38,5,232,511
24071,"Shefford/Shefford"," 141","Granby",69,1,57,2,32,1,162,431
24071,"Shefford/Shefford"," 142","Granby",57,3,72,3,22,1,158,458
24071,"Shefford/Shefford"," 143","Granby",37,3,46,3,16,2,107,413
24071,"Shefford/Shefford"," 144","Granby",39,2,49,9,24,0,123,315
24071,"Shefford/Shefford"," 145","Granby",49,3,54,1,31,3,141,450
24071,"Shefford/Shefford"," 146","Granby",72,14,83,0,48,1,218,554
24071,"Shefford/Shefford"," 147","Granby",82,8,68,0,56,6,220,471
24071,"Shefford/Shefford"," 148","Granby",110,1,76,0,33,1,221,523
24071,"Shefford/Shefford"," 149","Shefford",82,4,65,3,23,0,177,444
24071,"Shefford/Shefford"," 150","Waterloo",52,4,63,3,53,2,177,478
24071,"Shefford/Shefford"," 151","Shefford",41,6,48,0,28,0,123,326
24071,"Shefford/Shefford"," 152","Waterloo",44,5,51,1,39,2,142,415
24071,"Shefford/Shefford"," 153","Waterloo",61,13,53,3,43,0,173,476
24071,"Shefford/Shefford"," 154","Waterloo",70,6,64,2,30,5,177,468
24071,"Shefford/Shefford"," 155","Shefford",41,5,47,1,29,0,123,321
24071,"Shefford/Shefford"," 156","Shefford",33,3,43,8,26,1,114,365
24071,"Shefford/Shefford"," 157","Granby",39,5,62,3,44,1,154,436
24071,"Shefford/Shefford"," 158","Granby",82,5,84,0,38,3,212,616
24071,"Shefford/Shefford"," 159","Granby",37,7,58,2,11,3,118,407
24071,"Shefford/Shefford"," 160","Granby",50,6,92,0,24,5,177,450
24071,"Shefford/Shefford"," 161","Granby",51,4,79,2,39,6,181,481
24071,"Shefford/Shefford"," 162","Granby",60,3,80,3,46,7,199,490
24071,"Shefford/Shefford"," 163","Granby",119,6,76,0,39,4,244,612
24071,"Shefford/Shefford"," 164","Granby",67,7,76,5,36,6,197,543
24071,"Shefford/Shefford"," 165","Rougemont",58,4,76,1,33,2,174,306
24071,"Shefford/Shefford"," 166","Rougemont",60,7,98,4,38,4,211,429
24071,"Shefford/Shefford"," 167","Rougemont",42,4,74,3,40,4,167,440
24071,"Shefford/Shefford"," 168","Rougemont",55,10,72,5,31,1,174,373
24071,"Shefford/Shefford"," 169","Rougemont",41,9,66,1,43,7,167,417
24071,"Shefford/Shefford"," 170","Rougemont",52,3,72,3,33,4,167,402
24071,"Shefford/Shefford"," 171","Shefford",76,1,81,2,40,0,200,422
24071,"Shefford/Shefford"," 172","Waterloo",47,8,73,3,39,4,174,485
24071,"Shefford/Shefford"," 173","Shefford",110,3,61,2,26,0,202,465
24071,"Shefford/Shefford"," 174","Waterloo",94,8,92,1,55,3,253,605
24071,"Shefford/Shefford"," 175","Waterloo",50,3,43,3,37,3,139,467
24071,"Shefford/Shefford"," 176","Shefford",78,6,52,0,13,0,149,342
24071,"Shefford/Shefford"," 177","Shefford",55,2,47,1,24,1,130,335
24071,"Shefford/Shefford"," 178","Shefford",65,7,63,2,29,0,166,376
24071,"Shefford/Shefford"," 179","Waterloo",68,12,86,1,54,3,224,510
24071,"Shefford/Shefford"," 180","Granby",62,4,65,3,34,1,169,379
24071,"Shefford/Shefford"," 181","Granby",58,5,62,1,16,4,146,412
24071,"Shefford/Shefford"," 182","Granby",99,0,45,0,33,3,180,410
24071,"Shefford/Shefford"," 183","Granby",84,3,66,0,37,4,194,514
24071,"Shefford/Shefford"," 184","Granby",46,7,45,0,50,0,148,408
24071,"Shefford/Shefford"," 185","Granby",60,4,66,1,32,2,165,347
24071,"Shefford/Shefford"," 186","Granby",68,5,75,2,27,1,178,410
24071,"Shefford/Shefford"," 187","Saint-Césaire",47,1,80,4,34,4,170,404
24071,"Shefford/Shefford"," 188","Saint-Césaire",33,5,57,1,36,2,134,314
24071,"Shefford/Shefford"," 189","Saint-Césaire",65,6,72,3,62,5,213,513
24071,"Shefford/Shefford"," 190","Saint-Césaire",36,6,74,3,41,0,160,515
24071,"Shefford/Shefford"," 191","Saint-Césaire",52,5,95,3,45,7,207,469
24071,"Shefford/Shefford"," 192","Saint-Césaire",47,7,88,3,41,4,190,479
24071,"Shefford/Shefford"," 193","Saint-Césaire",52,3,89,0,35,2,181,499
24071,"Shefford/Shefford"," 194","Saint-Césaire",42,4,81,3,58,6,194,426
24071,"Shefford/Shefford"," 195","Saint-Césaire",31,8,54,0,34,1,128,354
24071,"Shefford/Shefford"," 196","Saint-Césaire",33,4,76,2,46,1,162,418
24071,"Shefford/Shefford"," 197","Granby",63,7,76,0,38,2,186,565
24071,"Shefford/Shefford"," 198","Granby",46,0,46,2,31,2,127,406
24071,"Shefford/Shefford"," 199","Granby",44,3,74,2,34,1,158,465
24071,"Shefford/Shefford"," 200","Granby",42,4,70,0,12,3,131,348
24071,"Shefford/Shefford"," 201","Granby",42,2,48,4,23,3,122,394
24071,"Shefford/Shefford"," 202","Granby",83,7,51,1,30,3,175,497
24071,"Shefford/Shefford"," 203","Granby",26,4,51,1,28,3,113,402
24071,"Shefford/Shefford"," 204","Granby",60,5,75,1,21,4,166,411
24071,"Shefford/Shefford"," 205","Granby",68,11,82,3,56,1,221,646
24071,"Shefford/Shefford"," 206","Granby",50,1,81,1,28,3,164,479
24071,"Shefford/Shefford"," 207","Granby",52,2,65,2,25,3,149,515
24071,"Shefford/Shefford"," 208","Granby",57,9,66,0,41,5,178,457
24071,"Shefford/Shefford"," 209","Granby",29,6,39,1,32,6,113,393
24071,"Shefford/Shefford"," 210","Granby",93,2,108,1,45,2,251,530
24071,"Shefford/Shefford"," 211","Granby",63,3,80,1,46,3,196,394
24071,"Shefford/Shefford"," 212","Granby",60,5,57,1,30,1,154,380
24071,"Shefford/Shefford"," 213","Granby",81,3,87,2,42,2,217,462
24071,"Shefford/Shefford"," 214","Saint-Alphonse-de-Granby",55,2,79,1,37,3,177,338
24071,"Shefford/Shefford"," 215","Saint-Alphonse-de-Granby",77,5,110,3,44,8,247,441
24071,"Shefford/Shefford"," 216","Saint-Alphonse-de-Granby",79,6,93,0,51,0,229,387
24071,"Shefford/Shefford"," 217","Saint-Alphonse-de-Granby",70,3,79,3,73,2,230,391
24071,"Shefford/Shefford"," 218","Saint-Alphonse-de-Granby",45,3,92,1,45,4,190,356
24071,"Shefford/Shefford"," 219","Saint-Alphonse-de-Granby",68,8,89,4,33,2,204,310
24071,"Shefford/Shefford"," 220","Saint-Alphonse-de-Granby",84,5,81,1,41,5,217,409
24071,"Shefford/Shefford"," 221","Sainte-Angèle-de-Monnoir",54,3,76,0,25,6,164,310
24071,"Shefford/Shefford"," 222","Sainte-Angèle-de-Monnoir",64,4,150,4,60,5,287,430
24071,"Shefford/Shefford"," 223","Sainte-Angèle-de-Monnoir",42,3,89,8,27,4,173,273
24071,"Shefford/Shefford"," 224","Sainte-Angèle-de-Monnoir",60,4,115,1,47,4,231,384
24071,"Shefford/Shefford"," 225","Ange-Gardien",47,6,56,3,36,1,149,301
24071,"Shefford/Shefford"," 226","Ange-Gardien",62,3,80,0,37,1,183,403
24071,"Shefford/Shefford"," 227","Ange-Gardien",38,8,71,1,40,9,167,359
24071,"Shefford/Shefford"," 228","Ange-Gardien",54,6,65,3,45,2,175,405
24071,"Shefford/Shefford"," 229","Ange-Gardien",58,4,77,1,49,4,193,395
24071,"Shefford/Shefford"," 230","Ange-Gardien",45,3,64,3,51,0,166,345
24071,"Shefford/Shefford"," 400","Mobile poll/Bureau itinérant",129,1,65,1,12,11,219,297
24071,"Shefford/Shefford"," 401","Mobile poll/Bureau itinérant",97,2,59,3,10,7,178,233
24071,"Shefford/Shefford"," 402","Mobile poll/Bureau itinérant",121,2,71,1,14,8,217,285
24071,"Shefford/Shefford"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°523,,,,,,,16
24071,"Shefford/Shefford"," 501","Mobile poll/Bureau itinérant",70,2,41,0,3,10,126,71
24071,"Shefford/Shefford"," 502","Mobile poll/Bureau itinérant",35,0,12,0,3,7,57,68
24071,"Shefford/Shefford"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,37
24071,"Shefford/Shefford"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,12
24071,"Shefford/Shefford"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,7
24071,"Shefford/Shefford"," 506","Mobile poll/Bureau itinérant",30,2,19,2,10,3,66,77
24071,"Shefford/Shefford"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,12
24071,"Shefford/Shefford"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,28
24071,"Shefford/Shefford"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,96
24071,"Shefford/Shefford"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,37
24071,"Shefford/Shefford"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°400,,,,,,,4
24071,"Shefford/Shefford"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,57
24071,"Shefford/Shefford"," 513","Mobile poll/Bureau itinérant",12,4,18,1,3,3,41,41
24071,"Shefford/Shefford"," 514","Mobile poll/Bureau itinérant",20,2,18,3,4,1,48,42
24071,"Shefford/Shefford"," 515","Mobile poll/Bureau itinérant",10,1,8,3,4,0,26,23
24071,"Shefford/Shefford"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,16
24071,"Shefford/Shefford"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°401,,,,,,,1
24071,"Shefford/Shefford"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°401,,,,,,,32
24071,"Shefford/Shefford"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°402,,,,,,,14
24071,"Shefford/Shefford"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°402,,,,,,,57
24071,"Shefford/Shefford"," 521","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,22
24071,"Shefford/Shefford"," 522","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,41
24071,"Shefford/Shefford"," 523","Mobile poll/Bureau itinérant",14,1,9,0,1,1,26,21
24071,"Shefford/Shefford"," 524","Mobile poll/Bureau itinérant",26,4,17,2,3,0,52,54
24071,"Shefford/Shefford"," 525","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°524,,,,,,,17
24071,"Shefford/Shefford"," 526","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°524,,,,,,,23
24071,"Shefford/Shefford"," 600","Maricourt",477,18,375,11,141,14,1036,
24071,"Shefford/Shefford"," 601","Bonsecours--Lawrenceville",108,8,139,0,40,2,297,
24071,"Shefford/Shefford"," 602","Saint-Joachim-de-Shefford",392,16,490,10,189,22,1119,
24071,"Shefford/Shefford"," 603","Shefford",333,21,258,8,103,6,729,
24071,"Shefford/Shefford"," 604","Shefford",472,21,336,5,135,12,981,
24071,"Shefford/Shefford"," 605","Waterloo",521,12,277,5,72,4,891,
24071,"Shefford/Shefford"," 606","Shefford",305,17,283,9,124,13,751,
24071,"Shefford/Shefford"," 607","Granby",694,14,367,6,102,12,1195,
24071,"Shefford/Shefford"," 608","Granby",613,9,495,6,111,16,1250,
24071,"Shefford/Shefford"," 609","Shefford",420,5,371,5,128,7,936,
24071,"Shefford/Shefford"," 610","Granby",713,30,488,9,129,10,1379,
24071,"Shefford/Shefford"," 611","Granby",499,18,426,8,132,23,1106,
24071,"Shefford/Shefford"," 612","Granby",384,17,253,2,82,8,746,
24071,"Shefford/Shefford"," 613","Granby",195,14,222,5,63,9,508,
24071,"Shefford/Shefford"," 614","Granby",444,22,311,2,97,9,885,
24071,"Shefford/Shefford"," 615","Granby",360,11,287,5,61,9,733,
24071,"Shefford/Shefford"," 616","Granby",559,9,484,7,111,11,1181,
24071,"Shefford/Shefford"," 617","Sainte-Cécile-de-Milton",181,7,245,6,109,8,556,
24071,"Shefford/Shefford"," 618","Granby",380,14,302,23,124,8,851,
24071,"Shefford/Shefford"," 619","Granby",462,22,342,5,84,17,932,
24071,"Shefford/Shefford"," 620","Granby",385,24,405,9,123,9,955,
24071,"Shefford/Shefford"," 621","Granby",329,6,299,8,85,8,735,
24071,"Shefford/Shefford"," 622","Granby",398,16,331,16,137,24,922,
24071,"Shefford/Shefford"," 623","Granby",433,18,362,5,137,14,969,
24071,"Shefford/Shefford"," 624","Saint-Alphonse-de-Granby--Ange-Gardien",278,14,307,6,143,15,763,
24071,"Shefford/Shefford"," 625","Saint-Paul-d'Abbotsford",304,11,257,6,99,18,695,
24071,"Shefford/Shefford"," 626","Saint-Césaire",481,41,518,14,187,14,1255,
24071,"Shefford/Shefford"," 627","Rougemont",297,16,380,11,105,25,834,
24071,"Shefford/Shefford",,Group 1/Groupe 1, 222,26,142,3,47,18,458,140
24071,"Shefford/Shefford",,Group 2/Groupe 2, 859,20,581,15,157,44,1676,
