Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Amélie Charbonneau,Marie-Hélène Gaudreau,Michel Le Comte,Michel Noël De Tilly,Daniel Paquette,Emrick Vienneau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24036,"Laurentides--Labelle/Laurentides--Labelle"," 78","Mont-Tremblant",1,56,3,3,35,66,1,165,472
24036,"Laurentides--Labelle/Laurentides--Labelle"," 79","Mont-Tremblant",2,33,2,4,43,46,0,130,427
24036,"Laurentides--Labelle/Laurentides--Labelle"," 80","Mont-Tremblant",7,78,7,2,21,50,3,168,506
24036,"Laurentides--Labelle/Laurentides--Labelle"," 81","Mont-Tremblant",5,88,7,5,42,83,2,232,491
24036,"Laurentides--Labelle/Laurentides--Labelle"," 82","Mont-Tremblant",1,92,3,4,40,49,1,190,460
24036,"Laurentides--Labelle/Laurentides--Labelle"," 83","Val-des-Lacs",7,77,6,6,30,61,1,188,373
24036,"Laurentides--Labelle/Laurentides--Labelle"," 84","Val-des-Lacs",4,56,3,3,24,49,2,141,339
24036,"Laurentides--Labelle/Laurentides--Labelle"," 85","Sainte-Lucie-des-Laurentides",5,87,4,8,35,38,2,179,401
24036,"Laurentides--Labelle/Laurentides--Labelle"," 85-1","Doncaster",Void/Supprimé,,,,,,,,
24036,"Laurentides--Labelle/Laurentides--Labelle"," 86","Sainte-Lucie-des-Laurentides",2,84,5,6,37,71,1,206,432
24036,"Laurentides--Labelle/Laurentides--Labelle"," 87","Sainte-Lucie-des-Laurentides",11,112,4,7,43,57,4,238,515
24036,"Laurentides--Labelle/Laurentides--Labelle"," 88","Domaine-Nominingue",0,77,1,3,18,40,0,139,345
24036,"Laurentides--Labelle/Laurentides--Labelle"," 89","Nominingue",4,97,1,6,20,44,6,178,368
24036,"Laurentides--Labelle/Laurentides--Labelle"," 90","Nominingue",4,72,1,3,25,36,0,141,296
24036,"Laurentides--Labelle/Laurentides--Labelle"," 91","Nominingue",0,67,1,4,20,49,2,143,352
24036,"Laurentides--Labelle/Laurentides--Labelle"," 92","Nominingue",0,78,3,2,14,42,3,142,279
24036,"Laurentides--Labelle/Laurentides--Labelle"," 93","Lac-Ernest",1,81,2,2,12,56,3,157,313
24036,"Laurentides--Labelle/Laurentides--Labelle"," 94","Lantier",1,59,1,1,29,42,1,134,389
24036,"Laurentides--Labelle/Laurentides--Labelle"," 95A","Lantier",1,65,4,8,34,28,4,144,479
24036,"Laurentides--Labelle/Laurentides--Labelle"," 95B","Lantier",Combined with No./Résultats combinés à ceux du n°94,,,,,,,,95
24036,"Laurentides--Labelle/Laurentides--Labelle"," 96","Kiamika",4,102,6,4,19,52,2,189,397
24036,"Laurentides--Labelle/Laurentides--Labelle"," 97","Kiamika",1,73,1,8,39,58,5,185,351
24036,"Laurentides--Labelle/Laurentides--Labelle"," 98","Saint-Aimé-du-Lac-des-Îles",2,89,1,4,29,56,6,187,386
24036,"Laurentides--Labelle/Laurentides--Labelle"," 99","Saint-Aimé-du-Lac-des-Îles",4,94,0,1,33,50,5,187,355
24036,"Laurentides--Labelle/Laurentides--Labelle"," 100","Labelle",0,64,1,5,39,54,3,166,446
24036,"Laurentides--Labelle/Laurentides--Labelle"," 101","Labelle",0,79,2,8,28,37,1,155,453
24036,"Laurentides--Labelle/Laurentides--Labelle"," 102","Labelle",1,70,1,5,56,19,5,157,486
24036,"Laurentides--Labelle/Laurentides--Labelle"," 103","Labelle",7,80,4,3,24,32,1,151,448
24036,"Laurentides--Labelle/Laurentides--Labelle"," 104","Labelle",2,88,4,2,21,61,1,179,466
