Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Bisma Ansari,Normand Chouinard,Frédéric Dénommé,Zsolt Fischer,Claude Guay,Fang Hu,Manuel Johnson,Craig Sauvé,Louis-Philippe Sauvé,Gregory Yablunovsky,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 68","Montréal",7,0,1,31,100,0,1,30,41,2,0,213,539
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 69","Montréal",6,0,0,18,78,0,0,30,59,0,2,193,497
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 70","Montréal",3,1,1,15,79,0,0,31,49,1,0,180,426
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 71","Montréal",16,2,2,34,98,0,0,33,71,0,5,261,524
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 72","Montréal",6,0,1,32,111,0,1,45,51,1,2,250,550
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 73","Montréal",5,0,1,17,60,0,0,32,30,1,4,150,385
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 74","Montréal",8,0,0,18,108,0,1,32,47,0,6,220,552
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 75","Montréal",7,1,1,16,116,0,1,34,56,1,3,236,542
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 76","Montréal",4,0,0,18,91,0,1,15,40,3,3,175,416
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 77","Montréal",5,0,1,40,139,0,1,19,107,2,4,318,531
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 78","Montréal",4,1,1,30,88,0,0,19,35,1,8,187,514
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 79","Montréal",1,0,0,43,66,1,0,22,42,2,0,177,491
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 80","Montréal",4,0,0,37,78,0,0,24,32,0,2,177,459
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 81","Montréal",4,0,0,22,71,1,0,16,33,1,3,151,471
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 82","Montréal",5,0,0,17,37,0,0,10,35,2,0,106,385
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 83","Montréal",2,0,0,36,65,0,2,13,31,0,3,152,427
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 84","Montréal",3,0,0,22,78,0,0,11,34,0,0,148,370
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 85","Montréal",4,1,0,22,81,0,0,17,32,1,3,161,391
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 86","Montréal",9,0,0,23,78,1,1,18,56,0,1,187,402
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 87","Montréal",3,0,0,24,86,0,0,22,55,0,1,191,417
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 88","Montréal",3,0,2,24,48,0,0,25,35,0,1,138,352
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 89","Montréal",3,0,0,13,50,0,0,21,17,0,0,104,339
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 90","Montréal",5,0,1,32,70,1,0,14,20,0,4,147,393
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 91","Montréal",6,0,0,17,47,0,0,25,33,0,3,131,391
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 92","Montréal",10,0,0,22,63,0,0,20,33,1,1,150,448
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 93","Montréal",7,0,0,25,65,0,0,14,18,1,1,131,434
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 94","Montréal",6,0,2,19,70,0,1,17,24,0,1,140,462
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 95","Montréal",4,0,0,12,58,0,0,17,26,0,2,119,369
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 96","Montréal",1,0,0,24,96,0,0,20,37,0,2,180,513
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 97","Montréal",3,0,1,42,90,1,1,11,25,5,0,179,529
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 98","Montréal",7,0,1,12,48,0,0,15,37,1,3,124,499
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 99","Montréal",8,2,1,19,69,0,0,22,42,0,2,165,490
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 100","Montréal",10,0,3,16,73,0,0,14,24,2,0,142,316
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 101","Montréal",9,0,1,21,105,0,0,22,59,1,4,222,489
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 102","Montréal",5,0,0,32,117,0,0,19,55,2,1,231,437
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 103","Montréal",10,0,0,24,102,0,0,29,46,2,1,214,393
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 104","Montréal",8,0,0,27,83,0,1,15,68,1,1,204,454
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 105","Montréal",4,0,0,19,112,0,0,8,46,3,1,193,364
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 106","Montréal",9,0,0,18,69,1,0,14,44,0,3,158,383
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 107","Montréal",9,0,0,23,69,0,0,16,36,1,4,158,402
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 108","Montréal",10,1,0,26,127,0,1,23,82,0,1,271,518
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 109","Montréal",7,0,1,21,114,0,0,20,55,1,1,220,477
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 110","Montréal",8,0,0,27,94,0,0,25,66,0,1,221,481
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 111","Montréal",3,0,0,21,49,1,0,18,25,2,2,121,340
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 112","Montréal",1,0,2,21,59,0,0,29,21,1,2,136,379
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 113","Montréal",5,0,0,21,79,0,0,16,28,3,1,153,402
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 114","Montréal",7,1,1,30,63,0,1,22,33,1,3,162,383
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 115","Montréal",1,1,1,20,74,0,0,18,25,0,1,141,412
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 116","Montréal",8,0,0,18,59,0,1,23,39,1,3,152,491
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 117","Montréal",4,0,1,19,61,0,0,13,31,0,2,131,428
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 118","Montréal",7,1,0,18,48,0,0,12,24,2,0,112,336
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 119","Montréal",2,1,0,24,51,0,0,16,19,0,3,116,430
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 120","Montréal",5,0,0,32,54,0,0,12,32,0,1,136,409
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 121","Montréal",5,0,0,30,61,0,0,10,25,2,0,133,384
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 122","Montréal",2,2,0,15,57,0,0,6,15,1,0,98,365
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 123","Montréal",0,0,0,20,41,2,1,14,17,1,2,98,447
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 124A","Montréal",Combined with No./Résultats combinés à ceux du n°125,,,,,,,,,,,,106
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 124B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,,,,,,47
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 125","Montréal",7,0,0,32,153,0,1,20,63,1,2,279,387
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 126","Montréal",9,0,0,21,158,0,1,11,74,0,0,274,567
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 127","Montréal",4,0,0,19,136,0,0,25,87,0,1,272,523
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 128","Montréal",3,0,1,34,122,0,0,5,35,1,4,205,486
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 129","Montréal",2,0,0,29,96,0,0,10,34,1,3,175,455
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 130","Montréal",7,0,1,36,93,0,0,11,37,2,2,189,494
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 131","Montréal",0,0,0,34,76,0,0,9,23,2,0,144,440
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 132","Montréal",5,1,2,80,148,1,0,12,33,0,1,283,508
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 133","Montréal",3,1,1,54,118,0,0,14,28,1,5,225,498
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 134","Montréal",3,1,1,36,86,0,0,12,15,1,2,157,480
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 135","Montréal",6,0,1,53,94,2,0,10,21,0,3,190,515
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 136","Montréal",2,1,0,54,86,0,0,8,16,1,4,172,458
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 137","Montréal",0,0,0,61,82,0,0,10,13,1,0,167,515
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 138","Montréal",1,3,1,70,88,0,0,13,10,1,1,188,628
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 139","Montréal",4,0,0,35,93,0,0,6,12,3,1,154,551
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 140","Montréal",0,1,0,38,67,0,0,7,70,1,1,185,463
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 141","Montréal",7,0,1,37,106,0,0,17,38,2,3,211,489
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 142","Montréal",5,0,1,42,112,0,0,20,51,0,1,232,505
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 143","Montréal",2,0,1,37,74,0,2,10,27,1,4,158,414
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 144","Montréal",2,0,0,18,65,0,0,8,15,2,1,111,450
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 145","Montréal",6,0,0,55,106,0,0,11,24,4,1,207,471
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 146","Montréal",2,0,1,52,116,0,0,13,20,1,1,206,508
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 147","Montréal",4,1,1,57,141,0,0,10,22,0,1,237,554
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 148","Montréal",5,1,3,32,69,1,0,8,44,2,3,168,394
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 149","Montréal",3,0,1,42,93,0,0,17,30,2,3,191,400
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 150","Montréal",2,0,1,46,85,0,0,11,35,0,4,184,464
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 151","Montréal",2,0,0,48,109,0,0,9,26,1,1,196,558
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 152","Montréal",3,0,2,44,94,1,0,19,50,2,1,216,534
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 153","Montréal",7,0,0,35,42,0,0,18,34,1,1,138,399
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 154","Montréal",2,0,1,26,64,0,1,15,46,3,3,161,402
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 155","Montréal",0,0,0,67,109,0,2,16,26,0,4,224,537
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 156","Montréal",0,0,1,32,86,1,0,7,9,1,3,140,378
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 157","Montréal",2,0,0,36,110,0,0,2,35,0,3,188,530
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 158","Montréal",0,0,0,18,43,0,1,5,10,1,0,78,454
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 159","Montréal",4,0,0,44,85,0,1,1,13,1,2,151,469
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 160","Montréal",6,0,0,57,102,0,0,10,13,0,0,188,553
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 161","Montréal",3,0,2,41,99,0,0,4,22,0,1,172,450
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 162","Montréal",0,0,1,55,112,0,0,4,36,2,4,214,463
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 163","Montréal",1,1,1,47,92,0,0,6,21,0,2,171,469
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 164","Montréal",6,0,0,42,88,0,0,5,37,2,1,181,529
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 165","Montréal",5,0,1,34,52,0,0,11,35,2,7,147,438
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 166","Montréal",0,0,0,46,99,0,1,7,27,0,3,183,466
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 167","Montréal",3,0,0,51,101,0,1,7,45,1,2,211,479
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 168","Montréal",3,0,0,35,104,0,0,22,55,1,6,226,519
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 169","Montréal",2,1,0,35,86,0,0,11,33,1,5,174,501
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 170","Montréal",4,1,1,44,99,1,0,15,46,0,5,216,498
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 171","Montréal",0,1,1,38,81,0,0,4,8,0,3,136,516
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 172","Montréal",2,2,2,44,106,0,0,5,13,0,8,182,464
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 173","Montréal",3,0,1,53,112,2,0,6,22,1,4,204,457
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 174","Montréal",0,2,0,35,115,0,2,8,26,3,9,200,488
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 175","Montréal",2,0,1,58,88,1,0,6,9,0,1,166,398
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 176","Montréal",5,0,2,51,132,0,0,18,26,0,5,239,489
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 177","Montréal",2,0,0,46,55,0,0,7,17,0,2,129,385
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 400","Montréal",2,0,0,8,86,0,0,2,50,0,7,155,191
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 401","Montréal",1,3,1,12,133,0,1,14,28,0,12,205,285
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 500","Mobile poll/Bureau itinérant",3,1,1,12,58,0,0,4,33,0,4,116,92
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,,,,,78
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,,,,,39
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,,,,,32
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 504","Montréal",Combined with No./Résultats combinés à ceux du n°58A,,,,,,,,,,,,73
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,,,,,,94
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 506","Mobile poll/Bureau itinérant",1,0,2,2,28,0,1,7,8,0,4,53,114
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 507","Mobile poll/Bureau itinérant",1,0,0,2,18,1,0,0,6,0,2,30,96
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 508","Mobile poll/Bureau itinérant",3,1,1,10,54,1,1,7,9,2,4,93,90
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,,,,,,70
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 510","Mobile poll/Bureau itinérant",2,1,1,6,45,2,2,2,4,1,3,69,92
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 600","Montréal",30,2,2,82,690,1,3,139,276,2,7,1234,
