Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Diane Beauregard,Meryem Benslimane,Micheline Boucher Granger,Pierre Branchaud,Josée Larose,Monique Pauzé,Samuel Saint-Laurent,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24060,"Repentigny/Repentigny"," 47","L'Assomption",3,13,2,13,41,132,0,1,205,497
24060,"Repentigny/Repentigny"," 48","L'Assomption",3,14,0,13,31,98,0,7,166,431
24060,"Repentigny/Repentigny"," 49","L'Assomption",5,16,1,21,30,127,3,6,209,436
24060,"Repentigny/Repentigny"," 50","L'Assomption",6,5,0,14,40,109,2,2,178,419
24060,"Repentigny/Repentigny"," 51","Repentigny",14,25,1,16,86,116,2,2,262,468
24060,"Repentigny/Repentigny"," 52","Repentigny",6,18,1,13,74,127,0,2,241,471
24060,"Repentigny/Repentigny"," 53","Repentigny",4,17,1,16,73,104,1,6,222,409
24060,"Repentigny/Repentigny"," 54","Repentigny",11,10,0,20,71,95,2,1,210,401
24060,"Repentigny/Repentigny"," 55","Repentigny",4,17,1,15,74,69,2,4,186,353
24060,"Repentigny/Repentigny"," 56","Repentigny",8,18,0,10,80,92,2,5,215,461
24060,"Repentigny/Repentigny"," 57","Repentigny",8,13,0,9,50,81,2,6,169,338
24060,"Repentigny/Repentigny"," 58","Repentigny",11,14,0,9,65,104,1,7,211,366
24060,"Repentigny/Repentigny"," 59","Repentigny",10,23,0,22,80,109,1,2,247,422
24060,"Repentigny/Repentigny"," 60","Repentigny",5,14,2,17,77,142,1,0,258,425
24060,"Repentigny/Repentigny"," 61","Repentigny",10,28,1,9,91,129,2,4,274,475
24060,"Repentigny/Repentigny"," 62","Repentigny",8,27,0,17,101,115,3,4,275,453
24060,"Repentigny/Repentigny"," 63","Repentigny",4,11,1,16,74,116,0,3,225,506
24060,"Repentigny/Repentigny"," 64","Repentigny",4,16,0,5,59,126,0,2,212,422
24060,"Repentigny/Repentigny"," 65","Repentigny",6,11,0,15,68,118,1,5,224,414
24060,"Repentigny/Repentigny"," 66","Repentigny",7,14,0,22,102,55,1,2,203,376
24060,"Repentigny/Repentigny"," 67","Repentigny",2,7,2,13,80,45,0,5,154,271
24060,"Repentigny/Repentigny"," 68","Repentigny",11,19,4,27,143,107,2,5,318,491
24060,"Repentigny/Repentigny"," 69","Repentigny",6,15,0,13,84,79,2,5,204,382
24060,"Repentigny/Repentigny"," 70","Repentigny",8,23,0,32,113,121,1,4,302,565
24060,"Repentigny/Repentigny"," 71","Repentigny",6,15,1,24,97,97,2,5,247,392
24060,"Repentigny/Repentigny"," 72","Repentigny",12,29,1,30,109,95,1,2,279,523
24060,"Repentigny/Repentigny"," 73","Repentigny",3,15,3,6,88,115,6,8,244,432
24060,"Repentigny/Repentigny"," 74","Repentigny",7,27,0,19,76,76,2,4,211,384
24060,"Repentigny/Repentigny"," 75","Repentigny",5,13,0,14,53,85,1,0,171,344
24060,"Repentigny/Repentigny"," 76","Repentigny",8,16,1,14,79,120,0,7,245,411
24060,"Repentigny/Repentigny"," 77","Repentigny",11,11,2,15,76,108,4,9,236,400
24060,"Repentigny/Repentigny"," 78","Repentigny",6,10,1,10,67,103,1,4,202,390
24060,"Repentigny/Repentigny"," 79","Repentigny",8,19,1,19,68,107,0,2,224,421
