Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Hazar Alsabagh,Remo Boscarino-Gaetano,Iqra Khalid,Salman Tariq,Hani Tawfilis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 125","Mississauga",1,7,93,17,54,1,173,450
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 126","Mississauga",0,11,89,24,26,2,152,445
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 127","Mississauga",1,4,102,14,52,2,175,534
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 128","Mississauga",11,17,140,36,101,4,309,516
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 129","Mississauga",3,10,84,21,87,2,207,411
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 130","Mississauga",4,11,102,9,55,1,182,453
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 131","Mississauga",1,9,105,18,50,0,183,434
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 132","Mississauga",1,3,63,15,45,1,128,338
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 133","Mississauga",1,11,93,23,57,0,185,452
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 134","Mississauga",0,3,112,29,59,2,205,533
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 135","Mississauga",0,5,95,21,84,1,206,538
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 136","Mississauga",0,1,140,13,72,0,226,590
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 137","Mississauga",3,7,117,21,62,1,211,501
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 138","Mississauga",4,5,93,14,52,1,169,455
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 139","Mississauga",2,4,115,20,67,0,208,473
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 140","Mississauga",2,8,114,12,50,1,187,486
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 141","Mississauga",1,8,122,26,63,1,221,555
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 142","Mississauga",2,8,155,15,62,1,243,669
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 143","Mississauga",1,3,106,22,37,4,173,415
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 144","Mississauga",3,9,122,14,41,2,191,462
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 145","Mississauga",0,8,119,17,81,2,227,495
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 146","Mississauga",2,6,81,15,74,0,178,432
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 147","Mississauga",3,10,95,16,46,3,173,374
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 148","Mississauga",0,6,76,8,49,2,141,379
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 149","Mississauga",1,4,103,20,75,6,209,406
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 150","Mississauga",1,4,133,25,65,2,230,459
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 151","Mississauga",5,3,88,12,45,1,154,394
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 152","Mississauga",4,13,120,33,64,4,238,476
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 153","Mississauga",1,13,73,18,72,1,178,374
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 154","Mississauga",5,15,77,16,66,0,179,360
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 155","Mississauga",5,15,103,26,37,3,189,441
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 156","Mississauga",6,5,85,19,55,2,172,395
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 157","Mississauga",4,10,77,10,62,1,164,426
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 158","Mississauga",0,13,101,27,53,2,196,464
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 159","Mississauga",5,6,116,8,64,3,202,447
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 160","Mississauga",3,4,78,16,61,1,163,402
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 161","Mississauga",0,8,109,8,53,3,181,399
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 162","Mississauga",3,10,114,18,65,3,213,405
