Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,James Bezan,Wayne James,Ian Kathwaroon,Detlev Regelsky,Robert A. Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 120","East Selkirk",139,11,0,31,57,0,238,465
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 121","Highland Glen",142,15,1,34,48,0,240,477
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 122","Marquette",180,19,4,10,26,1,240,314
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 123","Woodlands",146,15,4,20,34,0,219,437
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 124","Warren",140,19,2,21,26,0,208,381
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 125","Rosser",121,2,1,5,9,1,139,311
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 126","Selkirk",56,4,0,20,11,1,92,183
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 127","Selkirk",64,7,3,19,70,3,166,380
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 128","Selkirk",61,8,3,17,42,3,134,385
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 129","Selkirk",84,16,1,17,57,1,176,420
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 130","Selkirk",70,6,3,19,49,0,147,356
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 131","Stonewall",89,16,1,34,40,0,180,352
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 132","Stonewall",123,16,0,33,44,0,216,355
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 133","Stonewall",124,10,0,35,21,0,190,385
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 134","Stonewall",110,10,4,22,39,2,187,378
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 135","Stonewall",153,7,5,20,35,1,221,389
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 136","Stonewall",116,12,4,23,37,2,194,367
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 137","Stonewall",133,13,2,25,42,0,215,410
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 138","Stonewall",178,9,4,23,28,1,243,435
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 139","Selkirk",100,7,1,28,57,0,193,377
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 140","Selkirk",63,12,4,27,40,1,147,334
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 141","Selkirk",77,8,1,26,66,2,180,418
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 142","Selkirk",80,5,10,35,67,3,200,399
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 143","Selkirk",83,13,4,29,60,3,192,368
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 144","Selkirk",84,10,2,24,58,1,179,394
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 145","Selkirk",105,16,1,41,40,1,204,338
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 146","Selkirk",131,14,6,31,51,2,235,425
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 147","St. Andrews",106,11,1,34,52,1,205,389
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 148","Selkirk",91,5,0,18,45,1,160,325
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 149","Selkirk",100,15,3,33,59,0,210,404
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 150","Selkirk",100,7,3,34,56,1,201,434
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 151","Fort Garry",119,14,6,18,44,4,205,436
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 152","St. Andrews",139,7,2,11,46,0,205,424
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 153","Fort Garry",97,8,4,12,42,0,163,314
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 154","St. Andrews",77,7,5,24,29,2,144,274
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 155","Pinawa",106,26,1,36,32,4,205,361
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 156","Pinawa",86,23,1,60,37,0,207,342
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 157","Pinawa",55,16,3,34,23,3,134,225
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 158","Pinawa",131,23,0,57,42,2,255,384
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 159","Sebright",173,12,7,26,39,0,257,477
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 160","Tyndall",92,6,0,16,36,1,151,306
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 161","Tyndall",107,13,4,23,28,0,175,300
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 162","Brokenhead",136,10,8,8,25,0,187,341
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 163","Ladywood",172,19,3,28,28,0,250,454
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 164","Cromwell",164,15,2,13,26,0,220,398
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 165","Beauséjour",104,11,3,21,21,1,161,391
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 166","Beauséjour",106,13,5,17,48,1,190,399
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 167","Beauséjour",123,20,3,16,45,1,208,401
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 168","Beauséjour",120,16,4,16,54,0,210,451
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 169","Beauséjour",98,12,4,16,33,1,164,331
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 170","Beauséjour",112,19,2,27,39,2,201,355
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 171","Beauséjour",93,9,2,18,33,0,155,286
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 172","Cloverleaf",157,18,8,18,46,0,247,425
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 173","St. Ouens",157,31,5,27,39,3,262,457
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 174","Stony Mountain",152,11,3,31,36,0,233,406
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 175","Stony Mountain",163,11,1,30,35,0,240,396
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 176","Stony Mountain",181,16,2,35,49,0,283,522
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 177","Stony Mountain",164,9,4,25,37,0,239,360
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 178","Garson",147,17,4,34,47,0,249,410
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 179","Melrose",202,15,4,39,45,1,306,514
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 180","St. Andrews",96,15,0,11,48,1,171,362
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 181","St. Andrews",115,11,2,35,44,2,209,353
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 182","St. Andrews",99,11,2,21,30,0,163,354
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 183","St. Andrews",104,8,4,25,29,0,170,382
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 184","St. Andrews",99,7,2,24,34,1,167,354
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 185","St. Andrews",72,4,1,10,36,0,123,313
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 186","St. Andrews",92,16,5,32,55,0,200,382
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 187","St. Andrews",133,7,0,17,46,0,203,358
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 188","St. Andrews",83,8,6,18,40,1,156,329
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 189","St. Andrews",114,8,2,29,32,0,185,367
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 190","St. Andrews",78,3,2,16,31,0,130,281
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 191","St. Andrews",83,10,3,25,24,0,145,298
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 192","St. Andrews",124,11,0,34,23,0,192,340
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 193","Grosse Isle",142,13,2,23,31,1,212,301
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 194","Little Britain",139,7,2,14,25,1,188,361
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 195","Gonor",55,5,0,21,20,0,101,240
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 196","Narol",92,14,3,41,49,1,200,392
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 197","Gonor Station",135,23,1,22,36,2,219,421
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 198","St. Clements",95,12,4,30,60,2,203,449
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 199","St. Clements",77,8,2,17,34,0,138,329
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 200","Narol",107,9,0,16,38,0,170,333
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 201","St. Clements",121,19,5,26,40,0,211,406
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 202","Narol",92,22,1,44,30,0,189,382
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 203","St. Clements",145,10,3,32,34,0,224,370
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 204","St. Clements",104,7,1,17,25,0,154,303
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 205","St. Clements",113,6,4,15,28,0,166,278
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 206","Rosser",95,2,3,6,13,0,119,203
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 207","Rosser",88,1,4,15,14,0,122,284
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 208","Lilyfield",134,12,4,27,28,3,208,337
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 400","Stonewall",126,8,0,28,10,3,175,247
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 401","Selkirk",13,6,0,8,6,3,36,233
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 500","Mobile poll/Bureau itinérant",27,1,0,7,7,3,45,83
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 501","Mobile poll/Bureau itinérant",26,0,0,3,5,2,36,60
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 502","Mobile poll/Bureau itinérant",24,2,1,8,2,0,37,54
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 503","Mobile poll/Bureau itinérant",31,3,0,5,7,2,48,102
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 504","Mobile poll/Bureau itinérant",31,4,1,0,11,0,47,114
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 505","Mobile poll/Bureau itinérant",23,4,1,3,7,2,40,59
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 506","Mobile poll/Bureau itinérant",21,2,1,5,3,2,34,58
