Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Richard Cannings,Connie Denesiuk,Carolina Hopkins,Tara Howse,Helena Konanz,Sean Taylor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 29","Penticton",88,36,0,15,46,6,0,191,630
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 30","Penticton",86,37,1,13,44,3,1,185,555
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 31","Penticton",84,47,1,14,57,2,3,208,486
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 32","Penticton",75,35,3,19,66,3,1,202,530
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 33","Penticton",89,36,2,24,43,7,0,201,468
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 34","Penticton",56,36,0,6,50,8,1,157,389
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 35","Penticton",70,39,0,14,63,4,2,192,441
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 36","Penticton",99,38,2,14,68,9,1,231,458
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 37","Penticton",86,34,1,17,60,1,0,199,421
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 38","Penticton",61,37,0,13,29,3,1,144,400
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 39","Penticton",66,24,0,14,55,6,1,166,472
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 40","Penticton",58,26,2,12,31,0,1,130,336
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 41","Penticton",84,50,1,13,56,4,1,209,569
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 42","Penticton",67,35,0,13,62,2,2,181,445
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 43","Penticton",81,30,2,9,53,6,0,181,434
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 44","Penticton",54,34,1,15,76,3,1,184,545
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 45","Penticton",53,72,2,9,66,4,4,210,608
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 46","Penticton 1",66,32,0,13,48,1,2,162,353
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 47","Penticton",69,37,0,10,50,8,1,175,611
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 48","Penticton",101,36,2,11,69,3,0,222,518
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 49","Penticton",95,41,2,6,83,5,1,233,500
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 50","Penticton",90,28,0,14,65,7,0,204,443
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 51","Penticton",94,27,1,25,75,4,1,227,480
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 52","Penticton",126,50,0,14,126,5,1,322,723
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 53","Penticton",74,37,1,12,47,3,1,175,412
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 54","Penticton",77,29,0,7,73,0,0,186,456
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 55","Okanagan-Similkameen D",50,40,2,10,63,2,0,167,433
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 56","Penticton 1",34,17,1,4,36,5,1,98,300
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 57","Penticton",57,39,0,9,49,2,0,156,427
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 58","Penticton",84,38,1,3,58,0,1,185,493
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 59","Penticton",80,42,0,11,63,2,1,199,565
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 60","Penticton",58,30,0,16,62,1,0,167,376
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 61","Penticton",70,44,0,7,51,3,0,175,524
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 62","Penticton",86,52,1,2,73,2,1,217,515
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 63","Penticton",62,24,2,13,59,6,0,166,456
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 64","Penticton",79,50,1,10,79,7,2,228,585
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 65","Penticton 1",63,37,1,6,61,3,2,173,575
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 66","Okanagan-Similkameen D",65,51,1,8,125,0,1,251,568
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 67","Penticton",80,57,1,2,84,5,0,229,625
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 68","Penticton",61,47,1,9,52,4,0,174,568
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 69","Penticton",48,24,2,8,43,4,0,129,447
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 70","Penticton",61,22,1,11,39,1,2,137,468
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 71","Penticton",45,19,1,10,49,1,0,125,339
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 72","Penticton",48,23,0,7,38,3,0,119,331
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 73","Penticton",65,33,0,17,45,4,1,165,361
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 74","Penticton",55,33,0,9,87,0,2,186,361
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 75","Penticton",54,39,0,8,42,3,1,147,373
