Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Theodore Antony,Hal Berman,Helena Jaczek,Jeremy Lin,Roy Long,Jane Philpott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35054,"Markham--Stouffville/Markham--Stouffville"," 82","Markham",75,26,99,3,2,16,7,228,454
35054,"Markham--Stouffville/Markham--Stouffville"," 83","Markham",56,23,86,1,2,18,3,189,403
35054,"Markham--Stouffville/Markham--Stouffville"," 84","Markham",57,10,81,0,3,24,0,175,382
35054,"Markham--Stouffville/Markham--Stouffville"," 85","Markham",80,30,153,1,5,30,9,308,606
35054,"Markham--Stouffville/Markham--Stouffville"," 86","Markham",62,31,131,3,4,16,2,249,502
35054,"Markham--Stouffville/Markham--Stouffville"," 87","Markham",83,20,91,2,4,21,2,223,471
35054,"Markham--Stouffville/Markham--Stouffville"," 88","Markham",90,26,111,1,5,21,1,255,455
35054,"Markham--Stouffville/Markham--Stouffville"," 89","Markham",75,17,122,6,6,23,1,250,468
35054,"Markham--Stouffville/Markham--Stouffville"," 90A","Markham",53,14,76,1,2,19,2,167,302
35054,"Markham--Stouffville/Markham--Stouffville"," 90B","Markham",86,14,69,3,7,22,2,203,385
35054,"Markham--Stouffville/Markham--Stouffville"," 91","Markham",92,13,113,0,3,41,0,262,459
35054,"Markham--Stouffville/Markham--Stouffville"," 92","Markham",68,26,91,1,6,20,1,213,407
35054,"Markham--Stouffville/Markham--Stouffville"," 93","Markham",68,14,67,1,12,22,1,185,476
35054,"Markham--Stouffville/Markham--Stouffville"," 94A","Markham",62,17,74,7,2,11,0,173,458
35054,"Markham--Stouffville/Markham--Stouffville"," 94B","Markham",51,12,70,0,4,16,1,154,366
35054,"Markham--Stouffville/Markham--Stouffville"," 95","Markham",72,16,116,3,7,21,2,237,486
35054,"Markham--Stouffville/Markham--Stouffville"," 96","Markham",104,20,113,2,11,15,1,266,599
35054,"Markham--Stouffville/Markham--Stouffville"," 97","Markham",73,13,88,4,3,23,5,209,391
35054,"Markham--Stouffville/Markham--Stouffville"," 98","Markham",43,17,98,2,1,10,4,175,395
35054,"Markham--Stouffville/Markham--Stouffville"," 99","Markham",43,17,77,1,10,18,6,172,420
35054,"Markham--Stouffville/Markham--Stouffville"," 100","Markham",52,17,61,3,1,12,5,151,429
35054,"Markham--Stouffville/Markham--Stouffville"," 101","Markham",44,9,84,0,5,15,1,158,368
35054,"Markham--Stouffville/Markham--Stouffville"," 102","Markham",53,27,42,1,4,16,2,145,390
35054,"Markham--Stouffville/Markham--Stouffville"," 103","Markham",93,30,124,2,9,31,6,295,518
35054,"Markham--Stouffville/Markham--Stouffville"," 104","Markham",45,9,117,1,0,11,2,185,384
35054,"Markham--Stouffville/Markham--Stouffville"," 105","Markham",76,16,97,2,5,15,0,211,416
35054,"Markham--Stouffville/Markham--Stouffville"," 106","Markham",74,11,99,0,6,44,0,234,490
35054,"Markham--Stouffville/Markham--Stouffville"," 107","Markham",70,18,129,2,5,31,0,255,605
35054,"Markham--Stouffville/Markham--Stouffville"," 108","Markham",104,20,99,3,4,28,3,261,598
35054,"Markham--Stouffville/Markham--Stouffville"," 109","Markham",50,16,100,4,2,38,1,211,465
35054,"Markham--Stouffville/Markham--Stouffville"," 110","Markham",59,22,104,5,4,34,6,234,533
35054,"Markham--Stouffville/Markham--Stouffville"," 111","Markham",54,5,106,2,5,51,6,229,330
35054,"Markham--Stouffville/Markham--Stouffville"," 112","Markham",50,4,102,0,2,66,6,230,367
35054,"Markham--Stouffville/Markham--Stouffville"," 113","Markham",35,4,72,2,1,49,5,168,299
35054,"Markham--Stouffville/Markham--Stouffville"," 114","Markham",108,20,117,5,10,43,1,304,559
35054,"Markham--Stouffville/Markham--Stouffville"," 115","Markham",76,15,101,1,8,65,1,267,572
35054,"Markham--Stouffville/Markham--Stouffville"," 116","Markham",52,16,92,0,3,63,1,227,390
35054,"Markham--Stouffville/Markham--Stouffville"," 117","Markham",58,4,72,4,1,32,0,171,362
35054,"Markham--Stouffville/Markham--Stouffville"," 118","Markham",65,10,70,2,14,52,0,213,371
35054,"Markham--Stouffville/Markham--Stouffville"," 119","Markham",49,16,51,6,8,13,1,144,367
35054,"Markham--Stouffville/Markham--Stouffville"," 120","Markham",53,18,85,3,5,13,8,185,415
35054,"Markham--Stouffville/Markham--Stouffville"," 121","Markham",42,13,47,1,2,6,0,111,244
35054,"Markham--Stouffville/Markham--Stouffville"," 122","Markham",69,13,77,1,3,47,1,211,421
35054,"Markham--Stouffville/Markham--Stouffville"," 123","Markham",38,7,76,0,4,47,0,172,321
35054,"Markham--Stouffville/Markham--Stouffville"," 124","Markham",45,11,62,1,5,28,1,153,346
35054,"Markham--Stouffville/Markham--Stouffville"," 125","Markham",91,9,62,0,8,55,0,225,459
35054,"Markham--Stouffville/Markham--Stouffville"," 126","Markham",42,13,54,3,6,24,0,142,326
35054,"Markham--Stouffville/Markham--Stouffville"," 127","Markham",39,7,89,2,3,36,0,176,429
35054,"Markham--Stouffville/Markham--Stouffville"," 128","Markham",47,20,73,4,6,40,4,194,416
35054,"Markham--Stouffville/Markham--Stouffville"," 129","Markham",45,22,73,3,10,21,1,175,396
35054,"Markham--Stouffville/Markham--Stouffville"," 130","Markham",54,19,80,6,3,37,1,200,432
35054,"Markham--Stouffville/Markham--Stouffville"," 131","Markham",54,16,71,0,3,42,4,190,451
35054,"Markham--Stouffville/Markham--Stouffville"," 132A","Markham",75,13,57,0,9,16,2,172,353
35054,"Markham--Stouffville/Markham--Stouffville"," 132B","Markham",44,13,56,0,2,20,1,136,291
35054,"Markham--Stouffville/Markham--Stouffville"," 133","Markham",57,17,69,5,7,38,0,193,472
35054,"Markham--Stouffville/Markham--Stouffville"," 134","Markham",73,10,97,0,2,36,1,219,452
35054,"Markham--Stouffville/Markham--Stouffville"," 135","Markham",86,19,94,1,4,24,1,229,530
35054,"Markham--Stouffville/Markham--Stouffville"," 136","Markham",57,19,98,1,3,30,0,208,502
35054,"Markham--Stouffville/Markham--Stouffville"," 137","Markham",28,11,40,1,0,7,0,87,205
35054,"Markham--Stouffville/Markham--Stouffville"," 138","Markham",61,21,97,2,0,18,0,199,435
35054,"Markham--Stouffville/Markham--Stouffville"," 139","Markham",80,20,84,3,4,29,0,220,459
