Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lyne Bourdages,Philippe Gagnon,Vincent Garneau,Mario Simard,Sylvie Théodore,Karine Trudel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24032,"Jonquière/Jonquière"," 160","Saguenay",2,61,42,82,0,55,4,246,455
24032,"Jonquière/Jonquière"," 161","Saguenay",5,67,49,120,0,71,6,318,603
24032,"Jonquière/Jonquière"," 162","Saguenay",9,57,58,88,3,57,5,277,522
24032,"Jonquière/Jonquière"," 163","Saguenay",5,77,40,88,5,73,7,295,523
24032,"Jonquière/Jonquière"," 164","Saguenay",1,56,40,89,0,52,8,246,491
24032,"Jonquière/Jonquière"," 165","Saguenay",6,70,41,76,2,59,4,258,482
24032,"Jonquière/Jonquière"," 166","Saguenay",6,85,39,95,3,72,5,305,563
24032,"Jonquière/Jonquière"," 167","Saguenay",6,72,39,70,2,48,4,241,469
24032,"Jonquière/Jonquière"," 168","Lac-Ministuk",2,51,55,95,3,51,4,261,485
24032,"Jonquière/Jonquière"," 169","Saguenay",5,48,32,75,1,43,1,205,394
24032,"Jonquière/Jonquière"," 170","Lac-Ministuk",5,55,30,84,0,53,5,232,422
24032,"Jonquière/Jonquière"," 171","Saguenay",4,41,35,69,2,81,4,236,481
24032,"Jonquière/Jonquière"," 400","Saguenay",0,20,83,54,1,26,23,207,276
24032,"Jonquière/Jonquière"," 401","Saguenay",1,14,53,43,0,27,17,155,209
24032,"Jonquière/Jonquière"," 402","Saguenay",2,18,45,23,0,14,13,115,190
24032,"Jonquière/Jonquière"," 500","Mobile poll/Bureau itinérant",0,1,16,12,1,5,6,41,64
24032,"Jonquière/Jonquière"," 501","Mobile poll/Bureau itinérant",2,9,25,14,0,4,3,57,87
24032,"Jonquière/Jonquière"," 502","Mobile poll/Bureau itinérant",1,10,6,15,0,7,3,42,160
24032,"Jonquière/Jonquière"," 503","Mobile poll/Bureau itinérant",0,12,20,29,0,14,6,81,125
24032,"Jonquière/Jonquière"," 504","Mobile poll/Bureau itinérant",2,8,16,10,2,2,0,40,94
24032,"Jonquière/Jonquière"," 505","Mobile poll/Bureau itinérant",4,9,21,25,1,11,1,72,118
24032,"Jonquière/Jonquière"," 506","Mobile poll/Bureau itinérant",2,12,22,18,1,13,3,71,104
24032,"Jonquière/Jonquière"," 507","Mobile poll/Bureau itinérant",0,2,6,22,0,8,1,39,93
24032,"Jonquière/Jonquière"," 508","Mobile poll/Bureau itinérant",1,4,8,9,1,9,6,38,138
24032,"Jonquière/Jonquière"," 509","Mobile poll/Bureau itinérant",0,6,23,17,2,4,5,57,129
24032,"Jonquière/Jonquière"," 510","Mobile poll/Bureau itinérant",1,9,42,29,1,12,9,103,131
24032,"Jonquière/Jonquière"," 511","Mobile poll/Bureau itinérant",1,5,21,26,0,11,13,77,114
24032,"Jonquière/Jonquière"," 512A","Mobile poll/Bureau itinérant",3,4,23,23,2,18,9,82,101
24032,"Jonquière/Jonquière"," 512B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°512A,,,,,,,,33
24032,"Jonquière/Jonquière"," 600","Saint-Fulgence",8,83,47,108,2,51,0,299,
24032,"Jonquière/Jonquière"," 601","Saint-Nazaire",3,64,39,100,1,38,7,252,
24032,"Jonquière/Jonquière"," 602","Saint-Ambroise",8,133,78,190,2,155,5,571,
24032,"Jonquière/Jonquière"," 603","Saint-David-de-Falardeau",6,82,54,136,1,81,4,364,
24032,"Jonquière/Jonquière"," 604","Saint-Honoré",7,128,41,113,12,76,12,389,
24032,"Jonquière/Jonquière"," 605","Saint-Honoré",3,94,47,108,3,54,0,309,
24032,"Jonquière/Jonquière"," 606","Shipshaw",9,94,66,155,5,73,3,405,
24032,"Jonquière/Jonquière"," 607","Larouche",4,50,37,99,4,51,3,248,
24032,"Jonquière/Jonquière"," 608","Saguenay",3,77,60,122,8,71,5,346,
24032,"Jonquière/Jonquière"," 609","Nikitoutagan",15,118,143,270,2,164,12,724,
24032,"Jonquière/Jonquière"," 610","Jonquière",5,146,105,211,3,151,5,626,
24032,"Jonquière/Jonquière"," 611","Saguenay",9,100,113,218,5,142,23,610,
24032,"Jonquière/Jonquière"," 612","Saguenay",6,67,80,135,4,99,7,398,
24032,"Jonquière/Jonquière"," 613","Jonquière",12,89,101,231,4,119,2,558,
24032,"Jonquière/Jonquière"," 614","Saguenay",12,65,99,213,4,142,8,543,
24032,"Jonquière/Jonquière"," 615","Jonquière",7,99,81,172,4,135,4,502,
24032,"Jonquière/Jonquière"," 616","Saguenay",14,78,87,171,3,130,3,486,
24032,"Jonquière/Jonquière"," 617","Saguenay",13,153,165,315,13,210,20,889,
24032,"Jonquière/Jonquière"," 618","Saguenay",21,215,201,439,7,277,21,1181,
24032,"Jonquière/Jonquière"," 619","Saguenay",2,57,63,123,5,73,4,327,
24032,"Jonquière/Jonquière"," 620","Saguenay",11,192,118,218,6,161,7,713,
24032,"Jonquière/Jonquière",,Group 1/Groupe 1, 8,84,33,11,3,28,16,183,50
24032,"Jonquière/Jonquière",,Group 2/Groupe 2, 57,216,205,379,10,317,23,1207,
