Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Karin Brothers,Chrystia Freeland,Drew Garvie,Tim Grant,Melissa Jean-Baptiste Vajda,Aran Lockwood,Steve Rutchinski,Helen-Claire Tingling,Liz White,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35110,"University--Rosedale/University--Rosedale"," 433A","Toronto",0,201,0,19,21,2,0,53,1,2,299,434
35110,"University--Rosedale/University--Rosedale"," 433B","Toronto",2,168,0,16,17,1,0,54,0,2,260,432
35110,"University--Rosedale/University--Rosedale"," 434","Toronto",Merged with No./Fusionné avec le n°427,,,,,,,,,,,108
35110,"University--Rosedale/University--Rosedale"," 435","Toronto",0,69,0,11,24,0,0,38,0,0,142,278
35110,"University--Rosedale/University--Rosedale"," 436","Toronto",0,70,0,8,16,0,0,52,1,1,148,293
35110,"University--Rosedale/University--Rosedale"," 437","Toronto",0,98,0,6,16,2,0,43,0,0,165,279
35110,"University--Rosedale/University--Rosedale"," 438","Toronto",Merged with No./Fusionné avec le n°428,,,,,,,,,,,153
35110,"University--Rosedale/University--Rosedale"," 439","Toronto",0,94,3,9,35,5,0,23,0,1,170,325
35110,"University--Rosedale/University--Rosedale"," 440","Toronto",Merged with No./Fusionné avec le n°73,,,,,,,,,,,69
35110,"University--Rosedale/University--Rosedale"," 441","Toronto",0,72,0,12,26,1,0,24,0,1,136,244
35110,"University--Rosedale/University--Rosedale"," 442","Toronto",2,55,0,4,27,5,0,24,3,0,120,208
35110,"University--Rosedale/University--Rosedale"," 443","Toronto",0,64,0,11,17,1,0,39,1,0,133,275
35110,"University--Rosedale/University--Rosedale"," 444","Toronto",Merged with No./Fusionné avec le n°454,,,,,,,,,,,124
35110,"University--Rosedale/University--Rosedale"," 445","Toronto",0,91,0,9,32,0,0,30,2,0,164,490
35110,"University--Rosedale/University--Rosedale"," 446","Toronto",1,72,1,5,22,1,0,24,0,0,126,228
35110,"University--Rosedale/University--Rosedale"," 447","Toronto",2,122,0,8,36,2,0,52,0,1,223,549
35110,"University--Rosedale/University--Rosedale"," 448","Toronto",1,117,0,9,32,2,0,55,0,0,216,518
35110,"University--Rosedale/University--Rosedale"," 449","Toronto",1,59,0,11,22,2,0,12,0,0,107,193
