Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ryan Dyck,Leah Gazan,Stephanie Hein,Yogi Henderson,Robert-Falcon Ouellette,Andrea Shalay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46011,"Winnipeg Centre/Winnipeg-Centre"," 40","Winnipeg",15,69,2,2,36,7,0,131,432
46011,"Winnipeg Centre/Winnipeg-Centre"," 41","Winnipeg",28,51,3,3,61,3,2,151,353
46011,"Winnipeg Centre/Winnipeg-Centre"," 42","Winnipeg",25,37,0,1,53,4,1,121,357
46011,"Winnipeg Centre/Winnipeg-Centre"," 43","Winnipeg",22,41,1,2,45,3,1,115,300
46011,"Winnipeg Centre/Winnipeg-Centre"," 44","Winnipeg",26,53,2,0,48,5,1,135,389
46011,"Winnipeg Centre/Winnipeg-Centre"," 45","Winnipeg",17,39,1,4,67,2,2,132,386
46011,"Winnipeg Centre/Winnipeg-Centre"," 46","Winnipeg",45,85,3,2,62,6,0,203,460
46011,"Winnipeg Centre/Winnipeg-Centre"," 47","Winnipeg",36,59,0,1,39,7,0,142,325
46011,"Winnipeg Centre/Winnipeg-Centre"," 48","Winnipeg",36,120,1,4,64,7,0,232,491
46011,"Winnipeg Centre/Winnipeg-Centre"," 49","Winnipeg",59,75,4,4,101,6,2,251,486
46011,"Winnipeg Centre/Winnipeg-Centre"," 50","Winnipeg",40,75,0,1,77,11,0,204,520
46011,"Winnipeg Centre/Winnipeg-Centre"," 51","Winnipeg",27,27,0,0,41,8,0,103,189
46011,"Winnipeg Centre/Winnipeg-Centre"," 52","Winnipeg",35,68,4,1,71,9,2,190,417
46011,"Winnipeg Centre/Winnipeg-Centre"," 53","Winnipeg",54,69,0,3,65,8,2,201,403
46011,"Winnipeg Centre/Winnipeg-Centre"," 54","Winnipeg",47,92,7,5,67,9,3,230,472
46011,"Winnipeg Centre/Winnipeg-Centre"," 55","Winnipeg",26,72,0,3,85,6,3,195,391
46011,"Winnipeg Centre/Winnipeg-Centre"," 56","Winnipeg",18,35,4,1,48,1,2,109,401
46011,"Winnipeg Centre/Winnipeg-Centre"," 57","Winnipeg",10,39,0,3,77,3,0,132,364
46011,"Winnipeg Centre/Winnipeg-Centre"," 58","Winnipeg",14,28,7,4,20,1,1,75,382
46011,"Winnipeg Centre/Winnipeg-Centre"," 59","Winnipeg",30,49,0,1,113,5,2,200,468
46011,"Winnipeg Centre/Winnipeg-Centre"," 60","Winnipeg",12,37,4,0,37,5,0,95,411
46011,"Winnipeg Centre/Winnipeg-Centre"," 61","Winnipeg",12,43,0,0,50,6,2,113,330
46011,"Winnipeg Centre/Winnipeg-Centre"," 62","Winnipeg",20,39,0,1,40,8,4,112,317
46011,"Winnipeg Centre/Winnipeg-Centre"," 63","Winnipeg",37,65,1,2,58,4,0,167,436
46011,"Winnipeg Centre/Winnipeg-Centre"," 64","Winnipeg",17,34,2,2,42,5,0,102,407
46011,"Winnipeg Centre/Winnipeg-Centre"," 65","Winnipeg",22,69,1,4,49,12,1,158,359
46011,"Winnipeg Centre/Winnipeg-Centre"," 66","Winnipeg",12,44,3,6,40,7,2,114,434
46011,"Winnipeg Centre/Winnipeg-Centre"," 67","Winnipeg",29,57,1,1,65,11,0,164,490
46011,"Winnipeg Centre/Winnipeg-Centre"," 68","Winnipeg",15,72,0,5,31,3,2,128,322
46011,"Winnipeg Centre/Winnipeg-Centre"," 69","Winnipeg",17,39,2,1,55,1,0,115,378
46011,"Winnipeg Centre/Winnipeg-Centre"," 70","Winnipeg",14,41,4,3,59,4,3,128,330
46011,"Winnipeg Centre/Winnipeg-Centre"," 71","Winnipeg",10,53,2,0,51,11,0,127,337
46011,"Winnipeg Centre/Winnipeg-Centre"," 72","Winnipeg",11,26,2,1,39,9,1,89,335
46011,"Winnipeg Centre/Winnipeg-Centre"," 73","Winnipeg",13,25,0,1,27,5,0,71,260
46011,"Winnipeg Centre/Winnipeg-Centre"," 74","Winnipeg",33,95,1,3,80,4,3,219,473
46011,"Winnipeg Centre/Winnipeg-Centre"," 75","Winnipeg",10,45,1,1,34,1,1,93,328
46011,"Winnipeg Centre/Winnipeg-Centre"," 76","Winnipeg",32,81,0,4,53,4,0,174,381
46011,"Winnipeg Centre/Winnipeg-Centre"," 77","Winnipeg",23,77,1,6,46,11,0,164,396
46011,"Winnipeg Centre/Winnipeg-Centre"," 78","Winnipeg",23,79,1,1,74,4,0,182,495
46011,"Winnipeg Centre/Winnipeg-Centre"," 79","Winnipeg",9,59,1,2,30,4,0,105,384
46011,"Winnipeg Centre/Winnipeg-Centre"," 80","Winnipeg",14,42,1,3,40,8,2,110,402
46011,"Winnipeg Centre/Winnipeg-Centre"," 81","Winnipeg",21,66,4,5,64,7,3,170,385
46011,"Winnipeg Centre/Winnipeg-Centre"," 82","Winnipeg",32,54,3,1,45,6,0,141,341
46011,"Winnipeg Centre/Winnipeg-Centre"," 83","Winnipeg",36,73,3,3,54,8,0,177,402
46011,"Winnipeg Centre/Winnipeg-Centre"," 84","Winnipeg",36,72,2,3,47,10,0,170,399
46011,"Winnipeg Centre/Winnipeg-Centre"," 85","Winnipeg",38,58,0,4,69,10,0,179,382
46011,"Winnipeg Centre/Winnipeg-Centre"," 86","Winnipeg",18,43,0,4,52,7,0,124,365
46011,"Winnipeg Centre/Winnipeg-Centre"," 87","Winnipeg",27,30,1,9,44,13,0,124,408
46011,"Winnipeg Centre/Winnipeg-Centre"," 88","Winnipeg",26,70,0,4,87,12,2,201,401
46011,"Winnipeg Centre/Winnipeg-Centre"," 89","Winnipeg",33,93,5,0,63,11,4,209,439
46011,"Winnipeg Centre/Winnipeg-Centre"," 90","Winnipeg",17,72,1,0,55,9,1,155,451
46011,"Winnipeg Centre/Winnipeg-Centre"," 91","Winnipeg",24,120,3,3,71,9,0,230,454
46011,"Winnipeg Centre/Winnipeg-Centre"," 92","Winnipeg",37,92,1,0,71,5,1,207,437
46011,"Winnipeg Centre/Winnipeg-Centre"," 93","Winnipeg",27,92,0,4,46,16,3,188,451
46011,"Winnipeg Centre/Winnipeg-Centre"," 94","Winnipeg",17,48,0,1,32,14,0,112,439
46011,"Winnipeg Centre/Winnipeg-Centre"," 95","Winnipeg",9,39,0,2,33,10,0,93,312
