Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Maria Augimeri,Iftikhar Choudry,Ania Krosinska,Christine Nugent,Mike Schmitz,Judy Sgro,Stenneth Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35121,"Humber River--Black Creek/Humber River--Black Creek"," 43","North York",55,29,5,0,6,120,1,6,222,490
35121,"Humber River--Black Creek/Humber River--Black Creek"," 44","North York",55,37,0,1,6,136,1,1,237,570
35121,"Humber River--Black Creek/Humber River--Black Creek"," 45","North York",47,40,3,0,10,107,0,0,207,435
35121,"Humber River--Black Creek/Humber River--Black Creek"," 46","North York",67,42,2,1,3,124,0,3,242,544
35121,"Humber River--Black Creek/Humber River--Black Creek"," 47","North York",30,31,2,0,1,181,0,3,248,583
35121,"Humber River--Black Creek/Humber River--Black Creek"," 48","North York",51,35,3,2,7,143,1,3,245,554
35121,"Humber River--Black Creek/Humber River--Black Creek"," 49","North York",67,36,2,3,3,179,1,3,294,608
35121,"Humber River--Black Creek/Humber River--Black Creek"," 50","North York",42,47,2,1,7,147,0,2,248,657
35121,"Humber River--Black Creek/Humber River--Black Creek"," 51","North York",36,34,2,0,8,123,1,3,207,407
35121,"Humber River--Black Creek/Humber River--Black Creek"," 52","North York",43,42,0,0,7,142,0,0,234,488
35121,"Humber River--Black Creek/Humber River--Black Creek"," 53","North York",24,20,2,0,0,131,0,0,177,411
35121,"Humber River--Black Creek/Humber River--Black Creek"," 54","North York",28,27,2,0,6,136,1,2,202,417
35121,"Humber River--Black Creek/Humber River--Black Creek"," 55","North York",13,8,4,2,1,120,1,0,149,505
35121,"Humber River--Black Creek/Humber River--Black Creek"," 56","North York",40,22,3,0,3,87,2,3,160,434
35121,"Humber River--Black Creek/Humber River--Black Creek"," 57","North York",44,45,2,2,3,162,0,3,261,536
35121,"Humber River--Black Creek/Humber River--Black Creek"," 58","North York",26,12,0,1,3,165,0,0,207,557
35121,"Humber River--Black Creek/Humber River--Black Creek"," 59","North York",17,11,5,1,2,169,0,0,205,496
35121,"Humber River--Black Creek/Humber River--Black Creek"," 60","North York",26,12,1,2,0,100,0,1,142,335
35121,"Humber River--Black Creek/Humber River--Black Creek"," 61","North York",47,29,4,0,4,136,2,4,226,458
35121,"Humber River--Black Creek/Humber River--Black Creek"," 62","North York",16,23,2,1,2,142,0,8,194,477
35121,"Humber River--Black Creek/Humber River--Black Creek"," 63","North York",20,4,1,0,0,131,0,0,156,342
35121,"Humber River--Black Creek/Humber River--Black Creek"," 64","North York",27,24,0,0,3,141,1,4,200,446
35121,"Humber River--Black Creek/Humber River--Black Creek"," 65","North York",51,27,1,1,2,239,0,4,325,682
35121,"Humber River--Black Creek/Humber River--Black Creek"," 66","North York",14,21,0,0,3,67,1,1,107,357
35121,"Humber River--Black Creek/Humber River--Black Creek"," 67","North York",43,40,4,2,7,160,1,0,257,572
35121,"Humber River--Black Creek/Humber River--Black Creek"," 68","North York",45,29,1,0,3,134,0,0,212,434
35121,"Humber River--Black Creek/Humber River--Black Creek"," 69","North York",42,23,3,0,4,124,1,8,205,516
35121,"Humber River--Black Creek/Humber River--Black Creek"," 70","North York",39,39,2,2,2,156,0,2,242,542
35121,"Humber River--Black Creek/Humber River--Black Creek"," 71","North York",35,63,4,1,5,151,1,3,263,564
35121,"Humber River--Black Creek/Humber River--Black Creek"," 72","North York",40,58,6,1,7,135,2,1,250,570
35121,"Humber River--Black Creek/Humber River--Black Creek"," 73","North York",33,20,4,0,2,146,2,8,215,355
35121,"Humber River--Black Creek/Humber River--Black Creek"," 74","North York",31,27,0,0,4,107,0,2,171,373
35121,"Humber River--Black Creek/Humber River--Black Creek"," 75","North York",35,54,1,0,5,112,1,3,211,412
35121,"Humber River--Black Creek/Humber River--Black Creek"," 76","North York",33,38,2,0,5,89,0,8,175,374
35121,"Humber River--Black Creek/Humber River--Black Creek"," 77","North York",34,73,2,0,7,130,0,0,246,458
35121,"Humber River--Black Creek/Humber River--Black Creek"," 78","North York",27,53,4,0,5,99,0,0,188,423
35121,"Humber River--Black Creek/Humber River--Black Creek"," 79","North York",43,40,4,0,4,136,1,4,232,410
35121,"Humber River--Black Creek/Humber River--Black Creek"," 80","North York",58,45,0,0,4,102,2,2,213,450
35121,"Humber River--Black Creek/Humber River--Black Creek"," 81","North York",64,46,4,0,3,138,1,3,259,497
35121,"Humber River--Black Creek/Humber River--Black Creek"," 82","North York",92,44,2,0,3,226,1,12,380,753
35121,"Humber River--Black Creek/Humber River--Black Creek"," 83","North York",14,21,1,0,3,98,0,2,139,302
35121,"Humber River--Black Creek/Humber River--Black Creek"," 84","North York",25,14,0,0,2,102,1,0,144,390
35121,"Humber River--Black Creek/Humber River--Black Creek"," 85","North York",24,59,2,0,0,57,3,2,147,394
35121,"Humber River--Black Creek/Humber River--Black Creek"," 86","North York",64,20,1,0,3,116,2,2,208,452
35121,"Humber River--Black Creek/Humber River--Black Creek"," 87","North York",44,33,1,1,3,94,0,0,176,398
35121,"Humber River--Black Creek/Humber River--Black Creek"," 88","North York",49,26,2,0,3,130,1,3,214,484
35121,"Humber River--Black Creek/Humber River--Black Creek"," 89","North York",38,28,3,1,1,110,2,3,186,441
35121,"Humber River--Black Creek/Humber River--Black Creek"," 90","North York",41,31,2,0,5,120,1,2,202,461
35121,"Humber River--Black Creek/Humber River--Black Creek"," 91","North York",37,36,0,0,1,126,1,0,201,453
35121,"Humber River--Black Creek/Humber River--Black Creek"," 92","North York",28,32,3,0,2,117,0,4,186,410
35121,"Humber River--Black Creek/Humber River--Black Creek"," 93","North York",41,33,2,1,3,98,0,7,185,435
35121,"Humber River--Black Creek/Humber River--Black Creek"," 94","North York",38,25,2,0,0,95,0,2,162,358
35121,"Humber River--Black Creek/Humber River--Black Creek"," 95","North York",44,30,1,1,1,95,0,0,172,469
35121,"Humber River--Black Creek/Humber River--Black Creek"," 96","North York",30,35,5,0,2,124,0,6,202,481
35121,"Humber River--Black Creek/Humber River--Black Creek"," 97","North York",39,37,1,0,2,192,2,0,273,633
35121,"Humber River--Black Creek/Humber River--Black Creek"," 98","North York",39,34,2,1,2,114,1,2,195,417
35121,"Humber River--Black Creek/Humber River--Black Creek"," 99","North York",41,25,5,0,3,132,1,3,210,448
35121,"Humber River--Black Creek/Humber River--Black Creek"," 100","North York",67,47,4,0,6,232,2,0,358,712
35121,"Humber River--Black Creek/Humber River--Black Creek"," 101","North York",41,41,1,0,6,108,0,3,200,436
35121,"Humber River--Black Creek/Humber River--Black Creek"," 102A","North York",19,30,0,2,2,138,0,0,191,510
35121,"Humber River--Black Creek/Humber River--Black Creek"," 102B","North York",30,27,2,1,2,107,1,5,175,456
35121,"Humber River--Black Creek/Humber River--Black Creek"," 103","North York",35,29,2,0,7,118,0,5,196,456
35121,"Humber River--Black Creek/Humber River--Black Creek"," 104","North York",23,20,1,0,4,73,0,0,121,316
35121,"Humber River--Black Creek/Humber River--Black Creek"," 105","North York",24,26,0,1,3,89,0,0,143,342
35121,"Humber River--Black Creek/Humber River--Black Creek"," 106","North York",38,33,1,0,1,125,0,2,200,385
35121,"Humber River--Black Creek/Humber River--Black Creek"," 107","North York",31,57,1,0,5,109,2,2,207,502
35121,"Humber River--Black Creek/Humber River--Black Creek"," 108","North York",24,45,0,0,1,162,0,3,235,456
35121,"Humber River--Black Creek/Humber River--Black Creek"," 109","North York",15,27,2,0,1,125,0,2,172,282
35121,"Humber River--Black Creek/Humber River--Black Creek"," 110","North York",17,15,3,0,4,59,1,1,100,239
35121,"Humber River--Black Creek/Humber River--Black Creek"," 111","North York",64,61,4,0,5,149,0,3,286,619
35121,"Humber River--Black Creek/Humber River--Black Creek"," 112","North York",65,47,5,0,6,129,0,8,260,505
35121,"Humber River--Black Creek/Humber River--Black Creek"," 113","North York",48,56,4,0,5,92,1,4,210,506
35121,"Humber River--Black Creek/Humber River--Black Creek"," 114","Etobicoke",22,21,1,0,4,80,0,0,128,279
35121,"Humber River--Black Creek/Humber River--Black Creek"," 115","North York",54,59,1,0,13,186,2,8,323,582
35121,"Humber River--Black Creek/Humber River--Black Creek"," 116","North York",26,38,0,0,5,143,1,0,213,405
35121,"Humber River--Black Creek/Humber River--Black Creek"," 117","North York",27,39,1,0,3,180,0,1,251,620
35121,"Humber River--Black Creek/Humber River--Black Creek"," 118","North York",61,54,5,1,0,143,0,1,265,678
35121,"Humber River--Black Creek/Humber River--Black Creek"," 119","North York",37,43,2,2,7,108,0,0,199,414
35121,"Humber River--Black Creek/Humber River--Black Creek"," 120","North York",55,53,3,1,10,128,0,2,252,701
35121,"Humber River--Black Creek/Humber River--Black Creek"," 121","North York",39,63,2,0,2,119,1,4,230,555
35121,"Humber River--Black Creek/Humber River--Black Creek"," 122","North York",40,35,1,0,1,97,0,2,176,450
35121,"Humber River--Black Creek/Humber River--Black Creek"," 123","North York",65,56,1,0,7,153,0,2,284,697
35121,"Humber River--Black Creek/Humber River--Black Creek"," 124","Etobicoke",45,64,4,0,9,120,2,2,246,560
35121,"Humber River--Black Creek/Humber River--Black Creek"," 125","North York",44,63,2,1,4,129,0,3,246,502
35121,"Humber River--Black Creek/Humber River--Black Creek"," 126","North York",34,30,0,1,9,69,1,1,145,335
35121,"Humber River--Black Creek/Humber River--Black Creek"," 127","North York",42,73,0,1,5,103,1,2,227,511
35121,"Humber River--Black Creek/Humber River--Black Creek"," 128","North York",33,42,5,0,5,104,0,1,190,416
35121,"Humber River--Black Creek/Humber River--Black Creek"," 400","North York",34,8,1,0,4,129,0,1,177,316
35121,"Humber River--Black Creek/Humber River--Black Creek"," 401","North York",45,22,7,0,9,152,0,0,235,465
35121,"Humber River--Black Creek/Humber River--Black Creek"," 402","North York",33,21,2,1,4,121,0,1,183,352
35121,"Humber River--Black Creek/Humber River--Black Creek"," 403","North York",20,22,1,1,2,118,0,0,164,325
35121,"Humber River--Black Creek/Humber River--Black Creek"," 404","North York",33,14,4,1,2,108,2,1,165,354
35121,"Humber River--Black Creek/Humber River--Black Creek"," 405","North York",26,6,0,0,2,239,1,0,274,544
35121,"Humber River--Black Creek/Humber River--Black Creek"," 406","North York",38,14,1,1,2,108,0,1,165,319
35121,"Humber River--Black Creek/Humber River--Black Creek"," 407","North York",40,24,1,0,5,165,0,6,241,516
35121,"Humber River--Black Creek/Humber River--Black Creek"," 408","North York",44,16,1,2,5,205,0,5,278,445
35121,"Humber River--Black Creek/Humber River--Black Creek"," 409","North York",20,28,5,0,4,118,0,0,175,320
35121,"Humber River--Black Creek/Humber River--Black Creek"," 410","North York",20,14,0,2,1,59,1,0,97,184
35121,"Humber River--Black Creek/Humber River--Black Creek"," 411","North York",33,39,3,0,3,122,2,0,202,388
35121,"Humber River--Black Creek/Humber River--Black Creek"," 412","North York",12,17,0,1,1,193,1,5,230,334
35121,"Humber River--Black Creek/Humber River--Black Creek"," 413","North York",30,34,3,1,6,123,0,4,201,339
35121,"Humber River--Black Creek/Humber River--Black Creek"," 414","North York",24,32,2,0,0,123,0,8,189,327
35121,"Humber River--Black Creek/Humber River--Black Creek"," 415","North York",35,18,1,1,3,157,1,1,217,398
35121,"Humber River--Black Creek/Humber River--Black Creek"," 416","North York",20,18,0,1,3,87,2,0,131,257
35121,"Humber River--Black Creek/Humber River--Black Creek"," 417","North York",15,4,0,0,1,137,1,2,160,269
35121,"Humber River--Black Creek/Humber River--Black Creek"," 418","North York",39,28,3,0,4,113,0,4,191,347
35121,"Humber River--Black Creek/Humber River--Black Creek"," 419","North York",11,2,0,0,0,67,0,1,81,220
35121,"Humber River--Black Creek/Humber River--Black Creek"," 420","North York",21,3,0,1,1,85,0,1,112,304
35121,"Humber River--Black Creek/Humber River--Black Creek"," 421","North York",19,7,1,0,1,114,1,0,143,322
35121,"Humber River--Black Creek/Humber River--Black Creek"," 422","North York",12,9,2,0,2,71,0,1,97,286
35121,"Humber River--Black Creek/Humber River--Black Creek"," 500","Mobile poll/Bureau itinérant",14,7,0,3,1,59,1,3,88,244
35121,"Humber River--Black Creek/Humber River--Black Creek"," 600","North York",57,89,5,0,14,264,0,7,436,
35121,"Humber River--Black Creek/Humber River--Black Creek"," 601","North York",118,129,7,2,18,442,1,5,722,
35121,"Humber River--Black Creek/Humber River--Black Creek"," 602","North York",102,77,11,0,15,306,0,16,527,
35121,"Humber River--Black Creek/Humber River--Black Creek"," 603","North York",104,81,9,1,6,360,2,4,567,
35121,"Humber River--Black Creek/Humber River--Black Creek"," 604","North York",116,100,8,0,27,348,1,6,606,
35121,"Humber River--Black Creek/Humber River--Black Creek"," 605","North York",158,104,11,2,15,416,0,11,717,
35121,"Humber River--Black Creek/Humber River--Black Creek"," 606","North York",102,71,9,0,5,238,0,8,433,
35121,"Humber River--Black Creek/Humber River--Black Creek"," 607","North York",75,44,3,1,7,224,2,8,364,
35121,"Humber River--Black Creek/Humber River--Black Creek"," 608","North York",92,89,7,0,12,343,4,10,557,
35121,"Humber River--Black Creek/Humber River--Black Creek"," 609","North York",153,141,11,2,28,454,0,9,798,
35121,"Humber River--Black Creek/Humber River--Black Creek"," 610","North York",102,155,3,1,18,308,0,2,589,
35121,"Humber River--Black Creek/Humber River--Black Creek"," 611","North York",53,84,0,0,10,203,0,3,353,
35121,"Humber River--Black Creek/Humber River--Black Creek",,Group 1/Groupe 1, 12,10,0,1,1,87,0,15,126,149
35121,"Humber River--Black Creek/Humber River--Black Creek",,Group 2/Groupe 2, 151,83,8,3,25,484,1,21,776,
