Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,William Caton,Bill Clary,Lee Harding,Maria Lewans,Jeremy Patzer,Trevor Peterson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 109","Eastend",8,9,2,0,189,14,3,225,450
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 110","Eastend",18,10,8,4,202,39,1,282,400
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 111","Mossbank",8,4,5,2,247,23,3,292,430
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 112","Admiral",2,0,7,1,79,5,0,94,174
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 113","Ponteix",20,2,1,1,117,14,2,157,323
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 114","Ponteix",10,1,4,0,142,13,2,172,414
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 115","Gravelbourg",23,6,5,1,132,33,0,200,401
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 116","Gravelbourg",13,1,4,1,61,17,3,100,173
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 117","Gravelbourg",12,4,7,2,207,33,0,265,449
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 118","Consul",4,2,2,0,209,6,2,225,326
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 119","Kincaid",5,3,9,1,173,19,1,211,400
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 120","Lafleche",13,2,23,1,130,22,3,194,276
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 121","Laflèche",11,2,20,1,143,22,1,200,304
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 122","Limerick",6,6,2,1,135,22,2,174,279
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 123","Frontier",10,6,3,4,294,12,2,331,556
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 124","Assiniboia",12,1,9,2,199,32,0,255,516
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 125","Assiniboia",7,4,15,3,155,32,1,217,383
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 126","Assiniboia",7,3,6,0,157,33,0,206,371
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 127","Assiniboia",7,3,7,0,202,43,3,265,443
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 128","Assiniboia",7,3,6,0,161,24,0,201,371
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 129","Climax",9,4,1,3,171,16,0,204,292
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 130","Val Marie",10,7,7,1,155,20,0,200,374
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 131","Mankota",8,6,10,2,214,12,1,253,348
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 132","Fir Mountain",15,2,7,1,228,19,2,274,368
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 133","Wood Mountain",6,4,1,0,89,12,0,112,176
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 134","Willow Bunch",17,6,7,3,236,29,0,298,416
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 135","Rockglen",10,5,10,1,179,23,1,229,309
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 136","Rockglen",3,5,11,2,213,12,0,246,356
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 400A","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505B,,,,,,,,68
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 400B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505A,,,,,,,,21
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 400C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°506B,,,,,,,,35
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 500A","Mobile poll/Bureau itinérant",3,0,1,1,9,5,3,22,31
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 500B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°2B,,,,,,,,37
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 501","Mobile poll/Bureau itinérant",6,1,1,0,7,4,3,22,30
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 502","Mobile poll/Bureau itinérant",3,1,2,1,13,3,0,23,23
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 503A","Mobile poll/Bureau itinérant",4,0,2,1,22,9,0,38,47
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 503B","Beechy",Merged with No./Fusionné avec le n°31,,,,,,,,2
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 504A","Mobile poll/Bureau itinérant",2,0,4,1,18,3,1,29,42
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 504B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504C,,,,,,,,9
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 504C","Mobile poll/Bureau itinérant",3,0,0,1,12,7,0,23,20
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 505A","Mobile poll/Bureau itinérant",6,0,0,1,28,11,4,50,40
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 505B","Mobile poll/Bureau itinérant",8,3,1,1,55,8,1,77,57
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 506A","Mobile poll/Bureau itinérant",15,4,1,1,39,10,0,70,70
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 506B","Mobile poll/Bureau itinérant",9,5,4,1,59,10,0,88,55
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 507","Mobile poll/Bureau itinérant",13,2,3,1,127,32,8,186,255
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 508","Mobile poll/Bureau itinérant",4,0,1,0,21,7,1,34,37
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 509","Mobile poll/Bureau itinérant",5,1,0,6,15,6,0,33,42
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 510","Mobile poll/Bureau itinérant",6,1,0,2,11,2,0,22,23
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 511A","Mobile poll/Bureau itinérant",7,1,1,1,11,4,2,27,34
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 511B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°512B,,,,,,,,21
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 512A","Mobile poll/Bureau itinérant",7,1,0,0,12,7,1,28,39
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 512B","Mobile poll/Bureau itinérant",11,2,2,1,22,10,1,49,32
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 600","Kindersley",43,12,26,4,1050,64,8,1207,
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 601","Eston",28,15,13,0,325,26,3,410,
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 602","Lucky Lake",6,4,8,0,240,20,1,279,
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 603","Leader",13,18,13,0,354,21,1,420,
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 604","Cabri",18,8,22,3,587,68,5,711,
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 605","Chaplin",6,5,2,1,173,19,0,206,
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 606","Caronport",3,7,40,1,382,24,1,458,
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 607","Swift Current",24,14,17,3,615,80,8,761,
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 608","Swift Current",21,11,13,3,478,75,3,604,
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 609","Swift Current",18,9,16,1,542,51,2,639,
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 610","Gull Lake",15,4,11,0,291,12,0,333,
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 611","Maple Creek",49,17,10,2,479,53,1,611,
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 612","Shaunavon",23,11,7,8,488,40,1,578,
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 613","Ponteix",13,3,12,2,213,32,0,275,
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 614","Gravelbourg",32,9,8,6,287,43,1,386,
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 615","Assiniboia",23,13,28,4,532,63,3,666,
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands",,Group 1/Groupe 1, 13,9,3,2,21,13,8,69,70
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands",,Group 2/Groupe 2, 41,28,53,7,1081,142,28,1380,
