Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bryton Cherrier,Marc Dalton,Ariane Jaschke,John Mogk,Steve Ranta,Dan Ruimy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 24","Pitt Meadows",3,68,13,54,1,64,2,205,410
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 25","Pitt Meadows",2,65,22,57,2,84,1,233,479
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 26","Pitt Meadows",2,55,13,55,1,73,3,202,461
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 27","Pitt Meadows",3,50,17,74,2,59,1,206,420
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 28","Pitt Meadows",6,52,13,68,0,33,1,173,459
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 29A","Pitt Meadows",7,86,15,47,2,68,2,227,436
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 29B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500B,,,,,,,,107
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 30","Pitt Meadows",0,87,17,71,1,82,1,259,494
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 31","Pitt Meadows",1,83,32,60,3,101,1,281,513
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 32","Pitt Meadows",1,67,16,61,2,63,0,210,436
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 33","Pitt Meadows",2,81,23,70,2,90,0,268,538
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 34","Pitt Meadows",0,69,21,40,0,83,0,213,557
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 35","Pitt Meadows",2,85,22,59,1,91,4,264,504
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 36","Maple Ridge",3,51,10,27,1,61,1,154,388
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 37","Maple Ridge",2,78,25,74,5,70,1,255,481
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 38","Maple Ridge",2,85,16,56,1,77,0,237,461
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 39","Maple Ridge",3,77,31,56,2,61,1,231,498
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 40","Maple Ridge",2,77,19,56,1,74,0,229,517
