Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dianne Clarke,Natasha Fryzuk,Damien Kurek,David A. Michaud,Geordie Nelson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 20","Holden",16,14,127,5,4,0,166,299
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 21","Holden",9,12,112,2,1,0,136,285
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 22","Barlee Junction",14,16,138,8,6,0,182,461
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 23","Camrose",14,17,173,6,6,1,217,475
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 24","Camrose",11,27,166,5,8,0,217,459
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 25","Camrose",14,14,164,3,9,0,204,400
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 26","Bittern Lake",1,5,170,6,4,0,186,430
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 27","Camrose",14,50,185,4,11,0,264,639
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 28","Camrose",22,15,138,9,7,1,192,517
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 29","Camrose",13,27,113,7,13,0,173,461
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 30","Camrose",11,19,103,1,11,1,146,334
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 31","Bittern Lake",7,3,123,3,4,0,140,280
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 32","Camrose",15,26,141,4,14,0,200,442
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 33","Camrose",12,14,98,7,7,3,141,428
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 34","Barlee Junction",12,24,169,1,4,1,211,487
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 35","Camrose",18,26,128,9,17,4,202,484
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 36","Camrose",19,39,114,2,34,1,209,423
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 37","Camrose",13,24,104,1,8,0,150,388
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 38","Camrose",10,20,107,3,6,0,146,389
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 39","Camrose",17,19,132,3,16,0,187,452
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 40","Camrose",15,19,133,4,11,0,182,424
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 41","Camrose",12,19,108,2,9,1,151,459
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 42","Camrose",15,11,102,4,11,1,144,380
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 43","Camrose",8,22,133,6,7,2,178,393
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 44","Camrose",9,23,108,9,2,0,151,312
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 45","Camrose",14,19,118,8,16,0,175,406
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 46","Camrose",20,27,173,5,3,0,228,502
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 47","Camrose",16,12,156,5,14,0,203,423
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 48","Camrose",13,22,144,4,7,0,190,404
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 49","Camrose",16,18,109,4,18,0,165,365
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 50","Bruce",8,11,173,2,5,0,199,337
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 51","Camrose",13,16,112,7,3,0,151,329
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 52","Camrose",10,16,123,3,11,1,164,384
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 53","Camrose",9,14,150,3,7,0,183,399
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 54","Camrose",14,28,132,4,13,2,193,435
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 55","Camrose",33,25,271,5,14,0,348,702
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 56","Camrose",4,12,133,5,4,1,159,359
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 57","Camrose",12,26,193,2,11,0,244,552
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 58","New Norway",10,15,230,6,12,1,274,501
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 59","Ohaton",13,13,247,5,5,0,283,498
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 60","Bawlf Rural",9,8,151,4,7,1,180,370
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 61","Bawlf",12,21,204,6,4,1,248,418
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 62","Viking",2,12,187,4,3,0,208,414
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 63","Viking",8,4,117,4,4,0,137,293
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 64","Viking",10,6,120,3,3,0,142,360
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 65","Viking",2,6,147,1,1,0,157,304
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 66","Kinsella",1,3,99,2,2,0,107,198
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 67","Daysland",6,10,228,7,3,0,254,370
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 68","Daysland",10,26,270,4,8,2,320,460
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 69","Ferintosh",5,14,261,24,7,0,311,613
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 70","Kelsey",6,8,158,4,6,1,183,335
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 71","Edberg",10,7,214,4,5,0,240,436
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 72","Rosalind",3,10,194,2,3,0,212,334
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 73","Strome",1,7,122,3,2,1,136,276
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 74","Strome",1,2,129,3,0,1,136,219
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 75","Jarrow",1,1,161,7,0,0,170,306
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 76","Jarrow",8,4,207,7,1,3,230,322
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 77","Irma",2,5,202,7,5,0,221,314
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 78","Bashaw",13,8,185,7,1,0,214,365
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 79","Meeting Creek",8,9,245,11,3,0,276,431
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 80","Meeting Creek",8,16,306,9,7,1,347,475
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 81","Killam",8,5,95,6,2,0,116,351
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 82","Killam",3,7,131,7,3,1,152,337
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 83","Killam",7,2,145,0,1,0,155,341
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 84","Sedgewick",6,10,209,2,4,0,231,384
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 85","Sedgewick",6,10,207,2,3,0,228,388
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 86","Heisler",7,11,204,0,3,2,227,338
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 87","Lougheed",7,8,187,8,2,0,212,419
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 88","Donalda",8,5,154,5,4,0,176,309
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 89","Donalda",4,1,105,2,5,0,117,193
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 90","Rochon Sands",5,9,141,4,1,1,161,292
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 91","Gilt Edge",0,1,224,0,0,0,225,488
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 92","Wainwright",8,7,126,11,3,0,155,375
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 93","Wainwright",14,19,116,1,9,0,159,323
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 94","Wainwright",6,21,141,7,4,0,179,382
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 95","Wainwright",3,10,148,8,6,0,175,362
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 96","Fabyan",17,33,273,9,12,5,349,719
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 97","Greenshields",8,12,269,12,8,0,309,548
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 98","Wainwright",11,11,153,3,11,0,189,397
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 99","Wainwright",7,15,181,4,10,0,217,442
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 100","Wainwright",15,20,151,7,3,1,197,448
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 101","Wainwright",6,13,144,8,4,5,180,393
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 102","Wainwright",10,22,135,2,6,1,176,353
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 103","Wainwright",21,26,229,4,14,0,294,615
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 104","Wainwright",13,18,160,1,7,0,199,383
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 105","Forestburg",14,10,177,6,6,0,213,335
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 106","Forestburg",15,8,158,5,5,0,191,309
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 107","Forestburg",9,12,192,1,1,0,215,287
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 108","Red Willow",6,3,158,11,3,1,182,322
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 109","Hardisty",3,5,220,6,8,0,242,380
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 110","Hardisty",5,6,243,2,6,0,262,360
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 111","Galahad",4,12,126,2,3,3,150,219
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 112","Erskine",5,6,273,10,9,1,304,527
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 113","Erskine",2,1,196,8,2,1,210,388
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 114","Bellshill",0,0,118,2,2,1,123,274
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 115","Dunn",8,6,281,6,6,0,307,440
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 116","Edgerton",6,3,194,8,1,3,215,377
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 117","Stettler--Warden",16,10,186,9,4,0,225,500
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 118","Stettler",10,6,160,6,3,0,185,461
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 119","Stettler",15,11,159,6,7,1,199,451
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 120","Stettler",10,9,199,9,8,2,237,519
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 121","Stettler",9,11,205,13,10,5,253,486
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 122","Stettler",5,11,185,12,4,0,217,499
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 123","Stettler--Warden",3,3,207,9,2,0,224,491
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 124","Stettler--Warden",20,14,185,6,9,0,234,538
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 125","Stettler",11,18,151,7,6,2,195,376
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 126","Stettler",12,9,156,9,5,0,191,427
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 127","Stettler--Sabine",5,2,187,6,5,1,206,453
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 128","Alliance",4,5,179,7,5,0,200,362
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 129","Chauvin",5,10,349,6,4,2,376,497
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 130","Botha",4,6,225,6,3,0,244,411
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 131","Gadsby",5,3,171,8,2,2,191,431
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 132","Halkirk",9,5,196,6,5,3,224,396
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 133","Hughenden",7,13,222,5,3,1,251,351
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 134","Amisk",5,0,252,8,1,2,268,371
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 135","Wimborne",10,8,156,4,4,0,182,236
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 136","Castor",1,5,212,18,1,1,238,289
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 137","Castor",10,18,219,13,4,0,264,353
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 138","Castor",8,6,269,7,10,0,300,399
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 139","Metiskow",3,2,97,6,0,0,108,154
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 140","Czar",5,6,228,5,5,1,250,326
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 141","Big Valley",7,6,175,10,4,1,203,361
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 142","Big Valley",4,2,238,11,11,1,267,328
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 143","Brownfield",1,2,223,5,1,0,232,411
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 144","Huxley",3,5,179,7,6,0,200,319
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 145","Trochu",11,6,245,7,6,0,275,401
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 146","Trochu",8,12,172,8,8,1,209,326
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 147","Trochu",0,6,169,7,2,0,184,292
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 148","Torrington",12,12,200,9,7,5,245,477
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 149","Cadogan",0,0,174,1,0,1,176,261
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 150","Endiang",0,3,173,4,0,1,181,281
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 151","Green Glade",3,0,144,2,1,0,150,286
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 152","Provost",4,6,135,0,3,0,148,286
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 153","Provost",2,5,129,2,1,1,140,344
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 154","Provost",1,3,147,1,2,0,154,349
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 155","Provost",5,2,152,2,2,1,164,345
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 156","Hayter",3,3,198,2,1,0,207,388
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 157","Rowley",2,7,230,3,0,3,245,413
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 158","Coronation",3,2,134,3,2,0,144,358
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 159","Coronation",3,3,149,1,1,0,157,389
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 160","Coronation",9,4,160,1,2,0,176,332
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 161","Three Hills",7,4,180,7,6,0,204,406
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 162","Three Hills",3,8,131,5,3,0,150,327
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 163","Three Hills",1,5,136,8,1,1,152,325
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 164","Three Hills",9,10,283,11,10,2,325,607
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 165","Three Hills",4,6,104,2,3,0,119,247
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 166","Three Hills",4,6,161,2,3,0,176,356
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 167","Three Hills--Ghost Pine Creek",9,4,247,5,0,1,266,503
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 168","Morrin",5,8,176,4,1,2,196,318
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 169","Delia",11,5,236,9,3,0,264,469
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 170","Veteran",2,3,113,6,0,0,124,209
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 171","Veteran",4,5,154,3,0,0,166,237
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 172","Consort",0,3,199,2,2,0,206,333
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 173","Monitor",1,0,145,2,0,0,148,201
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 174","Consort",2,5,333,7,2,0,349,427
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 175","Munson",8,8,189,3,8,2,218,363
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 176","Hanna",5,5,301,4,2,0,317,672
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 177","Hanna",10,6,205,11,4,1,237,519
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 178","Hanna",7,6,133,2,1,0,149,309
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 179","Hanna",7,9,162,4,5,0,187,412
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 180","Hanna",7,8,155,7,0,4,181,328
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 181","Hanna",6,3,175,7,3,2,196,379
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 182","Craigmyle",1,9,160,10,8,1,189,335
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 183","Drumheller",14,5,133,1,2,1,156,332
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 184","Drumheller",5,27,97,8,11,0,148,372
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 185","Drumheller",13,13,131,5,10,0,172,375
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 186","Drumheller",14,11,106,3,8,1,143,448
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 187","Drumheller",12,19,107,4,9,1,152,398
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 188","Drumheller--Nacmine",15,19,140,2,12,0,188,483
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 189","Drumheller",18,20,162,7,6,0,213,494
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 190","Drumheller--Nacmine",16,16,197,2,11,0,242,463
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 191","Drumheller",13,14,172,9,5,1,214,456
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 192","Drumheller",8,22,126,6,8,0,170,405
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 193","Drumheller",6,13,117,0,3,0,139,349
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 194","Drumheller",17,17,128,3,7,3,175,382
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 195","Altario",1,3,110,3,1,0,118,169
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 196","Drumheller",7,10,107,5,9,2,140,326
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 197","Drumheller",11,9,172,6,8,0,206,361
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 198","New Brigden",5,4,150,2,1,0,162,241
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 199","Youngstown",2,2,223,4,5,1,237,390
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 200","Sunnynook",2,0,103,8,1,0,114,181
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 201","Cereal",3,0,109,6,1,0,119,213
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 202","Oyen",4,3,199,6,1,0,213,390
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 203","Oyen",7,4,114,3,1,0,129,278
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 204","Oyen",1,2,83,1,0,0,87,251
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 205","Cessford",0,0,153,0,3,0,156,214
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 206","Cappon",1,0,55,3,0,1,60,176
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 207","Acadia",4,1,200,2,2,0,209,374
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 208","Buffalo",3,0,98,2,1,0,104,196
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 209","Buffalo",7,3,100,1,3,0,114,221
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 500","Mobile poll/Bureau itinérant",4,5,55,2,3,2,71,91
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 501","Mobile poll/Bureau itinérant",4,4,48,4,2,2,64,91
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 502","Mobile poll/Bureau itinérant",18,10,103,2,6,4,143,302
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 503","Mobile poll/Bureau itinérant",5,6,21,3,2,0,37,101
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 504","Mobile poll/Bureau itinérant",12,13,71,4,2,2,104,189
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 505","Mobile poll/Bureau itinérant",7,4,58,1,1,10,81,112
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 506","Mobile poll/Bureau itinérant",9,3,58,2,2,2,76,114
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 507","Mobile poll/Bureau itinérant",3,1,28,0,0,0,32,43
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 508","Mobile poll/Bureau itinérant",6,8,111,7,5,7,144,212
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 509","Mobile poll/Bureau itinérant",8,6,82,4,5,17,122,134
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 510","Mobile poll/Bureau itinérant",8,1,50,4,4,2,69,80
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 511","Mobile poll/Bureau itinérant",4,3,73,3,0,1,84,105
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 512","Mobile poll/Bureau itinérant",7,3,45,1,2,2,60,106
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 513","Mobile poll/Bureau itinérant",3,0,24,1,0,0,28,2
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 514","Mobile poll/Bureau itinérant",2,1,43,0,1,1,48,20
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 515","Mobile poll/Bureau itinérant",19,5,79,4,2,11,120,165
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 516","Mobile poll/Bureau itinérant",4,3,53,1,1,0,62,79
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 600","Camrose County",66,65,927,60,21,2,1141,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 601","Beaver County--Viking",10,18,472,15,3,2,520,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 602","Camrose County",21,21,565,17,20,0,644,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 603","Camrose",57,66,840,23,43,6,1035,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 604","Camrose",59,65,835,15,62,15,1051,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 605","Camrose",33,38,404,7,33,6,521,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 606","Camrose County",13,20,378,8,11,3,433,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 607","Killam",18,25,595,10,13,0,661,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 608","Flagstaff County",8,9,344,5,5,0,371,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 609","Wainwright",12,16,600,19,17,1,665,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 610","Wainwright",40,53,881,27,31,6,1038,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 611","Provost",6,12,798,20,4,4,844,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 612","Paintearth County",13,10,519,8,9,3,562,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 613","Settler County",25,34,949,31,24,3,1066,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 614","Stettler",19,27,960,29,16,1,1052,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 615","Three Hills--Kneehill County",12,26,1010,33,9,4,1094,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 616","Drumheller--Starland County",16,11,315,7,10,0,359,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 617","Drumheller",54,85,1155,25,43,7,1369,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 618","Hanna",28,17,770,21,10,8,854,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 619","Oyen--Acadia",10,2,404,12,5,1,434,
48002,"Battle River--Crowfoot/Battle River--Crowfoot",,Group 1/Groupe 1, 28,12,137,16,17,17,227,101
48002,"Battle River--Crowfoot/Battle River--Crowfoot",,Group 2/Groupe 2, 120,186,2603,54,101,51,3115,
