Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carolyn Bennett,Sarah Climenhaga,John Kellen,Alok Mukherjee,Jae Truesdell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 65","Toronto",107,20,2,27,35,2,193,316
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 66","Toronto",97,9,4,38,50,1,199,413
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 67","Toronto",122,15,1,32,30,1,201,419
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 68","Toronto",132,15,2,26,47,0,222,437
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 69","Toronto",128,18,4,45,37,0,232,437
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 70","Toronto",135,8,1,11,58,1,214,448
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 71","Toronto",151,22,4,60,56,0,293,646
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 72","York",112,11,4,55,42,2,226,524
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 73","York",141,5,3,34,24,2,209,468
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 74","York",182,14,12,23,47,2,280,469
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 75","Toronto",133,15,5,20,63,0,236,528
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 76","Toronto",168,8,1,30,68,0,275,499
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 77","York",87,7,3,29,71,0,197,514
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 78","York",125,18,9,39,62,0,253,472
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 79","York",129,20,0,45,50,0,244,584
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 80","Toronto",68,10,0,10,63,0,151,377
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 81","Toronto",40,2,1,6,88,1,138,413
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 82","Toronto",87,13,2,37,43,1,183,463
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 83","Toronto",133,23,2,65,46,1,270,626
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 84","Toronto",96,11,0,14,41,1,163,464
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 85","York",126,13,1,84,41,2,267,532
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 86","York",79,7,0,24,27,2,139,390
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 87","Toronto",121,12,2,11,72,5,223,328
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 88","York",130,13,1,22,36,1,203,510
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 89","York",101,11,0,17,27,0,156,420
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 90","York",105,21,2,62,34,0,224,595
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 91","York",146,20,4,50,37,0,257,604
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 92","York",84,1,1,14,13,2,115,341
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 93","York",118,4,3,45,24,1,195,486
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 94","Toronto",108,7,6,27,47,0,195,415
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 95","Toronto",203,36,7,36,116,5,403,833
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 96","Toronto",89,11,1,18,63,1,183,409
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 97","York",118,10,3,39,27,6,203,365
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 98","York",126,19,3,65,54,4,271,611
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 99","York",183,10,2,59,29,6,289,544
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 100","Toronto",87,18,0,25,40,1,171,410
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 101","Toronto",86,15,3,25,47,2,178,408
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 102","Toronto",110,8,0,19,77,2,216,571
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 103","Toronto",86,19,2,31,39,1,178,491
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 104","Toronto",119,24,3,43,63,2,254,657
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 105","Toronto",70,15,1,16,43,1,146,404
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 106","Toronto",58,2,0,6,36,1,103,322
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 107","York",188,11,3,94,37,1,334,568
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 108","York",104,21,3,92,19,1,240,382
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 109","York",84,13,3,21,41,1,163,385
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 110","Toronto",71,16,2,13,66,2,170,405
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 111","Toronto",142,18,0,28,58,2,248,471
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 112","Toronto",72,13,0,24,37,1,147,361
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 113","Toronto",131,25,0,30,33,0,219,516
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 114","Toronto",110,13,2,70,31,0,226,443
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 115","York",116,10,4,39,33,5,207,315
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 116","Toronto",108,15,2,28,54,0,207,398
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 117","York",111,13,2,66,32,5,229,486
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 118","York",111,10,4,51,33,3,212,453
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 119","York",100,11,3,38,27,2,181,461
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 120","York",113,8,1,41,32,1,196,485
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 121","York",133,13,4,81,37,2,270,444
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 122","York",113,20,4,69,18,0,224,424
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 123","York",108,11,4,56,30,2,211,460
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 124","York",88,21,4,61,22,0,196,310
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 125","York",146,8,2,33,40,1,230,361
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 126","York",137,8,3,69,37,1,255,459
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 127","York",127,27,2,75,26,0,257,445
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 128","York",179,21,4,70,35,1,310,445
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 129","York",88,13,2,47,15,1,166,350
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 130","York",115,27,3,82,29,0,256,485
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 131","York",107,14,4,57,24,3,209,362
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 132","York",126,28,2,70,28,1,255,396
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 133","York",126,15,0,75,28,1,245,414
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 134","Toronto",169,17,1,12,89,0,288,497
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 135","Toronto",107,15,0,7,78,0,207,320
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 136","Toronto",117,11,0,21,62,0,211,329
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 137","Toronto",93,12,0,33,44,1,183,384
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 138","Toronto",116,16,2,22,44,0,200,382
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 139","Toronto",86,26,2,14,41,0,169,464
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 140","Toronto",191,15,1,73,47,1,328,630
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 141","Toronto",125,20,3,55,31,2,236,510
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 142","Toronto",90,15,2,30,46,3,186,328
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 143","York",131,21,0,49,22,4,227,378
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 144","York",130,29,2,77,30,2,270,450
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 145","York",190,28,4,71,26,0,319,506
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 146","Toronto",169,26,5,57,69,0,326,599
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 147","Toronto",112,17,6,28,26,1,190,430
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 148","Toronto",159,20,3,84,44,1,311,607
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 149","Toronto",131,19,0,46,34,1,231,450
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 150","Toronto",143,12,2,66,41,4,268,583
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 151","Toronto",153,19,4,68,29,3,276,535
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 152","Toronto",110,27,5,56,19,1,218,386
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 153","Toronto",110,32,0,70,30,1,243,448
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 154","Toronto",205,48,1,71,94,0,419,710
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 155","Toronto",127,18,3,66,20,0,234,414
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 156","Toronto",89,13,0,31,23,1,157,411
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 157A","Toronto",96,15,5,42,27,4,189,519
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 157B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500B,,,,,,,104
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 158","Toronto",121,13,2,58,25,2,221,434
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 159","Toronto",126,34,5,89,34,3,291,484
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 160","Toronto",113,18,3,63,23,0,220,430
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 161","Toronto",212,17,2,23,35,13,302,447
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 162","Toronto",104,8,1,64,14,3,194,369
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 163","Toronto",110,22,0,86,21,0,239,537
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 164","Toronto",90,17,3,47,19,2,178,384
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 165","Toronto",88,10,2,56,14,1,171,383
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 400","Toronto",69,7,4,20,24,0,124,235
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 401","Toronto",96,6,0,25,45,1,173,352
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 402","Toronto",62,6,2,21,16,1,108,165
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 403","Toronto",100,6,4,14,30,5,159,258
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 404","Toronto",183,22,5,62,51,5,328,498
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 405","Toronto",188,21,1,36,109,2,357,641
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 406","Toronto",173,16,6,48,32,3,278,441
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 407","Toronto",155,13,3,34,34,1,240,486
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 408","Toronto",90,13,4,49,11,0,167,241
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 409","Toronto",80,8,4,27,18,1,138,242
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 410","Toronto",79,10,6,41,30,1,167,340
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 411","Toronto",134,14,9,42,29,0,228,343
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 412","Toronto",144,5,0,21,42,1,213,308
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 413","Toronto",105,14,5,39,40,1,204,301
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 414","Toronto",75,5,1,10,22,0,113,120
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 415","Toronto",109,6,0,8,62,0,185,297
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 416","Toronto",202,16,11,45,47,1,322,442
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 417","Toronto",145,15,2,27,42,0,231,333
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 418","York",113,18,2,31,48,1,213,325
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 419","York",74,1,0,6,28,1,110,191
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 420","York",126,10,4,16,60,0,216,294
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 421A","Toronto",187,12,3,18,62,0,282,346
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 421B","Toronto",88,6,2,21,39,0,156,355
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 422","Toronto",119,20,1,45,17,0,202,310
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 500A","Mobile poll/Bureau itinérant",58,3,0,12,14,3,90,112
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 500B","Mobile poll/Bureau itinérant",10,1,0,5,8,0,24,54
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 600","Toronto",581,43,24,163,173,3,987,
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 601","Toronto",541,63,6,92,195,4,901,
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 602","Toronto",367,55,18,92,125,1,658,
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 603","Toronto",340,46,7,59,106,0,558,
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 604","Toronto",447,54,7,90,246,2,846,
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 605","York",654,59,9,97,623,15,1457,
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 606","Toronto",677,76,6,88,595,5,1447,
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 607","Toronto",653,81,11,94,335,11,1185,
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 608","Toronto",815,85,8,124,405,7,1444,
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 609","Toronto",512,67,7,139,333,2,1060,
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 610","York",492,61,11,148,150,4,866,
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 611","York",318,27,6,132,77,0,560,
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 612","York",219,40,4,124,49,0,436,
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 613","Toronto",562,79,8,153,136,2,940,
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 614","York",478,83,247,12,76,2,898,
35090,"Toronto--St. Paul's/Toronto--St. Paul's",,Group 1/Groupe 1, 271,34,3,55,62,24,449,716
35090,"Toronto--St. Paul's/Toronto--St. Paul's",,Group 2/Groupe 2, 1457,220,26,492,587,56,2838,
