Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ceylan Borgers,Luc Desilets,Joseph Hakizimana,Linda Lapointe,Maikel Mikhael,Hans Roker Jr,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 94","Saint-Eustache",8,99,17,52,21,1,3,201,425
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 95","Saint-Eustache",8,70,15,59,26,1,0,179,385
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 96","Saint-Eustache",6,82,11,75,20,2,3,199,407
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 97","Saint-Eustache",11,96,9,81,28,1,6,232,593
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 98","Saint-Eustache",10,111,21,66,20,2,3,233,352
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 99","Saint-Eustache",10,81,26,73,18,3,6,217,362
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 100","Saint-Eustache",17,136,40,100,15,1,6,315,459
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 101","Saint-Eustache",5,69,26,119,18,0,1,238,415
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 102","Saint-Eustache",11,112,21,53,11,4,2,214,324
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 103","Saint-Eustache",11,111,18,51,17,1,6,215,365
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 104","Saint-Eustache",9,118,21,81,15,0,5,249,401
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 105","Saint-Eustache",13,139,19,79,14,2,7,273,412
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 106","Saint-Eustache",5,131,17,70,23,2,4,252,396
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 107","Saint-Eustache",6,78,22,54,8,2,5,175,351
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 108","Saint-Eustache",4,100,17,68,26,0,1,216,356
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 109","Saint-Eustache",13,80,16,41,18,1,5,174,364
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 110","Saint-Eustache",11,66,11,40,18,3,4,153,402
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 111","Saint-Eustache",6,91,15,57,14,0,0,183,396
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 112","Saint-Eustache",9,87,22,68,29,2,0,217,423
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 113","Saint-Eustache",7,112,18,61,19,2,9,228,430
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 114","Saint-Eustache",4,97,7,55,9,0,3,175,358
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 115","Saint-Eustache",6,82,21,48,18,1,8,184,412
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 116","Saint-Eustache",11,134,13,90,12,2,1,263,594
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 117","Saint-Eustache",12,116,21,69,13,2,3,236,378
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 118","Saint-Eustache",7,131,23,67,16,1,2,247,387
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 119","Saint-Eustache",8,102,22,75,19,0,4,230,386
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 120","Saint-Eustache",9,88,24,74,17,1,5,218,469
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 121","Saint-Eustache",8,80,16,73,11,3,4,195,334
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 122","Saint-Eustache",7,135,18,71,18,0,5,254,417
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 123","Saint-Eustache",7,106,23,56,19,2,7,220,377
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 124","Saint-Eustache",7,102,27,99,25,1,4,265,439
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 125","Saint-Eustache",6,108,11,83,18,1,5,232,409
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 126","Saint-Eustache",13,117,21,55,22,2,1,231,396
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 127","Saint-Eustache",7,95,23,59,18,2,3,207,398
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 128","Saint-Eustache",8,89,14,65,18,2,4,200,373
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 129","Saint-Eustache",6,88,13,52,10,1,3,173,374
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 130","Saint-Eustache",4,84,18,48,16,3,2,175,347
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 131","Saint-Eustache",6,92,9,36,11,4,2,160,400
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 132","Saint-Eustache",4,97,15,55,11,4,2,188,419
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 133","Saint-Eustache",3,51,14,41,15,0,5,129,335
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 134","Saint-Eustache",10,54,8,34,12,0,4,122,401
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 135","Saint-Eustache",8,111,12,63,13,2,6,215,334
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 136","Saint-Eustache",8,100,17,68,20,0,7,220,401
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 137","Saint-Eustache",14,70,21,46,18,4,4,177,372
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 138","Saint-Eustache",4,82,5,56,12,1,12,172,394
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 139","Saint-Eustache",11,75,15,52,9,1,3,166,408
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 140","Saint-Eustache",7,61,12,63,26,0,2,171,359
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 141","Saint-Eustache",4,67,12,45,11,0,3,142,307
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 142","Saint-Eustache",2,71,5,54,14,3,4,153,348
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 143","Saint-Eustache",4,81,14,69,16,1,5,190,387
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 144","Saint-Eustache",8,89,20,76,17,1,4,215,378
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 145","Saint-Eustache",6,93,18,54,14,1,2,188,387
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 146","Saint-Eustache",16,88,6,77,15,0,3,205,463
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 147","Saint-Eustache",8,88,25,66,13,1,1,202,410
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 148","Deux-Montagnes",8,69,25,76,12,1,4,195,423
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 149","Deux-Montagnes",5,61,23,80,11,2,2,184,388
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 150","Saint-Eustache",10,81,16,39,12,0,3,161,414
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 151A","Saint-Eustache",7,55,13,34,6,4,1,120,352
