Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peter Nygaard,Leslie Penny,John Schrader,Arnold Viersen,Jennifer Villebrun,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48028,"Peace River--Westlock/Peace River--Westlock"," 25","Bluesky",6,4,6,140,9,2,167,326
48028,"Peace River--Westlock/Peace River--Westlock"," 26","Highland Park",1,7,7,120,13,0,148,320
48028,"Peace River--Westlock/Peace River--Westlock"," 27","Fairview",5,10,6,139,6,0,166,337
48028,"Peace River--Westlock/Peace River--Westlock"," 28","Friedenstal",2,4,4,107,14,0,131,349
48028,"Peace River--Westlock/Peace River--Westlock"," 29","Fairview",5,7,5,97,14,1,129,327
48028,"Peace River--Westlock/Peace River--Westlock"," 30","Fairview",6,5,3,95,14,0,123,343
48028,"Peace River--Westlock/Peace River--Westlock"," 31","Fairview",7,2,5,100,3,3,120,332
48028,"Peace River--Westlock/Peace River--Westlock"," 32","Fairview",3,6,4,138,25,4,180,351
48028,"Peace River--Westlock/Peace River--Westlock"," 33","Friedenstal",6,8,6,144,7,0,171,342
48028,"Peace River--Westlock/Peace River--Westlock"," 34","Whitelaw",4,4,5,126,6,3,148,300
48028,"Peace River--Westlock/Peace River--Westlock"," 35","Grimshaw",5,12,7,121,11,0,156,335
48028,"Peace River--Westlock/Peace River--Westlock"," 36","Roma",7,12,4,179,11,0,213,374
48028,"Peace River--Westlock/Peace River--Westlock"," 37","Grimshaw",7,10,5,122,17,0,161,345
48028,"Peace River--Westlock/Peace River--Westlock"," 38","Grimshaw",10,10,7,181,18,0,226,457
48028,"Peace River--Westlock/Peace River--Westlock"," 39","Grimshaw",0,11,6,151,13,1,182,388
48028,"Peace River--Westlock/Peace River--Westlock"," 40","Grimshaw",1,10,2,128,15,0,156,320
48028,"Peace River--Westlock/Peace River--Westlock"," 41","Peace River",9,32,8,133,29,1,212,375
48028,"Peace River--Westlock/Peace River--Westlock"," 42","Peace River",8,19,4,101,28,1,161,366
48028,"Peace River--Westlock/Peace River--Westlock"," 43","Peace River",5,18,3,120,21,0,167,382
48028,"Peace River--Westlock/Peace River--Westlock"," 44","Peace River",2,9,5,79,19,1,115,419
48028,"Peace River--Westlock/Peace River--Westlock"," 45","Peace River",9,21,12,117,43,0,202,424
48028,"Peace River--Westlock/Peace River--Westlock"," 46","Peace River",15,13,4,73,23,0,128,431
48028,"Peace River--Westlock/Peace River--Westlock"," 47","Peace River",11,21,6,101,29,3,171,463
48028,"Peace River--Westlock/Peace River--Westlock"," 48","Brownvale",9,10,8,145,26,1,199,342
48028,"Peace River--Westlock/Peace River--Westlock"," 49","Berwyn",1,5,6,135,17,1,165,295
48028,"Peace River--Westlock/Peace River--Westlock"," 50","Berwyn",10,5,3,155,17,2,192,315
48028,"Peace River--Westlock/Peace River--Westlock"," 51","Peace River",6,12,8,160,26,2,214,512
48028,"Peace River--Westlock/Peace River--Westlock"," 52","Peace River",5,18,4,193,34,1,255,569
48028,"Peace River--Westlock/Peace River--Westlock"," 53","Peace River",6,16,3,154,30,0,209,494
48028,"Peace River--Westlock/Peace River--Westlock"," 54","Peace River",7,20,1,192,20,1,241,478
48028,"Peace River--Westlock/Peace River--Westlock"," 55","Little Buffalo",0,7,1,1,18,2,29,156
48028,"Peace River--Westlock/Peace River--Westlock"," 56","Loon Lake",2,23,2,11,7,0,45,196
48028,"Peace River--Westlock/Peace River--Westlock"," 57","Red Earth Creek ",0,6,4,104,7,1,122,271
48028,"Peace River--Westlock/Peace River--Westlock"," 58A","Peerless Lake ",1,16,0,34,5,0,56,166
48028,"Peace River--Westlock/Peace River--Westlock"," 58B","Peerless Lake ",2,8,2,42,7,0,61,149
48028,"Peace River--Westlock/Peace River--Westlock"," 59","Nampa",3,6,5,120,6,0,140,228
48028,"Peace River--Westlock/Peace River--Westlock"," 60","Nampa",2,5,8,141,7,3,166,261
48028,"Peace River--Westlock/Peace River--Westlock"," 61","Marie-Reine",1,5,11,139,8,0,164,283
48028,"Peace River--Westlock/Peace River--Westlock"," 62","Harmon Valley",6,7,5,115,9,1,143,263
48028,"Peace River--Westlock/Peace River--Westlock"," 63","Belloy",4,6,5,155,19,2,191,293
48028,"Peace River--Westlock/Peace River--Westlock"," 64","Peoria",3,3,1,129,4,0,140,257
48028,"Peace River--Westlock/Peace River--Westlock"," 65","Eaglesham",10,9,15,274,9,0,317,505
48028,"Peace River--Westlock/Peace River--Westlock"," 66","Falher",5,7,7,167,14,1,201,346
48028,"Peace River--Westlock/Peace River--Westlock"," 67","Culp",4,7,7,144,7,4,173,360
48028,"Peace River--Westlock/Peace River--Westlock"," 68","Falher",4,7,2,102,14,1,130,276
48028,"Peace River--Westlock/Peace River--Westlock"," 69","Donnelly",6,16,14,139,16,1,192,363
48028,"Peace River--Westlock/Peace River--Westlock"," 70","Falher",3,17,10,138,7,5,180,444
48028,"Peace River--Westlock/Peace River--Westlock"," 71","McLennan",5,4,11,114,12,0,146,221
48028,"Peace River--Westlock/Peace River--Westlock"," 72","McLennan",8,9,5,102,15,0,139,247
48028,"Peace River--Westlock/Peace River--Westlock"," 73","McLennan",3,17,8,94,7,0,129,232
48028,"Peace River--Westlock/Peace River--Westlock"," 74","Peavine",8,23,16,85,30,0,162,376
48028,"Peace River--Westlock/Peace River--Westlock"," 75","Gift Lake ",4,44,5,45,20,0,118,339
48028,"Peace River--Westlock/Peace River--Westlock"," 76","Prairie Echo ",8,6,3,98,3,1,119,241
48028,"Peace River--Westlock/Peace River--Westlock"," 77","Guy",2,9,8,126,6,2,153,231
48028,"Peace River--Westlock/Peace River--Westlock"," 78","Atikameg",1,65,1,26,12,0,105,388
48028,"Peace River--Westlock/Peace River--Westlock"," 79","Whitemud Creek",1,1,6,180,4,0,192,408
48028,"Peace River--Westlock/Peace River--Westlock"," 80","Grouard ",18,41,6,76,40,0,181,349
48028,"Peace River--Westlock/Peace River--Westlock"," 81","Sucker Creek 150A",28,37,3,40,57,0,165,356
48028,"Peace River--Westlock/Peace River--Westlock"," 82","Drift Pile River 150 ",8,69,4,18,63,0,162,402
48028,"Peace River--Westlock/Peace River--Westlock"," 83","Triangle",7,5,7,146,13,4,182,404
48028,"Peace River--Westlock/Peace River--Westlock"," 84","High Prairie",9,13,5,131,22,1,181,393
48028,"Peace River--Westlock/Peace River--Westlock"," 85","High Prairie",13,24,0,123,26,0,186,457
48028,"Peace River--Westlock/Peace River--Westlock"," 86","High Prairie",15,13,3,90,21,1,143,418
48028,"Peace River--Westlock/Peace River--Westlock"," 87","High Prairie",17,31,8,139,22,1,218,467
48028,"Peace River--Westlock/Peace River--Westlock"," 88","Enilda",10,4,9,134,12,0,169,384
48028,"Peace River--Westlock/Peace River--Westlock"," 89","Sunset House",6,2,3,158,8,1,178,369
48028,"Peace River--Westlock/Peace River--Westlock"," 90","High Prairie",6,8,3,146,11,1,175,385
48028,"Peace River--Westlock/Peace River--Westlock"," 91","Sweethouse Creek",6,3,9,187,12,1,218,405
48028,"Peace River--Westlock/Peace River--Westlock"," 92","Valleyview",5,16,9,134,25,3,192,448
48028,"Peace River--Westlock/Peace River--Westlock"," 93","Valleyview",1,7,6,103,18,0,135,350
48028,"Peace River--Westlock/Peace River--Westlock"," 94","Valleyview",6,11,8,143,23,0,191,530
48028,"Peace River--Westlock/Peace River--Westlock"," 95","Valleyview",5,7,7,191,8,1,219,484
48028,"Peace River--Westlock/Peace River--Westlock"," 96","Sweethouse Creek",2,7,8,166,8,2,193,364
48028,"Peace River--Westlock/Peace River--Westlock"," 97","East Prairie Metis Settlement",3,18,3,28,27,0,79,188
48028,"Peace River--Westlock/Peace River--Westlock"," 98","Joussard",20,8,0,78,12,0,118,327
48028,"Peace River--Westlock/Peace River--Westlock"," 99","Faust",30,17,8,71,13,0,139,290
48028,"Peace River--Westlock/Peace River--Westlock"," 100","Slave Lake",4,10,7,129,15,2,167,470
48028,"Peace River--Westlock/Peace River--Westlock"," 101","Slave Lake",4,21,5,112,14,0,156,448
48028,"Peace River--Westlock/Peace River--Westlock"," 102","Slave Lake",8,11,7,109,13,0,148,457
48028,"Peace River--Westlock/Peace River--Westlock"," 103","Slave Lake",3,15,3,106,22,0,149,388
48028,"Peace River--Westlock/Peace River--Westlock"," 104","Little Smoky",4,3,11,224,4,1,247,404
48028,"Peace River--Westlock/Peace River--Westlock"," 105","Kinuso",8,18,6,72,18,0,122,262
48028,"Peace River--Westlock/Peace River--Westlock"," 106","Big Lakes",7,9,7,234,22,0,279,424
48028,"Peace River--Westlock/Peace River--Westlock"," 107","Slave Lake",3,9,3,127,27,0,169,480
48028,"Peace River--Westlock/Peace River--Westlock"," 108A","Slave Lake",8,9,4,150,17,0,188,407
48028,"Peace River--Westlock/Peace River--Westlock"," 108B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°507,,,,,,,19
48028,"Peace River--Westlock/Peace River--Westlock"," 109","Slave Lake",9,16,8,150,11,0,194,432
48028,"Peace River--Westlock/Peace River--Westlock"," 110","Slave Lake",7,21,3,134,14,0,179,404
48028,"Peace River--Westlock/Peace River--Westlock"," 111","Slave Lake",5,15,7,132,14,0,173,437
48028,"Peace River--Westlock/Peace River--Westlock"," 112","Slave Lake",5,10,7,132,14,0,168,458
48028,"Peace River--Westlock/Peace River--Westlock"," 113","Slave Lake",3,6,3,156,16,1,185,494
48028,"Peace River--Westlock/Peace River--Westlock"," 114","Slave Lake",6,14,2,135,10,0,167,459
48028,"Peace River--Westlock/Peace River--Westlock"," 115","Widewater",18,21,14,352,19,0,424,677
48028,"Peace River--Westlock/Peace River--Westlock"," 116","Smith",10,11,14,319,11,7,372,546
48028,"Peace River--Westlock/Peace River--Westlock"," 117","Fox Creek",1,5,3,150,3,2,164,346
48028,"Peace River--Westlock/Peace River--Westlock"," 118","Fox Creek",4,4,1,140,10,0,159,364
48028,"Peace River--Westlock/Peace River--Westlock"," 119","Fox Creek",2,6,1,153,9,0,171,354
48028,"Peace River--Westlock/Peace River--Westlock"," 120","Fox Creek",1,5,0,126,3,0,135,327
48028,"Peace River--Westlock/Peace River--Westlock"," 121","Swan Hills",5,8,4,160,6,0,183,387
48028,"Peace River--Westlock/Peace River--Westlock"," 122","Swan Hills",3,3,2,106,2,0,116,229
48028,"Peace River--Westlock/Peace River--Westlock"," 123","Swan Hills",1,7,6,144,5,0,163,327
48028,"Peace River--Westlock/Peace River--Westlock"," 124","Grosmont",3,4,16,153,4,3,183,323
48028,"Peace River--Westlock/Peace River--Westlock"," 125","Freeman River",7,6,6,216,10,0,245,391
48028,"Peace River--Westlock/Peace River--Westlock"," 126","Lone Pine",5,12,20,129,9,0,175,303
48028,"Peace River--Westlock/Peace River--Westlock"," 127","Tiger Lily",0,2,4,179,3,0,188,385
48028,"Peace River--Westlock/Peace River--Westlock"," 128","Windfall",6,8,2,180,14,2,212,573
48028,"Peace River--Westlock/Peace River--Westlock"," 129","Blue Ridge",5,13,4,235,13,0,270,693
48028,"Peace River--Westlock/Peace River--Westlock"," 130","Whitecourt",2,17,8,180,10,1,218,547
48028,"Peace River--Westlock/Peace River--Westlock"," 131","Whitecourt",1,6,5,175,12,0,199,524
48028,"Peace River--Westlock/Peace River--Westlock"," 132","Whitecourt",1,4,3,167,11,0,186,490
48028,"Peace River--Westlock/Peace River--Westlock"," 133","Whitecourt",3,5,1,172,4,0,185,476
48028,"Peace River--Westlock/Peace River--Westlock"," 134","Whitecourt",2,6,3,205,5,1,222,565
48028,"Peace River--Westlock/Peace River--Westlock"," 135","Whitecourt",1,3,3,216,7,0,230,425
48028,"Peace River--Westlock/Peace River--Westlock"," 136","Whitecourt",1,9,5,182,4,0,201,517
48028,"Peace River--Westlock/Peace River--Westlock"," 137","Whitecourt",6,3,7,179,18,2,215,561
48028,"Peace River--Westlock/Peace River--Westlock"," 138","Whitecourt",4,10,2,202,5,0,223,564
48028,"Peace River--Westlock/Peace River--Westlock"," 139","Whitecourt",1,8,0,195,12,0,216,570
48028,"Peace River--Westlock/Peace River--Westlock"," 140","Whitecourt",4,15,3,154,2,0,178,427
48028,"Peace River--Westlock/Peace River--Westlock"," 141","Whitecourt",4,3,6,170,4,1,188,507
48028,"Peace River--Westlock/Peace River--Westlock"," 142","Whitecourt",2,4,5,153,17,0,181,450
48028,"Peace River--Westlock/Peace River--Westlock"," 143","Whitecourt",2,8,8,142,20,1,181,513
48028,"Peace River--Westlock/Peace River--Westlock"," 144","Whitecourt",5,11,4,161,9,0,190,495
48028,"Peace River--Westlock/Peace River--Westlock"," 145","Whitecourt",4,14,9,181,25,4,237,575
48028,"Peace River--Westlock/Peace River--Westlock"," 146","Whitecourt",3,6,5,167,10,0,191,473
48028,"Peace River--Westlock/Peace River--Westlock"," 147","Fawcett",12,7,14,179,6,0,218,366
48028,"Peace River--Westlock/Peace River--Westlock"," 148","Jarvie",3,6,17,176,8,1,211,431
48028,"Peace River--Westlock/Peace River--Westlock"," 149","Gladwin",1,10,6,150,10,0,177,360
48028,"Peace River--Westlock/Peace River--Westlock"," 150","Vega",3,2,14,209,3,1,232,327
48028,"Peace River--Westlock/Peace River--Westlock"," 151","Neerlandia",4,3,3,257,4,2,273,383
48028,"Peace River--Westlock/Peace River--Westlock"," 152","Pembina Heights",5,2,6,151,1,0,165,300
48028,"Peace River--Westlock/Peace River--Westlock"," 153","Anselmo",4,3,4,165,10,0,186,254
48028,"Peace River--Westlock/Peace River--Westlock"," 154","Bloomsbury",6,2,13,183,3,0,207,375
48028,"Peace River--Westlock/Peace River--Westlock"," 155","Campsie",4,8,2,169,6,1,190,391
48028,"Peace River--Westlock/Peace River--Westlock"," 156","Barrhead",3,12,5,157,7,0,184,370
48028,"Peace River--Westlock/Peace River--Westlock"," 157","Barrhead",3,5,6,148,5,3,170,344
48028,"Peace River--Westlock/Peace River--Westlock"," 158","Manola",6,9,9,129,10,0,163,318
48028,"Peace River--Westlock/Peace River--Westlock"," 159","Barrhead",1,10,2,164,12,1,190,381
48028,"Peace River--Westlock/Peace River--Westlock"," 160","Barrhead",4,14,5,164,7,0,194,389
48028,"Peace River--Westlock/Peace River--Westlock"," 161","Barrhead",8,15,8,161,11,1,204,389
48028,"Peace River--Westlock/Peace River--Westlock"," 162","Barrhead",2,20,3,149,11,0,185,391
48028,"Peace River--Westlock/Peace River--Westlock"," 163","Barrhead",4,4,5,145,8,1,167,373
48028,"Peace River--Westlock/Peace River--Westlock"," 164","Barrhead",4,16,7,109,16,0,152,384
48028,"Peace River--Westlock/Peace River--Westlock"," 165","Barrhead",5,11,2,139,27,1,185,424
48028,"Peace River--Westlock/Peace River--Westlock"," 166","Barrhead",9,8,12,175,19,0,223,408
48028,"Peace River--Westlock/Peace River--Westlock"," 167","Pibroch",7,5,1,115,2,1,131,304
48028,"Peace River--Westlock/Peace River--Westlock"," 168","Pembina Heights",3,13,5,118,13,0,152,313
48028,"Peace River--Westlock/Peace River--Westlock"," 169","Westlock",4,7,0,129,6,1,147,299
48028,"Peace River--Westlock/Peace River--Westlock"," 170","Westlock",4,8,1,138,12,0,163,371
48028,"Peace River--Westlock/Peace River--Westlock"," 171","Lawton",3,8,14,191,9,5,230,335
48028,"Peace River--Westlock/Peace River--Westlock"," 172","Westlock",2,9,7,144,20,2,184,528
48028,"Peace River--Westlock/Peace River--Westlock"," 173","Westlock",7,16,1,162,18,3,207,457
48028,"Peace River--Westlock/Peace River--Westlock"," 174","Westlock",1,12,7,162,17,4,203,475
48028,"Peace River--Westlock/Peace River--Westlock"," 175","Westlock",4,15,2,162,20,3,206,460
48028,"Peace River--Westlock/Peace River--Westlock"," 176","Westlock",2,16,13,115,14,3,163,421
48028,"Peace River--Westlock/Peace River--Westlock"," 177","Westlock",3,14,2,159,17,0,195,420
48028,"Peace River--Westlock/Peace River--Westlock"," 178","Westlock",12,15,3,145,9,0,184,431
48028,"Peace River--Westlock/Peace River--Westlock"," 179","Westlock",5,12,7,128,15,4,171,320
48028,"Peace River--Westlock/Peace River--Westlock"," 180","Clyde-Tawatinaw",3,7,3,190,11,0,214,386
48028,"Peace River--Westlock/Peace River--Westlock"," 181","Clyde",12,8,3,150,24,0,197,417
48028,"Peace River--Westlock/Peace River--Westlock"," 182","Waugh",0,9,9,197,10,0,225,389
48028,"Peace River--Westlock/Peace River--Westlock"," 183","Belvedere",9,8,21,163,10,3,214,354
48028,"Peace River--Westlock/Peace River--Westlock"," 184","Manola",4,9,6,162,12,3,196,386
48028,"Peace River--Westlock/Peace River--Westlock"," 185","Pickardville",6,7,9,159,0,0,181,387
48028,"Peace River--Westlock/Peace River--Westlock"," 186","Pickardville",3,10,2,145,6,0,166,345
48028,"Peace River--Westlock/Peace River--Westlock"," 187","Clyde",8,16,10,287,28,0,349,514
48028,"Peace River--Westlock/Peace River--Westlock"," 188","Barrhead",9,19,9,171,12,2,222,351
48028,"Peace River--Westlock/Peace River--Westlock"," 189","Busby",4,12,14,263,16,0,309,453
48028,"Peace River--Westlock/Peace River--Westlock"," 500","Mobile poll/Bureau itinérant",0,3,0,15,1,0,19,42
48028,"Peace River--Westlock/Peace River--Westlock"," 501","Mobile poll/Bureau itinérant",2,8,2,38,7,5,62,94
48028,"Peace River--Westlock/Peace River--Westlock"," 502","Mobile poll/Bureau itinérant",0,6,5,19,1,1,32,33
48028,"Peace River--Westlock/Peace River--Westlock"," 503","Mobile poll/Bureau itinérant",2,12,4,44,15,6,83,130
48028,"Peace River--Westlock/Peace River--Westlock"," 504","Mobile poll/Bureau itinérant",2,21,2,47,6,5,83,100
48028,"Peace River--Westlock/Peace River--Westlock"," 505","Mobile poll/Bureau itinérant",7,15,3,41,8,5,79,96
48028,"Peace River--Westlock/Peace River--Westlock"," 506","Mobile poll/Bureau itinérant",2,5,2,37,2,0,48,55
48028,"Peace River--Westlock/Peace River--Westlock"," 507","Mobile poll/Bureau itinérant",4,13,5,41,3,0,66,91
48028,"Peace River--Westlock/Peace River--Westlock"," 508","Mobile poll/Bureau itinérant",0,7,2,26,3,5,43,61
48028,"Peace River--Westlock/Peace River--Westlock"," 509A","Mobile poll/Bureau itinérant",2,3,4,34,2,0,45,71
48028,"Peace River--Westlock/Peace River--Westlock"," 509B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°510,,,,,,,37
48028,"Peace River--Westlock/Peace River--Westlock"," 510","Mobile poll/Bureau itinérant",7,22,4,81,8,0,122,145
48028,"Peace River--Westlock/Peace River--Westlock"," 511","Mobile poll/Bureau itinérant",5,18,3,134,12,7,179,294
48028,"Peace River--Westlock/Peace River--Westlock"," 600","Mackenzie No. 23--High Level",3,12,11,193,14,0,233,
48028,"Peace River--Westlock/Peace River--Westlock"," 601","Mackenzie No. 23--Fort Vermilion",3,4,7,1558,16,31,1619,
48028,"Peace River--Westlock/Peace River--Westlock"," 602","Peace River",17,42,10,496,46,1,612,
48028,"Peace River--Westlock/Peace River--Westlock"," 603","Loon Lake",0,0,1,53,1,0,55,
48028,"Peace River--Westlock/Peace River--Westlock"," 604","Peace River",30,51,30,430,62,1,604,
48028,"Peace River--Westlock/Peace River--Westlock"," 605","Grimshaw",19,18,25,475,38,0,575,
48028,"Peace River--Westlock/Peace River--Westlock"," 606","Birch Hills County",29,54,24,915,39,3,1064,
48028,"Peace River--Westlock/Peace River--Westlock"," 607","Falher",13,29,35,503,41,3,624,
48028,"Peace River--Westlock/Peace River--Westlock"," 608","Valleyview",10,19,16,747,23,4,819,
48028,"Peace River--Westlock/Peace River--Westlock"," 609","High Prairie",29,49,18,469,48,0,613,
48028,"Peace River--Westlock/Peace River--Westlock"," 610","High Prairie",22,18,17,198,24,0,279,
48028,"Peace River--Westlock/Peace River--Westlock"," 611","Slave Lake",17,36,26,678,42,4,803,
48028,"Peace River--Westlock/Peace River--Westlock"," 612","Slave Lake",23,53,29,666,46,6,823,
48028,"Peace River--Westlock/Peace River--Westlock"," 613","Slave Lake",2,5,4,73,3,1,88,
48028,"Peace River--Westlock/Peace River--Westlock"," 614","Westlock County",7,28,15,503,21,2,576,
48028,"Peace River--Westlock/Peace River--Westlock"," 615","Westlock County",18,50,20,538,49,2,677,
48028,"Peace River--Westlock/Peace River--Westlock"," 616","Westlock County",15,25,12,411,32,5,500,
48028,"Peace River--Westlock/Peace River--Westlock"," 617","Barrhead",16,72,19,796,53,8,964,
48028,"Peace River--Westlock/Peace River--Westlock"," 618","Barrhead",17,26,38,742,36,8,867,
48028,"Peace River--Westlock/Peace River--Westlock"," 619","Swan Hills",7,12,9,241,15,1,285,
48028,"Peace River--Westlock/Peace River--Westlock"," 620","Whitecourt",3,14,10,349,16,0,392,
48028,"Peace River--Westlock/Peace River--Westlock"," 621","Whitecourt",12,37,29,827,33,1,939,
48028,"Peace River--Westlock/Peace River--Westlock"," 622","Whitecourt",7,32,16,857,40,9,961,
48028,"Peace River--Westlock/Peace River--Westlock"," 623","Whitecourt",14,27,23,962,37,4,1067,
48028,"Peace River--Westlock/Peace River--Westlock",,Group 1/Groupe 1, 5,34,1,27,15,11,93,98
48028,"Peace River--Westlock/Peace River--Westlock",,Group 2/Groupe 2, 41,93,63,1518,117,41,1873,
