Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shaun Chen,Yan Chen,Jude Guerrier,David Kong,Janet Robinson,Avery Velez,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35096,"Scarborough North/Scarborough-Nord"," 23","Scarborough",74,18,1,77,1,7,3,181,411
35096,"Scarborough North/Scarborough-Nord"," 24","Scarborough",97,14,2,64,0,3,0,180,413
35096,"Scarborough North/Scarborough-Nord"," 25","Scarborough",73,12,0,46,1,3,0,135,361
35096,"Scarborough North/Scarborough-Nord"," 26","Scarborough",127,35,3,45,0,4,0,214,450
35096,"Scarborough North/Scarborough-Nord"," 27","Scarborough",116,25,3,42,0,6,0,192,365
35096,"Scarborough North/Scarborough-Nord"," 28","Scarborough",168,38,0,58,2,1,2,269,588
35096,"Scarborough North/Scarborough-Nord"," 29","Scarborough",141,25,0,13,2,3,6,190,464
35096,"Scarborough North/Scarborough-Nord"," 30","Scarborough",69,10,0,74,0,0,2,155,415
35096,"Scarborough North/Scarborough-Nord"," 31","Scarborough",48,21,0,70,0,2,2,143,279
35096,"Scarborough North/Scarborough-Nord"," 32","Scarborough",41,6,2,73,0,3,4,129,339
35096,"Scarborough North/Scarborough-Nord"," 33","Scarborough",81,24,0,78,1,5,0,189,366
35096,"Scarborough North/Scarborough-Nord"," 34","Scarborough",70,19,2,74,0,1,1,167,358
35096,"Scarborough North/Scarborough-Nord"," 35","Scarborough",40,27,2,46,0,4,5,124,320
35096,"Scarborough North/Scarborough-Nord"," 36","Scarborough",53,15,0,53,0,4,1,126,364
35096,"Scarborough North/Scarborough-Nord"," 37","Scarborough",85,29,2,71,0,1,2,190,405
35096,"Scarborough North/Scarborough-Nord"," 38","Scarborough",63,20,3,69,1,6,0,162,389
35096,"Scarborough North/Scarborough-Nord"," 39","Scarborough",57,32,1,48,0,2,1,141,334
35096,"Scarborough North/Scarborough-Nord"," 40","Scarborough",104,19,2,67,0,2,2,196,425
35096,"Scarborough North/Scarborough-Nord"," 41","Scarborough",76,29,1,71,0,2,0,179,430
35096,"Scarborough North/Scarborough-Nord"," 42","Scarborough",121,26,3,67,0,5,2,224,461
