Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jeff Benoit,Pierre Chénier,Marc Gagnon,Meryam Haddad,Marika Lalime,Hugues Laplante,Brenda Shanahan,Claudia Valdivia,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 98","Mercier",3,0,2,5,14,23,36,90,9,182,415
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 99","Mercier",2,0,0,8,12,26,43,85,6,182,402
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 100","Châteauguay",2,0,2,7,27,13,83,77,4,215,433
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 101","Châteauguay",2,1,1,8,26,16,78,88,6,226,491
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 102","Châteauguay",7,0,3,10,44,27,136,131,0,358,865
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 103","Châteauguay",3,0,3,7,11,12,92,66,6,200,441
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 104","Châteauguay",0,0,1,8,34,20,86,82,5,236,545
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 105","Châteauguay",2,0,0,5,19,17,113,69,4,229,436
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 106","Châteauguay",1,0,5,10,21,20,86,99,6,248,490
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 107","Châteauguay",0,0,2,6,21,11,110,59,0,209,432
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 108","Châteauguay",1,0,1,7,17,29,113,77,0,245,469
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 109","Châteauguay",0,0,0,5,22,26,72,73,1,199,401
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 110","Châteauguay",1,0,0,15,16,36,120,94,5,287,615
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 111","Saint-Isidore",4,0,1,2,11,15,48,65,3,149,274
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 112A","Saint-Isidore",3,1,3,8,13,33,58,73,2,194,347
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 112B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°142B,,,,,,,,,,11
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 113","Saint-Isidore",2,1,2,10,10,20,44,107,1,197,346
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 114","Saint-Isidore",2,1,1,4,9,18,66,125,2,228,349
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 115","Saint-Isidore",2,1,0,17,20,38,83,138,4,303,445
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 116","Saint-Isidore",3,2,5,5,15,22,52,86,6,196,317
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 117","Mercier",4,0,1,6,17,15,80,98,4,225,409
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 118","Mercier",5,0,2,8,11,21,100,96,1,244,543
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 119","Mercier",0,1,2,11,29,20,52,84,9,208,456
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 120","Mercier",1,0,3,8,8,22,23,71,12,148,355
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 121","Mercier",7,1,1,12,13,15,28,137,4,218,432
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 122","Mercier",2,0,2,4,12,23,79,93,8,223,427
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 123","Mercier",1,0,1,10,13,20,63,79,4,191,412
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 124","Mercier",3,0,1,14,22,26,71,108,5,250,566
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 125","Mercier",2,0,3,7,15,31,59,87,5,209,403
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 126","Saint-Édouard",1,2,4,5,3,23,41,73,2,154,314
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 127","Saint-Édouard",1,0,8,9,5,19,62,96,3,203,339
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 128","Saint-Édouard",3,0,2,5,17,17,55,101,3,203,385
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 129","Saint-Rémi",4,0,2,7,24,23,54,103,5,222,501
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 130","Saint-Rémi",3,0,6,16,22,29,88,154,4,322,603
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 131","Saint-Rémi",0,0,2,3,12,31,72,103,6,229,447
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 132","Saint-Rémi",1,0,5,10,21,28,52,102,3,222,484
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 133","Saint-Rémi",3,0,2,2,20,26,69,111,3,236,439
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 134","Saint-Rémi",1,1,0,5,11,17,60,74,4,173,359
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 135","Saint-Rémi",2,0,7,4,16,25,65,151,9,279,695
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 136","Saint-Rémi",0,0,2,2,4,12,35,73,2,130,322
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 137","Saint-Rémi",3,0,2,11,8,18,46,62,10,160,428
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 138","Saint-Rémi",1,0,2,9,8,21,49,79,4,173,378
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 139","Saint-Rémi",2,0,0,4,8,18,21,64,8,125,370
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 140A","Saint-Rémi",4,0,3,7,12,16,42,78,8,170,411
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 140B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°142B,,,,,,,,,,19
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 141","Saint-Rémi",0,0,3,4,8,28,44,86,12,185,435
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 142A","Saint-Rémi",1,1,1,13,22,30,70,79,7,224,507
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 142B","Mobile poll/Bureau itinérant",0,1,3,0,2,3,11,4,5,29,16
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 143","Saint-Michel",1,0,0,3,11,10,32,75,1,133,272
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 144","Saint-Michel",3,0,2,12,13,30,86,116,1,263,494
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 145","Saint-Michel",0,0,2,2,11,22,59,93,5,194,340
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 146","Saint-Michel",2,0,0,8,8,15,66,106,7,212,387
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 147","Saint-Michel",1,0,1,8,19,25,69,100,3,226,413
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 148","Saint-Michel",0,1,1,3,3,28,43,54,3,136,318
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 149","Saint-Michel",1,1,1,4,3,14,39,64,5,132,314
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 150","Saint-Cyprien-de-Napierville",1,1,1,9,22,38,66,105,7,250,501
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 151","Saint-Cyprien-de-Napierville",0,0,2,4,10,18,48,68,7,157,370
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 152","Napierville",0,0,3,8,9,14,53,71,2,160,362
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 153","Napierville",2,0,1,5,17,15,40,62,3,145,396
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 154","Napierville",0,1,2,12,26,23,43,98,4,209,431
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 155","Napierville",3,0,2,11,19,31,49,101,3,219,457
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 156","Napierville",3,0,4,7,11,12,39,59,3,138,354
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 157","Napierville",2,0,0,15,20,26,57,94,9,223,462
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 158","Saint-Cyprien-de-Napierville",4,0,2,13,17,30,47,94,11,218,463
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 159","Saint-Cyprien-de-Napierville",2,0,1,9,8,22,46,74,2,164,366
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 160","Saint-Cyprien-de-Napierville",0,0,1,7,9,22,40,57,2,138,297
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 161","Sainte-Martine",1,0,2,5,10,50,60,92,0,220,451
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 162","Sainte-Martine",2,0,2,10,14,26,58,104,1,217,389
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 163","Sainte-Martine",1,0,1,5,16,46,41,92,2,204,355
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 164","Sainte-Martine",2,0,0,6,10,28,32,65,0,143,259
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 165","Sainte-Martine",1,0,1,4,4,28,43,83,0,164,298
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 166","Sainte-Martine",1,0,2,2,10,20,25,63,1,124,267
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 167","Sainte-Martine",1,1,3,12,16,27,36,76,1,173,394
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 168","Sainte-Martine",0,0,1,8,12,23,47,68,3,162,335
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 169","Sainte-Martine",2,1,4,9,10,22,27,69,0,144,300
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 170","Sainte-Martine",0,0,2,2,5,20,24,56,2,111,283
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 171","Sainte-Martine",0,0,0,4,11,21,56,81,7,180,393
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 172","Sainte-Martine",3,0,2,3,5,29,18,68,4,132,267
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 173","Sainte-Martine",0,0,2,3,14,24,35,77,0,155,318
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 174","Saint-Urbain-Premier",5,0,1,9,19,37,52,103,10,236,358
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 175","Saint-Urbain-Premier",0,0,1,10,25,35,55,94,7,227,350
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 176","Saint-Urbain-Premier",1,0,0,7,16,40,55,73,3,195,315
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 177","Sherrington",1,1,0,1,11,30,60,91,6,201,299
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 178","Sherrington",3,0,1,3,2,19,47,57,3,135,233
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 179","Sherrington",2,1,1,6,8,28,47,80,4,177,297
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 180","Sherrington",0,0,0,9,12,23,63,74,3,184,309
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 181","Sherrington",4,0,1,9,14,28,68,90,1,215,346
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 182","Sainte-Clotilde-de-Châteauguay",1,0,2,6,4,33,44,80,5,175,410
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 183","Sainte-Clotilde-de-Châteauguay",0,0,1,11,12,46,57,72,4,203,411
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 184","Sainte-Clotilde-de-Châteauguay",1,1,3,4,3,23,22,70,7,134,299
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 185","Sainte-Clotilde-de-Châteauguay",4,1,1,5,7,26,27,52,0,123,278
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 186","Saint-Bernard-de-Lacolle",3,0,0,3,6,15,38,72,4,141,314
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 187","Saint-Bernard-de-Lacolle",4,0,1,8,8,22,59,47,3,152,342
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 188","Saint-Bernard-de-Lacolle",3,0,0,12,7,28,38,50,10,148,286
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 189","Saint-Bernard-de-Lacolle",1,0,3,9,9,22,45,40,0,129,284
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 500","Mobile poll/Bureau itinérant",0,1,1,3,3,8,75,41,14,146,196
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 501","Mobile poll/Bureau itinérant",1,0,0,1,0,6,21,3,0,32,74
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 502","Mobile poll/Bureau itinérant",0,0,1,0,3,8,81,44,17,154,200
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 503","Mobile poll/Bureau itinérant",0,1,0,2,1,6,30,12,1,53,152
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 504","Mobile poll/Bureau itinérant",1,1,4,1,2,9,67,36,13,134,176
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 505","Mobile poll/Bureau itinérant",1,2,2,0,2,8,19,6,5,45,186
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 506","Mobile poll/Bureau itinérant",3,1,4,1,2,10,82,41,11,155,195
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 507A","Mobile poll/Bureau itinérant",0,0,2,1,1,6,27,4,5,46,61
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 507B","Sainte-Clotilde-de-Châteauguay",Merged with No./Fusionné avec le n°182,,,,,,,,,,2
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 600","Léry",1,1,5,14,22,53,142,161,9,408,
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 601","Châteauguay",9,0,9,33,69,86,321,331,20,878,
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 602","Châteauguay",12,0,6,39,76,78,586,259,13,1069,
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 603","Châteauguay",13,4,7,44,76,105,575,242,22,1088,
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 604","Châteauguay",4,0,5,31,64,107,432,418,23,1084,
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 605","Châteauguay",10,0,5,20,53,70,446,228,16,848,
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 606","Châteauguay",8,1,4,21,54,81,402,250,9,830,
