Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Paulina Ayala,Garnet Colly,Tina Di Serio,Hassan Guillet,Patricia Lattanzio,Ilario Maiolo,Dominique Mougin,Alessandra Szilagyi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 24","Saint-Léonard",12,1,1,17,106,25,19,3,4,188,392
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 25","Saint-Léonard",12,0,3,10,133,37,18,10,1,224,434
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 26","Saint-Léonard",27,0,5,2,111,32,14,4,0,195,443
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 27","Saint-Léonard",17,0,5,7,138,41,11,7,3,229,492
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 28","Saint-Léonard",12,0,3,11,106,26,9,5,7,179,398
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 29","Saint-Léonard",11,0,2,11,79,35,13,5,1,157,362
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 30","Saint-Léonard",2,0,0,36,82,12,18,1,2,153,334
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 31","Saint-Léonard",10,0,5,40,136,17,11,6,1,226,470
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 32","Saint-Léonard",5,1,1,25,87,16,15,7,3,160,323
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 33","Saint-Léonard",14,0,3,32,96,16,9,5,1,176,375
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 34","Saint-Léonard",9,0,0,27,124,30,11,2,6,209,420
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 35","Saint-Léonard",14,0,4,36,116,27,10,7,6,220,480
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 36","Saint-Léonard",15,2,4,31,115,14,30,1,1,213,512
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 37","Saint-Léonard",10,1,0,19,104,27,25,1,6,193,432
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 38","Saint-Léonard",10,0,1,16,93,11,17,12,2,162,362
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 39","Saint-Léonard",15,0,1,17,118,30,19,0,3,203,406
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 40","Saint-Léonard",10,0,1,18,96,16,16,3,3,163,339
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 41","Saint-Léonard",7,0,2,13,83,6,16,5,2,134,390
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 42","Saint-Léonard",10,0,0,16,104,19,13,5,5,172,370
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 43","Saint-Léonard",9,0,1,17,113,19,11,1,0,171,385
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 44","Saint-Léonard",14,0,1,20,117,9,20,9,1,191,373
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 45","Saint-Léonard",17,0,2,33,124,7,13,1,10,207,399
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 46","Saint-Léonard",9,0,5,29,115,16,4,4,3,185,443
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 47","Saint-Léonard",21,0,2,14,128,53,16,19,3,256,470
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 48","Saint-Léonard",22,0,5,6,129,45,16,9,1,233,436
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 49","Saint-Léonard",16,1,1,7,146,39,15,17,3,245,420
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 50","Saint-Léonard",3,0,0,17,122,39,20,3,4,208,348
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 51","Saint-Léonard",5,0,2,13,104,24,9,4,3,164,333
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 52","Saint-Léonard",5,2,2,27,118,32,23,2,3,214,426
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 53","Saint-Léonard",6,0,2,9,118,37,18,6,5,201,444
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 54","Saint-Léonard",9,0,3,15,149,25,15,2,5,223,430
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 55","Saint-Léonard",13,0,1,31,120,15,7,1,1,189,480
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 56","Saint-Léonard",6,0,0,10,65,27,7,4,8,127,345
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 57","Saint-Léonard",3,0,2,2,98,16,16,1,4,142,450
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 58A","Saint-Léonard",12,0,5,6,121,35,20,4,11,214,458
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 58B","Saint-Léonard",9,0,1,5,116,27,20,3,9,190,442
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 58C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,,,,194
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 59","Saint-Léonard",22,0,2,20,160,38,19,8,4,273,539
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 60","Saint-Léonard",22,0,1,9,150,45,23,9,5,264,449
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 61","Saint-Léonard",17,0,3,13,147,24,26,16,5,251,455
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 62","Saint-Léonard",14,1,2,21,143,45,17,5,7,255,467
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 63","Saint-Léonard",11,0,0,3,148,58,3,6,3,232,459
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 64","Saint-Léonard",15,1,5,16,186,46,22,2,7,300,564
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 65","Saint-Léonard",11,0,1,15,141,28,10,5,3,214,408
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 66","Saint-Léonard",12,0,2,6,119,47,4,2,4,196,375
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 67","Montréal",7,0,3,3,93,7,3,1,3,120,427
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 68","Saint-Léonard",9,0,4,3,100,22,16,4,0,158,349
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 69","Saint-Léonard",7,0,1,13,115,41,21,4,4,206,476
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 70","Saint-Léonard",15,0,2,5,111,21,12,8,1,175,428
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 71","Saint-Léonard",11,0,1,16,111,27,9,2,5,182,357
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 72","Saint-Léonard",9,0,2,12,103,15,10,1,0,152,388
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 73","Saint-Léonard",21,0,2,17,115,32,24,5,1,217,393
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 74","Saint-Léonard",11,0,3,6,111,20,8,2,1,162,295
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 75","Saint-Léonard",12,0,2,20,111,15,8,5,0,173,376
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 76","Saint-Léonard",7,0,1,13,93,13,9,1,9,146,330
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 77","Saint-Léonard",15,0,0,30,114,22,10,3,4,198,369
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 78","Saint-Léonard",11,2,2,13,95,10,24,1,0,158,351
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 79","Saint-Léonard",14,1,4,14,107,21,33,6,4,204,371
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 80","Saint-Léonard",17,0,3,22,148,31,12,9,5,247,467
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 81","Saint-Léonard",8,0,1,21,124,28,19,8,4,213,417
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 82","Saint-Léonard",20,1,5,21,118,31,21,7,4,228,445
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 83","Montréal",19,0,0,12,107,12,38,13,5,206,485
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 84","Saint-Léonard",9,0,1,18,104,26,4,9,2,173,374
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 85","Saint-Léonard",12,0,2,19,93,26,18,3,0,173,430
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 86","Saint-Léonard",5,1,0,22,104,24,13,4,5,178,374
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 87","Saint-Léonard",11,0,6,22,105,26,10,5,4,189,399
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 88","Saint-Léonard",16,1,6,10,133,30,19,13,5,233,511
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 89","Saint-Léonard",15,0,1,16,144,29,9,0,7,221,560
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 90","Saint-Léonard",16,1,3,13,126,28,22,4,4,217,550
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 91","Saint-Léonard",28,0,5,11,126,40,12,7,2,231,444
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 92","Saint-Léonard",16,0,6,11,156,38,18,4,8,257,567
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 93","Saint-Léonard",8,1,2,14,143,19,7,3,0,197,421
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 94","Saint-Léonard",15,0,4,11,138,28,22,2,1,221,434
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 95","Saint-Léonard",7,0,3,32,164,37,23,5,6,277,467
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 96","Saint-Léonard",15,0,3,21,151,20,12,2,3,227,402
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 97","Saint-Léonard",11,1,2,29,166,21,18,4,6,258,472
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 98","Saint-Léonard",5,0,3,15,144,38,8,4,5,222,442
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 99","Saint-Léonard",9,0,1,13,128,28,2,7,2,190,360
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 100","Saint-Léonard",14,0,1,15,129,22,17,5,7,210,445
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 101","Saint-Léonard",14,0,6,10,134,26,7,5,6,208,439
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 102","Saint-Léonard",18,1,1,13,141,29,13,6,1,223,420
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 103","Saint-Léonard",9,0,1,7,122,29,9,2,0,179,418
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 104","Saint-Léonard",12,0,0,11,128,33,27,5,2,218,509
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 105","Saint-Léonard",15,0,0,5,63,19,14,2,0,118,344
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 106","Saint-Léonard",9,0,1,19,128,11,25,4,2,199,504
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 107","Saint-Léonard",19,1,1,16,130,15,18,7,5,212,516
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 108","Saint-Léonard",6,0,2,16,76,18,29,4,3,154,362
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 109","Saint-Léonard",10,1,3,23,106,13,29,6,5,196,466
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 110","Saint-Léonard",11,2,1,16,148,32,17,4,4,235,555
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 111","Saint-Léonard",19,0,2,15,119,12,19,3,1,190,474
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 112","Saint-Léonard",22,1,3,18,107,24,30,13,5,223,509
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 113","Saint-Léonard",20,0,1,21,198,31,14,16,2,303,549
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 114","Saint-Léonard",17,0,1,18,105,30,13,5,9,198,381
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 115","Saint-Léonard",15,0,1,8,162,29,8,3,4,230,497
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 116","Saint-Léonard",17,1,3,22,187,35,19,3,2,289,538
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 117","Saint-Léonard",14,0,3,29,160,18,14,4,8,250,500
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 118","Saint-Léonard",24,0,3,17,171,32,10,2,0,259,496
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 119A","Saint-Léonard",15,0,2,16,175,21,22,6,3,260,558
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 119B","Saint-Léonard",Merged with No./Fusionné avec le n°401,,,,,,,,,,88
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 120","Saint-Léonard",13,1,0,8,126,28,14,8,8,206,486
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 121","Montréal",20,0,0,3,116,18,25,3,4,189,505
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 122","Montréal",13,0,0,9,142,18,14,5,8,209,483
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 123","Montréal",10,0,5,7,111,15,28,2,5,183,501
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 124","Montréal",13,0,2,8,135,20,8,5,2,193,419
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 125","Montréal",21,0,1,6,96,11,23,5,0,163,478
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 126","Montréal",10,4,1,9,117,13,12,3,7,176,428
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 127","Saint-Léonard",17,0,2,23,154,23,22,6,6,253,502
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 128","Montréal",27,0,1,6,84,2,21,7,5,153,488
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 129","Saint-Léonard",10,0,4,5,101,20,11,2,5,158,392
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 130","Saint-Léonard",20,1,3,10,141,39,22,11,2,249,551
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 131","Saint-Léonard",13,1,2,10,107,46,22,1,4,206,389
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 132","Saint-Léonard",14,0,3,7,78,13,25,7,3,150,343
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 133","Montréal",18,0,0,0,62,13,28,2,1,124,319
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 134","Saint-Léonard",11,1,0,8,65,27,23,9,4,148,333
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 135","Montréal",8,0,1,27,117,7,4,5,9,178,333
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 136","Montréal",17,2,4,3,109,22,30,10,9,206,443
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 137","Montréal",7,0,4,7,49,8,24,2,1,102,247
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 138","Montréal",10,0,1,8,116,18,22,7,4,186,439
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 139","Montréal",19,1,2,21,121,28,32,7,8,239,521
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 140","Montréal",12,1,3,6,88,14,18,4,4,150,344
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 141","Montréal",22,1,3,4,145,30,7,4,4,220,446
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 142","Montréal",26,0,1,3,129,12,20,4,5,200,509
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 143","Montréal",12,2,1,17,115,18,18,5,2,190,444
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 144","Montréal",16,0,4,6,128,18,13,3,5,193,547
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 145","Montréal",22,0,7,9,95,16,13,4,8,174,406
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 146","Montréal",18,2,4,9,102,26,16,5,8,190,458
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 147","Montréal",13,0,1,8,128,14,12,8,4,188,483
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 148","Montréal",16,0,2,7,105,18,6,4,3,161,397
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 149","Montréal",16,0,5,6,144,14,7,7,4,203,401
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 150","Montréal",12,0,3,11,119,20,19,5,9,198,419
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 151","Montréal",21,1,2,11,151,8,15,8,10,227,477
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 152","Montréal",12,1,1,3,124,10,9,7,8,175,400
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 153","Montréal",13,0,2,6,98,7,9,4,0,139,323
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 154","Montréal",12,1,0,15,93,12,18,5,5,161,374
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 155","Montréal",17,0,4,1,149,15,14,5,2,207,545
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 156","Montréal",7,0,0,3,78,8,5,5,3,109,368
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 157","Montréal",6,1,5,7,109,24,9,3,10,174,356
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 158","Montréal",20,1,0,8,143,13,19,5,4,213,582
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 159","Montréal",10,0,1,3,116,11,11,6,2,160,391
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 160","Montréal",15,0,1,4,103,10,14,3,6,156,333
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 161","Montréal",22,0,1,7,99,12,16,3,6,166,389
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 162","Montréal",10,0,2,5,87,19,15,6,2,146,316
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 163","Montréal",11,2,1,9,123,17,5,3,2,173,387
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 164","Montréal",7,0,2,2,85,17,39,2,7,161,394
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 165","Montréal",12,0,0,6,99,18,22,8,5,170,405
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 166","Montréal",13,1,1,4,83,9,18,2,5,136,314
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 167","Montréal",9,0,0,4,130,9,10,6,2,170,385
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 168","Montréal",8,0,0,5,99,5,8,1,1,127,337
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 169","Montréal",17,2,2,17,131,26,10,1,4,210,449
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 170","Montréal",13,0,1,8,101,16,10,6,2,157,314
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 171","Montréal",23,0,1,5,92,18,11,2,4,156,323
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 172","Montréal",11,1,1,3,62,11,23,2,2,116,347
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 173","Montréal",13,0,0,11,147,15,10,5,5,206,359
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 174","Montréal",12,0,0,3,107,15,3,2,2,144,355
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 175","Montréal",14,0,1,4,71,8,16,1,1,116,360
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 176","Montréal",12,2,0,5,105,12,16,3,3,158,371
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 177","Montréal",28,0,2,4,111,15,14,4,5,183,396
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 400","Saint-Léonard",4,3,2,3,138,21,47,2,18,238,384
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 401","Saint-Léonard",5,2,3,4,98,10,38,0,8,168,123
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 402","Saint-Léonard",10,0,2,2,191,25,119,6,10,365,487
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 500","Mobile poll/Bureau itinérant",3,3,5,2,96,14,27,2,14,166,198
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 600","Saint-Léonard",32,0,5,60,353,91,69,20,11,641,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 601","Saint-Léonard",22,0,5,24,275,92,26,9,5,458,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 602","Saint-Léonard",48,0,14,59,483,151,105,27,19,906,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 603","Saint-Léonard",47,1,3,57,435,103,81,22,12,761,
