Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shannon Hawthorne,Harris Kirshenbaum,Glen Motz,Andrew Nelson,Dave Phillips,Elizabeth Thomson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 181A","Milk River",2,4,99,3,0,3,0,111,278
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 181B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°509,,,,,,,,0
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 182","Milk River",2,6,92,4,1,7,0,112,212
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 183","Coutts",0,1,134,7,3,7,2,154,243
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 184","Allerston",1,1,115,5,0,2,0,124,350
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 185","Manyberries",1,2,116,1,0,2,1,123,226
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 400","Medicine Hat",5,12,112,10,1,8,0,148,186
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 401","Medicine Hat",5,12,92,3,1,3,4,120,167
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 402","Medicine Hat",4,17,121,1,2,16,0,161,230
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 500","Mobile poll/Bureau itinérant",3,8,47,0,1,4,1,64,163
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 501","Mobile poll/Bureau itinérant",4,6,59,0,0,5,1,75,169
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 502A","Medicine Hat",Merged with No./Fusionné avec le n°50,,,,,,,,92
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 502B","Medicine Hat",Merged with No./Fusionné avec le n°53,,,,,,,,28
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 503A","Medicine Hat",Merged with No./Fusionné avec le n°72,,,,,,,,25
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 503B","Medicine Hat",Merged with No./Fusionné avec le n°76,,,,,,,,17
