Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Normand Chouinard,Victoria Hernandez,Barbara Joannette,Isabelle Lapointe,Jean-Claude Poissant,Alain Therrien,Gregory Yablunovsky,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24034,"La Prairie/La Prairie"," 25","Candiac",0,15,10,19,77,86,4,3,214,515
24034,"La Prairie/La Prairie"," 26","La Prairie",0,16,2,21,74,61,0,0,174,345
24034,"La Prairie/La Prairie"," 27","La Prairie",0,17,11,11,94,68,0,0,201,383
24034,"La Prairie/La Prairie"," 28","La Prairie",0,23,10,26,106,83,0,2,250,482
24034,"La Prairie/La Prairie"," 29","La Prairie",0,20,7,21,112,98,2,3,263,466
24034,"La Prairie/La Prairie"," 30","La Prairie",0,28,11,20,98,67,1,4,229,444
24034,"La Prairie/La Prairie"," 31","La Prairie",0,14,15,15,77,44,3,4,172,379
24034,"La Prairie/La Prairie"," 32","La Prairie",0,26,21,18,113,83,1,0,262,489
24034,"La Prairie/La Prairie"," 33","La Prairie",0,21,6,24,84,59,0,0,194,353
24034,"La Prairie/La Prairie"," 34","La Prairie",0,30,24,17,91,70,0,4,236,390
24034,"La Prairie/La Prairie"," 35","La Prairie",0,22,10,31,99,128,2,2,294,567
24034,"La Prairie/La Prairie"," 36A","La Prairie",0,36,13,37,180,147,3,0,416,793
24034,"La Prairie/La Prairie"," 36B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500B,,,,,,,,,144
24034,"La Prairie/La Prairie"," 37","La Prairie",0,21,21,30,158,97,1,1,329,533
24034,"La Prairie/La Prairie"," 38","La Prairie",1,14,9,13,90,65,1,2,195,354
24034,"La Prairie/La Prairie"," 39","La Prairie",0,25,16,34,153,90,3,0,321,547
24034,"La Prairie/La Prairie"," 40","La Prairie",0,15,4,27,142,68,2,4,262,414
24034,"La Prairie/La Prairie"," 41","La Prairie",1,19,19,34,184,84,1,4,346,700
24034,"La Prairie/La Prairie"," 42","La Prairie",0,21,15,21,134,70,2,1,264,488
24034,"La Prairie/La Prairie"," 43","La Prairie",0,31,13,36,111,88,2,1,282,478
24034,"La Prairie/La Prairie"," 44","Sainte-Catherine",0,11,3,15,33,71,2,2,137,310
24034,"La Prairie/La Prairie"," 45","Delson",1,16,10,11,42,48,2,1,131,306
24034,"La Prairie/La Prairie"," 46","Delson",0,8,8,10,47,67,0,5,145,271
24034,"La Prairie/La Prairie"," 47","Delson",0,20,11,12,80,114,0,0,237,437
24034,"La Prairie/La Prairie"," 48","Delson",1,14,6,17,52,98,0,3,191,367
24034,"La Prairie/La Prairie"," 49","Sainte-Catherine",0,23,22,29,68,134,3,10,289,516
24034,"La Prairie/La Prairie"," 50","Sainte-Catherine",1,17,11,16,73,129,1,2,250,503
24034,"La Prairie/La Prairie"," 51","Sainte-Catherine",0,23,7,18,73,140,6,3,270,507
24034,"La Prairie/La Prairie"," 52","Sainte-Catherine",0,17,14,10,70,98,0,3,212,427
24034,"La Prairie/La Prairie"," 53","Sainte-Catherine",0,26,14,14,84,112,1,5,256,518
24034,"La Prairie/La Prairie"," 54","Sainte-Catherine",1,28,12,13,88,88,1,4,235,429
24034,"La Prairie/La Prairie"," 55","Sainte-Catherine",0,25,16,24,85,135,2,9,296,592
24034,"La Prairie/La Prairie"," 56","Sainte-Catherine",1,24,15,17,64,166,2,3,292,522
24034,"La Prairie/La Prairie"," 57","Sainte-Catherine",0,17,10,23,79,128,1,5,263,533
24034,"La Prairie/La Prairie"," 58","Sainte-Catherine",0,10,7,12,55,100,2,6,192,403
24034,"La Prairie/La Prairie"," 59","Sainte-Catherine",0,23,9,18,49,110,2,8,219,468
24034,"La Prairie/La Prairie"," 60","Sainte-Catherine",1,16,7,15,65,98,5,3,210,403
24034,"La Prairie/La Prairie"," 61","Sainte-Catherine",0,23,11,20,77,139,1,8,279,493
