Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Terry Beech,Lewis Clarke Dahlby,Rocky Dong,Amita Kuttner,Heather Leung,Svend Robinson,Robert Taylor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 33","North Vancouver",69,3,5,32,19,61,0,2,191,374
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 34","North Vancouver",88,0,3,40,43,57,1,0,232,450
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 35","North Vancouver",87,2,7,20,32,36,0,0,184,440
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 36","North Vancouver",93,1,4,28,40,56,0,1,223,512
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 37","North Vancouver",79,0,3,40,30,161,0,0,313,606
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 38","Burrard Inlet 3",117,1,0,30,44,66,0,1,259,521
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 39","Burrard Inlet 3",70,0,8,26,14,63,1,1,183,412
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 40","Burrard Inlet 3",77,0,4,14,20,66,0,0,181,420
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 41","Burnaby",87,3,5,22,45,79,2,3,246,479
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 42","Burnaby",79,1,0,16,38,84,0,2,220,510
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 43","North Vancouver",65,1,3,35,31,60,0,3,198,427
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 44","North Vancouver",102,0,4,44,23,41,0,0,214,500
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 45","North Vancouver",90,0,3,32,46,50,1,0,222,434
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 46","North Vancouver",103,0,8,28,27,59,1,1,227,460
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 47","North Vancouver",112,0,1,43,38,83,1,1,279,543
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 48","North Vancouver",72,0,7,21,37,58,0,3,198,424
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 49","Burnaby",88,3,2,13,39,58,2,5,210,447
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 50","Burnaby",86,0,8,17,42,92,2,1,248,474
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 51","Burnaby",78,4,5,18,19,64,1,2,191,490
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 52","Burnaby",76,1,8,22,58,69,2,2,238,458
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 53","Burnaby",68,5,1,16,41,73,0,3,207,416
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 54","Burnaby",57,1,3,19,37,69,0,3,189,445
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 55","Burnaby",50,1,2,15,43,71,0,5,187,439
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 56","Burnaby",79,3,1,10,41,50,1,2,187,415
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 57","Burnaby",56,0,6,11,37,79,0,0,189,452
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 58","Burnaby",94,1,4,6,38,78,0,0,221,449
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 59","Burnaby",65,3,2,9,48,43,1,6,177,436
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 60","Burnaby",69,0,2,18,58,78,2,0,227,515
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 61","Burnaby",51,2,5,10,40,63,0,1,172,447
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 62","Burnaby",38,2,2,8,49,56,0,4,159,432
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 63","Burnaby",64,3,5,17,37,65,0,3,194,455
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 64","Burnaby",53,1,4,8,17,42,0,1,126,394
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 65","Burnaby",63,1,2,7,40,59,1,3,176,461
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 66","Burnaby",45,2,3,5,47,68,2,3,175,392
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 67","Burnaby",59,1,5,13,53,41,0,2,174,386
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 68","Burnaby",57,0,5,22,46,52,0,3,185,385
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 69","Burnaby",61,1,11,9,48,69,3,1,203,397
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 70","Burnaby",62,2,3,13,42,47,1,1,171,403
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 71","Burnaby",62,4,2,21,44,53,2,2,190,409
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 72","Burnaby",57,1,6,12,43,64,0,2,185,431
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 73","Burnaby",66,1,6,18,24,65,2,0,182,393
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 74","Burnaby",67,1,3,8,33,72,0,1,185,475
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 75","Burnaby",57,0,0,6,25,84,2,1,175,471
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 76","Burnaby",49,1,1,9,43,69,1,1,174,461
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 77","Burnaby",61,3,0,15,45,60,1,1,186,463
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 78","Burnaby",60,0,5,12,61,72,1,3,214,450
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 79","Burnaby",47,1,1,11,61,68,0,3,192,491
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 80","Burnaby",67,0,2,13,46,78,0,1,207,461
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 81","Burnaby",59,2,8,17,40,68,2,0,196,449
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 82","Burnaby",68,2,8,18,72,82,1,2,253,477
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 83","Burnaby",46,1,2,11,44,47,2,0,153,412
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 84","Burnaby",74,6,4,13,66,57,0,4,224,479
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 85","Burnaby",69,0,1,15,37,57,1,3,183,432
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 86","Burnaby",53,1,1,7,63,50,2,6,183,458
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 87","Burnaby",49,2,3,17,47,67,2,5,192,455
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 88","Burnaby",54,0,7,10,38,64,0,2,175,449
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 89","Burnaby",67,3,4,10,67,83,1,0,235,492
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 90","Burnaby",57,1,4,13,64,75,0,4,218,447
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 91","Burnaby",74,0,2,19,55,63,0,2,215,456
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 92","Burnaby",81,1,8,14,60,65,1,2,232,481
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 93","Burnaby",66,0,0,11,32,76,0,4,189,488
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 94","Burnaby",85,1,7,16,32,57,0,2,200,483
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 95","Burnaby",88,0,5,13,34,44,1,3,188,487
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 96","Burnaby",64,1,2,10,24,48,1,1,151,445
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 97","Burnaby",54,1,2,15,42,74,0,1,189,438
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 98","Burnaby",32,1,3,15,48,67,2,2,170,470
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 99","Burnaby",57,1,3,10,43,64,3,0,181,450
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 100","Burnaby",65,1,5,12,42,43,0,2,170,409
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 101","Burnaby",71,0,2,14,57,55,1,1,201,445
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 102","Burnaby",79,2,2,12,42,77,0,3,217,485
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 103","Burnaby",58,0,4,11,13,62,0,0,148,457
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 104","Burnaby",80,3,2,21,48,80,2,2,238,572
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 105","Burnaby",53,1,4,8,23,63,2,1,155,339
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 106","Burnaby",57,0,2,15,34,96,1,2,207,466
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 107","Burnaby",48,1,6,11,43,51,0,1,161,420
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 108","Burnaby",80,1,4,10,41,65,4,3,208,461
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 109","Burnaby",75,0,9,9,45,73,1,0,212,466
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 110","Burnaby",63,1,4,9,104,57,0,6,244,550
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 111","Burnaby",51,0,2,14,48,68,2,1,186,481
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 112","Burnaby",61,0,4,14,41,77,1,6,204,458
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 113","Burnaby",62,1,1,7,52,64,0,0,187,403
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 114","Burnaby",50,0,4,16,76,55,0,1,202,431
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 115","Burnaby",49,2,5,8,46,61,0,3,174,449
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 116","Burnaby",45,1,6,20,28,63,1,1,165,446
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 117","Burnaby",49,3,2,9,36,44,1,2,146,366
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 118","Burnaby",48,1,5,9,43,59,0,1,166,444
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 119","Burnaby",65,1,2,9,49,45,1,2,174,408
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 120","Burnaby",56,1,7,10,50,55,1,0,180,412
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 121","Burnaby",53,1,1,11,54,42,2,2,166,422
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 122","Burnaby",52,1,4,21,26,71,2,0,177,443
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 123","Burnaby",52,2,7,11,44,76,1,4,197,541
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 124","Burnaby",75,1,8,11,79,79,0,1,254,579
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 125","Burnaby",76,2,7,14,78,87,3,2,269,505
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 126","Burnaby",54,0,2,14,57,55,1,3,186,452
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 127","Burnaby",77,1,6,13,58,64,2,1,222,449
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 128","Burnaby",79,0,4,11,59,86,2,1,242,530
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 129","Burnaby",59,2,1,14,62,59,0,2,199,439
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 130","Burnaby",52,3,5,10,41,71,0,3,185,437
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 131","Burnaby",83,1,4,12,58,47,3,1,209,436
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 132","Burnaby",53,0,1,11,31,52,1,4,153,402
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 133","Burnaby",43,1,3,16,20,60,1,1,145,411
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 134","Burnaby",55,0,2,12,49,48,1,0,167,476
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 135","Burnaby",51,0,3,10,26,61,0,2,153,450
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 136A","Burnaby",Merged with No./Fusionné avec le n°137A,,,,,,,,,10
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 136B","Burnaby",Merged with No./Fusionné avec le n°137B,,,,,,,,,5
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 137A","Burnaby",68,1,5,30,32,71,0,1,208,418
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 137B","Burnaby",59,0,3,22,38,58,3,1,184,380
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 138","Burnaby",89,0,9,32,45,101,0,2,278,598
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 139","Burnaby",95,0,3,26,42,117,0,1,284,503
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 140","Burnaby",69,0,4,12,43,51,2,3,184,469
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 141","Burnaby",59,3,10,22,33,73,2,2,204,586
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 142","Burnaby",47,1,7,17,46,67,2,0,187,464
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 143","Burnaby",46,2,3,18,49,45,0,1,164,399
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 144","Burnaby",50,0,1,17,48,60,2,0,178,457
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 145","Burnaby",71,1,3,10,64,48,0,0,197,473
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 146","Burnaby",57,1,7,14,36,45,1,2,163,415
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 147","Burnaby",47,2,5,14,66,70,1,1,206,476
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 148","Burnaby",39,1,1,15,24,70,0,1,151,388
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 149","Burnaby",52,0,3,12,52,33,0,4,156,411
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 150","Burnaby",57,0,5,14,56,43,0,2,177,457
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 151","Burnaby",77,3,3,14,48,55,1,1,202,465
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 152","Burnaby",50,1,3,5,30,38,2,0,129,564
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 153","Burnaby",49,0,6,15,31,65,0,0,166,480
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 154","Burnaby",70,0,7,26,33,138,2,1,277,506
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 155","Burnaby",71,0,5,16,56,51,0,0,199,441
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 156","Burnaby",70,1,5,35,32,132,2,1,278,485
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 157","Burnaby",59,1,5,30,31,111,2,1,240,431
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 158","Burnaby",72,1,8,31,17,103,3,0,235,429
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 159","Burnaby",58,0,6,22,30,90,1,2,209,446
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 160","Burnaby",61,3,3,12,36,90,2,0,207,449
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 161","Burnaby",65,0,4,20,37,114,0,0,240,453
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 162","Burnaby",64,0,10,17,14,103,3,1,212,475
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 163","Burnaby",82,1,4,18,57,80,1,2,245,487
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 164","Burnaby",63,0,4,31,28,80,3,1,210,468
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 165","Burnaby",70,3,4,20,46,111,0,1,255,602
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 166","Burnaby",50,0,1,11,41,72,0,0,175,482
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 167","Burnaby",56,1,3,10,39,51,0,2,162,494
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 168","Burnaby",43,1,6,6,25,37,1,1,120,527
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 169","Burnaby",69,1,5,16,30,60,1,1,183,544
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 170","Burnaby",44,2,3,20,40,57,0,1,167,465
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 400","North Vancouver",69,2,1,15,26,22,3,4,142,156
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 401","Burnaby",45,2,0,10,9,27,3,6,102,192
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 500","Mobile poll/Bureau itinérant",49,2,2,6,15,34,4,2,114,154
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 501","Mobile poll/Bureau itinérant",21,1,0,3,3,18,3,8,57,85
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 600","North Vancouver",383,1,20,106,148,170,1,9,838,
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 601","North Vancouver",468,2,18,150,111,288,6,4,1047,
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 602","North Vancouver",536,3,40,190,123,299,5,14,1210,
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 603","North Vancouver",434,1,21,145,154,207,7,7,976,
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 604","Burnaby",313,2,23,89,104,440,12,8,991,
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 605","Burnaby",332,3,34,78,198,473,2,9,1129,
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 606","Burnaby",260,2,8,52,170,338,5,5,840,
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 607","Burnaby",267,3,16,37,166,253,3,13,758,
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 608","Burnaby",233,3,14,43,171,253,6,9,732,
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 609","Burnaby",278,3,21,76,236,306,4,9,933,
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 610","Burnaby",274,1,20,46,197,257,5,8,808,
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 611","Burnaby",418,3,20,78,243,300,5,11,1078,
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 612","Burnaby",248,5,17,84,125,316,1,4,800,
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 613","Burnaby",402,5,21,98,196,468,7,5,1202,
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour",,Group 1/Groupe 1, 86,0,5,25,28,61,1,13,219,366
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour",,Group 2/Groupe 2, 801,4,46,299,400,805,9,48,2412,
