Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Andy Brooke,Candice Christmas,Mark Gerretsen,Barrington Walker,Ruslan Yakoviychuk,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35044,"Kingston and the Islands/Kingston et les Îles"," 76","Kingston",6,27,82,77,23,1,216,470
35044,"Kingston and the Islands/Kingston et les Îles"," 77","Kingston",8,14,48,54,9,1,134,378
35044,"Kingston and the Islands/Kingston et les Îles"," 78","Kingston",6,23,103,93,35,2,262,530
35044,"Kingston and the Islands/Kingston et les Îles"," 79A","Kingston",4,10,55,56,11,0,136,311
35044,"Kingston and the Islands/Kingston et les Îles"," 79B","Kingston",3,17,38,52,13,0,123,331
35044,"Kingston and the Islands/Kingston et les Îles"," 80","Kingston",4,22,86,77,28,0,217,483
35044,"Kingston and the Islands/Kingston et les Îles"," 81","Kingston",2,30,79,138,20,0,269,622
35044,"Kingston and the Islands/Kingston et les Îles"," 82","Kingston",9,42,99,122,21,1,294,501
35044,"Kingston and the Islands/Kingston et les Îles"," 83","Kingston",7,21,113,129,32,3,305,619
35044,"Kingston and the Islands/Kingston et les Îles"," 84","Kingston",5,18,64,49,22,2,160,346
35044,"Kingston and the Islands/Kingston et les Îles"," 85","Kingston",2,21,87,45,36,4,195,382
35044,"Kingston and the Islands/Kingston et les Îles"," 86","Kingston",1,22,51,78,24,4,180,416
35044,"Kingston and the Islands/Kingston et les Îles"," 87","Kingston",2,42,142,59,36,1,282,597
35044,"Kingston and the Islands/Kingston et les Îles"," 88","Kingston",0,7,36,4,11,2,60,146
35044,"Kingston and the Islands/Kingston et les Îles"," 89","Kingston",8,11,109,53,56,1,238,547
35044,"Kingston and the Islands/Kingston et les Îles"," 90","Kingston",3,13,134,76,57,0,283,574
35044,"Kingston and the Islands/Kingston et les Îles"," 91","Kingston",6,13,107,49,35,3,213,426
35044,"Kingston and the Islands/Kingston et les Îles"," 92","Kingston",6,16,78,33,13,0,146,336
35044,"Kingston and the Islands/Kingston et les Îles"," 93","Kingston",4,22,55,68,25,0,174,470
35044,"Kingston and the Islands/Kingston et les Îles"," 94","Kingston",3,9,59,47,21,1,140,416
35044,"Kingston and the Islands/Kingston et les Îles"," 95","Kingston",6,12,126,51,66,2,263,506
35044,"Kingston and the Islands/Kingston et les Îles"," 96","Kingston",8,19,98,48,35,0,208,366
35044,"Kingston and the Islands/Kingston et les Îles"," 97","Kingston",9,12,103,29,60,0,213,428
35044,"Kingston and the Islands/Kingston et les Îles"," 98","Kingston",7,22,95,44,56,0,224,442
35044,"Kingston and the Islands/Kingston et les Îles"," 99","Kingston",5,10,120,38,43,1,217,444
35044,"Kingston and the Islands/Kingston et les Îles"," 100","Kingston",1,9,76,46,54,0,186,440
35044,"Kingston and the Islands/Kingston et les Îles"," 101","Kingston",0,30,79,113,22,0,244,551
35044,"Kingston and the Islands/Kingston et les Îles"," 102","Kingston",2,25,122,54,33,3,239,576
35044,"Kingston and the Islands/Kingston et les Îles"," 103","Kingston",7,35,107,154,36,0,339,671
35044,"Kingston and the Islands/Kingston et les Îles"," 104","Kingston",8,14,86,38,25,3,174,285
35044,"Kingston and the Islands/Kingston et les Îles"," 105","Kingston",8,11,78,45,40,4,186,387
35044,"Kingston and the Islands/Kingston et les Îles"," 106","Kingston",10,11,107,36,24,0,188,428
35044,"Kingston and the Islands/Kingston et les Îles"," 107","Kingston",4,8,86,40,32,1,171,375
35044,"Kingston and the Islands/Kingston et les Îles"," 108","Kingston",11,29,106,71,49,4,270,481
35044,"Kingston and the Islands/Kingston et les Îles"," 109","Kingston",4,18,116,52,43,1,234,453
35044,"Kingston and the Islands/Kingston et les Îles"," 110","Kingston",7,24,77,78,47,1,234,465
35044,"Kingston and the Islands/Kingston et les Îles"," 111","Kingston",7,26,82,73,43,1,232,568
35044,"Kingston and the Islands/Kingston et les Îles"," 112","Kingston",11,17,101,32,45,1,207,539
35044,"Kingston and the Islands/Kingston et les Îles"," 113","Kingston",3,29,95,88,18,3,236,446
35044,"Kingston and the Islands/Kingston et les Îles"," 114","Kingston",3,7,54,58,26,2,150,331
35044,"Kingston and the Islands/Kingston et les Îles"," 115","Kingston",3,30,120,112,24,3,292,580
35044,"Kingston and the Islands/Kingston et les Îles"," 116","Kingston",13,18,98,61,56,1,247,487
35044,"Kingston and the Islands/Kingston et les Îles"," 117","Kingston",2,5,89,31,34,1,162,352
35044,"Kingston and the Islands/Kingston et les Îles"," 118","Kingston",11,19,154,69,66,1,320,622
35044,"Kingston and the Islands/Kingston et les Îles"," 119","Kingston",6,16,100,53,35,3,213,468
35044,"Kingston and the Islands/Kingston et les Îles"," 120","Kingston",1,19,96,64,39,1,220,535
35044,"Kingston and the Islands/Kingston et les Îles"," 121","Kingston",6,5,78,33,42,1,165,387
35044,"Kingston and the Islands/Kingston et les Îles"," 122A","Kingston",4,24,82,47,12,0,169,314
35044,"Kingston and the Islands/Kingston et les Îles"," 122B","Kingston",2,14,65,46,12,3,142,321
35044,"Kingston and the Islands/Kingston et les Îles"," 123","Kingston",6,44,111,112,38,0,311,595
35044,"Kingston and the Islands/Kingston et les Îles"," 124","Kingston",2,21,116,81,36,1,257,415
35044,"Kingston and the Islands/Kingston et les Îles"," 125","Kingston",4,20,72,50,27,1,174,389
35044,"Kingston and the Islands/Kingston et les Îles"," 126","Kingston",2,22,99,75,21,2,221,462
35044,"Kingston and the Islands/Kingston et les Îles"," 127","Kingston",5,21,102,84,33,2,247,460
35044,"Kingston and the Islands/Kingston et les Îles"," 128","Kingston",8,21,105,56,49,3,242,449
35044,"Kingston and the Islands/Kingston et les Îles"," 129","Kingston",4,33,113,113,23,1,287,574
35044,"Kingston and the Islands/Kingston et les Îles"," 130","Kingston",5,29,124,79,37,3,277,466
35044,"Kingston and the Islands/Kingston et les Îles"," 131","Kingston",4,14,57,29,29,1,134,328
35044,"Kingston and the Islands/Kingston et les Îles"," 132","Kingston",6,17,121,28,37,2,211,422
35044,"Kingston and the Islands/Kingston et les Îles"," 133","Kingston",1,20,102,40,17,0,180,449
35044,"Kingston and the Islands/Kingston et les Îles"," 134","Kingston",4,28,56,56,16,1,161,353
35044,"Kingston and the Islands/Kingston et les Îles"," 135","Kingston",4,33,76,56,28,0,197,393
35044,"Kingston and the Islands/Kingston et les Îles"," 136","Kingston",3,24,98,61,23,1,210,459
35044,"Kingston and the Islands/Kingston et les Îles"," 137","Kingston",3,14,68,26,12,1,124,274
35044,"Kingston and the Islands/Kingston et les Îles"," 138","Kingston",1,22,72,40,21,2,158,285
35044,"Kingston and the Islands/Kingston et les Îles"," 139","Kingston",6,22,133,53,49,1,264,433
35044,"Kingston and the Islands/Kingston et les Îles"," 140","Kingston",7,12,79,64,24,3,189,440
35044,"Kingston and the Islands/Kingston et les Îles"," 141","Kingston",0,13,109,38,32,3,195,342
35044,"Kingston and the Islands/Kingston et les Îles"," 142","Kingston",6,16,79,66,31,2,200,452
35044,"Kingston and the Islands/Kingston et les Îles"," 143","Kingston",1,17,91,65,30,0,204,420
35044,"Kingston and the Islands/Kingston et les Îles"," 144","Kingston",7,18,88,36,35,2,186,300
35044,"Kingston and the Islands/Kingston et les Îles"," 145","Kingston",11,13,76,40,32,0,172,306
35044,"Kingston and the Islands/Kingston et les Îles"," 146","Kingston",8,16,115,65,34,1,239,473
35044,"Kingston and the Islands/Kingston et les Îles"," 147","Kingston",8,15,103,69,62,6,263,502
35044,"Kingston and the Islands/Kingston et les Îles"," 148","Kingston",6,12,115,47,51,0,231,416
35044,"Kingston and the Islands/Kingston et les Îles"," 149","Kingston",11,7,82,42,60,0,202,398
35044,"Kingston and the Islands/Kingston et les Îles"," 150","Kingston",4,22,49,43,34,1,153,360
35044,"Kingston and the Islands/Kingston et les Îles"," 151","Kingston",8,21,143,67,43,3,285,478
35044,"Kingston and the Islands/Kingston et les Îles"," 152","Kingston",8,17,120,57,39,1,242,417
35044,"Kingston and the Islands/Kingston et les Îles"," 153","Kingston",2,14,92,46,37,0,191,431
35044,"Kingston and the Islands/Kingston et les Îles"," 154","Kingston",7,14,142,36,45,2,246,452
35044,"Kingston and the Islands/Kingston et les Îles"," 155","Kingston",9,19,105,78,25,0,236,569
35044,"Kingston and the Islands/Kingston et les Îles"," 156","Kingston",9,21,80,75,19,1,205,516
35044,"Kingston and the Islands/Kingston et les Îles"," 157","Kingston",8,18,74,92,26,0,218,509
35044,"Kingston and the Islands/Kingston et les Îles"," 158","Kingston",1,11,67,48,29,1,157,334
35044,"Kingston and the Islands/Kingston et les Îles"," 159","Kingston",6,15,86,41,37,1,186,387
35044,"Kingston and the Islands/Kingston et les Îles"," 160","Kingston",Merged with No./Fusionné avec le n°165,,,,,,,300
35044,"Kingston and the Islands/Kingston et les Îles"," 161","Kingston",5,43,181,114,75,0,418,632
35044,"Kingston and the Islands/Kingston et les Îles"," 162","Kingston",0,17,129,71,39,1,257,496
35044,"Kingston and the Islands/Kingston et les Îles"," 163","Kingston",5,35,109,66,33,0,248,512
35044,"Kingston and the Islands/Kingston et les Îles"," 164","Kingston",2,32,131,69,44,3,281,580
35044,"Kingston and the Islands/Kingston et les Îles"," 165","Kingston",4,34,162,96,62,1,359,435
35044,"Kingston and the Islands/Kingston et les Îles"," 166","Kingston",4,22,72,39,24,0,161,284
35044,"Kingston and the Islands/Kingston et les Îles"," 167","Kingston",3,11,38,50,21,0,123,318
35044,"Kingston and the Islands/Kingston et les Îles"," 168","Kingston",11,19,124,43,34,7,238,483
35044,"Kingston and the Islands/Kingston et les Îles"," 169","Kingston",7,15,74,62,24,3,185,441
35044,"Kingston and the Islands/Kingston et les Îles"," 170","Kingston",3,14,68,27,30,0,142,286
35044,"Kingston and the Islands/Kingston et les Îles"," 171","Kingston",9,14,144,48,54,7,276,564
35044,"Kingston and the Islands/Kingston et les Îles"," 172","Kingston",4,13,126,63,74,1,281,540
35044,"Kingston and the Islands/Kingston et les Îles"," 173","Kingston",8,12,113,51,51,1,236,459
35044,"Kingston and the Islands/Kingston et les Îles"," 174","Kingston",7,17,82,60,40,1,207,444
35044,"Kingston and the Islands/Kingston et les Îles"," 175","Kingston",8,15,103,52,69,2,249,473
35044,"Kingston and the Islands/Kingston et les Îles"," 176","Kingston",1,16,70,32,34,2,155,331
35044,"Kingston and the Islands/Kingston et les Îles"," 177","Kingston",5,21,96,33,40,2,197,367
35044,"Kingston and the Islands/Kingston et les Îles"," 178","Kingston",5,9,83,33,36,0,166,351
35044,"Kingston and the Islands/Kingston et les Îles"," 179","Kingston",4,13,116,56,36,0,225,432
35044,"Kingston and the Islands/Kingston et les Îles"," 180","Kingston",5,14,95,40,36,0,190,386
35044,"Kingston and the Islands/Kingston et les Îles"," 181","Kingston",4,9,76,35,17,0,141,312
35044,"Kingston and the Islands/Kingston et les Îles"," 182","Kingston",1,16,90,27,30,0,164,453
35044,"Kingston and the Islands/Kingston et les Îles"," 183","Kingston",5,17,72,46,24,0,164,330
35044,"Kingston and the Islands/Kingston et les Îles"," 184","Kingston",2,9,92,50,36,0,189,455
35044,"Kingston and the Islands/Kingston et les Îles"," 185","Kingston",8,20,68,34,32,1,163,336
35044,"Kingston and the Islands/Kingston et les Îles"," 186","Kingston",4,18,94,29,39,1,185,416
35044,"Kingston and the Islands/Kingston et les Îles"," 187","Kingston",6,5,109,51,51,1,223,458
35044,"Kingston and the Islands/Kingston et les Îles"," 188","Kingston",7,25,78,34,31,2,177,397
35044,"Kingston and the Islands/Kingston et les Îles"," 189","Kingston",4,27,110,37,36,0,214,493
35044,"Kingston and the Islands/Kingston et les Îles"," 190","Kingston",5,31,96,107,24,0,263,559
35044,"Kingston and the Islands/Kingston et les Îles"," 191","Kingston",5,23,67,71,26,0,192,585
35044,"Kingston and the Islands/Kingston et les Îles"," 192","Kingston",1,19,63,56,14,2,155,435
35044,"Kingston and the Islands/Kingston et les Îles"," 193","Kingston",1,7,68,51,34,2,163,393
35044,"Kingston and the Islands/Kingston et les Îles"," 194","Kingston",3,29,67,35,26,0,160,472
35044,"Kingston and the Islands/Kingston et les Îles"," 195","Kingston",7,14,117,18,30,0,186,522
35044,"Kingston and the Islands/Kingston et les Îles"," 196","Kingston",9,11,64,41,25,1,151,274
35044,"Kingston and the Islands/Kingston et les Îles"," 197","Kingston",5,26,85,26,21,1,164,349
35044,"Kingston and the Islands/Kingston et les Îles"," 198","Kingston",5,34,95,42,21,5,202,392
35044,"Kingston and the Islands/Kingston et les Îles"," 199","Kingston",2,19,101,15,39,0,176,418
35044,"Kingston and the Islands/Kingston et les Îles"," 200","Wolfe Island",6,26,105,30,59,0,226,344
35044,"Kingston and the Islands/Kingston et les Îles"," 201","Wolfe Island",10,43,110,42,24,0,229,333
35044,"Kingston and the Islands/Kingston et les Îles"," 202","Wolfe Island",8,27,122,26,50,4,237,353
35044,"Kingston and the Islands/Kingston et les Îles"," 400","Kingston",4,13,58,3,16,0,94,132
35044,"Kingston and the Islands/Kingston et les Îles"," 401","Kingston",Merged with No./Fusionné avec le n°404,,,,,,,176
35044,"Kingston and the Islands/Kingston et les Îles"," 402","Kingston",3,25,131,26,77,1,263,200
35044,"Kingston and the Islands/Kingston et les Îles"," 403","Kingston",Merged with No./Fusionné avec le n°402,,,,,,,202
35044,"Kingston and the Islands/Kingston et les Îles"," 404","Kingston",2,16,114,38,54,0,224,228
35044,"Kingston and the Islands/Kingston et les Îles"," 405","Kingston",4,21,110,45,38,2,220,287
35044,"Kingston and the Islands/Kingston et les Îles"," 406","Kingston",Merged with No./Fusionné avec le n°408,,,,,,,198
35044,"Kingston and the Islands/Kingston et les Îles"," 407","Kingston",Merged with No./Fusionné avec le n°405,,,,,,,143
35044,"Kingston and the Islands/Kingston et les Îles"," 408","Kingston",11,24,132,70,37,0,274,198
35044,"Kingston and the Islands/Kingston et les Îles"," 409","Kingston",1,1,19,6,10,3,40,126
35044,"Kingston and the Islands/Kingston et les Îles"," 410A","Mobile poll/Bureau itinérant",3,5,39,11,12,0,70,75
35044,"Kingston and the Islands/Kingston et les Îles"," 410B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°410A,,,,,,,9
35044,"Kingston and the Islands/Kingston et les Îles"," 411","Kingston",4,8,75,10,21,13,131,179
35044,"Kingston and the Islands/Kingston et les Îles"," 412","Kingston",Merged with No./Fusionné avec le n°413,,,,,,,135
35044,"Kingston and the Islands/Kingston et les Îles"," 413","Kingston",6,14,76,53,20,0,169,177
35044,"Kingston and the Islands/Kingston et les Îles"," 414","Kingston",3,4,31,34,13,0,85,163
35044,"Kingston and the Islands/Kingston et les Îles"," 415","Kingston",1,5,36,22,15,1,80,153
35044,"Kingston and the Islands/Kingston et les Îles"," 416","Kingston",4,5,43,27,20,0,99,149
35044,"Kingston and the Islands/Kingston et les Îles"," 417","Mobile poll/Bureau itinérant",2,7,44,12,16,4,85,96
35044,"Kingston and the Islands/Kingston et les Îles"," 418","Kingston",1,7,36,21,5,2,72,148
35044,"Kingston and the Islands/Kingston et les Îles"," 419","Kingston",0,9,54,20,14,0,97,177
35044,"Kingston and the Islands/Kingston et les Îles"," 420","Kingston",1,17,86,13,33,0,150,195
35044,"Kingston and the Islands/Kingston et les Îles"," 421","Kingston",1,8,38,6,14,0,67,139
35044,"Kingston and the Islands/Kingston et les Îles"," 422","Mobile poll/Bureau itinérant",4,8,33,10,11,4,70,103
35044,"Kingston and the Islands/Kingston et les Îles"," 423","Kingston",Merged with No./Fusionné avec le n°193,,,,,,,21
35044,"Kingston and the Islands/Kingston et les Îles"," 500A","Kingston",Merged with No./Fusionné avec le n°21A,,,,,,,12
35044,"Kingston and the Islands/Kingston et les Îles"," 500B","Mobile poll/Bureau itinérant",0,8,67,2,8,1,86,57
35044,"Kingston and the Islands/Kingston et les Îles"," 500C","Kingston",Merged with No./Fusionné avec le n°166,,,,,,,1
35044,"Kingston and the Islands/Kingston et les Îles"," 500D","Kingston",Merged with No./Fusionné avec le n°166,,,,,,,86
35044,"Kingston and the Islands/Kingston et les Îles"," 501A","Kingston",1,9,76,7,16,1,110,143
35044,"Kingston and the Islands/Kingston et les Îles"," 501B","Kingston",Merged with No./Fusionné avec le n°90,,,,,,,5
35044,"Kingston and the Islands/Kingston et les Îles"," 502A","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°422,,,,,,,54
35044,"Kingston and the Islands/Kingston et les Îles"," 502B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504B,,,,,,,57
35044,"Kingston and the Islands/Kingston et les Îles"," 503A","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500B,,,,,,,58
35044,"Kingston and the Islands/Kingston et les Îles"," 503B","Kingston",1,4,52,6,16,3,82,118
35044,"Kingston and the Islands/Kingston et les Îles"," 504A","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°417,,,,,,,55
35044,"Kingston and the Islands/Kingston et les Îles"," 504B","Mobile poll/Bureau itinérant",1,8,53,8,23,4,97,95
35044,"Kingston and the Islands/Kingston et les Îles"," 600","Kingston",24,97,471,144,284,2,1022,
35044,"Kingston and the Islands/Kingston et les Îles"," 601","Kingston",32,111,633,224,380,1,1381,
35044,"Kingston and the Islands/Kingston et les Îles"," 602","Kingston",30,82,337,162,154,3,768,
35044,"Kingston and the Islands/Kingston et les Îles"," 603","Kingston",33,72,633,181,346,7,1272,
35044,"Kingston and the Islands/Kingston et les Îles"," 604","Kingston",32,79,585,186,326,9,1217,
35044,"Kingston and the Islands/Kingston et les Îles"," 605","Kingston",38,80,659,198,284,1,1260,
35044,"Kingston and the Islands/Kingston et les Îles"," 606","Kingston",29,65,541,144,182,2,963,
35044,"Kingston and the Islands/Kingston et les Îles"," 607","Kingston",29,106,742,167,301,8,1353,
35044,"Kingston and the Islands/Kingston et les Îles"," 608","Kingston",24,78,596,182,157,6,1043,
35044,"Kingston and the Islands/Kingston et les Îles"," 609","Kingston",22,71,379,146,161,5,784,
35044,"Kingston and the Islands/Kingston et les Îles"," 610","Kingston",27,64,387,147,188,7,820,
35044,"Kingston and the Islands/Kingston et les Îles"," 611","Kingston",29,108,556,196,196,3,1088,
35044,"Kingston and the Islands/Kingston et les Îles"," 612","Kingston",16,64,321,116,72,8,597,
35044,"Kingston and the Islands/Kingston et les Îles"," 613","Kingston",26,75,464,206,143,12,926,
35044,"Kingston and the Islands/Kingston et les Îles"," 614","Kingston",15,41,242,148,64,1,511,
35044,"Kingston and the Islands/Kingston et les Îles"," 615","Kingston",12,85,465,179,67,0,808,
35044,"Kingston and the Islands/Kingston et les Îles"," 616","Kingston",11,56,168,184,34,2,455,
35044,"Kingston and the Islands/Kingston et les Îles"," 617","Kingston",15,93,266,241,59,2,676,
35044,"Kingston and the Islands/Kingston et les Îles"," 618","Kingston",18,96,497,179,130,3,923,
35044,"Kingston and the Islands/Kingston et les Îles",,Group 1/Groupe 1, 56,104,333,169,412,70,1144,490
35044,"Kingston and the Islands/Kingston et les Îles",,Group 2/Groupe 2, 54,374,1461,554,796,42,3281,
