Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Larry Bagnell,Justin Lemphers,Lenore Morris,Jonas Jacot Smith,Joseph Zelezny,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
60001,"Yukon/Yukon"," 15B","Whitehorse",Merged with No./Fusionné avec le n°14B,,,,,,,94
60001,"Yukon/Yukon"," 15C","Whitehorse",Merged with No./Fusionné avec le n°14C,,,,,,,117
60001,"Yukon/Yukon"," 15D","Whitehorse",Merged with No./Fusionné avec le n°14D,,,,,,,127
60001,"Yukon/Yukon"," 15E","Whitehorse",Merged with No./Fusionné avec le n°14E,,,,,,,116
60001,"Yukon/Yukon"," 16A","Whitehorse",Merged with No./Fusionné avec le n°14A,,,,,,,103
60001,"Yukon/Yukon"," 16B","Whitehorse",Merged with No./Fusionné avec le n°14B,,,,,,,78
60001,"Yukon/Yukon"," 16C","Whitehorse",Merged with No./Fusionné avec le n°14C,,,,,,,110
60001,"Yukon/Yukon"," 16D","Whitehorse",Merged with No./Fusionné avec le n°14D,,,,,,,113
60001,"Yukon/Yukon"," 16E","Whitehorse",Merged with No./Fusionné avec le n°14E,,,,,,,105
60001,"Yukon/Yukon"," 17A","Whitehorse",Merged with No./Fusionné avec le n°14A,,,,,,,59
60001,"Yukon/Yukon"," 17B","Whitehorse",Merged with No./Fusionné avec le n°14B,,,,,,,37
60001,"Yukon/Yukon"," 17C","Whitehorse",Merged with No./Fusionné avec le n°14C,,,,,,,73
60001,"Yukon/Yukon"," 17D","Whitehorse",Merged with No./Fusionné avec le n°14D,,,,,,,61
60001,"Yukon/Yukon"," 17E","Whitehorse",Merged with No./Fusionné avec le n°14E,,,,,,,62
60001,"Yukon/Yukon"," 18A","Whitehorse",74,49,34,90,6,4,257,487
60001,"Yukon/Yukon"," 18B","Whitehorse",89,61,34,65,2,0,251,490
60001,"Yukon/Yukon"," 19","Whitehorse",61,30,11,85,0,0,187,376
60001,"Yukon/Yukon"," 20","Whitehorse",54,34,9,61,4,0,162,340
60001,"Yukon/Yukon"," 21A","Whitehorse",Merged with No./Fusionné avec le n°22A,,,,,,,167
60001,"Yukon/Yukon"," 21B","Whitehorse",Merged with No./Fusionné avec le n°22B,,,,,,,184
60001,"Yukon/Yukon"," 22A","Whitehorse",49,56,18,69,6,0,198,268
60001,"Yukon/Yukon"," 22B","Whitehorse",51,70,24,61,4,3,213,279
60001,"Yukon/Yukon"," 23A","Whitehorse",Merged with No./Fusionné avec le n°24A,,,,,,,99
60001,"Yukon/Yukon"," 23B","Whitehorse",Merged with No./Fusionné avec le n°24B,,,,,,,78
60001,"Yukon/Yukon"," 23C","Whitehorse",Merged with No./Fusionné avec le n°24C,,,,,,,56
60001,"Yukon/Yukon"," 24A","Whitehorse",46,37,15,82,2,1,183,181
60001,"Yukon/Yukon"," 24B","Whitehorse",69,32,19,78,1,0,199,202
60001,"Yukon/Yukon"," 24C","Whitehorse",52,31,20,76,0,0,179,192
60001,"Yukon/Yukon"," 25A","Whitehorse",Merged with No./Fusionné avec le n°24A,,,,,,,109
60001,"Yukon/Yukon"," 25B","Whitehorse",Merged with No./Fusionné avec le n°24B,,,,,,,103
60001,"Yukon/Yukon"," 25C","Whitehorse",Merged with No./Fusionné avec le n°24C,,,,,,,114
60001,"Yukon/Yukon"," 26A","Whitehorse",69,43,21,46,2,0,181,248
60001,"Yukon/Yukon"," 26B","Whitehorse",75,67,25,48,1,0,216,272
60001,"Yukon/Yukon"," 27A","Whitehorse",Merged with No./Fusionné avec le n°26A,,,,,,,191
60001,"Yukon/Yukon"," 27B","Whitehorse",Merged with No./Fusionné avec le n°26B,,,,,,,163
60001,"Yukon/Yukon"," 28","Whitehorse",74,75,20,39,4,3,215,405
60001,"Yukon/Yukon"," 29","Whitehorse",62,25,20,30,0,0,137,318
60001,"Yukon/Yukon"," 30","Whitehorse",53,58,17,24,0,1,153,333
60001,"Yukon/Yukon"," 31A","Whitehorse",Merged with No./Fusionné avec le n°33A,,,,,,,114
60001,"Yukon/Yukon"," 31B","Whitehorse",Merged with No./Fusionné avec le n°33B,,,,,,,70
60001,"Yukon/Yukon"," 31C","Whitehorse",Merged with No./Fusionné avec le n°33C,,,,,,,76
60001,"Yukon/Yukon"," 31D","Whitehorse",Merged with No./Fusionné avec le n°33D,,,,,,,60
60001,"Yukon/Yukon"," 31E","Whitehorse",Merged with No./Fusionné avec le n°33E,,,,,,,125
60001,"Yukon/Yukon"," 32A","Whitehorse",Merged with No./Fusionné avec le n°33A,,,,,,,81
60001,"Yukon/Yukon"," 32B","Whitehorse",Merged with No./Fusionné avec le n°33B,,,,,,,60
60001,"Yukon/Yukon"," 32C","Whitehorse",Merged with No./Fusionné avec le n°33C,,,,,,,66
60001,"Yukon/Yukon"," 32D","Whitehorse",Merged with No./Fusionné avec le n°33D,,,,,,,102
60001,"Yukon/Yukon"," 32E","Whitehorse",Merged with No./Fusionné avec le n°33E,,,,,,,77
60001,"Yukon/Yukon"," 33A","Whitehorse",84,60,22,66,2,0,234,142
60001,"Yukon/Yukon"," 33B","Whitehorse",53,28,17,42,3,0,143,75
60001,"Yukon/Yukon"," 33C","Whitehorse",77,58,14,65,1,1,216,137
60001,"Yukon/Yukon"," 33D","Whitehorse",95,69,22,70,3,0,259,165
60001,"Yukon/Yukon"," 33E","Whitehorse",81,60,25,55,3,0,224,138
60001,"Yukon/Yukon"," 34A","Whitehorse",Merged with No./Fusionné avec le n°33A,,,,,,,77
60001,"Yukon/Yukon"," 34B","Whitehorse",Merged with No./Fusionné avec le n°33B,,,,,,,57
60001,"Yukon/Yukon"," 34C","Whitehorse",Merged with No./Fusionné avec le n°33C,,,,,,,92
60001,"Yukon/Yukon"," 34D","Whitehorse",Merged with No./Fusionné avec le n°33D,,,,,,,98
60001,"Yukon/Yukon"," 34E","Whitehorse",Merged with No./Fusionné avec le n°33E,,,,,,,64
60001,"Yukon/Yukon"," 35A","Whitehorse",Merged with No./Fusionné avec le n°33A,,,,,,,72
60001,"Yukon/Yukon"," 35B","Whitehorse",Merged with No./Fusionné avec le n°33B,,,,,,,50
60001,"Yukon/Yukon"," 35C","Whitehorse",Merged with No./Fusionné avec le n°33C,,,,,,,65
60001,"Yukon/Yukon"," 35D","Whitehorse",Merged with No./Fusionné avec le n°33D,,,,,,,93
60001,"Yukon/Yukon"," 35E","Whitehorse",Merged with No./Fusionné avec le n°33E,,,,,,,71
60001,"Yukon/Yukon"," 36A","Whitehorse",Merged with No./Fusionné avec le n°40A,,,,,,,106
60001,"Yukon/Yukon"," 36B","Whitehorse",Merged with No./Fusionné avec le n°40B,,,,,,,89
60001,"Yukon/Yukon"," 36C","Whitehorse",Merged with No./Fusionné avec le n°40C,,,,,,,84
60001,"Yukon/Yukon"," 36D","Whitehorse",Merged with No./Fusionné avec le n°40D,,,,,,,56
60001,"Yukon/Yukon"," 36E","Whitehorse",Merged with No./Fusionné avec le n°40E,,,,,,,94
60001,"Yukon/Yukon"," 37A","Whitehorse",Merged with No./Fusionné avec le n°40A,,,,,,,65
60001,"Yukon/Yukon"," 37B","Whitehorse",Merged with No./Fusionné avec le n°40B,,,,,,,72
60001,"Yukon/Yukon"," 37C","Whitehorse",Merged with No./Fusionné avec le n°40C,,,,,,,87
60001,"Yukon/Yukon"," 37D","Whitehorse",Merged with No./Fusionné avec le n°40D,,,,,,,55
60001,"Yukon/Yukon"," 37E","Whitehorse",Merged with No./Fusionné avec le n°40E,,,,,,,91
60001,"Yukon/Yukon"," 38A","Whitehorse",Merged with No./Fusionné avec le n°40A,,,,,,,67
60001,"Yukon/Yukon"," 38B","Whitehorse",Merged with No./Fusionné avec le n°40B,,,,,,,64
60001,"Yukon/Yukon"," 38C","Whitehorse",Merged with No./Fusionné avec le n°40C,,,,,,,95
60001,"Yukon/Yukon"," 38D","Whitehorse",Merged with No./Fusionné avec le n°40D,,,,,,,52
60001,"Yukon/Yukon"," 38E","Whitehorse",Merged with No./Fusionné avec le n°40E,,,,,,,89
60001,"Yukon/Yukon"," 39A","Whitehorse",Merged with No./Fusionné avec le n°40A,,,,,,,115
60001,"Yukon/Yukon"," 39B","Whitehorse",Merged with No./Fusionné avec le n°40B,,,,,,,105
60001,"Yukon/Yukon"," 39C","Whitehorse",Merged with No./Fusionné avec le n°40C,,,,,,,111
60001,"Yukon/Yukon"," 39D","Whitehorse",Merged with No./Fusionné avec le n°40D,,,,,,,81
60001,"Yukon/Yukon"," 39E","Whitehorse",Merged with No./Fusionné avec le n°40E,,,,,,,125
60001,"Yukon/Yukon"," 40A","Whitehorse",86,52,17,101,1,1,258,130
60001,"Yukon/Yukon"," 40B","Whitehorse",79,45,13,104,2,1,244,132
60001,"Yukon/Yukon"," 40C","Whitehorse",94,52,13,100,1,3,263,142
60001,"Yukon/Yukon"," 40D","Whitehorse",74,48,9,60,2,4,197,115
60001,"Yukon/Yukon"," 40E","Whitehorse",69,54,16,116,4,0,259,145
60001,"Yukon/Yukon"," 41A","Whitehorse",76,55,23,39,4,1,198,269
60001,"Yukon/Yukon"," 41B","Whitehorse",72,61,13,44,1,2,193,243
60001,"Yukon/Yukon"," 42A","Whitehorse",Merged with No./Fusionné avec le n°41A,,,,,,,170
60001,"Yukon/Yukon"," 42B","Whitehorse",Merged with No./Fusionné avec le n°41B,,,,,,,207
60001,"Yukon/Yukon"," 43","Whitehorse",94,60,20,62,1,2,239,437
60001,"Yukon/Yukon"," 44","Whitehorse",78,74,29,61,2,3,247,458
60001,"Yukon/Yukon"," 45","Whitehorse",74,44,25,49,5,2,199,385
60001,"Yukon/Yukon"," 46","Whitehorse",75,41,21,59,3,1,200,385
60001,"Yukon/Yukon"," 47","Whitehorse",93,53,34,56,2,0,238,435
60001,"Yukon/Yukon"," 48","Whitehorse",76,31,21,48,1,1,178,341
60001,"Yukon/Yukon"," 49","Whitehorse",56,51,21,34,2,0,164,368
60001,"Yukon/Yukon"," 50","Whitehorse",73,74,29,38,6,1,221,461
60001,"Yukon/Yukon"," 51","Whitehorse",61,55,16,40,2,3,177,477
60001,"Yukon/Yukon"," 52","Whitehorse",41,39,21,21,3,1,126,413
60001,"Yukon/Yukon"," 53","Whitehorse",47,52,15,48,2,2,166,441
60001,"Yukon/Yukon"," 54A","Whitehorse",Merged with No./Fusionné avec le n°57A,,,,,,,103
60001,"Yukon/Yukon"," 54B","Whitehorse",Merged with No./Fusionné avec le n°57B,,,,,,,95
60001,"Yukon/Yukon"," 54C","Whitehorse",Merged with No./Fusionné avec le n°57C,,,,,,,115
60001,"Yukon/Yukon"," 54D","Whitehorse",Merged with No./Fusionné avec le n°57D,,,,,,,93
60001,"Yukon/Yukon"," 55A","Whitehorse",Merged with No./Fusionné avec le n°57A,,,,,,,123
60001,"Yukon/Yukon"," 55B","Whitehorse",Merged with No./Fusionné avec le n°57B,,,,,,,82
60001,"Yukon/Yukon"," 55C","Whitehorse",Merged with No./Fusionné avec le n°57C,,,,,,,120
60001,"Yukon/Yukon"," 55D","Whitehorse",Merged with No./Fusionné avec le n°57D,,,,,,,97
60001,"Yukon/Yukon"," 56A","Whitehorse",Merged with No./Fusionné avec le n°57A,,,,,,,135
60001,"Yukon/Yukon"," 56B","Whitehorse",Merged with No./Fusionné avec le n°57B,,,,,,,99
60001,"Yukon/Yukon"," 56C","Whitehorse",Merged with No./Fusionné avec le n°57C,,,,,,,127
60001,"Yukon/Yukon"," 56D","Whitehorse",Merged with No./Fusionné avec le n°57D,,,,,,,116
60001,"Yukon/Yukon"," 57A","Whitehorse",81,52,31,87,4,1,256,133
60001,"Yukon/Yukon"," 57B","Whitehorse",81,33,24,75,1,0,214,142
60001,"Yukon/Yukon"," 57C","Whitehorse",78,43,26,103,2,0,252,160
60001,"Yukon/Yukon"," 57D","Whitehorse",65,49,16,83,2,2,217,163
60001,"Yukon/Yukon"," 58","Mount Lorne",75,54,25,47,3,0,204,353
60001,"Yukon/Yukon"," 59","Marsh Lake",81,42,39,130,1,1,294,514
60001,"Yukon/Yukon"," 60","Carcross",71,57,24,31,9,0,192,374
60001,"Yukon/Yukon"," 61","Tagish",39,19,8,34,4,1,105,261
60001,"Yukon/Yukon"," 62","Teslin",70,48,6,54,6,4,188,413
60001,"Yukon/Yukon"," 63A","Watson Lake",46,23,7,42,5,1,124,230
60001,"Yukon/Yukon"," 63B","Watson Lake",29,35,6,58,2,0,130,241
60001,"Yukon/Yukon"," 63C","Watson Lake",32,22,8,53,2,2,119,246
60001,"Yukon/Yukon"," 64A","Watson Lake",Merged with No./Fusionné avec le n°63A,,,,,,,103
60001,"Yukon/Yukon"," 64B","Watson Lake",Merged with No./Fusionné avec le n°63B,,,,,,,104
60001,"Yukon/Yukon"," 64C","Watson Lake",Merged with No./Fusionné avec le n°63C,,,,,,,115
60001,"Yukon/Yukon"," 500","Mobile poll/Bureau itinérant",30,7,3,13,3,2,58,78
60001,"Yukon/Yukon"," 501","Mobile poll/Bureau itinérant",22,7,4,6,1,7,47,80
60001,"Yukon/Yukon"," 600","Old Crow",8,4,4,2,0,0,18,
60001,"Yukon/Yukon"," 601","Dawson",81,75,39,90,1,2,288,
60001,"Yukon/Yukon"," 602","Mayo",23,16,3,24,1,1,68,
60001,"Yukon/Yukon"," 603","Beaver Creek",1,7,2,13,0,1,24,
60001,"Yukon/Yukon"," 604","Burwash Landing",18,15,3,13,0,0,49,
60001,"Yukon/Yukon"," 605","Haines Junction",43,18,11,60,0,2,134,
60001,"Yukon/Yukon"," 606","Carmacks",10,5,3,41,2,1,62,
60001,"Yukon/Yukon"," 607","Pelly Crossing",13,7,4,10,0,0,34,
60001,"Yukon/Yukon"," 608","Faro",11,9,8,47,1,0,76,
60001,"Yukon/Yukon"," 609","Ross River",6,6,1,6,4,0,23,
60001,"Yukon/Yukon"," 610","Takhini Hotspring",342,155,96,471,12,3,1079,
60001,"Yukon/Yukon"," 611","Whitehorse",351,142,92,323,6,6,920,
60001,"Yukon/Yukon"," 612","Whitehorse",330,199,96,271,13,3,912,
60001,"Yukon/Yukon"," 613","Mount Lorne",85,46,30,113,0,1,275,
60001,"Yukon/Yukon"," 614","Tagish",15,12,24,29,2,0,82,
60001,"Yukon/Yukon"," 615","Teslin",15,19,4,44,1,1,84,
60001,"Yukon/Yukon"," 616","Watson Lake",46,12,13,89,5,1,166,
60001,"Yukon/Yukon",,Group 1/Groupe 1, 27,8,5,12,2,4,58,76
60001,"Yukon/Yukon",,Group 2/Groupe 2, 933,542,377,944,24,23,2843,
