Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Steven Blaney,Sébastien Bouchard-Théberge,Khuon Chamroeun,Yves Gilbert,Laurence Harvey,Marc Johnston,André Voyer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 55","Lévis",102,38,16,0,29,3,8,2,198,422
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 56","Lévis",70,50,3,0,27,0,3,0,153,382
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 57","Lévis",81,42,3,0,19,2,6,2,155,346
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 58A","Lévis",77,42,15,0,28,1,3,2,168,373
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 58B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°507,,,,,,,,,104
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 59","Lévis",69,58,18,0,28,2,11,0,186,391
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 60","Lévis",47,40,20,0,35,5,3,4,154,333
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 61A","Lévis",31,25,13,4,18,2,5,3,101,296
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 61B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504B,,,,,,,,,122
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 62","Lévis",52,70,27,1,31,7,14,3,205,407
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 63","Lévis",45,35,6,0,22,2,4,3,117,335
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 64A","Saint-Nérée",122,34,4,0,10,5,10,1,186,318
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 64B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°511,,,,,,,,,12
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 65","Saint-Nérée",113,33,3,0,11,3,1,1,165,291
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 66","Saint-Charles-de-Bellechasse",102,18,6,0,19,2,1,3,151,288
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 67","Saint-Charles-de-Bellechasse",101,32,4,1,23,4,6,2,173,337
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 68","Saint-Charles-de-Bellechasse",115,21,14,0,12,1,3,4,170,307
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 69","Saint-Charles-de-Bellechasse",108,18,5,0,21,3,9,2,166,309
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 70","Saint-Charles-de-Bellechasse",77,26,4,1,13,5,2,1,129,273
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 71","Saint-Charles-de-Bellechasse",137,35,7,2,17,7,7,6,218,351
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 72","Lévis",50,37,3,0,24,1,3,1,119,364
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 73","Lévis",69,12,6,1,17,0,0,3,108,327
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 74","Lévis",53,60,20,1,28,0,11,4,177,536
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 75","Lévis",44,38,13,0,17,2,12,0,126,391
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 76","Lévis",47,39,10,1,37,1,7,0,142,349
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 77","Lévis",43,41,21,1,22,0,11,3,142,320
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 78","Lévis",63,32,13,0,25,1,12,4,150,332
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 79","Lévis",92,34,10,0,31,5,5,1,178,417
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 80","Lévis",91,51,11,0,30,5,8,1,197,426
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 81","Lévis",81,26,5,0,21,0,6,3,142,327
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 82","Lévis",43,38,11,1,21,5,7,2,128,446
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 83","Lévis",87,33,9,0,17,3,6,2,157,347
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 84","Lévis",154,56,22,0,56,7,13,7,315,709
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 85","Lévis",179,73,15,0,78,8,8,6,367,782
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 86","Lévis",39,34,6,0,30,4,3,1,117,355
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 87","Lévis",53,31,23,0,17,1,5,3,133,378
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 88A","Lévis",100,56,17,0,56,2,5,2,238,610
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 88B","Lévis",69,48,5,1,61,0,0,3,187,269
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 89","Lévis",73,40,20,1,31,3,5,3,176,425
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 90","Lévis",57,34,9,0,21,4,7,3,135,409
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 91","Lévis",73,36,15,1,18,4,5,1,153,357
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 92","Lévis",59,30,16,1,36,4,5,4,155,410
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 93","Lévis",73,42,15,2,24,2,4,5,167,403
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 94","Lévis",43,27,11,0,15,0,7,3,106,310
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 95","Lévis",93,60,15,0,45,7,5,3,228,527
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 96","Lévis",27,45,21,0,24,0,8,3,128,321
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 97","Lévis",48,38,12,1,29,1,6,3,138,387
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 98","Lévis",45,65,15,0,40,5,11,1,182,527
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 99","Lévis",44,56,10,1,41,1,11,1,165,392
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 100","Lévis",43,35,14,0,26,4,4,2,128,403
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 101","Lévis",54,42,18,3,28,0,10,2,157,405
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 102A","Lévis",41,24,8,0,18,3,4,2,100,391
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 102B","Lévis",57,28,2,1,46,2,0,12,148,176
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 103","Lévis",74,38,8,0,36,4,8,0,168,398
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 104","Lévis",63,40,24,0,38,5,8,4,182,562
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 105","Lévis",75,55,12,0,29,5,9,3,188,501
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 106","Lévis",58,41,6,0,24,7,1,0,137,367
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 107","Lévis",94,40,13,0,35,3,4,5,194,392
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 108","Saint-Magloire",93,22,2,0,19,6,1,3,146,236
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 109","Saint-Magloire",96,37,2,1,15,1,3,5,160,251
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 110","Saint-Gervais",156,23,10,0,15,7,2,3,216,367
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 111","Saint-Gervais",144,19,6,0,21,3,4,2,199,320
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 112","Saint-Gervais",112,16,4,0,20,5,2,3,162,285
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 113","Saint-Gervais",103,16,8,0,9,2,3,1,142,224
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 114","Saint-Gervais",168,30,9,0,32,7,6,3,255,416
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 115","Lévis",114,54,13,0,28,10,1,0,220,433
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 116","Lévis",65,18,9,0,11,2,5,0,110,362
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 117","Lévis",41,22,6,0,17,4,9,3,102,328
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 118","Lévis",123,45,15,0,26,3,4,8,224,464
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 119","Lévis",74,43,6,1,24,4,3,3,158,414
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 120","Lévis",108,21,15,0,23,1,2,4,174,443
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 121","Lévis",57,32,14,0,23,3,3,1,133,396
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 122A","Lévis",65,19,12,0,16,2,8,3,125,394
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 122B","Lévis",83,26,14,0,30,3,7,2,165,397
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 123","Lévis",54,38,12,1,20,5,6,1,137,442
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 124","Lévis",60,17,10,0,18,3,1,1,110,324
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 125","Lévis",71,37,5,0,13,4,3,3,136,409
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 126","Lévis",56,32,6,0,18,2,4,2,120,318
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 127","Lévis",31,64,18,0,18,2,17,3,153,331
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 128A","Lévis",74,47,11,0,59,0,8,2,201,493
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 128B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°508,,,,,,,,,10
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 128C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°508,,,,,,,,,47
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 129","Lévis",72,61,11,1,35,4,4,3,191,436
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 130","Buckland",165,25,2,0,30,3,4,0,229,348
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 131","Buckland",107,28,8,0,25,4,7,0,179,305
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 132","Lévis",110,56,18,2,42,4,7,4,243,403
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 133","Lévis",147,69,18,0,49,5,7,2,297,572
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 134","Lévis",127,35,19,0,42,9,5,3,240,416
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 135","Lévis",78,40,17,0,32,4,7,5,183,414
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 136","Lévis",91,38,21,0,32,3,9,1,195,427
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 137","Lévis",134,48,11,0,42,6,4,6,251,477
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 138","Lévis",110,40,22,0,31,0,7,5,215,402
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 139","Lévis",80,38,9,1,26,3,6,6,169,395
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 140","Lévis",166,50,15,0,48,9,7,5,300,564
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 141","Lévis",69,44,23,1,31,6,8,5,187,427
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 142","Lévis",58,70,5,0,64,2,1,3,203,439
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 143","Lévis",81,49,12,0,33,2,5,3,185,418
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 144","Lévis",61,40,9,0,36,5,7,4,162,420
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 145","Lévis",82,55,19,0,41,4,11,2,214,441
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 146","Lévis",54,24,10,0,14,0,3,3,108,315
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 147","Lévis",82,41,8,0,20,4,3,2,160,379
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 148","Lévis",78,41,17,0,17,4,4,2,163,402
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 149","Lévis",92,34,7,0,19,9,2,2,165,357
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 150","Lévis",83,43,11,0,31,8,6,6,188,432
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 151","Saint-Damien-de-Buckland",119,37,3,2,17,2,3,2,185,340
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 152","Saint-Damien-de-Buckland",74,25,6,1,17,1,2,1,127,264
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 153","Saint-Damien-de-Buckland",98,46,4,1,14,0,5,1,169,367
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 154","Saint-Damien-de-Buckland",119,34,2,1,8,4,2,2,172,377
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 155","Saint-Lazare",134,31,4,0,23,4,9,3,208,316
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 156","Saint-Lazare",145,28,5,0,12,4,4,0,198,282
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 157","Saint-Lazare",196,37,11,0,9,6,3,2,264,358
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 158","Lévis",44,47,16,0,28,0,12,1,148,400
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 159","Lévis",71,47,14,0,26,2,12,1,173,408
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 160","Lévis",77,54,23,0,45,8,8,2,217,500
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 161","Lévis",43,50,8,0,39,1,14,2,157,331
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 162","Lévis",88,73,8,0,58,5,7,3,242,434
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 163","Lévis",101,57,16,0,54,10,15,7,260,513
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 164","Lévis",66,61,14,0,37,2,9,3,192,415
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 165","Lévis",66,57,8,0,34,2,7,8,182,442
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 166","Lévis",30,29,6,2,26,5,1,1,100,317
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 167","Lévis",42,39,10,2,29,1,4,5,132,317
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 168","Lévis",80,69,8,0,65,6,6,3,237,488
