Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alex Bracci,Noel Joe,Scott Simms,Byron White,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 94","Point Leamington",58,20,82,5,0,165,313
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 95","Point Leamington",41,13,65,4,2,125,260
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 96","Gander",49,19,95,5,12,180,340
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 97","Gander",43,22,92,10,4,171,333
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 98","Gander",41,29,98,4,12,184,410
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 99","Gander",37,10,83,6,1,137,340
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 100","Gander",27,18,82,4,0,131,340
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 101","Gander",34,26,86,5,0,151,333
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 102","Gander",38,15,57,3,1,114,280
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 103","Gander",56,26,155,13,0,250,527
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 104","Gander",21,28,85,4,0,138,377
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 105","Gander",33,30,77,4,1,145,332
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 106","Gander",65,38,110,9,0,222,508
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 107","Springdale",73,15,27,2,5,122,282
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 108A","Springdale",55,20,57,4,5,141,373
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 108B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505B,,,,,,40
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 109","Springdale",68,15,38,8,5,134,354
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 110","Robert's Arm",123,6,33,4,3,169,363
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 111","Robert's Arm",94,9,31,6,2,142,304
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 112","Laurenceton",47,3,26,0,0,76,143
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 113","Rattling Brook",18,9,23,1,2,53,70
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 114","King's Point",79,12,39,3,9,142,293
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 115","King's Point",74,9,43,4,3,133,270
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 116","Springdale",79,17,57,4,0,157,406
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 117A","Springdale",150,31,86,6,0,273,691
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 117B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505A,,,,,,57
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 118","Springdale",73,15,54,10,7,159,430
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 119","Norris Arm North",57,11,25,3,5,101,175
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 120","Glenwood",41,21,90,1,0,153,318
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 121","Glenwood",47,15,94,4,3,163,358
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 122","Botwood",46,18,64,1,2,131,289
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 123","Botwood",40,5,56,3,4,108,230
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 124","Botwood",81,18,126,5,5,235,555
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 125","Northern Arm",56,12,89,4,6,167,254
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 126","Appleton",42,15,59,5,4,125,204
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 127","Appleton",66,30,61,8,0,165,309
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 128","Botwood",56,20,116,7,2,201,430
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 129","Botwood",46,15,58,2,2,123,369
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 130","Botwood",48,10,47,2,0,107,277
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 131","Botwood",45,13,56,3,1,118,365
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 132","Peterview",54,10,43,1,0,108,356
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 133","Peterview",28,15,93,3,1,140,336
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 134","Norris Arm",65,20,121,7,3,216,441
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 135","Norris Arm",47,24,98,9,0,178,348
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 136","Grand Falls-Windsor",66,31,57,2,8,164,335
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 137","Grand Falls-Windsor",65,19,60,4,13,161,388
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 138","Grand Falls-Windsor",48,25,61,2,4,140,358
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 139","Grand Falls-Windsor",53,20,52,8,3,136,356
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 140","Grand Falls-Windsor",50,25,101,3,4,183,395
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 141","Badger",49,23,77,7,9,165,384
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 142","Grand Falls-Windsor",44,30,80,3,3,160,348
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 143","Sheppardville",19,5,16,1,1,42,49
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 144","Bishop's Falls",27,11,52,2,2,94,183
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 145","Bishop's Falls",39,20,82,3,0,144,382
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 146","Bishop's Falls",53,10,86,1,0,150,385
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 147","Bishop's Falls",55,15,75,2,2,149,324
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 148","Bishop's Falls",63,18,115,3,0,199,408
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 149","Bishop's Falls",36,14,83,6,0,139,386
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 150","Bishop's Falls",55,20,107,3,0,185,354
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 151","Bishop's Falls",63,22,120,3,1,209,369
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 152","South Brook",144,22,59,18,0,243,470
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 153","Grand Falls-Windsor",83,37,113,9,5,247,503
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 154","Grand Falls-Windsor",145,38,131,5,3,322,586
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 155","Grand Falls-Windsor",77,53,82,6,11,229,528
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 156","Grand Falls-Windsor",81,39,99,5,8,232,488
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 157","Grand Falls-Windsor",65,29,82,7,2,185,402
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 158","Grand Falls-Windsor",75,26,64,5,2,172,435
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 159","Grand Falls-Windsor",62,34,82,10,6,194,422
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 160","Grand Falls-Windsor",66,29,80,8,0,183,389
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 161","Grand Falls-Windsor",79,36,100,5,5,225,424
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 162","Grand Falls-Windsor",41,27,72,5,7,152,378
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 163","Grand Falls-Windsor",71,25,80,4,0,180,405
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 164","Grand Falls-Windsor",48,24,66,2,0,140,367
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 165","Grand Falls-Windsor",96,53,127,7,7,290,542
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 166","Grand Falls-Windsor",32,43,93,2,3,173,384
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 167","Grand Falls-Windsor",38,22,100,1,1,162,370
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 168","Grand Falls-Windsor",62,39,97,10,1,209,401
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 169","Grand Falls-Windsor",23,31,107,4,2,167,400
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 170A","Grand Falls-Windsor",59,33,137,5,1,235,426
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 170B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°507B,,,,,,47
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 171","Grand Falls-Windsor",26,40,84,2,3,155,351
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 172","Grand Falls-Windsor",33,36,78,11,10,168,373
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 173","Grand Falls-Windsor",45,27,85,5,4,166,381
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 174","Badger",127,32,111,6,0,276,439
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 175","Badger",61,13,74,2,0,150,279
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 176","Buchans Junction--Millertown",14,4,41,0,4,63,126
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 177","Buchans",43,14,65,9,7,138,256
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 178","Buchans",18,15,114,2,3,152,331
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 179","Pool's Cove",26,5,34,0,1,66,151
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 180","Head of Bay D'Espoir--St. Veronica's",27,12,61,2,7,109,230
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 181","Milltown",41,33,93,2,10,179,428
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 182","Conne River",28,140,96,8,0,272,705
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 183","Morrisville",6,11,29,1,0,47,66
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 184","Rencontre East",23,11,20,2,0,56,99
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 185","St. Alban's",99,69,118,2,0,288,579
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 186","St. Alban's",43,32,50,5,0,130,312
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 187","St. Alban's",30,13,44,6,0,93,176
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 188","Belleoram",40,12,39,4,4,99,301
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 189","Gaultois",6,1,37,0,0,44,110
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 190","Mose Ambrose",26,24,75,8,10,143,303
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 191","Hermitage-Sandyville",23,21,118,1,16,179,386
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 192","McCallum",1,4,22,2,0,29,42
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 193","Harbour Breton",24,7,59,3,0,93,260
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 194","Harbour Breton",25,5,58,0,1,89,257
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 195","Harbour Breton",40,17,90,2,0,149,401
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 196","Harbour Breton",41,19,90,1,1,152,425
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 197","Wreck Cove",3,7,48,2,0,60,154
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 198","Seal Cove",13,5,73,3,0,94,203
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 500","Mobile poll/Bureau itinérant",7,0,30,6,5,48,59
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 501","Mobile poll/Bureau itinérant",2,3,13,1,1,20,28
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 502","Mobile poll/Bureau itinérant",4,2,13,1,9,29,3
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 503","Mobile poll/Bureau itinérant",7,5,31,1,0,44,37
