Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nahed AlShawa,Luc Bertrand,Claude Debellefeuille,Marc Faubert,Joan Gottman,Cynthia Larivière,Alain Savard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24071,"Salaberry--Suroît/Salaberry--Suroît"," 43","Salaberry-de-Valleyfield",4,0,102,43,14,12,2,2,179,431
24071,"Salaberry--Suroît/Salaberry--Suroît"," 44","Salaberry-de-Valleyfield",1,2,82,29,11,18,0,4,147,360
24071,"Salaberry--Suroît/Salaberry--Suroît"," 45","Salaberry-de-Valleyfield",3,1,79,36,16,14,2,1,152,408
24071,"Salaberry--Suroît/Salaberry--Suroît"," 46","Salaberry-de-Valleyfield",5,1,127,45,20,12,0,3,213,450
24071,"Salaberry--Suroît/Salaberry--Suroît"," 47","Salaberry-de-Valleyfield",8,2,119,41,23,16,8,7,224,457
24071,"Salaberry--Suroît/Salaberry--Suroît"," 48","Salaberry-de-Valleyfield",3,0,100,39,19,15,0,2,178,391
24071,"Salaberry--Suroît/Salaberry--Suroît"," 49","Salaberry-de-Valleyfield",4,0,99,54,8,18,2,2,187,460
24071,"Salaberry--Suroît/Salaberry--Suroît"," 50","Salaberry-de-Valleyfield",2,1,72,44,13,12,3,4,151,374
24071,"Salaberry--Suroît/Salaberry--Suroît"," 51","Salaberry-de-Valleyfield",2,1,80,47,9,15,0,7,161,358
24071,"Salaberry--Suroît/Salaberry--Suroît"," 52","Salaberry-de-Valleyfield",3,0,117,49,23,13,2,4,211,478
24071,"Salaberry--Suroît/Salaberry--Suroît"," 53","Salaberry-de-Valleyfield",5,0,83,38,12,7,0,2,147,303
24071,"Salaberry--Suroît/Salaberry--Suroît"," 54","Salaberry-de-Valleyfield",8,0,90,41,9,13,1,1,163,394
24071,"Salaberry--Suroît/Salaberry--Suroît"," 55","Coteau-du-Lac",12,0,90,46,25,12,0,5,190,323
24071,"Salaberry--Suroît/Salaberry--Suroît"," 56","Coteau-du-Lac",10,0,98,36,15,20,2,1,182,392
