Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marie-Louise Beauchamp,Nacera Beddad,Fayçal EL-Khoury,Sari Madi,Noémia Onofre De Lima,Tom Pentefountas,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24040,"Laval--Les Îles/Laval--Les Îles"," 31","Laval",5,28,79,10,21,32,2,177,448
24040,"Laval--Les Îles/Laval--Les Îles"," 32","Laval",4,81,65,8,20,16,2,196,338
24040,"Laval--Les Îles/Laval--Les Îles"," 33","Laval",3,69,107,13,30,14,6,242,469
24040,"Laval--Les Îles/Laval--Les Îles"," 34","Laval",5,58,82,5,21,19,3,193,329
24040,"Laval--Les Îles/Laval--Les Îles"," 35","Laval",7,82,76,10,22,21,4,222,417
24040,"Laval--Les Îles/Laval--Les Îles"," 36","Laval",5,42,118,17,35,35,3,255,578
24040,"Laval--Les Îles/Laval--Les Îles"," 37","Laval",7,109,56,9,30,32,5,248,496
24040,"Laval--Les Îles/Laval--Les Îles"," 38","Laval",1,36,98,3,17,16,0,171,389
24040,"Laval--Les Îles/Laval--Les Îles"," 39","Laval",8,90,47,8,17,14,7,191,409
24040,"Laval--Les Îles/Laval--Les Îles"," 40","Laval",4,34,22,5,6,7,5,83,212
24040,"Laval--Les Îles/Laval--Les Îles"," 41","Laval",2,38,88,9,24,23,3,187,427
24040,"Laval--Les Îles/Laval--Les Îles"," 42","Laval",3,70,84,11,20,16,7,211,448
24040,"Laval--Les Îles/Laval--Les Îles"," 43","Laval",5,67,73,8,31,11,1,196,453
24040,"Laval--Les Îles/Laval--Les Îles"," 44","Laval",4,75,108,12,21,24,3,247,531
24040,"Laval--Les Îles/Laval--Les Îles"," 45","Laval",6,79,70,7,23,17,3,205,478
24040,"Laval--Les Îles/Laval--Les Îles"," 46","Laval",4,52,96,6,20,28,4,210,498
24040,"Laval--Les Îles/Laval--Les Îles"," 47","Laval",0,18,102,10,20,37,2,189,406
24040,"Laval--Les Îles/Laval--Les Îles"," 48","Laval",2,45,70,9,16,20,5,167,434
24040,"Laval--Les Îles/Laval--Les Îles"," 49","Laval",3,37,137,11,18,24,6,236,448
24040,"Laval--Les Îles/Laval--Les Îles"," 50","Laval",4,38,68,8,14,29,2,163,405
24040,"Laval--Les Îles/Laval--Les Îles"," 51","Laval",1,20,91,7,24,38,6,187,404
24040,"Laval--Les Îles/Laval--Les Îles"," 52","Laval",3,7,162,12,8,64,3,259,446
24040,"Laval--Les Îles/Laval--Les Îles"," 53","Laval",3,11,105,5,27,28,12,191,391
24040,"Laval--Les Îles/Laval--Les Îles"," 54","Laval",3,23,116,9,27,43,7,228,429
24040,"Laval--Les Îles/Laval--Les Îles"," 55","Laval",5,4,119,7,15,55,3,208,424
24040,"Laval--Les Îles/Laval--Les Îles"," 56","Laval",0,6,124,6,16,49,1,202,449
24040,"Laval--Les Îles/Laval--Les Îles"," 57","Laval",8,1,92,10,10,70,6,197,424
24040,"Laval--Les Îles/Laval--Les Îles"," 58","Laval",4,10,117,5,18,47,1,202,468
24040,"Laval--Les Îles/Laval--Les Îles"," 59","Laval",7,3,94,8,14,55,0,181,391
24040,"Laval--Les Îles/Laval--Les Îles"," 60","Laval",3,21,111,7,23,23,2,190,470
24040,"Laval--Les Îles/Laval--Les Îles"," 61","Laval",1,1,99,4,12,78,3,198,411
24040,"Laval--Les Îles/Laval--Les Îles"," 62","Laval",0,15,77,12,15,18,1,138,326
24040,"Laval--Les Îles/Laval--Les Îles"," 63","Laval",1,3,114,7,17,50,3,195,459
24040,"Laval--Les Îles/Laval--Les Îles"," 64","Laval",1,0,87,3,10,54,1,156,349
24040,"Laval--Les Îles/Laval--Les Îles"," 65","Laval",1,9,73,3,17,51,1,155,325
24040,"Laval--Les Îles/Laval--Les Îles"," 66","Laval",1,21,100,10,18,36,3,189,415
24040,"Laval--Les Îles/Laval--Les Îles"," 67","Laval",1,5,73,0,8,36,4,127,276
24040,"Laval--Les Îles/Laval--Les Îles"," 68","Laval",1,7,126,9,22,45,1,211,497
24040,"Laval--Les Îles/Laval--Les Îles"," 69","Laval",2,15,113,15,13,62,2,222,458
24040,"Laval--Les Îles/Laval--Les Îles"," 70","Laval",4,11,65,8,11,49,0,148,340
24040,"Laval--Les Îles/Laval--Les Îles"," 71","Laval",4,7,71,4,22,53,2,163,326
24040,"Laval--Les Îles/Laval--Les Îles"," 72","Laval",4,22,106,3,19,30,1,185,459
24040,"Laval--Les Îles/Laval--Les Îles"," 73","Laval",5,5,127,7,25,64,0,233,457
24040,"Laval--Les Îles/Laval--Les Îles"," 74","Laval",0,23,92,11,28,35,3,192,542
24040,"Laval--Les Îles/Laval--Les Îles"," 75","Laval",1,19,65,4,12,17,0,118,328
24040,"Laval--Les Îles/Laval--Les Îles"," 76","Laval",1,20,88,5,10,15,5,144,386
24040,"Laval--Les Îles/Laval--Les Îles"," 77","Laval",1,11,108,7,15,28,4,174,366
24040,"Laval--Les Îles/Laval--Les Îles"," 78","Laval",1,27,91,5,18,27,0,169,374
24040,"Laval--Les Îles/Laval--Les Îles"," 79","Laval",3,6,89,4,15,25,3,145,383
24040,"Laval--Les Îles/Laval--Les Îles"," 80","Laval",4,5,86,8,19,55,6,183,420
24040,"Laval--Les Îles/Laval--Les Îles"," 81","Laval",1,5,89,5,12,47,3,162,410
24040,"Laval--Les Îles/Laval--Les Îles"," 82","Laval",2,2,99,7,6,66,3,185,436
24040,"Laval--Les Îles/Laval--Les Îles"," 83","Laval",3,9,134,2,10,46,3,207,478
24040,"Laval--Les Îles/Laval--Les Îles"," 84","Laval",4,12,119,11,20,56,4,226,553
24040,"Laval--Les Îles/Laval--Les Îles"," 85","Laval",1,12,106,7,8,37,6,177,418
24040,"Laval--Les Îles/Laval--Les Îles"," 86","Laval",5,4,101,7,17,71,2,207,479
24040,"Laval--Les Îles/Laval--Les Îles"," 87","Laval",9,4,110,9,23,50,1,206,435
24040,"Laval--Les Îles/Laval--Les Îles"," 88","Laval",4,3,96,17,23,58,3,204,448
24040,"Laval--Les Îles/Laval--Les Îles"," 89","Laval",3,2,94,2,21,35,2,159,357
24040,"Laval--Les Îles/Laval--Les Îles"," 90","Laval",4,8,104,5,14,23,6,164,400
24040,"Laval--Les Îles/Laval--Les Îles"," 91","Laval",3,9,67,4,26,41,2,152,380
24040,"Laval--Les Îles/Laval--Les Îles"," 92","Laval",2,11,122,5,13,48,3,204,459
24040,"Laval--Les Îles/Laval--Les Îles"," 93","Laval",1,4,95,13,23,46,1,183,414
24040,"Laval--Les Îles/Laval--Les Îles"," 94","Laval",4,14,105,10,16,54,3,206,482
24040,"Laval--Les Îles/Laval--Les Îles"," 95","Laval",6,6,90,4,12,31,6,155,370
24040,"Laval--Les Îles/Laval--Les Îles"," 96","Laval",3,40,113,4,10,54,3,227,550
24040,"Laval--Les Îles/Laval--Les Îles"," 97","Laval",6,31,71,1,9,28,0,146,366
24040,"Laval--Les Îles/Laval--Les Îles"," 98","Laval",4,8,96,7,21,65,0,201,430
24040,"Laval--Les Îles/Laval--Les Îles"," 99","Laval",4,64,149,6,14,36,2,275,433
24040,"Laval--Les Îles/Laval--Les Îles"," 100","Laval",4,69,44,11,26,17,4,175,463
24040,"Laval--Les Îles/Laval--Les Îles"," 101","Laval",2,91,56,5,16,14,3,187,399
24040,"Laval--Les Îles/Laval--Les Îles"," 102","Laval",1,67,52,6,20,17,7,170,452
24040,"Laval--Les Îles/Laval--Les Îles"," 103","Laval",4,108,83,17,29,28,5,274,585
24040,"Laval--Les Îles/Laval--Les Îles"," 104","Laval",3,90,74,10,21,17,6,221,539
24040,"Laval--Les Îles/Laval--Les Îles"," 105","Laval",0,86,59,7,23,11,5,191,448
24040,"Laval--Les Îles/Laval--Les Îles"," 106","Laval",5,58,44,14,17,24,5,167,383
24040,"Laval--Les Îles/Laval--Les Îles"," 107","Laval",2,54,41,10,15,9,1,132,310
24040,"Laval--Les Îles/Laval--Les Îles"," 108A","Laval",3,34,69,13,23,26,0,168,344
24040,"Laval--Les Îles/Laval--Les Îles"," 108B","Laval",1,41,52,3,11,14,1,123,322
24040,"Laval--Les Îles/Laval--Les Îles"," 109","Laval",2,48,92,13,7,21,2,185,453
24040,"Laval--Les Îles/Laval--Les Îles"," 110","Laval",6,40,148,14,34,55,4,301,594
24040,"Laval--Les Îles/Laval--Les Îles"," 111","Laval",7,53,56,9,19,40,1,185,380
24040,"Laval--Les Îles/Laval--Les Îles"," 112","Laval",1,39,77,16,16,35,3,187,421
24040,"Laval--Les Îles/Laval--Les Îles"," 113","Laval",4,43,117,8,21,42,1,236,597
24040,"Laval--Les Îles/Laval--Les Îles"," 114","Laval",2,26,125,8,19,25,1,206,480
24040,"Laval--Les Îles/Laval--Les Îles"," 115","Laval",2,24,126,7,17,39,2,217,414
24040,"Laval--Les Îles/Laval--Les Îles"," 116","Laval",3,56,118,14,26,38,3,258,482
24040,"Laval--Les Îles/Laval--Les Îles"," 117","Laval",2,23,125,9,37,55,0,251,520
24040,"Laval--Les Îles/Laval--Les Îles"," 118","Laval",4,30,98,11,25,45,1,214,460
24040,"Laval--Les Îles/Laval--Les Îles"," 119","Laval",4,17,110,3,32,22,0,188,494
24040,"Laval--Les Îles/Laval--Les Îles"," 120","Laval",3,55,111,7,11,62,0,249,550
24040,"Laval--Les Îles/Laval--Les Îles"," 121A","Laval",2,46,95,4,5,23,2,177,349
24040,"Laval--Les Îles/Laval--Les Îles"," 121B","Laval",2,78,109,5,7,38,3,242,441
24040,"Laval--Les Îles/Laval--Les Îles"," 121C","Laval",3,112,139,6,7,25,3,295,447
24040,"Laval--Les Îles/Laval--Les Îles"," 122","Laval",4,15,67,11,20,43,1,161,425
24040,"Laval--Les Îles/Laval--Les Îles"," 123","Laval",0,17,101,7,20,50,7,202,452
24040,"Laval--Les Îles/Laval--Les Îles"," 124","Laval",5,109,169,16,17,40,2,358,592
24040,"Laval--Les Îles/Laval--Les Îles"," 125","Laval",2,29,151,7,12,59,2,262,547
24040,"Laval--Les Îles/Laval--Les Îles"," 126A","Laval",3,55,85,14,26,28,1,212,458
24040,"Laval--Les Îles/Laval--Les Îles"," 126B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502,,,,,,,,39
24040,"Laval--Les Îles/Laval--Les Îles"," 127","Laval",7,65,90,12,25,31,2,232,532
24040,"Laval--Les Îles/Laval--Les Îles"," 128","Laval",3,32,79,9,14,21,1,159,404
24040,"Laval--Les Îles/Laval--Les Îles"," 129","Laval",0,37,82,6,14,12,2,153,363
24040,"Laval--Les Îles/Laval--Les Îles"," 130","Laval",6,78,106,16,18,44,5,273,521
24040,"Laval--Les Îles/Laval--Les Îles"," 131","Laval",1,19,114,7,20,29,2,192,463
24040,"Laval--Les Îles/Laval--Les Îles"," 132","Laval",3,66,112,12,19,36,6,254,417
24040,"Laval--Les Îles/Laval--Les Îles"," 133","Laval",1,32,89,8,15,27,0,172,324
24040,"Laval--Les Îles/Laval--Les Îles"," 134","Laval",2,45,68,11,22,29,2,179,393
24040,"Laval--Les Îles/Laval--Les Îles"," 135","Laval",4,48,115,9,27,34,3,240,411
24040,"Laval--Les Îles/Laval--Les Îles"," 136","Laval",5,42,75,8,17,13,1,161,390
24040,"Laval--Les Îles/Laval--Les Îles"," 137","Laval",2,66,104,7,33,27,3,242,504
24040,"Laval--Les Îles/Laval--Les Îles"," 138","Laval",6,65,90,12,25,23,0,221,482
24040,"Laval--Les Îles/Laval--Les Îles"," 139","Laval",3,6,94,0,23,28,3,157,349
24040,"Laval--Les Îles/Laval--Les Îles"," 140","Laval",1,11,125,7,21,38,4,207,441
24040,"Laval--Les Îles/Laval--Les Îles"," 141","Laval",0,14,111,7,27,47,2,208,389
24040,"Laval--Les Îles/Laval--Les Îles"," 142","Laval",7,15,112,11,10,42,1,198,416
24040,"Laval--Les Îles/Laval--Les Îles"," 143","Laval",1,56,109,16,16,29,4,231,434
24040,"Laval--Les Îles/Laval--Les Îles"," 144","Laval",2,8,140,4,34,29,3,220,420
24040,"Laval--Les Îles/Laval--Les Îles"," 145","Laval",1,19,83,8,9,60,2,182,452
24040,"Laval--Les Îles/Laval--Les Îles"," 146","Laval",1,30,79,5,9,40,3,167,370
24040,"Laval--Les Îles/Laval--Les Îles"," 147A","Laval",2,30,75,6,3,22,4,142,396
24040,"Laval--Les Îles/Laval--Les Îles"," 147B","Laval",2,11,89,9,18,33,1,163,398
24040,"Laval--Les Îles/Laval--Les Îles"," 148","Laval",1,11,86,2,18,76,0,194,487
24040,"Laval--Les Îles/Laval--Les Îles"," 149","Laval",11,79,75,13,32,19,3,232,482
24040,"Laval--Les Îles/Laval--Les Îles"," 150","Laval",4,53,83,12,17,13,1,183,414
24040,"Laval--Les Îles/Laval--Les Îles"," 151","Laval",7,67,76,8,18,16,3,195,432
24040,"Laval--Les Îles/Laval--Les Îles"," 152","Laval",8,58,117,19,31,29,2,264,558
24040,"Laval--Les Îles/Laval--Les Îles"," 153","Laval",7,66,51,11,21,4,1,161,340
24040,"Laval--Les Îles/Laval--Les Îles"," 154","Laval",9,62,69,3,18,7,5,173,369
24040,"Laval--Les Îles/Laval--Les Îles"," 155","Laval",5,61,105,9,27,32,4,243,513
24040,"Laval--Les Îles/Laval--Les Îles"," 156","Laval",2,39,84,5,14,28,1,173,382
24040,"Laval--Les Îles/Laval--Les Îles"," 157","Laval",1,18,66,4,14,60,2,165,344
24040,"Laval--Les Îles/Laval--Les Îles"," 158","Laval",0,66,120,6,23,34,2,251,530
24040,"Laval--Les Îles/Laval--Les Îles"," 159","Laval",1,7,94,6,11,31,2,152,330
24040,"Laval--Les Îles/Laval--Les Îles"," 160","Laval",4,82,98,20,25,39,1,269,543
24040,"Laval--Les Îles/Laval--Les Îles"," 161","Laval",3,73,119,17,30,36,3,281,560
24040,"Laval--Les Îles/Laval--Les Îles"," 162","Laval",1,39,135,8,19,34,2,238,483
24040,"Laval--Les Îles/Laval--Les Îles"," 163","Laval",6,35,96,5,13,41,0,196,392
24040,"Laval--Les Îles/Laval--Les Îles"," 164","Laval",3,63,117,12,25,43,1,264,518
24040,"Laval--Les Îles/Laval--Les Îles"," 165","Laval",4,53,85,11,24,23,0,200,421
24040,"Laval--Les Îles/Laval--Les Îles"," 166","Laval",5,28,133,10,22,29,1,228,458
24040,"Laval--Les Îles/Laval--Les Îles"," 167","Laval",5,60,102,13,19,31,0,230,482
24040,"Laval--Les Îles/Laval--Les Îles"," 168","Laval",5,24,94,7,20,27,0,177,359
24040,"Laval--Les Îles/Laval--Les Îles"," 169","Laval",4,26,118,5,24,44,3,224,504
24040,"Laval--Les Îles/Laval--Les Îles"," 170","Laval",7,32,93,8,13,21,3,177,406
24040,"Laval--Les Îles/Laval--Les Îles"," 171","Laval",5,25,105,6,21,52,3,217,447
24040,"Laval--Les Îles/Laval--Les Îles"," 172","Laval",1,44,72,16,24,28,3,188,369
24040,"Laval--Les Îles/Laval--Les Îles"," 173","Laval",8,73,84,20,28,16,3,232,477
24040,"Laval--Les Îles/Laval--Les Îles"," 174","Laval",2,21,141,14,41,53,4,276,537
24040,"Laval--Les Îles/Laval--Les Îles"," 175","Laval",0,54,78,17,35,18,2,204,440
24040,"Laval--Les Îles/Laval--Les Îles"," 176","Laval",3,64,107,16,18,19,2,229,484
24040,"Laval--Les Îles/Laval--Les Îles"," 177","Laval",3,23,117,10,25,27,1,206,405
24040,"Laval--Les Îles/Laval--Les Îles"," 178","Laval",2,28,99,10,19,28,3,189,426
24040,"Laval--Les Îles/Laval--Les Îles"," 179","Laval",4,34,80,8,18,40,2,186,461
24040,"Laval--Les Îles/Laval--Les Îles"," 180","Laval",0,59,84,23,27,20,1,214,424
24040,"Laval--Les Îles/Laval--Les Îles"," 181","Laval",7,108,90,18,22,18,4,267,478
24040,"Laval--Les Îles/Laval--Les Îles"," 400","Laval",5,93,113,1,5,16,29,262,394
24040,"Laval--Les Îles/Laval--Les Îles"," 401","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502,,,,,,,,88
24040,"Laval--Les Îles/Laval--Les Îles"," 402","Laval",3,43,107,3,4,13,7,180,290
24040,"Laval--Les Îles/Laval--Les Îles"," 403","Laval",1,24,31,1,3,7,1,68,189
24040,"Laval--Les Îles/Laval--Les Îles"," 404","Laval",1,20,29,2,2,10,0,64,227
24040,"Laval--Les Îles/Laval--Les Îles"," 405","Laval",1,39,38,2,7,16,2,105,180
24040,"Laval--Les Îles/Laval--Les Îles"," 406","Laval",3,55,85,5,1,29,2,180,272
24040,"Laval--Les Îles/Laval--Les Îles"," 407","Laval",1,50,68,6,14,25,6,170,452
24040,"Laval--Les Îles/Laval--Les Îles"," 408","Laval",1,18,14,2,0,5,0,40,99
24040,"Laval--Les Îles/Laval--Les Îles"," 409","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500B,,,,,,,,134
24040,"Laval--Les Îles/Laval--Les Îles"," 500A","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,,74
24040,"Laval--Les Îles/Laval--Les Îles"," 500B","Mobile poll/Bureau itinérant",2,14,38,0,0,5,7,66,37
24040,"Laval--Les Îles/Laval--Les Îles"," 501","Mobile poll/Bureau itinérant",5,17,66,3,3,40,9,143,125
24040,"Laval--Les Îles/Laval--Les Îles"," 502","Mobile poll/Bureau itinérant",2,22,45,2,5,3,5,84,76
24040,"Laval--Les Îles/Laval--Les Îles"," 600","Laval",19,310,355,51,62,90,20,907,
24040,"Laval--Les Îles/Laval--Les Îles"," 601","Laval",16,384,370,48,67,91,14,990,
24040,"Laval--Les Îles/Laval--Les Îles"," 602","Laval",22,347,365,35,70,90,12,941,
24040,"Laval--Les Îles/Laval--Les Îles"," 603","Laval",15,291,357,39,79,107,18,906,
24040,"Laval--Les Îles/Laval--Les Îles"," 604","Laval",21,342,423,38,78,123,22,1047,
24040,"Laval--Les Îles/Laval--Les Îles"," 605","Laval",9,103,447,30,100,147,4,840,
24040,"Laval--Les Îles/Laval--Les Îles"," 606","Laval",10,62,244,23,41,89,7,476,
24040,"Laval--Les Îles/Laval--Les Îles"," 607","Laval",10,58,269,17,33,148,6,541,
24040,"Laval--Les Îles/Laval--Les Îles"," 608","Laval",5,17,308,24,35,157,10,556,
24040,"Laval--Les Îles/Laval--Les Îles"," 609","Laval",16,21,481,22,71,236,21,868,
24040,"Laval--Les Îles/Laval--Les Îles"," 610","Laval",15,271,481,18,39,125,21,970,
24040,"Laval--Les Îles/Laval--Les Îles"," 611","Laval",9,209,432,29,32,121,5,837,
24040,"Laval--Les Îles/Laval--Les Îles"," 612","Laval",11,157,381,31,46,127,10,763,
24040,"Laval--Les Îles/Laval--Les Îles"," 613","Laval",10,257,421,40,68,102,18,916,
24040,"Laval--Les Îles/Laval--Les Îles"," 614","Laval",19,316,464,66,74,162,9,1110,
24040,"Laval--Les Îles/Laval--Les Îles"," 615","Laval",17,350,510,72,113,129,21,1212,
24040,"Laval--Les Îles/Laval--Les Îles",,Group 1/Groupe 1, 2,5,48,5,5,10,5,80,92
24040,"Laval--Les Îles/Laval--Les Îles",,Group 2/Groupe 2, 13,213,1103,78,127,234,31,1799,
