Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Serge Cormier,Robert Kryszko,Martine Savoie,Daniel Thériault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13001,"Acadie--Bathurst/Acadie--Bathurst"," 503","Mobile poll/Bureau itinérant",26,0,7,2,3,38,48
13001,"Acadie--Bathurst/Acadie--Bathurst"," 504","Mobile poll/Bureau itinérant",93,5,9,9,7,123,165
13001,"Acadie--Bathurst/Acadie--Bathurst"," 505","Mobile poll/Bureau itinérant",33,3,16,2,6,60,83
13001,"Acadie--Bathurst/Acadie--Bathurst"," 506","Mobile poll/Bureau itinérant",44,4,15,6,1,70,98
13001,"Acadie--Bathurst/Acadie--Bathurst"," 507","Mobile poll/Bureau itinérant",49,4,6,1,0,60,79
13001,"Acadie--Bathurst/Acadie--Bathurst"," 508","Mobile poll/Bureau itinérant",42,7,9,4,2,64,90
13001,"Acadie--Bathurst/Acadie--Bathurst"," 509","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°142B,,,,,,53
13001,"Acadie--Bathurst/Acadie--Bathurst"," 510","Mobile poll/Bureau itinérant",47,3,10,0,4,64,121
13001,"Acadie--Bathurst/Acadie--Bathurst"," 511","Mobile poll/Bureau itinérant",32,6,5,6,4,53,61
13001,"Acadie--Bathurst/Acadie--Bathurst"," 512","Mobile poll/Bureau itinérant",46,6,14,11,9,86,124
13001,"Acadie--Bathurst/Acadie--Bathurst"," 513","Mobile poll/Bureau itinérant",49,4,14,9,0,76,121
13001,"Acadie--Bathurst/Acadie--Bathurst"," 514","Mobile poll/Bureau itinérant",55,7,19,8,5,94,115
13001,"Acadie--Bathurst/Acadie--Bathurst"," 515","Mobile poll/Bureau itinérant",33,7,10,7,2,59,77
13001,"Acadie--Bathurst/Acadie--Bathurst"," 516","Mobile poll/Bureau itinérant",44,8,7,6,3,68,91
13001,"Acadie--Bathurst/Acadie--Bathurst"," 517","Mobile poll/Bureau itinérant",103,13,26,6,5,153,202
13001,"Acadie--Bathurst/Acadie--Bathurst"," 518","Mobile poll/Bureau itinérant",58,14,17,20,3,112,163
13001,"Acadie--Bathurst/Acadie--Bathurst"," 600","Belledune",118,52,96,75,5,346,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 601","Petit-Rocher",180,43,36,38,2,299,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 602","Petit-Rocher",512,74,81,96,11,774,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 603","Robertville",403,75,100,79,2,659,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 604","Beresford",322,58,84,62,3,529,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 605","Beresford",361,52,83,67,0,563,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 606","Nipisiguit",231,78,147,57,3,516,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 607","Bathurst",535,156,305,143,8,1147,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 608","Bathurst",683,110,288,166,13,1260,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 609","Bathurst",53,18,53,12,1,137,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 610","Allardville",211,39,51,54,3,358,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 611","Tracadie-Sheila",327,39,73,56,6,501,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 612","Tracadie-Sheila",280,43,112,66,7,508,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 613","Tracadie-Sheila",656,58,219,128,21,1082,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 614","Paquetville",175,27,65,64,3,334,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 615","St. Isidore",349,33,75,78,6,541,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 616","Paquetville",481,56,117,157,20,831,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 617","Grande Anse",333,40,63,72,8,516,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 618","Caraquet",787,67,83,124,4,1065,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 619","Caraquet",416,38,96,64,12,626,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 620","Shippagan",593,32,348,111,28,1112,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 621","Lamèque",394,28,173,63,10,668,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 622","Lamèque",237,17,134,36,18,442,
13001,"Acadie--Bathurst/Acadie--Bathurst",,Group 1/Groupe 1, 28,6,8,9,1,52,56
13001,"Acadie--Bathurst/Acadie--Bathurst",,Group 2/Groupe 2, 1108,242,373,197,35,1955,
