Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ron Broda,David Busch,Elizabeth May,Sabina Singh,Ryan Windsor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 108","Brentwood Bay",9,38,147,38,53,0,285,565
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 109","Central Saanich",4,31,115,25,32,0,207,418
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 110","Brentwood Bay",1,29,84,24,37,0,175,401
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 111","Keating",4,58,109,51,55,0,277,566
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 112","Keating",6,57,135,33,59,0,290,503
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 113","Keating",6,69,123,44,48,1,291,502
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 114","Keating",2,53,108,32,56,4,255,463
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 115","Keating",1,62,71,24,41,0,199,461
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 116","Keating",8,64,98,44,56,1,271,489
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 117","Central Saanich",3,53,93,48,48,0,245,498
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 118","East Saanich 2",1,73,80,22,36,0,212,465
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 119","Cordova Bay",0,57,97,35,57,0,246,524
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 120","Cordova Bay",2,53,84,12,45,0,196,410
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 121","Cordova Bay",1,62,87,13,56,1,220,491
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 122","Cordova Bay",2,42,76,19,54,1,194,427
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 123","Cordova Bay",3,77,106,24,41,2,253,529
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 124","Cordova Bay",3,52,91,32,57,0,235,485
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 125","Cordova Bay",1,63,96,49,41,0,250,491
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 126","Cordova Bay",5,75,96,29,57,0,262,504
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 127","Saanich",2,76,95,29,57,0,259,526
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 128","Cordova Bay",5,48,101,29,45,0,228,446
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 129","Saanich",2,72,93,28,44,1,240,528
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 130","Saanich",0,47,51,17,43,1,159,407
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 131","Saanich",0,61,71,25,44,0,201,519
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 132","Saanich",1,55,57,20,41,0,174,434
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 133","Saanich",2,44,96,49,45,0,236,444
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 134","Saanich",6,64,103,31,62,0,266,510
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 135","Lake Hill",1,76,63,9,20,0,169,344
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 136","Cordova Bay",3,52,58,16,32,0,161,430
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 137","Cordova Bay",4,52,92,34,36,2,220,459
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 138","Cordova Bay",1,48,59,9,28,2,147,333
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 139","Saanich",2,48,54,25,47,0,176,437
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 140","Saanich",1,38,69,15,48,0,171,350
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 141","Gordon Head",1,28,75,36,28,3,171,447
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 142","Saanich",0,47,99,23,62,0,231,541
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 143","Saanich",2,61,62,26,47,0,198,397
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 144","Saanich",3,82,74,17,60,0,236,502
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 145","Saanich",2,62,84,42,55,0,245,528
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 146","Gordon Head",2,26,71,22,34,0,155,390
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 147","Gordon Head",3,39,87,24,32,2,187,440
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 148","Saanich",0,26,101,46,50,1,224,475
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 149","Gordon Head",3,21,69,29,36,1,159,422
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 150","Saanich",9,41,91,26,34,1,202,437
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 151","Saanich",3,19,80,39,46,1,188,416
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 152","Gordon Head",3,48,77,56,38,1,223,464
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 153","Saanich",0,43,107,32,38,1,221,474
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 154","Saanich",2,44,57,37,45,0,185,459
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 155","Saanich",0,30,61,24,19,0,134,445
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 156","Saanich",3,35,63,27,26,0,154,434
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 157","Saanich",1,34,62,19,34,1,151,324
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 158","Saanich",2,38,77,46,34,0,197,418
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 159","Saanich",4,32,70,29,45,2,182,390
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 160","Saanich",1,27,54,36,24,0,142,357
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 161","Gordon Head",0,51,71,15,33,0,170,366
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 162","Gordon Head",3,51,99,15,25,2,195,435
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 163","Capital G",3,45,71,26,47,0,192,471
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 164","Saanich",1,28,48,37,30,0,144,384
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 165","Saanich",3,33,89,22,30,0,177,403
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 166","Gordon Head",1,27,81,24,40,0,173,379
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 167","Saanich",1,46,82,32,43,1,205,445
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 168","Saanich",5,30,80,38,30,0,183,411
