Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Abra Brynne,Robin Goldsbury,Trev Miller,Rob Morrison,Wayne Stetski,Rick Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59015,"Kootenay--Columbia/Kootenay--Columbia"," 156","Salmo",43,21,0,51,50,11,0,176,398
59015,"Kootenay--Columbia/Kootenay--Columbia"," 157","Fort Steele",4,7,1,72,28,3,0,115,203
59015,"Kootenay--Columbia/Kootenay--Columbia"," 158","Cranbrook",7,18,0,117,51,3,0,196,489
59015,"Kootenay--Columbia/Kootenay--Columbia"," 159A","Cranbrook",6,30,0,73,41,0,0,150,427
59015,"Kootenay--Columbia/Kootenay--Columbia"," 159B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505,,,,,,,,25
59015,"Kootenay--Columbia/Kootenay--Columbia"," 160","Cranbrook",9,18,0,80,45,5,3,160,452
59015,"Kootenay--Columbia/Kootenay--Columbia"," 161","Cranbrook",10,12,5,79,40,5,1,152,403
59015,"Kootenay--Columbia/Kootenay--Columbia"," 162","Cranbrook",10,12,2,52,36,3,3,118,385
59015,"Kootenay--Columbia/Kootenay--Columbia"," 163","Cranbrook",8,12,2,76,49,4,1,152,372
59015,"Kootenay--Columbia/Kootenay--Columbia"," 164","Cranbrook",15,26,1,81,48,7,1,179,461
59015,"Kootenay--Columbia/Kootenay--Columbia"," 165","West Creston",22,13,2,127,54,10,0,228,459
59015,"Kootenay--Columbia/Kootenay--Columbia"," 166","Cranbrook",15,20,4,71,53,8,2,173,407
59015,"Kootenay--Columbia/Kootenay--Columbia"," 167","Cranbrook",12,13,2,87,60,6,1,181,389
59015,"Kootenay--Columbia/Kootenay--Columbia"," 168","Cranbrook",14,23,2,85,58,4,0,186,425
59015,"Kootenay--Columbia/Kootenay--Columbia"," 169","Cranbrook",15,9,0,123,40,3,0,190,424
59015,"Kootenay--Columbia/Kootenay--Columbia"," 170","Cranbrook",9,11,1,88,59,0,0,168,404
59015,"Kootenay--Columbia/Kootenay--Columbia"," 171","Cranbrook",14,22,2,96,71,4,0,209,472
59015,"Kootenay--Columbia/Kootenay--Columbia"," 172","Cranbrook",8,20,1,134,74,4,3,244,471
59015,"Kootenay--Columbia/Kootenay--Columbia"," 173","Cranbrook",7,12,0,95,55,8,0,177,429
59015,"Kootenay--Columbia/Kootenay--Columbia"," 174","Cranbrook",12,22,1,79,49,5,1,169,363
59015,"Kootenay--Columbia/Kootenay--Columbia"," 175","Cranbrook",3,21,2,127,48,1,1,203,484
59015,"Kootenay--Columbia/Kootenay--Columbia"," 176","Cranbrook",9,14,1,134,52,4,3,217,450
59015,"Kootenay--Columbia/Kootenay--Columbia"," 177","Cranbrook",7,20,0,94,54,2,1,178,423
59015,"Kootenay--Columbia/Kootenay--Columbia"," 178","Cranbrook",15,18,0,110,70,2,2,217,524
59015,"Kootenay--Columbia/Kootenay--Columbia"," 179","Cranbrook",9,16,2,152,57,4,1,241,493
59015,"Kootenay--Columbia/Kootenay--Columbia"," 180","Cranbrook",4,20,0,158,73,3,0,258,538
59015,"Kootenay--Columbia/Kootenay--Columbia"," 181","Cranbrook",8,14,0,115,67,2,0,206,390
59015,"Kootenay--Columbia/Kootenay--Columbia"," 182","Cranbrook",12,28,1,105,46,3,0,195,438
59015,"Kootenay--Columbia/Kootenay--Columbia"," 183","Cranbrook",14,20,1,131,58,2,0,226,493
59015,"Kootenay--Columbia/Kootenay--Columbia"," 184","Cranbrook",14,23,3,155,64,2,0,261,529
59015,"Kootenay--Columbia/Kootenay--Columbia"," 185","Cranbrook",10,15,0,128,49,1,0,203,491
59015,"Kootenay--Columbia/Kootenay--Columbia"," 186","Gold Creek Southwest",9,7,0,105,32,3,0,156,331
59015,"Kootenay--Columbia/Kootenay--Columbia"," 187","Gold Creek Northeast",8,11,0,74,22,1,0,116,296
59015,"Kootenay--Columbia/Kootenay--Columbia"," 188","Silver Creek--Hidden Valley",12,16,1,136,24,2,0,191,413
59015,"Kootenay--Columbia/Kootenay--Columbia"," 189","Arrow Creek",12,5,1,135,44,12,1,210,479
59015,"Kootenay--Columbia/Kootenay--Columbia"," 190","Creston",13,14,1,113,44,4,0,189,506
59015,"Kootenay--Columbia/Kootenay--Columbia"," 191","Creston",8,23,1,109,58,4,0,203,488
59015,"Kootenay--Columbia/Kootenay--Columbia"," 192","Erickson",10,18,0,94,45,11,0,178,444
59015,"Kootenay--Columbia/Kootenay--Columbia"," 193","Creston",20,17,3,105,70,7,0,222,520
59015,"Kootenay--Columbia/Kootenay--Columbia"," 194","Creston",17,16,0,85,52,3,0,173,491
59015,"Kootenay--Columbia/Kootenay--Columbia"," 195","Creston",12,21,0,94,65,8,1,201,485
59015,"Kootenay--Columbia/Kootenay--Columbia"," 196","Creston",32,25,2,104,66,8,0,237,526
59015,"Kootenay--Columbia/Kootenay--Columbia"," 197","Creston",12,15,0,97,49,7,1,181,524
59015,"Kootenay--Columbia/Kootenay--Columbia"," 198","Creston",14,23,0,104,63,3,0,207,501
59015,"Kootenay--Columbia/Kootenay--Columbia"," 199","Erickson",10,18,0,134,47,0,2,211,458
59015,"Kootenay--Columbia/Kootenay--Columbia"," 200","Goatfell",19,24,1,104,41,14,0,203,485
59015,"Kootenay--Columbia/Kootenay--Columbia"," 201","Erickson",15,15,0,114,41,5,0,190,441
59015,"Kootenay--Columbia/Kootenay--Columbia"," 202","Wynndel",11,18,0,89,40,6,2,166,266
59015,"Kootenay--Columbia/Kootenay--Columbia"," 203","Wynndel",22,13,0,131,50,11,4,231,416
59015,"Kootenay--Columbia/Kootenay--Columbia"," 204","Creston Area C",25,10,3,152,44,8,0,242,503
59015,"Kootenay--Columbia/Kootenay--Columbia"," 205","Wardner",13,14,0,146,43,4,2,222,398
59015,"Kootenay--Columbia/Kootenay--Columbia"," 206","Fernie",22,38,2,129,71,0,3,265,520
59015,"Kootenay--Columbia/Kootenay--Columbia"," 207","Fernie",24,21,1,96,78,5,0,225,411
59015,"Kootenay--Columbia/Kootenay--Columbia"," 208","Fernie",19,33,1,76,93,5,2,229,439
59015,"Kootenay--Columbia/Kootenay--Columbia"," 209","West Fernie",20,16,2,89,79,3,0,209,415
59015,"Kootenay--Columbia/Kootenay--Columbia"," 210","Fernie",20,28,0,50,86,2,2,188,387
59015,"Kootenay--Columbia/Kootenay--Columbia"," 211A","Fernie",17,24,0,84,71,4,1,201,441
59015,"Kootenay--Columbia/Kootenay--Columbia"," 211B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°506,,,,,,,,2
59015,"Kootenay--Columbia/Kootenay--Columbia"," 212","Fernie",22,27,1,73,86,1,0,210,409
59015,"Kootenay--Columbia/Kootenay--Columbia"," 213","Fernie",18,30,1,64,89,3,0,205,383
59015,"Kootenay--Columbia/Kootenay--Columbia"," 214","Fernie",23,30,2,75,90,4,0,224,416
59015,"Kootenay--Columbia/Kootenay--Columbia"," 215","Hosmer",15,16,4,124,59,7,1,226,402
59015,"Kootenay--Columbia/Kootenay--Columbia"," 216","Fernie Ski Hill--Cokato",11,15,4,130,75,4,1,240,458
59015,"Kootenay--Columbia/Kootenay--Columbia"," 217","Fernie",20,27,0,90,87,1,1,226,431
59015,"Kootenay--Columbia/Kootenay--Columbia"," 218","Fernie Ski Hill--Cokato",9,23,3,95,73,1,0,204,399
59015,"Kootenay--Columbia/Kootenay--Columbia"," 219","Moyie",12,15,0,104,46,5,0,182,334
59015,"Kootenay--Columbia/Kootenay--Columbia"," 220","Galloway",7,14,2,122,21,3,0,169,366
59015,"Kootenay--Columbia/Kootenay--Columbia"," 221","Jaffray",9,7,3,136,16,4,0,175,396
59015,"Kootenay--Columbia/Kootenay--Columbia"," 222","Creston Area C",13,8,1,83,32,3,0,140,299
59015,"Kootenay--Columbia/Kootenay--Columbia"," 223","Lister",13,12,0,70,37,2,0,134,299
59015,"Kootenay--Columbia/Kootenay--Columbia"," 224","Canyon",25,19,3,181,52,13,2,295,516
59015,"Kootenay--Columbia/Kootenay--Columbia"," 225","Lister",25,14,3,179,34,11,2,268,564
59015,"Kootenay--Columbia/Kootenay--Columbia"," 226","Yahk",10,18,0,146,38,7,1,220,361
59015,"Kootenay--Columbia/Kootenay--Columbia"," 227","Elko",9,13,0,105,12,5,0,144,292
59015,"Kootenay--Columbia/Kootenay--Columbia"," 228","Baynes Lake",6,19,0,166,34,2,1,228,365
59015,"Kootenay--Columbia/Kootenay--Columbia"," 229","Grasmere",5,11,1,82,48,2,0,149,223
59015,"Kootenay--Columbia/Kootenay--Columbia"," 500A","Mobile poll/Bureau itinérant",6,18,1,10,17,2,0,54,69
59015,"Kootenay--Columbia/Kootenay--Columbia"," 500B","Revelstoke",Merged with No./Fusionné avec le n°20,,,,,,,,31
59015,"Kootenay--Columbia/Kootenay--Columbia"," 501","Mobile poll/Bureau itinérant",5,16,1,36,14,0,4,76,116
