Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sanjay Bhatia,Andrew Cash,Francesco Ciardullo,Hannah Conover-Arthurs,Julie Dzerowicz,Chai Kalevar,Elizabeth Rowley,Troy Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35018,"Davenport/Davenport"," 38","Toronto",12,100,2,15,110,0,1,1,1,242,430
35018,"Davenport/Davenport"," 39","Toronto",22,138,3,17,103,1,1,0,4,289,450
35018,"Davenport/Davenport"," 40","Toronto",23,138,2,10,128,0,0,1,0,302,482
35018,"Davenport/Davenport"," 41","York",18,70,3,16,92,0,3,0,0,202,545
35018,"Davenport/Davenport"," 42","Toronto",38,51,3,3,100,0,0,0,2,197,516
35018,"Davenport/Davenport"," 43","Toronto",27,70,2,9,108,1,0,1,1,219,494
35018,"Davenport/Davenport"," 44","Toronto",27,48,0,6,82,0,0,0,0,163,482
35018,"Davenport/Davenport"," 45","Toronto",9,88,1,14,78,0,1,0,0,191,505
35018,"Davenport/Davenport"," 46","Toronto",23,108,3,10,132,1,0,1,0,278,473
35018,"Davenport/Davenport"," 47","Toronto",26,81,9,7,119,0,0,1,1,244,439
35018,"Davenport/Davenport"," 48","Toronto",23,84,1,11,109,0,0,0,2,230,429
35018,"Davenport/Davenport"," 49","Toronto",17,106,5,14,127,1,1,0,2,273,455
35018,"Davenport/Davenport"," 50","Toronto",35,77,0,17,125,0,0,1,3,258,465
35018,"Davenport/Davenport"," 51","Toronto",25,74,6,2,125,0,0,0,2,234,497
35018,"Davenport/Davenport"," 52","Toronto",20,86,2,18,114,0,0,0,1,241,477
35018,"Davenport/Davenport"," 53","Toronto",15,97,1,12,100,0,1,0,2,228,460
35018,"Davenport/Davenport"," 54","Toronto",12,76,3,6,66,0,0,0,1,164,463
35018,"Davenport/Davenport"," 55","Toronto",18,115,2,10,147,0,0,0,0,292,560
35018,"Davenport/Davenport"," 56","Toronto",27,59,0,8,109,2,0,1,3,209,511
35018,"Davenport/Davenport"," 57","Toronto",20,63,2,8,88,1,2,0,2,186,496
35018,"Davenport/Davenport"," 58","Toronto",25,51,0,3,87,3,0,0,4,173,459
35018,"Davenport/Davenport"," 59","Toronto",26,73,3,6,93,0,0,1,0,202,513
35018,"Davenport/Davenport"," 60","Toronto",35,95,2,11,133,0,0,0,0,276,542
35018,"Davenport/Davenport"," 61","Toronto",24,86,5,11,88,0,0,0,3,217,493
35018,"Davenport/Davenport"," 62","Toronto",22,83,2,8,73,1,0,0,0,189,477
35018,"Davenport/Davenport"," 63","Toronto",32,90,2,9,110,0,0,3,0,246,507
35018,"Davenport/Davenport"," 64","Toronto",25,75,4,5,113,0,1,0,2,225,473
35018,"Davenport/Davenport"," 65","Toronto",22,89,1,4,132,0,0,0,0,248,541
35018,"Davenport/Davenport"," 66","Toronto",26,83,0,5,120,0,0,0,0,234,515
35018,"Davenport/Davenport"," 67","Toronto",38,79,1,10,105,0,0,1,2,236,511
35018,"Davenport/Davenport"," 68","Toronto",29,59,3,9,97,0,2,1,1,201,477
35018,"Davenport/Davenport"," 69","Toronto",5,39,3,10,112,2,0,2,2,175,311
35018,"Davenport/Davenport"," 70","Toronto",17,90,0,16,82,0,2,0,2,209,458
35018,"Davenport/Davenport"," 71","Toronto",15,114,2,14,108,0,1,0,1,255,502
35018,"Davenport/Davenport"," 72","Toronto",29,116,1,7,100,0,0,0,0,253,447
35018,"Davenport/Davenport"," 73","Toronto",24,90,1,12,87,0,3,0,1,218,447
35018,"Davenport/Davenport"," 74","Toronto",18,94,2,11,88,0,2,0,0,215,482
35018,"Davenport/Davenport"," 75","Toronto",28,137,2,10,91,0,1,2,0,271,486
35018,"Davenport/Davenport"," 76","Toronto",11,106,3,17,112,0,1,0,1,251,474
35018,"Davenport/Davenport"," 77","Toronto",15,107,3,13,69,0,1,0,1,209,428
35018,"Davenport/Davenport"," 78","Toronto",32,92,1,5,105,0,1,0,2,238,490
35018,"Davenport/Davenport"," 79","Toronto",24,75,3,11,120,0,0,0,0,233,499
35018,"Davenport/Davenport"," 80","Toronto",12,102,1,16,106,0,0,1,7,245,487
35018,"Davenport/Davenport"," 81","Toronto",23,93,3,12,81,0,0,0,2,214,458
35018,"Davenport/Davenport"," 82","Toronto",31,69,6,3,150,1,2,1,3,266,546
35018,"Davenport/Davenport"," 83","Toronto",18,107,0,8,92,0,0,0,1,226,534
35018,"Davenport/Davenport"," 84","Toronto",14,54,6,6,74,0,0,6,1,161,515
35018,"Davenport/Davenport"," 85","Toronto",18,104,0,10,78,0,0,1,1,212,499
35018,"Davenport/Davenport"," 86","Toronto",23,89,5,6,66,0,1,2,0,192,484
35018,"Davenport/Davenport"," 87","Toronto",17,88,1,6,86,0,0,0,1,199,506
35018,"Davenport/Davenport"," 88","Toronto",26,70,0,11,86,0,1,0,3,197,465
35018,"Davenport/Davenport"," 89","Toronto",16,61,1,9,88,0,0,2,3,180,454
35018,"Davenport/Davenport"," 90","Toronto",27,101,1,4,85,2,0,0,5,225,556
35018,"Davenport/Davenport"," 91","Toronto",18,147,1,10,76,0,1,1,2,256,446
35018,"Davenport/Davenport"," 92","Toronto",12,93,2,9,93,0,0,0,5,214,454
35018,"Davenport/Davenport"," 93","Toronto",29,92,1,7,93,0,0,0,3,225,472
35018,"Davenport/Davenport"," 94","Toronto",23,99,3,11,128,0,2,0,2,268,473
35018,"Davenport/Davenport"," 95","Toronto",8,84,0,13,78,0,0,1,0,184,424
35018,"Davenport/Davenport"," 96A","Toronto",17,95,6,7,61,0,0,0,2,188,398
35018,"Davenport/Davenport"," 96B","Toronto",Merged with No./Fusionné avec le n°97,,,,,,,,,,119
35018,"Davenport/Davenport"," 97","Toronto",17,74,1,6,74,0,0,0,1,173,344
35018,"Davenport/Davenport"," 98","Toronto",7,69,0,4,84,0,0,0,0,164,322
35018,"Davenport/Davenport"," 99","Toronto",13,77,2,7,61,0,0,0,0,160,291
35018,"Davenport/Davenport"," 100","Toronto",24,89,1,10,101,0,1,1,1,228,464
35018,"Davenport/Davenport"," 101","Toronto",24,129,1,12,88,0,1,0,3,258,474
35018,"Davenport/Davenport"," 102","Toronto",19,74,1,8,95,0,1,2,0,200,449
35018,"Davenport/Davenport"," 103","Toronto",11,135,1,12,73,0,0,0,2,234,484
35018,"Davenport/Davenport"," 104","Toronto",15,107,3,23,105,1,0,0,0,254,459
35018,"Davenport/Davenport"," 105","Toronto",16,130,3,8,118,0,0,0,1,276,502
35018,"Davenport/Davenport"," 106","Toronto",22,101,5,16,103,0,0,0,1,248,570
35018,"Davenport/Davenport"," 107","Toronto",36,121,5,5,105,0,0,1,2,275,474
35018,"Davenport/Davenport"," 108","Toronto",23,99,2,13,110,0,1,0,0,248,469
35018,"Davenport/Davenport"," 109","Toronto",17,98,1,11,108,0,0,0,2,237,503
35018,"Davenport/Davenport"," 110","Toronto",23,97,0,14,100,0,0,0,6,240,521
35018,"Davenport/Davenport"," 111","Toronto",14,92,0,8,80,0,1,0,4,199,437
35018,"Davenport/Davenport"," 112","Toronto",16,118,5,7,93,0,2,1,2,244,450
35018,"Davenport/Davenport"," 113","Toronto",18,130,1,14,120,0,0,0,0,283,562
35018,"Davenport/Davenport"," 114","Toronto",31,110,5,8,157,0,1,1,0,313,529
35018,"Davenport/Davenport"," 115","Toronto",28,116,5,17,109,0,1,0,0,276,531
35018,"Davenport/Davenport"," 116","Toronto",8,19,1,6,40,0,1,0,0,75,104
35018,"Davenport/Davenport"," 117","Toronto",13,130,2,9,114,0,1,0,3,272,498
35018,"Davenport/Davenport"," 118","Toronto",14,151,2,10,99,0,0,0,3,279,446
35018,"Davenport/Davenport"," 119","Toronto",20,109,0,16,109,0,1,0,2,257,483
35018,"Davenport/Davenport"," 120","Toronto",16,162,2,6,88,0,0,0,2,276,482
35018,"Davenport/Davenport"," 121","Toronto",23,25,5,5,126,3,3,1,11,202,354
35018,"Davenport/Davenport"," 122","Toronto",18,119,5,13,122,1,0,0,2,280,465
35018,"Davenport/Davenport"," 123","Toronto",12,138,4,15,80,0,0,0,0,249,416
35018,"Davenport/Davenport"," 124","Toronto",18,120,3,13,105,0,0,0,0,259,466
35018,"Davenport/Davenport"," 125","Toronto",24,127,2,14,87,0,1,0,1,256,451
35018,"Davenport/Davenport"," 126","Toronto",27,84,2,14,63,0,0,0,1,191,363
35018,"Davenport/Davenport"," 127","Toronto",18,102,0,22,117,1,2,0,0,262,485
35018,"Davenport/Davenport"," 128","Toronto",9,109,1,15,117,0,2,1,0,254,467
35018,"Davenport/Davenport"," 129","Toronto",20,125,1,14,73,1,1,0,1,236,462
35018,"Davenport/Davenport"," 130","Toronto",15,107,3,18,115,0,0,0,4,262,481
35018,"Davenport/Davenport"," 131","Toronto",27,81,1,8,90,0,0,0,0,207,503
35018,"Davenport/Davenport"," 132","Toronto",14,93,3,9,97,0,2,1,3,222,492
35018,"Davenport/Davenport"," 133","Toronto",16,72,5,3,116,1,0,0,3,216,516
35018,"Davenport/Davenport"," 134","Toronto",3,110,6,5,69,0,1,0,0,194,414
35018,"Davenport/Davenport"," 135","Toronto",14,76,2,9,95,0,0,0,2,198,420
35018,"Davenport/Davenport"," 136","Toronto",13,124,1,14,83,0,1,0,1,237,454
35018,"Davenport/Davenport"," 137","Toronto",13,80,0,8,78,1,0,0,0,180,471
35018,"Davenport/Davenport"," 138","Toronto",18,99,2,4,126,2,0,1,3,255,592
35018,"Davenport/Davenport"," 139","Toronto",25,124,3,8,90,0,1,1,3,255,488
35018,"Davenport/Davenport"," 140","Toronto",26,110,3,15,125,0,0,0,4,283,475
35018,"Davenport/Davenport"," 141","Toronto",18,111,4,13,65,0,1,0,1,213,440
35018,"Davenport/Davenport"," 142","Toronto",19,101,5,10,85,1,0,0,2,223,433
35018,"Davenport/Davenport"," 143","Toronto",23,122,6,17,87,0,1,0,0,256,491
35018,"Davenport/Davenport"," 144","Toronto",18,102,5,10,93,0,2,0,2,232,467
35018,"Davenport/Davenport"," 145","Toronto",16,86,0,9,72,0,0,0,1,184,446
35018,"Davenport/Davenport"," 146","Toronto",32,86,4,11,115,1,0,1,2,252,483
35018,"Davenport/Davenport"," 147","Toronto",21,99,2,11,105,0,0,1,3,242,509
35018,"Davenport/Davenport"," 148","Toronto",11,70,1,5,105,0,0,0,2,194,502
35018,"Davenport/Davenport"," 149","Toronto",32,101,1,9,124,0,2,1,1,271,511
35018,"Davenport/Davenport"," 150","Toronto",16,114,3,11,94,0,2,2,1,243,466
35018,"Davenport/Davenport"," 151","Toronto",23,105,3,8,112,0,3,0,5,259,478
35018,"Davenport/Davenport"," 152","Toronto",16,130,0,18,93,1,0,0,2,260,460
35018,"Davenport/Davenport"," 153","Toronto",11,129,0,11,77,0,1,0,1,230,459
35018,"Davenport/Davenport"," 154","Toronto",15,103,3,10,84,0,0,0,3,218,480
35018,"Davenport/Davenport"," 155","Toronto",14,82,0,8,71,2,0,0,2,179,421
35018,"Davenport/Davenport"," 156","Toronto",15,96,1,21,103,0,0,1,3,240,450
35018,"Davenport/Davenport"," 157","Toronto",21,64,2,11,107,0,1,0,2,208,486
35018,"Davenport/Davenport"," 158","Toronto",9,99,0,14,85,0,0,1,0,208,443
35018,"Davenport/Davenport"," 159","Toronto",22,72,1,13,126,1,2,0,0,237,468
35018,"Davenport/Davenport"," 160","Toronto",10,82,1,9,79,0,0,0,1,182,358
35018,"Davenport/Davenport"," 161","Toronto",30,94,0,12,188,1,1,0,2,328,502
35018,"Davenport/Davenport"," 162","Toronto",15,52,1,8,97,0,0,0,1,174,312
35018,"Davenport/Davenport"," 163","Toronto",25,167,3,17,146,1,1,0,2,362,548
35018,"Davenport/Davenport"," 164","Toronto",28,103,2,9,143,0,0,0,1,286,458
35018,"Davenport/Davenport"," 165","Toronto",20,65,1,10,121,0,0,0,0,217,397
35018,"Davenport/Davenport"," 166","Toronto",34,95,2,20,153,0,0,0,1,305,459
35018,"Davenport/Davenport"," 167","Toronto",Void/Supprimé,,,,,,,,,,
35018,"Davenport/Davenport"," 168","Toronto",6,71,0,10,53,0,0,0,2,142,300
35018,"Davenport/Davenport"," 169","Toronto",27,152,0,21,230,0,0,0,0,430,632
35018,"Davenport/Davenport"," 400","Toronto",18,97,3,7,119,0,0,0,0,244,401
35018,"Davenport/Davenport"," 401","Toronto",17,90,2,1,83,0,0,0,0,193,346
35018,"Davenport/Davenport"," 402","Toronto",10,76,1,7,75,1,2,0,1,173,310
35018,"Davenport/Davenport"," 403","Toronto",13,71,0,9,73,1,1,0,0,168,319
35018,"Davenport/Davenport"," 404","Toronto",6,12,1,4,23,0,0,1,2,49,69
35018,"Davenport/Davenport"," 405","Toronto",4,7,3,3,29,0,1,1,4,52,78
35018,"Davenport/Davenport"," 406","Toronto",2,6,1,1,62,1,2,1,5,81,129
35018,"Davenport/Davenport"," 407A","Toronto",16,92,0,9,105,0,0,0,0,222,334
35018,"Davenport/Davenport"," 407B","Toronto",18,69,1,10,103,2,0,0,1,204,326
35018,"Davenport/Davenport"," 600","Toronto",127,182,6,21,382,2,3,1,15,739,
35018,"Davenport/Davenport"," 601","Toronto",31,229,3,22,223,2,4,0,0,514,
35018,"Davenport/Davenport"," 602","Toronto",40,220,4,26,205,0,0,0,3,498,
35018,"Davenport/Davenport"," 603","Toronto",59,181,5,19,271,3,0,0,1,539,
35018,"Davenport/Davenport"," 604","Toronto",103,369,7,39,344,0,2,1,10,875,
35018,"Davenport/Davenport"," 605","Toronto",57,282,10,27,268,0,0,0,4,648,
35018,"Davenport/Davenport"," 606","Toronto",85,501,9,50,338,1,1,1,3,989,
35018,"Davenport/Davenport"," 607","Toronto",93,521,5,51,382,0,2,3,14,1071,
35018,"Davenport/Davenport"," 608","Toronto",57,514,8,49,417,0,1,1,7,1054,
35018,"Davenport/Davenport"," 609","Toronto",34,342,3,40,181,0,0,1,0,601,
35018,"Davenport/Davenport"," 610","Toronto",64,453,4,30,249,1,5,1,5,812,
35018,"Davenport/Davenport"," 611","Toronto",36,429,8,34,244,1,1,1,4,758,
35018,"Davenport/Davenport"," 612","Toronto",41,364,1,22,196,0,3,0,0,627,
35018,"Davenport/Davenport"," 613","Toronto",42,401,4,38,264,0,4,0,1,754,
35018,"Davenport/Davenport"," 614","Toronto",43,327,3,48,263,0,0,0,0,684,
35018,"Davenport/Davenport",,Group 1/Groupe 1, 15,138,2,10,115,0,0,1,15,296,458
35018,"Davenport/Davenport",,Group 2/Groupe 2, 94,737,8,84,505,1,5,4,24,1462,
