Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Megan Aiken,Richard Bragdon,Dominic Guay,Kelsey MacDonald,Rowan P. Miller,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 79","Florenceville",12,79,3,54,29,0,177,347
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 80","Riverbank",7,75,2,23,26,0,133,274
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 81","Stickney",15,119,3,31,25,1,194,307
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 82","St. Marys",10,66,4,50,42,2,174,273
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 83","Durham Bridge",21,60,10,49,57,2,199,350
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 84","St. Marys",24,84,7,39,41,1,196,376
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 85","Carlisle",13,123,6,42,36,2,222,427
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 86","Brighton",8,93,1,23,19,2,146,304
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 87","Simonds",19,124,2,39,33,1,218,356
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 88","Penniac",25,83,16,62,45,5,236,364
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 89","St. Marys",19,50,6,32,39,1,147,272
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 90","Good Corner",17,106,7,31,26,1,188,323
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 91","Lakeville",21,119,1,38,29,2,210,361
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 92","Royal Road",30,118,13,57,56,1,275,462
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 93","Royal Road",18,69,5,49,36,0,177,340
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 94","McLeod Hill",21,98,10,40,51,0,220,371
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 95","McLeod Hill",32,88,4,62,37,0,223,355
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 96","Burtts Corner",11,93,3,16,20,2,145,312
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 97","Birdton",8,58,1,14,24,0,105,207
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 98","MacLean Settlement",15,75,9,28,29,2,158,332
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 99","Howland Ridge--Central Hainesville",9,77,2,25,16,0,129,261
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 100","Brewers Mills",9,121,5,13,15,1,164,345
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 101","Hartland",16,86,2,36,25,4,169,407
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 102","Hartland",6,79,3,28,28,1,145,299
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 103","Somerville",11,110,2,32,14,1,170,333
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 104","Lower Brighton",14,73,3,21,26,0,137,340
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 105","Nashwaak Village",23,107,5,63,56,1,255,544
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 106","Fredericton",27,92,6,72,57,1,255,551
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 107","Fredericton",33,91,4,105,78,1,312,681
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 108","Fredericton",22,72,2,62,46,0,204,484
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 109A","Fredericton",15,42,1,53,34,4,149,366
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 109B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,,37
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 110","Fredericton",24,54,1,49,37,0,165,399
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 111","Upper Stoneridge",9,78,6,11,20,3,127,334
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 112","Upper Keswick",18,86,6,10,24,0,144,332
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 113","Victoria Corner",10,147,3,30,10,2,202,383
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 114","Waterville",17,107,12,37,21,0,194,377
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 115","Nortondale",27,230,6,46,46,1,356,621
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 116","Lindsay",7,72,4,23,7,1,114,242
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 117","Lindsay",8,80,2,19,13,0,122,259
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 118","Douglas",31,114,9,74,51,1,280,399
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 119","Douglas",16,99,6,53,48,4,226,384
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 120","Douglas",31,94,10,66,56,0,257,414
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 121","Keswick",10,50,4,36,35,0,135,242
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 122","Northampton",26,122,13,24,23,0,208,358
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 123","Northampton",20,74,2,16,29,3,144,274
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 124","Jacksontown",8,79,3,13,19,0,122,304
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 125","Jacksonville",15,120,8,30,11,1,185,419
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 126","Bright",9,77,2,26,24,0,138,272
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 127","Bright",25,95,11,51,62,2,246,452
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 128","Tripp Settlement",22,86,2,42,46,2,200,408
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 129","McKeens Corner",7,60,6,33,21,0,127,246
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 130","Woodstock",18,73,1,40,18,0,150,396
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 131","Woodstock",28,106,10,58,28,3,233,475
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 132","Woodstock",27,112,5,63,31,0,238,530
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 133","Woodstock",26,60,4,56,19,1,166,373
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 134","Springfield",8,133,7,29,24,5,206,377
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 135","Woodstock",9,72,2,36,19,1,139,311
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 136","Woodstock",13,62,4,47,28,0,154,337
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 137","Woodstock",13,53,4,23,23,0,116,336
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 138","Scotch Settlement",18,119,10,43,39,1,230,402
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 139","Northampton",18,88,4,27,16,5,158,354
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 140","Northampton",12,173,4,26,25,0,240,418
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 141","Woodstock",23,60,5,29,32,4,153,434
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 142","Lower Woodstock",26,55,4,31,24,0,140,342
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 143","Woodstock",16,76,7,29,24,3,155,423
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 144","Lower Woodstock",10,80,7,32,22,6,157,397
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 145","Woodstock",6,35,0,17,21,1,80,176
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 146","Bedell Settlement",19,84,5,27,23,0,158,304
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 147","Bedell Settlement",13,84,4,22,16,0,139,276
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 148","Richmond",17,80,1,22,22,4,146,254
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 149","Richmond",7,129,8,28,30,2,204,358
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 150","Pinder",15,109,5,24,21,2,176,342
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 151","Temperance Vale",4,80,6,26,10,0,126,336
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 152","Woodstock",33,16,1,29,25,1,105,259
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 153","Bear Island",18,100,4,42,27,2,193,359
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 154","Nackawic",11,94,1,33,18,0,157,342
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 155","Nackawic",6,47,4,35,11,0,103,285
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 156","Rossville",15,86,1,26,16,1,145,325
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 157","Woodstock",19,97,9,30,32,1,188,420
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 158","Woodstock",16,145,0,40,26,1,228,403
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 159","Meductic",12,228,2,30,18,1,291,476
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 160","Canterbury",11,91,5,21,13,1,142,244
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 161","Canterbury",16,108,7,45,15,2,193,335
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 162","Fosterville",3,71,1,32,17,5,129,196
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 500","Mobile poll/Bureau itinérant",3,19,0,48,7,5,82,76
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 501A","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,47
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 501B","Grand Falls / Grand-Sault",Merged with No./Fusionné avec le n°25,,,,,,,8
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 502","Mobile poll/Bureau itinérant",2,32,1,19,3,6,63,128
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 503","Mobile poll/Bureau itinérant",1,17,1,10,4,0,33,39
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 504","Mobile poll/Bureau itinérant",1,26,1,16,3,1,48,71
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 505","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°506,,,,,,,52
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 506","Mobile poll/Bureau itinérant",2,50,1,25,3,1,82,83
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 600","Drummond",60,301,20,342,75,17,815,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 601","Plaster Rock",38,437,24,197,62,7,765,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 602","Grand Falls--Grand-Sault",80,353,36,644,80,22,1215,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 603","Perth-Andover",39,349,6,190,89,6,679,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 604","Bath",37,400,10,130,101,4,682,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 605","Florenceville",35,318,9,130,81,10,583,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 606","Hartland",32,296,13,95,63,3,502,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 607","Jacksonville",59,492,28,138,80,7,804,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 608","Woodstock",33,201,3,99,59,0,395,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 609","Woodstock",49,363,11,103,79,5,610,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 610","Nackawic",40,394,12,124,59,3,632,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 611","Upper Keswick",43,339,12,143,90,5,632,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 612","Upper Keswick",44,287,9,67,69,3,479,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 613","Fredericton",120,462,19,347,222,9,1179,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 614","Stanley",37,268,14,86,126,7,538,
13010,"Tobique--Mactaquac/Tobique--Mactaquac",,Group 1/Groupe 1, 5,22,2,33,12,2,76,76
13010,"Tobique--Mactaquac/Tobique--Mactaquac",,Group 2/Groupe 2, 86,657,20,434,215,30,1442,
