Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ping Chan,Kenny Chiu,Jaeden Dela Torre,Nicole Iaci,Joe Peschisolido,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 26","Richmond",1,38,41,7,71,3,161,458
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 27","Richmond",6,104,23,11,51,0,195,493
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 28","Richmond",0,81,31,2,57,6,177,465
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 29","Richmond",2,69,19,6,45,0,141,334
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 30","Richmond",3,94,32,8,53,3,193,551
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 31","Richmond",0,99,27,6,52,1,185,481
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 32","Richmond",1,92,13,2,43,0,151,396
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 33","Richmond",0,43,10,4,23,0,80,337
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 34","Richmond",1,25,7,4,25,0,62,294
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 35","Richmond",2,97,28,10,38,1,176,783
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 36","Richmond",2,66,24,11,42,2,147,455
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 37","Richmond",2,47,18,8,30,2,107,414
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 38","Richmond",7,87,30,11,70,7,212,619
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 39","Richmond",3,57,16,17,37,1,131,390
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 40","Richmond",5,59,40,11,48,2,165,462
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 41","Richmond",0,51,24,9,39,0,123,316
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 42","Richmond",3,47,17,3,41,0,111,350
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 43","Richmond",0,48,19,4,52,1,124,335
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 44","Richmond",1,69,18,7,33,2,130,465
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 45","Richmond",2,96,25,3,54,1,181,653
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 46","Richmond",1,47,15,4,36,1,104,318
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 47","Richmond",1,87,16,8,35,2,149,564
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 48","Richmond",2,93,15,6,41,0,157,469
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 49","Richmond",4,82,11,6,37,0,140,414
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 50","Richmond",5,114,23,13,41,1,197,526
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 51","Richmond",4,95,19,2,35,0,155,476
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 52","Richmond",5,155,21,5,62,2,250,670
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 53","Richmond",1,75,27,10,39,1,153,614
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 54","Richmond",4,32,18,6,31,2,93,277
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 55","Richmond",4,118,32,14,73,1,242,878
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 56","Richmond",1,99,25,7,54,2,188,629
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 57","Richmond",4,92,17,4,43,1,161,544
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 58","Richmond",1,60,23,17,57,1,159,474
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 59","Richmond",6,118,18,6,39,1,188,533
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 60","Richmond",5,57,13,8,41,0,124,404
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 61","Richmond",4,122,35,9,49,3,222,509
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 62","Richmond",5,144,27,7,57,2,242,619
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 63","Richmond",3,53,31,8,40,3,138,375
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 64","Richmond",3,71,31,6,50,4,165,457
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 65","Richmond",3,99,38,13,89,6,248,531
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 66","Richmond",6,95,30,12,60,2,205,513
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 67","Richmond",1,82,13,7,42,0,145,443
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 68","Richmond",2,59,23,12,51,1,148,417
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 69","Richmond",3,118,31,15,68,4,239,667
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 70","Richmond",1,73,15,9,36,4,138,366
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 71","Richmond",5,61,26,8,45,0,145,407
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 72","Richmond",1,49,27,5,34,5,121,335
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 73","Richmond",2,60,17,5,47,1,132,331
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 74","Richmond",0,48,21,7,34,0,110,309
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 75","Richmond",1,53,26,2,50,2,134,339
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 76","Richmond",1,71,25,4,54,4,159,503
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 77","Richmond",3,48,21,12,73,5,162,440
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 78","Richmond",4,101,20,5,46,0,176,491
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 79","Richmond",8,102,20,15,39,0,184,480
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 80","Richmond",2,58,12,7,32,0,111,425
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 81","Richmond",3,81,9,8,53,1,155,415
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 82","Richmond",3,95,13,3,23,1,138,425
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 83","Richmond",1,73,10,10,58,1,153,402
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 84","Richmond",2,86,14,7,55,5,169,401
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 85","Richmond",2,94,16,11,54,0,177,379
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 86","Richmond",2,78,9,6,56,0,151,389
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 87","Richmond",3,101,28,14,70,3,219,440
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 88","Richmond",0,80,30,24,83,2,219,382
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 89","Richmond",0,72,55,26,98,3,254,519
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 90","Richmond",1,56,26,22,77,0,182,354
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 91","Delta",0,39,47,40,81,1,208,391
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 92","Richmond",1,54,37,15,83,1,191,412
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 93","Richmond",0,59,23,21,73,5,181,382
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 94","Richmond",2,50,65,29,130,0,276,540
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 95","Richmond",0,54,17,9,41,0,121,419
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 96","Richmond",2,110,31,25,62,2,232,497
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 97","Richmond",0,60,28,5,57,0,150,432
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 98","Richmond",1,65,23,9,54,5,157,423
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 99","Richmond",1,103,30,10,47,3,194,573
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 100","Richmond",1,51,27,17,58,2,156,439
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 101","Richmond",1,50,33,12,73,0,169,422
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 102","Richmond",4,94,18,4,46,2,168,422
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 103","Richmond",2,56,31,7,39,1,136,448
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 104","Richmond",2,74,64,24,95,1,260,532
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 105","Richmond",0,65,32,8,60,1,166,371
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 106","Richmond",1,41,38,21,66,1,168,405
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 107","Richmond",0,62,23,27,65,1,178,380
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 108","Richmond",1,27,23,8,45,1,105,260
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 109","Richmond",3,90,32,21,92,1,239,573
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 110","Richmond",0,43,19,18,74,1,155,407
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 111","Richmond",1,53,16,14,63,0,147,318
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 112","Richmond",0,93,26,15,79,2,215,406
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 113","Burnaby",0,61,37,20,71,0,189,320
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 114","Richmond",2,132,46,12,94,2,288,506
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 115","Richmond",2,93,39,10,89,1,234,448
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 116","Richmond",1,102,45,9,96,1,254,479
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 117","Richmond",2,73,45,22,68,1,211,484
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 118","Richmond",2,68,43,16,80,1,210,375
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 119","Richmond",3,93,52,24,100,0,272,597
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 120","Richmond",5,106,56,24,84,1,276,514
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 121","Richmond",0,42,35,8,63,3,151,339
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 122","Richmond",1,60,32,14,71,1,179,452
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 123","Richmond",1,63,29,21,51,2,167,457
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 124","Richmond",2,58,36,14,60,3,173,408
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 125","Richmond",0,65,17,10,71,3,166,376
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 126","Richmond",2,71,25,11,54,3,166,409
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 127","Richmond",2,62,34,10,67,2,177,381
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 128","Richmond",2,68,25,9,58,0,162,406
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 129","Richmond",3,49,28,15,46,2,143,390
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 130","Richmond",2,52,21,13,72,0,160,381
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 131","Richmond",1,87,21,22,80,0,211,406
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 132","Richmond",1,63,23,6,58,0,151,290
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 133","Richmond",1,80,30,24,93,3,231,442
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 134","Richmond",1,108,45,26,123,1,304,593
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 135","Richmond",2,43,49,38,71,1,204,375
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 136","Richmond",0,60,28,30,86,0,204,389
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 137","Richmond",1,56,33,24,107,1,222,505
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 138","Richmond",1,99,49,32,128,2,311,662
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 139","Richmond",1,94,25,22,89,1,232,464
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 140","Richmond",1,93,27,20,100,3,244,439
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 141","Richmond",0,51,10,13,56,0,130,272
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 142","Richmond",0,91,26,25,93,3,238,440
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 143","Richmond",0,70,36,33,96,2,237,454
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 144","Richmond",2,67,26,27,61,2,185,434
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 145","Richmond",0,71,21,4,81,4,181,399
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 146","Richmond",1,75,24,14,72,1,187,367
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 147","Richmond",0,69,23,14,50,0,156,396
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 148","Richmond",1,54,37,19,100,2,213,473
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 149","Richmond",1,68,25,15,55,4,168,355
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 150","Richmond",1,71,39,15,89,0,215,461
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 151","Richmond",3,96,54,16,90,2,261,588
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 152","Richmond",2,72,45,16,89,0,224,487
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 153","Richmond",0,57,29,7,57,2,152,439
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 154","Richmond",2,61,61,9,77,2,212,445
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 155","Richmond",1,41,43,4,80,4,173,316
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 156","Richmond",1,61,22,10,71,0,165,326
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 157","Richmond",1,77,31,10,94,1,214,394
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 158","Richmond",2,95,30,15,50,2,194,415
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 159","Richmond",4,68,33,8,43,0,156,546
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 160","Richmond",0,72,28,13,42,1,156,450
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 161","Richmond",1,56,25,14,50,0,146,427
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 162","Richmond",3,81,32,21,63,2,202,491
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 163","Richmond",1,73,33,11,63,2,183,485
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 164","Richmond",3,65,35,23,66,1,193,543
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 165","Richmond",1,63,25,10,76,3,178,491
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 166","Richmond",2,75,28,13,47,0,165,440
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 500","Mobile poll/Bureau itinérant",1,10,2,2,12,1,28,41
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 501","Mobile poll/Bureau itinérant",2,33,12,10,49,3,109,134
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 502","Mobile poll/Bureau itinérant",4,24,6,5,9,1,49,69
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 600","Richmond",2,440,162,168,477,11,1260,
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 601","Richmond",4,496,124,155,437,5,1221,
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 602","Richmond",7,362,110,56,295,5,835,
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 603","Richmond",14,327,67,40,225,7,680,
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 604","Richmond",31,453,101,52,273,13,923,
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 605","Richmond",23,528,124,66,326,9,1076,
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 606","Richmond",9,572,80,34,307,7,1009,
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 607","Richmond",11,383,104,61,269,14,842,
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 608","Richmond",6,366,87,51,309,11,830,
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 609","Richmond",6,302,114,53,304,2,781,
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 610","Richmond",11,241,112,54,286,15,719,
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 611","Richmond",6,432,164,36,364,17,1019,
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 612","Richmond",4,195,42,30,153,1,425,
59031,"Steveston--Richmond East/Steveston--Richmond-Est",,Group 1/Groupe 1, 0,78,21,20,88,12,219,355
59031,"Steveston--Richmond East/Steveston--Richmond-Est",,Group 2/Groupe 2, 4,362,183,86,375,27,1037,
