Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Anju Dhillon,Fang Hu,Céline Laquerre,Réjean Malette,Lori Morrison,Arash Torbati,Jean-Frédéric Vaudry,Xavier Watso,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 200","Dorval",85,2,21,26,31,2,20,2,0,189,370
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 201","Dorval",88,2,21,17,31,6,18,0,1,184,355
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 202","Dorval",127,3,17,29,37,1,13,1,1,229,360
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 203","Dorval",140,0,27,25,24,6,27,0,0,249,449
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 400","LaSalle",144,4,14,5,8,5,51,0,5,236,198
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 401","LaSalle",28,0,20,2,8,3,10,0,0,71,182
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 500A","Mobile poll/Bureau itinérant",32,2,7,4,2,1,19,0,1,68,280
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 500B","Saint-Pierre",Merged with No./Fusionné avec le n°13,,,,,,,,,,65
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 501A","Mobile poll/Bureau itinérant",58,3,3,0,4,1,5,1,4,79,177
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 501B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503A,,,,,,,,,,81
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 502A","Mobile poll/Bureau itinérant",72,1,10,1,1,0,14,1,5,105,132
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 502B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503B,,,,,,,,,,67
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 503A","Mobile poll/Bureau itinérant",33,1,2,1,6,0,10,1,6,60,101
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 503B","Mobile poll/Bureau itinérant",88,1,11,2,4,0,18,1,11,136,233
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 504","Mobile poll/Bureau itinérant",77,1,7,4,3,1,8,0,7,108,224
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 600","Dorval",649,8,103,97,160,14,68,4,11,1114,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 601","Dorval",718,7,161,94,155,10,95,3,15,1258,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 602","Montréal",741,10,130,99,182,15,242,9,16,1444,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 603","Montréal",235,9,75,21,42,5,120,4,14,525,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 604","Montréal",553,13,119,43,72,9,204,3,17,1033,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 605","Montréal",391,2,72,17,53,2,75,0,10,622,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 606","Montréal",355,4,44,10,76,7,41,0,6,543,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 607","Montréal",211,6,60,28,41,9,186,2,12,555,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 608","Montréal",505,5,115,41,84,9,209,5,18,991,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 609","Dorval",632,9,137,97,128,14,133,3,12,1165,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 610","Montréal",433,5,65,54,89,6,192,3,9,856,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 611","Montréal",351,8,83,41,82,9,198,2,6,780,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 612","Montréal",231,8,69,49,56,5,234,3,23,678,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 613","Montréal",303,7,74,20,55,9,144,1,15,628,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 614","Montréal",383,9,70,16,65,6,90,0,6,645,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 615","Montréal",495,3,54,23,70,1,116,2,7,771,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 616","Montréal",287,9,72,39,58,3,202,3,19,692,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle",,Group 1/Groupe 1, 83,0,10,6,14,4,6,0,17,140,189
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle",,Group 2/Groupe 2, 542,1,102,106,166,13,157,4,45,1136,
