Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sonia Baudelot,Ali Faour,Emilio Migliozzi,Lizabel Nitoi,Elias Progakis,Yves Robillard,Bao Tran Le,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 46B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,,,65
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 47","Laval",18,25,2,136,1,85,21,8,296,552
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 48","Laval",20,27,1,119,0,81,19,10,277,520
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 49","Laval",25,19,2,89,0,68,15,2,220,441
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 50A","Laval",Merged with No./Fusionné avec le n°53,,,,,,,,,185
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 50B","Laval",Merged with No./Fusionné avec le n°56,,,,,,,,,73
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 50C","Laval",35,29,1,52,0,135,8,7,267,573
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 51","Laval",16,29,1,103,2,108,7,4,270,505
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 52","Laval",19,17,2,88,0,88,10,6,230,468
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 53","Laval",29,31,3,78,0,138,9,3,291,419
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 54","Laval",20,24,1,78,2,101,10,2,238,525
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 55","Laval",33,20,1,65,1,141,9,3,273,577
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 56","Laval",18,19,1,98,3,111,14,11,275,499
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 57","Laval",18,17,3,64,0,125,16,3,246,506
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 58A","Laval",22,27,2,94,1,125,13,2,286,529
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 58B","Laval",Merged with No./Fusionné avec le n°60,,,,,,,,,57
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 59","Laval",26,32,3,86,0,162,9,4,322,581
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 60","Laval",16,26,0,93,0,141,12,5,293,486
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 61","Laval",30,24,3,66,1,160,12,2,298,571
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 62","Laval",20,40,0,108,0,114,11,3,296,550
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 63","Laval",13,27,1,115,0,121,9,1,287,504
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 64","Laval",38,23,3,77,1,129,6,3,280,545
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 65","Laval",25,19,3,103,4,125,7,5,291,543
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 66","Laval",28,25,5,72,0,152,10,3,295,523
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 67","Laval",45,23,1,71,1,164,9,8,322,528
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 68","Laval",24,21,2,70,1,85,6,13,222,438
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 69","Laval",24,31,5,95,1,178,10,3,347,534
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 70","Laval",25,28,2,55,1,116,1,4,232,481
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 71","Laval",19,25,1,58,1,143,15,5,267,478
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 72","Laval",13,20,0,108,0,88,11,4,244,493
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 73","Laval",14,17,1,62,0,125,15,3,237,500
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 74","Laval",13,22,1,70,0,111,11,7,235,515
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 75","Laval",22,30,4,73,0,110,16,6,261,547
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 76","Laval",20,23,1,66,1,128,6,2,247,540
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 77","Laval",18,20,3,70,0,117,11,4,243,459
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 78","Laval",16,27,1,104,1,82,12,6,249,527
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 79","Laval",18,19,0,74,0,147,9,2,269,461
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 80","Laval",17,17,2,61,1,99,8,2,207,318
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 81","Laval",32,26,1,91,0,149,14,6,319,537
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 82","Laval",43,32,0,39,1,205,6,3,329,533
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 83","Laval",17,19,3,46,0,90,8,4,187,361
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 84","Laval",39,31,2,61,1,190,8,10,342,536
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 85","Laval",31,34,2,50,1,201,14,10,343,566
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 86","Laval",43,25,0,73,1,133,13,1,289,556
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 87","Laval",31,21,4,60,2,128,14,3,263,500
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 88","Laval",24,16,2,99,1,99,14,5,260,488
