Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Aline Bégin,Jacques Girard,Alain Guimond,Sébastien Lemire,Mario Provencher,Claude Thibault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 31","La Sarre",6,2,9,36,12,23,4,92,241
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 32","La Sarre",9,2,4,62,16,34,3,130,335
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 33","La Sarre",5,3,8,51,15,18,4,104,319
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 34","La Sarre",5,0,9,53,14,30,0,111,325
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 35A","La Sarre",4,0,11,74,28,22,8,147,353
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 35B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,,54
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 36","La Sarre",4,2,16,92,21,38,7,180,483
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 37","La Sarre",4,0,16,102,31,44,5,202,447
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 38","La Sarre",8,0,26,126,23,63,5,251,492
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 39","La Sarre",9,2,20,128,34,37,8,238,507
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 40","La Sarre",6,7,26,120,22,53,5,239,502
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 41","Champneuf",1,0,3,23,10,12,3,52,100
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 42","Dupuy",6,0,9,82,38,30,8,173,329
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 43","Dupuy",7,3,14,105,45,21,9,204,372
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 44","Macamic",3,1,10,94,25,24,2,159,391
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 45","Macamic",3,0,8,64,11,20,3,109,281
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 46","Macamic",6,0,5,53,13,23,1,101,246
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 47","Macamic",3,2,11,64,32,24,4,140,340
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 48","Macamic",5,0,4,54,17,24,8,112,269
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 49","Authier",5,3,4,71,27,18,1,129,213
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 50","Colombourg",15,3,16,135,56,55,0,280,510
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 51","Villemontel",3,1,8,31,13,26,0,82,210
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 52","La Ferme",5,7,15,94,38,38,2,199,428
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 53","Villemontel",1,2,8,62,17,28,6,124,238
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 54","La Ferme",1,0,9,25,6,18,0,59,149
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 55","Pikogan",9,1,63,16,9,49,0,147,442
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 56","Launay",2,0,8,51,15,21,2,99,165
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 57","Sainte-Hélène-de-Mancebourg",4,4,11,77,24,35,4,159,290
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 58","Amos",4,0,25,90,44,60,9,232,523
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 59","Amos",7,2,14,61,24,23,5,136,340
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 60","Amos",5,2,16,65,24,43,3,158,396
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 61","Amos",5,2,14,66,36,54,1,178,383
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 62","Amos",6,5,9,66,29,45,6,166,429
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 63","Amos",8,5,19,78,24,45,3,182,515
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 64","Amos",5,0,14,98,28,39,1,185,403
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 65","Amos",2,0,8,58,22,32,2,124,384
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 66","Amos",3,1,17,44,4,33,4,106,398
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 67","Amos",11,0,9,54,14,32,6,126,403
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 68","Amos",6,1,16,59,18,48,5,153,342
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 69","Amos",5,1,11,86,17,29,3,152,374
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 70","Amos",3,1,14,73,23,29,6,149,461
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 71","Amos",5,2,13,75,22,44,1,162,391
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 72","Amos",5,4,9,66,22,22,1,129,343
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 73","Taschereau",6,1,15,69,40,22,0,153,308
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 74","Laferté",8,1,21,83,27,21,3,164,386
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 75","Landrienne",4,0,11,88,34,28,5,170,312
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 76","Landrienne",7,5,15,118,49,42,3,239,459
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 77","Clerval",3,3,8,94,16,41,5,170,307
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 78","Poularies",5,2,11,73,26,18,3,138,256
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 79","Poularies",4,3,16,53,24,26,3,129,288
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 80","Palmarolle",11,1,23,126,45,34,5,245,394
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 81","Palmarolle",13,0,12,110,21,56,5,217,378
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 82","Palmarolle",10,1,22,89,32,36,4,194,316
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 83","Barville",5,0,9,71,24,20,3,132,301
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 84","Barraute",0,1,7,90,31,29,6,164,376
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 85","Barraute",2,1,3,71,24,20,3,124,296
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 86","Barraute",9,0,12,69,23,17,5,135,277
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 87","Barraute",6,0,10,61,19,31,5,132,297
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 88","Saint-Marc-de-Figuery",9,1,10,80,21,46,4,171,353
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 89","Saint-Marc-de-Figuery",9,1,19,74,23,40,5,171,313
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 90","Sainte-Gertrude-Manneville",4,4,10,83,41,39,2,183,304
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 91","Manneville",4,4,10,77,33,21,1,150,277
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 92","Saint-Mathieu",8,0,11,66,14,33,3,135,247
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 93","Saint-Mathieu",13,1,20,110,28,45,7,224,352
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 94","Sainte-Germaine-Boulé",5,1,6,129,27,32,7,207,329
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 95","Sainte-Germaine-Boulé",11,0,12,108,41,27,4,203,345
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 96","Gallichan",8,1,9,101,41,36,2,198,381
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 97","Roquemaure",3,0,13,100,47,26,1,190,294
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 98","La Corne",5,2,11,94,35,15,5,167,287
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 99","La Corne",9,0,17,95,34,38,7,200,349
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 100","Destor",5,2,1,86,30,24,5,153,298
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 101","Rapide-Danseur",6,1,9,73,23,24,0,136,262
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 102","Preissac",7,0,9,112,70,31,7,236,429
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 103","La Motte",9,1,14,102,29,38,9,202,360
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 104","Mont-Brun",8,2,9,110,32,66,3,230,380
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 105","Duparquet",6,1,9,63,18,33,5,135,271
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 106","Duparquet",10,0,8,78,21,25,3,145,276
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 107","Cléricy",16,6,18,94,49,37,5,225,414
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 108","Preissac",13,1,15,79,38,49,1,196,326
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 109","D'Alembert",8,1,17,110,50,41,3,230,417
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 110","D'Alembert",4,6,19,78,26,32,3,168,350
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 111","Lac-Dufault",10,3,11,101,28,44,1,198,387
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 112","Lac-Dufault",2,4,13,96,12,36,2,165,326
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 113","Lac-Dufault",8,4,21,106,22,43,4,208,495
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 114","Rouyn-Noranda",6,2,17,88,28,28,3,172,403
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 115","Rouyn-Noranda",15,2,26,108,29,64,7,251,436
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 116","Rouyn-Noranda",10,5,27,125,16,64,5,252,480
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 117","Rouyn-Noranda",6,1,32,99,22,58,8,226,454
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 118","Rouyn-Noranda",3,3,7,114,29,44,1,201,408
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 119","Rouyn-Noranda",9,0,24,84,17,31,7,172,389
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 120","Rouyn-Noranda",11,2,23,46,15,22,4,123,377
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 121","Rouyn-Noranda",7,1,26,61,9,20,0,124,358
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 122","Rouyn-Noranda",10,1,29,65,17,41,1,164,402
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 123","Rouyn-Noranda",5,2,19,52,23,40,1,142,379
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 124","Rouyn-Noranda",6,1,16,59,7,38,2,129,294
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 125","Rouyn-Noranda",4,0,13,27,5,14,0,63,310
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 126A","Rouyn-Noranda",7,0,6,38,11,27,2,91,320
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 126B","Rouyn-Noranda",1,0,3,45,35,82,10,176,227
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 127","Rouyn-Noranda",16,2,23,84,24,38,7,194,478
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 128","Rouyn-Noranda",3,0,7,15,31,34,2,92,175
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 129","Rouyn-Noranda",6,1,24,98,10,66,0,205,401
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 130","Rouyn-Noranda",4,0,25,71,7,33,0,140,262
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 131","Rouyn-Noranda",5,1,24,94,10,54,1,189,292
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 132","Rouyn-Noranda",13,0,23,87,9,43,4,179,399
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 133","Rouyn-Noranda",12,0,36,102,18,58,3,229,400
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 134","Rouyn-Noranda",4,1,25,116,11,81,0,238,422
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 135","Rouyn-Noranda",3,2,21,99,33,67,5,230,527
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 136","Rouyn-Noranda",4,0,25,120,20,95,0,264,605
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 137","Rouyn-Noranda",2,1,17,87,22,56,3,188,390
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 138","Rouyn-Noranda",6,0,22,113,22,63,1,227,429
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 139","Rouyn-Noranda",6,1,19,69,8,45,3,151,301
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 140","Rouyn-Noranda",5,1,12,47,16,31,1,113,226
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 141","Rouyn-Noranda",7,3,22,68,18,30,0,148,395
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 142","Rouyn-Noranda",10,1,16,75,14,47,4,167,415
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 143","Rouyn-Noranda",8,3,20,74,24,35,7,171,422
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 144","Rouyn-Noranda",10,3,22,64,10,32,3,144,394
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 145","Rouyn-Noranda",4,5,17,48,20,23,4,121,335
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 146","Rouyn-Noranda",2,2,11,58,17,22,5,117,300
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 147","Rouyn-Noranda",8,2,33,34,8,17,0,102,285
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 148","Rouyn-Noranda",9,3,16,64,13,41,3,149,404
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 149","Rouyn-Noranda",11,0,28,81,16,73,6,215,408
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 150","Rouyn-Noranda",6,4,24,60,8,22,2,126,320
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 151","Rouyn-Noranda",8,4,19,60,10,31,3,135,372
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 152","Rouyn-Noranda",5,1,9,75,18,37,0,145,337
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 153","Rouyn-Noranda",6,2,18,85,18,39,2,170,440
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 154","Rouyn-Noranda",10,3,22,99,33,64,3,234,492
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 155","Rouyn-Noranda",12,5,29,96,19,63,3,227,445
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 156","Rouyn-Noranda",4,0,14,80,16,63,2,179,314
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 157","Rouyn-Noranda",3,1,23,99,35,58,4,223,486
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 158","Rouyn-Noranda",2,2,22,55,13,35,3,132,328
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 159","Rouyn-Noranda",5,3,17,73,21,28,6,153,343
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 160","Rouyn-Noranda",6,2,21,43,16,16,1,105,338
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 161","Rouyn-Noranda",5,1,9,69,27,29,3,143,340
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 162","Évain",10,3,20,106,24,54,4,221,448
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 163","Évain",11,1,21,100,27,56,8,224,426
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 164","Évain",5,2,25,147,26,75,7,287,509
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 165","Évain",4,2,17,106,26,62,0,217,411
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 166","Évain",10,1,12,101,18,35,1,178,354
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 167","Évain",8,0,13,103,21,39,6,190,385
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 168","Évain",4,0,22,86,24,41,3,180,353
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 169","Évain",4,3,16,68,20,41,1,153,335
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 170","Cadillac",3,2,15,74,38,21,5,158,300
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 171","Cadillac",1,4,5,80,47,17,2,156,300
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 172","Rouyn-Noranda",11,2,15,121,27,48,2,226,467
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 173","Granada",3,4,18,98,36,35,3,197,377
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 174","Rouyn-Noranda",5,5,33,145,34,51,7,280,515
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 175","Granada",13,1,27,148,37,64,5,295,512
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 176","Arntfield",9,1,22,135,34,60,2,263,465
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 177","Rouyn-Noranda",5,4,20,83,25,49,2,188,366
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 178","Beaudry",1,2,13,98,16,38,1,169,307
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 179","Beaudry",11,3,26,131,43,50,2,266,439
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 180","Beaudry",6,0,14,85,24,30,3,162,287
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 181","Rouyn-Noranda",6,0,15,57,17,19,2,116,216
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 182","Montbeillard",8,1,17,146,31,61,2,266,533
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 183","Rouyn-Noranda",6,3,17,155,31,35,5,252,482
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 184","McWatters",5,2,20,98,27,45,4,201,345
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 185","Rouyn-Noranda",9,1,12,85,25,42,6,180,421
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 186","McWatters",4,2,18,105,22,36,1,188,409
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 187","Bellecombe",5,0,18,101,22,30,5,181,312
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 188","Bellecombe",5,3,13,79,24,52,5,181,343
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 189","Cloutier",5,3,7,83,27,28,1,154,294
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 190","Rollet",4,3,5,73,37,30,5,157,324
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 191","Rémigny",2,3,11,40,33,35,2,126,252
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 192","Nédelec",6,2,20,47,22,54,3,154,289
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 193","Laforce",2,0,4,30,6,16,0,58,106
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 194","Winneway",1,2,54,1,2,35,0,95,274
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 195","Guérin",5,1,19,55,41,16,0,137,237
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 196","Moffet",3,4,6,28,5,17,1,64,149
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 197","Angliers",3,4,9,54,10,37,5,122,250
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 198A","Notre-Dame-du-Nord",10,4,108,2,11,33,0,168,392
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 198B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°509,,,,,,,,10
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 199","Notre-Dame-du-Nord",1,0,21,25,13,27,2,89,288
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 200","Notre-Dame-du-Nord",0,1,15,22,11,29,4,82,231
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 201","Notre-Dame-du-Nord",2,5,9,45,31,27,1,120,318
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 202","Saint-Eugène-de-Guigues",6,0,25,94,20,42,4,191,338
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 203","Belleterre",2,2,15,49,18,29,2,117,230
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 204","Saint-Bruno-de-Guigues",1,1,25,96,11,37,4,175,313
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 205","Saint-Bruno-de-Guigues",3,0,20,73,16,44,0,156,249
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 206","Saint-Bruno-de-Guigues",3,1,27,113,13,43,5,205,297
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 207","Laverlochère",3,1,31,89,22,39,0,185,298
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 208","Laverlochère",4,0,23,62,24,29,4,146,232
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 209","Latulipe",1,0,18,44,12,9,4,88,240
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 210","Fugèreville",3,0,17,49,23,19,0,111,239
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 211","Lorrainville",1,0,57,91,20,26,3,198,350
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 212","Lorrainville",6,1,23,83,17,36,0,166,304
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 213","Lorrainville",5,2,34,62,21,28,2,154,329
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 214","Duhamel-Ouest",7,1,17,64,15,35,2,141,315
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 215","Duhamel-Ouest",2,1,29,66,18,49,2,167,399
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 216","Duhamel-Ouest",1,4,24,60,9,24,2,124,308
