Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bob Bratina,Charles Crocker,Nikki Kaur,Nick Milanovic,Peter Ormond,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 19","Hamilton",45,3,33,73,11,0,165,433
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 20","Stoney Creek",71,3,57,36,5,3,175,372
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 21A","Stoney Creek",126,2,91,65,13,2,299,548
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 21B","Stoney Creek",109,2,78,61,16,3,269,568
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 22","Stoney Creek",108,10,82,59,25,1,285,526
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 23","Stoney Creek",65,3,33,31,4,10,146,253
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 24","Stoney Creek",72,0,63,22,12,1,170,353
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 25","Stoney Creek",78,5,82,51,20,1,237,471
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 26","Stoney Creek",71,2,84,22,7,2,188,413
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 27","Stoney Creek",94,5,106,45,9,2,261,573
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 28","Stoney Creek",74,4,70,46,12,0,206,428
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 29","Stoney Creek",111,7,83,37,9,1,248,507
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 30","Stoney Creek",80,0,53,24,12,0,169,364
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 31","Stoney Creek",92,5,68,38,9,4,216,445
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 32","Stoney Creek",81,4,48,37,17,2,189,391
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 33","Stoney Creek",99,6,73,42,3,1,224,501
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 34","Stoney Creek",66,3,76,58,2,1,206,447
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 35","Stoney Creek",120,2,86,66,11,0,285,488
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 36","Stoney Creek",130,5,113,39,12,2,301,574
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 37","Stoney Creek",86,1,61,36,1,1,186,386
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 38","Stoney Creek",68,0,62,44,13,3,190,397
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 39","Hamilton",94,0,22,51,5,2,174,409
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 40","Hamilton",56,8,29,71,12,9,185,489
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 41","Hamilton",97,4,53,68,12,2,236,493
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 42","Hamilton",70,3,39,79,13,4,208,540
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 43","Hamilton",96,4,44,39,7,11,201,468
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 44A","Hamilton",31,2,22,24,7,2,88,336
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 44B","Hamilton",Merged with No./Fusionné avec le n°406,,,,,,,85
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 45","Hamilton",70,7,37,84,13,1,212,442
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 46","Hamilton",39,6,31,64,12,0,152,465
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 47","Hamilton",44,3,41,92,12,0,192,432
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 48","Hamilton",46,8,39,107,16,1,217,473
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 49","Hamilton",49,2,38,122,20,1,232,484
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 50","Hamilton",58,3,42,93,16,2,214,413
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 51","Hamilton",47,2,49,78,15,0,191,465
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 52","Stoney Creek",80,9,70,38,7,1,205,468
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 53","Stoney Creek",80,5,75,47,6,0,213,512
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 54","Stoney Creek",98,2,61,52,7,3,223,430
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 55","Stoney Creek",49,3,38,46,8,0,144,322
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 56","Stoney Creek",109,0,62,35,5,0,211,469
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 57","Stoney Creek",78,8,62,45,16,0,209,416
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 58","Stoney Creek",83,5,70,55,15,0,228,481
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 59","Hamilton",49,5,33,67,12,1,167,567
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 60","Hamilton",59,9,34,120,13,0,235,499
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 61","Hamilton",52,4,32,81,11,2,182,428
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 62","Hamilton",30,2,31,83,8,1,155,453
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 63","Hamilton",38,7,23,77,12,0,157,417
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 64","Hamilton",39,4,41,85,14,0,183,458
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 65","Hamilton",51,7,28,83,7,3,179,375
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 66","Hamilton",51,3,40,84,12,0,190,420
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 67","Hamilton",52,5,56,77,22,0,212,442
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 68","Hamilton",42,1,39,67,18,0,167,394
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 69","Hamilton",65,1,29,81,8,6,190,446
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 70","Hamilton",51,3,46,54,13,2,169,451
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 71","Hamilton",99,2,20,52,8,3,184,319
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 72","Hamilton",73,5,20,22,8,5,133,392
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 73","Hamilton",42,3,18,28,5,1,97,379
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 74","Hamilton",85,2,31,69,13,0,200,455
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 75","Hamilton",71,6,47,84,22,0,230,497
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 76","Hamilton",58,5,65,127,15,2,272,509
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 77","Hamilton",76,5,66,105,16,3,271,566
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 78","Hamilton",106,2,53,58,7,7,233,531
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 79","Hamilton",77,3,37,72,7,2,198,510
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 80","Stoney Creek",93,3,51,72,11,0,230,427
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 81","Stoney Creek",112,2,61,55,7,2,239,416
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 82","Stoney Creek",116,3,82,84,17,3,305,554
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 83","Stoney Creek",121,2,50,49,7,5,234,435
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 84","Stoney Creek",98,3,69,75,4,5,254,497
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 85","Stoney Creek",108,4,62,75,15,3,267,557
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 86","Stoney Creek",85,1,56,55,10,1,208,467
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 87","Stoney Creek",71,5,52,56,13,0,197,430
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 88","Stoney Creek",80,2,83,45,8,4,222,431
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 89","Stoney Creek",90,2,37,51,7,4,191,402
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 90","Stoney Creek",80,5,48,53,14,5,205,407
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 91","Stoney Creek",79,4,53,56,7,5,204,437
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 92","Stoney Creek",57,1,45,31,8,0,142,378
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 93","Stoney Creek",71,10,73,57,11,1,223,368
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 94","Stoney Creek",91,3,51,70,8,1,224,456
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 95","Stoney Creek",84,3,73,71,19,2,252,577
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 96","Stoney Creek",86,6,83,57,8,5,245,496
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 97","Stoney Creek",66,9,81,67,13,2,238,495
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 98","Stoney Creek",127,7,81,49,11,1,276,489
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 99","Stoney Creek",99,7,52,53,6,2,219,434
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 100","Stoney Creek",138,6,89,35,12,3,283,553
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 101","Hamilton",76,5,46,60,13,0,200,419
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 102","Hamilton",76,6,58,90,26,2,258,511
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 103","Hamilton",65,4,67,69,24,2,231,443
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 104","Hamilton",74,7,39,75,20,1,216,417
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 105","Hamilton",49,9,42,64,15,0,179,366
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 106","Hamilton",103,7,80,102,22,3,317,599
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 107","Stoney Creek",98,11,77,52,15,5,258,528
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 108","Stoney Creek",108,4,108,59,16,2,297,627
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 109","Stoney Creek",93,3,79,40,2,1,218,420
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 110","Stoney Creek",138,7,105,66,7,0,323,612
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 111","Stoney Creek",101,5,110,62,14,0,292,582
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 112","Hamilton",52,4,28,69,17,5,175,427
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 113","Hamilton",76,2,45,93,17,4,237,417
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 114","Hamilton",74,9,49,79,11,2,224,498
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 115","Hamilton",85,0,44,63,11,2,205,457
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 116","Hamilton",73,3,42,92,12,2,224,429
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 117","Hamilton",48,4,25,54,13,0,144,420
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 118","Hamilton",115,6,58,68,21,5,273,493
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 119","Hamilton",39,7,25,74,7,2,154,348
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 120","Hamilton",64,2,35,70,9,0,180,376
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 121","Hamilton",78,6,27,94,18,2,225,568
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 122","Hamilton",25,4,31,50,6,1,117,349
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 123","Hamilton",82,7,61,89,24,4,267,499
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 124","Stoney Creek",62,4,16,43,3,3,131,490
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 125","Hamilton",73,2,36,82,13,8,214,444
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 126","Hamilton",94,5,51,67,10,1,228,429
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 127","Stoney Creek",87,5,58,61,19,2,232,485
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 128","Stoney Creek",107,7,82,74,17,4,291,518
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 129","Hamilton",105,3,54,63,10,4,239,401
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 130","Stoney Creek",133,1,67,62,15,0,278,588
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 131","Stoney Creek",102,10,86,75,15,2,290,626
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 132","Stoney Creek",86,8,57,77,13,3,244,516
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 133","Stoney Creek",90,8,41,55,7,3,204,342
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 134","Stoney Creek",85,5,48,51,7,1,197,426
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 135","Stoney Creek",116,2,73,27,6,3,227,386
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 136","Stoney Creek",108,6,78,55,18,1,266,470
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 137","Stoney Creek",89,5,66,44,13,2,219,434
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 138","Stoney Creek",85,7,53,31,4,1,181,345
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 139","Hamilton",78,2,41,86,2,2,211,465
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 140","Stoney Creek",83,3,73,36,9,3,207,399
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 141","Stoney Creek",77,5,60,51,10,1,204,447
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 142","Stoney Creek",128,5,67,54,15,1,270,524
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 143","Stoney Creek",95,5,83,40,9,4,236,424
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 144","Stoney Creek",107,3,78,25,6,0,219,403
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 145","Stoney Creek",105,1,59,46,6,3,220,386
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 146","Stoney Creek",69,5,62,45,11,0,192,401
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 147","Stoney Creek",36,2,39,49,14,0,140,340
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 148","Stoney Creek",76,1,57,69,23,0,226,452
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 149","Stoney Creek",45,11,37,60,15,2,170,442
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 150","Stoney Creek",42,2,36,62,15,1,158,331
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 151","Stoney Creek",74,5,55,48,14,1,197,434
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 152","Stoney Creek",70,3,58,52,14,1,198,416
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 153","Stoney Creek",77,4,57,46,13,2,199,413
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 154","Stoney Creek",89,7,46,56,12,0,210,410
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 155","Hamilton",123,8,92,56,13,4,296,641
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 156","Hamilton",121,9,70,45,10,4,259,546
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 157","Hamilton",99,2,36,42,3,1,183,331
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 158","Hamilton",74,5,54,94,33,2,262,430
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 159","Hamilton",123,8,60,103,21,0,315,579
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 160","Hamilton",90,10,81,113,24,1,319,564
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 161","Hamilton",69,6,68,78,26,2,249,452
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 162","Hamilton",55,6,46,46,2,2,157,359
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 163","Hamilton",82,2,53,61,12,2,212,418
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 164","Hamilton",59,6,36,57,6,1,165,420
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 165","Hamilton",49,7,43,56,10,4,169,413
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 166","Hamilton",73,7,39,81,10,1,211,529
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 167","Hamilton",101,0,61,84,12,2,260,643
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 168","Hamilton",99,5,61,69,13,0,247,460
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 169","Hamilton",67,0,23,39,9,0,138,321
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 170","Hamilton",65,3,47,30,8,1,154,378
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 171","Hamilton",83,4,68,48,8,5,216,433
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 172","Hamilton",85,5,41,50,12,2,195,435
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 173","Hamilton",62,5,42,42,10,0,161,328
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 174","Hamilton",95,2,37,31,2,1,168,291
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 175","Hamilton",104,2,47,41,16,4,214,389
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 176","Hamilton",Merged with No./Fusionné avec le n°177,,,,,,,297
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 177","Hamilton",147,5,105,109,24,0,390,484
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 178","Hamilton",97,4,55,44,7,3,210,391
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 179","Hamilton",113,4,52,48,6,8,231,408
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 180","Hamilton",83,3,39,40,8,0,173,334
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 400","Hamilton",89,4,34,56,7,1,191,406
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 401","Hamilton",Merged with No./Fusionné avec le n°71,,,,,,,195
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 402","Hamilton",75,2,43,59,22,3,204,321
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 403","Hamilton",56,3,47,65,10,0,181,298
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 404","Hamilton",63,4,34,64,9,1,175,272
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 405","Hamilton",62,5,18,39,10,1,135,368
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 406","Hamilton",66,6,31,64,13,8,188,203
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 407","Hamilton",61,0,28,49,10,4,152,286
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 408","Hamilton",65,5,45,63,9,1,188,429
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 500","Mobile poll/Bureau itinérant",57,2,40,18,4,11,132,202
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 501","Mobile poll/Bureau itinérant",28,0,3,6,1,3,41,227
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 502","Mobile poll/Bureau itinérant",27,0,8,10,1,0,46,199
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 600","Hamilton ",173,16,114,243,37,6,589,
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 601","Hamilton ",251,14,101,187,35,10,598,
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 602","Hamilton ",314,5,124,162,26,10,641,
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 603","Hamilton ",190,14,126,254,36,3,623,
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 604","Hamilton ",210,13,141,277,38,3,682,
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 605","Hamilton ",208,11,131,237,50,6,643,
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 606","Hamilton ",193,12,121,145,20,2,493,
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 607","Hamilton ",270,13,119,149,23,6,580,
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 608","Hamilton ",279,12,169,182,27,12,681,
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 609","Stoney Creek",387,21,261,300,67,15,1051,
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 610","Stoney Creek",336,11,173,164,28,6,718,
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 611","Stoney Creek",461,17,257,206,50,13,1004,
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 612","Stoney Creek",394,12,261,161,38,7,873,
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 613","Stoney Creek",404,13,253,176,31,5,882,
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 614","Stoney Creek",483,21,347,222,52,1,1126,
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek",,Group 1/Groupe 1, 52,2,10,17,5,7,93,118
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek",,Group 2/Groupe 2, 440,23,225,288,72,26,1074,
