Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Luca Abbatiello,Mathieu Bonsaint,David-Roger Gagnon,Marie-Claude Gaudet,Joël Godin,Annie Talbot,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 25","Sainte-Brigitte-de-Laval",10,52,28,7,108,53,11,269,443
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 26","Sainte-Brigitte-de-Laval",11,52,9,11,62,29,4,178,334
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 27","Sainte-Brigitte-de-Laval",3,51,16,8,75,29,2,184,339
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 28","L'Ange-Gardien",3,39,15,12,73,22,1,165,333
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 29","Rivière-à-Pierre",2,46,4,4,75,17,2,150,270
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 30","Rivière-à-Pierre",3,25,3,3,64,21,3,122,218
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 31","Lac-Beauport",5,52,24,14,76,71,3,245,561
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 32","Lac-Beauport",3,39,15,18,74,71,7,227,458
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 33","Lac-Beauport",4,50,22,14,38,49,1,178,344
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 34","Lac-Beauport",5,40,13,8,58,62,7,193,407
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 35","Lac-Beauport",4,49,13,21,78,34,1,200,427
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 36","Lac-Beauport",0,38,12,4,41,37,1,133,280
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 37","Lac-Beauport",6,26,8,6,26,43,3,118,222
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 38","Saint-Gabriel-de-Valcartier",10,36,18,18,125,55,4,266,621
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 39","Saint-Gabriel-de-Valcartier",16,34,17,8,104,43,9,231,454
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 40","Saint-Gabriel-de-Valcartier",3,44,3,9,99,22,4,184,415
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 41","Saint-Gabriel-de-Valcartier",3,20,10,5,58,33,1,130,261
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 42","Saint-Gabriel-de-Valcartier",6,17,10,7,91,39,7,177,389
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 43","Lac-Beauport",3,22,5,2,38,30,2,102,235
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 44","Lac-Beauport",6,29,6,9,37,49,1,137,279
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 45","Lac-Beauport",2,27,15,10,48,44,1,147,271
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 46","Lac-Beauport",0,35,12,4,40,33,1,125,227
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 47","Lac-Beauport",7,45,10,8,37,47,1,155,292
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 48","Lac-Beauport",3,27,8,2,36,33,1,110,255
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 49","Lac-Beauport",4,57,17,10,91,65,3,247,480
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 50","Lac-Beauport",5,39,15,10,54,43,3,169,324
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 51","Lac-Beauport",5,49,12,16,100,49,4,235,428
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 52","Lac-Beauport",0,56,19,10,65,44,1,195,444
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 53","Stoneham-et-Tewkesbury",5,37,17,4,71,25,4,163,449
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 54","Lac-Delage",10,106,24,19,83,98,4,344,555
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 55","Stoneham-et-Tewkesbury",10,58,12,12,95,28,3,218,498
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 56","Stoneham-et-Tewkesbury",5,50,11,8,56,18,2,150,329
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 57","Saint-Raymond",3,32,2,7,53,25,0,122,284
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 58","Saint-Raymond",2,34,6,5,68,26,3,144,355
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 59","Saint-Raymond",5,53,5,6,115,38,1,223,469
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 60","Saint-Raymond",7,54,11,7,94,37,2,212,491
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 61","Saint-Raymond",4,24,10,1,74,28,3,144,312
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 62","Saint-Raymond",5,31,15,9,136,28,1,225,481
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 63","Saint-Raymond",3,52,17,6,138,42,2,260,492
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 64","Saint-Raymond",1,21,5,0,53,23,5,108,283
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 65","Saint-Raymond",4,31,5,6,84,30,2,162,450
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 66","Saint-Raymond",4,39,8,8,110,28,7,204,468
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 67","Saint-Léonard-de-Portneuf",5,58,5,7,65,31,2,173,328
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 68","Saint-Raymond",9,38,6,4,68,27,1,153,336
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 69","Saint-Raymond",0,26,6,4,46,17,4,103,297
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 70","Saint-Léonard-de-Portneuf",1,27,3,4,85,28,4,152,275
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 71","Saint-Raymond",4,39,13,7,92,31,5,191,530
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 72","Saint-Léonard-de-Portneuf",1,27,5,5,83,23,1,145,290
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 73","Lac-Saint-Joseph",10,26,5,4,87,18,4,154,286
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 74","Shannon",9,29,12,3,109,15,2,179,336
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 75","Lac-Saint-Joseph",5,14,11,9,88,16,8,151,303
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 76","Shannon",12,15,14,4,122,28,2,197,508
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 77","Shannon",2,17,19,8,73,9,4,132,409
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 78","Shannon",6,28,26,7,103,32,3,205,492
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 79","Shannon",14,37,10,5,117,31,5,219,413
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 80","Shannon",11,38,19,5,133,48,10,264,441
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 81","Shannon",18,49,17,5,114,48,5,256,483
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 82","Shannon",3,43,26,8,145,40,1,266,567
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 83","Shannon",12,26,22,9,106,34,5,214,423
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 84","Lac-Saint-Joseph",5,38,4,3,44,27,0,121,364
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 85","Fossambault-sur-le-Lac",4,26,3,5,70,19,5,132,348
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 86","Fossambault-sur-le-Lac",6,49,18,7,97,37,5,219,434
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 87","Fossambault-sur-le-Lac",4,46,6,9,51,37,1,154,336
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 88","Sainte-Catherine-de-la-Jacques-Cartier",4,39,24,13,103,29,4,216,473
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 89","Lac-Saint-Joseph",7,45,9,8,93,33,2,197,414
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 90","Sainte-Catherine-de-la-Jacques-Cartier",4,48,14,13,92,25,4,200,461
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 91","Sainte-Catherine-de-la-Jacques-Cartier",10,35,16,6,104,26,6,203,441
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 92","Sainte-Catherine-de-la-Jacques-Cartier",2,42,20,9,92,29,2,196,371
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 93","Sainte-Catherine-de-la-Jacques-Cartier",10,61,17,15,131,45,3,282,598
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 94","Sainte-Catherine-de-la-Jacques-Cartier",14,61,17,7,147,53,7,306,635
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 95","Sainte-Catherine-de-la-Jacques-Cartier",9,46,14,11,112,34,1,227,497
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 96","Sainte-Catherine-de-la-Jacques-Cartier",6,48,23,11,155,57,4,304,603
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 97","Sainte-Catherine-de-la-Jacques-Cartier",4,35,3,6,110,22,3,183,349
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 98","Sainte-Catherine-de-la-Jacques-Cartier",8,45,18,1,105,34,3,214,397
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 99","Sainte-Catherine-de-la-Jacques-Cartier",14,47,20,11,120,39,6,257,535
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 100","Sainte-Catherine-de-la-Jacques-Cartier",12,42,11,10,105,28,6,214,481
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 101","Lac-Sergent",3,67,6,9,107,36,3,231,460
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 102","Saint-Raymond",1,48,4,7,99,40,3,202,401
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 103","Saint-Raymond",3,38,6,7,85,21,5,165,448
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 104","Saint-Raymond",2,35,10,3,103,30,5,188,423
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 105","Saint-Raymond",5,39,11,8,122,33,4,222,488
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 106","Saint-Raymond",10,55,11,4,126,24,4,234,550
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 107","Saint-Raymond",3,55,4,7,90,16,3,178,421
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 108","Saint-Raymond",3,56,4,3,116,24,4,210,522
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 109","Saint-Augustin-de-Desmaures",6,44,19,6,66,71,4,216,420
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 110","Saint-Augustin-de-Desmaures",5,34,18,6,59,74,1,197,411
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 111","Saint-Augustin-de-Desmaures",8,66,23,13,53,66,2,231,438
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 112","Saint-Augustin-de-Desmaures",3,40,9,5,49,80,0,186,379
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 113","Saint-Augustin-de-Desmaures",5,53,16,3,68,36,3,184,428
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 114","Saint-Augustin-de-Desmaures",6,40,20,4,65,54,2,191,401
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 115","Saint-Augustin-de-Desmaures",3,60,18,10,39,87,3,220,384
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 116","Saint-Augustin-de-Desmaures",3,52,0,4,49,58,1,167,509
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 117","Saint-Augustin-de-Desmaures",7,99,28,9,71,114,4,332,678
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 118","Saint-Augustin-de-Desmaures",7,88,11,10,75,97,4,292,514
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 119","Saint-Augustin-de-Desmaures",5,41,16,8,64,67,2,203,362
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 120","Saint-Augustin-de-Desmaures",7,74,14,13,80,76,9,273,647
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 121","Saint-Augustin-de-Desmaures",8,50,17,5,57,83,3,223,393
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 122","Saint-Augustin-de-Desmaures",3,40,8,8,53,49,1,162,347
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 123","Saint-Augustin-de-Desmaures",4,50,13,8,60,80,2,217,464
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 124","Saint-Augustin-de-Desmaures",3,101,7,5,83,102,2,303,710
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 125","Saint-Augustin-de-Desmaures",1,36,17,6,44,71,3,178,338
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 126","Saint-Augustin-de-Desmaures",2,48,8,7,103,27,3,198,400
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 127","Saint-Augustin-de-Desmaures",2,38,11,5,55,33,3,147,317
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 128","Saint-Augustin-de-Desmaures",1,36,6,8,74,35,4,164,360
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 129","Saint-Augustin-de-Desmaures",12,32,13,5,93,47,3,205,430
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 130","Saint-Augustin-de-Desmaures",8,72,23,12,98,72,2,287,587
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 131","Saint-Augustin-de-Desmaures",8,66,21,11,111,86,4,307,517
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 132","Saint-Augustin-de-Desmaures",1,41,21,9,70,53,6,201,434
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 133","Saint-Augustin-de-Desmaures",9,82,20,6,153,92,2,364,545
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 134","Saint-Augustin-de-Desmaures",4,45,7,8,74,42,6,186,416
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 135","Saint-Augustin-de-Desmaures",5,54,14,4,47,29,3,156,357
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 136","Saint-Augustin-de-Desmaures",5,57,18,10,77,35,3,205,445
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 137","Saint-Augustin-de-Desmaures",2,59,19,6,57,64,3,210,421
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 138","Saint-Augustin-de-Desmaures",7,56,19,8,78,51,5,224,427
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 139","Saint-Augustin-de-Desmaures",2,46,19,15,70,39,3,194,350
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 140","Saint-Augustin-de-Desmaures",6,38,17,10,73,44,1,189,385
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 141","Saint-Augustin-de-Desmaures",4,98,17,8,109,73,5,314,539
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 142","Saint-Augustin-de-Desmaures",9,47,16,8,89,48,3,220,416
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 143","Pont-Rouge",4,29,15,5,84,19,7,163,404
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 144","Pont-Rouge",2,59,10,4,103,27,5,210,487
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 145","Pont-Rouge",3,30,11,4,61,17,4,130,383
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 146","Pont-Rouge",9,46,14,9,119,25,9,231,613
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 147","Pont-Rouge",11,35,16,5,98,26,8,199,485
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 148","Pont-Rouge",9,37,7,5,90,25,6,179,459
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 149","Pont-Rouge",5,59,10,3,117,37,0,231,449
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 150","Pont-Rouge",4,50,17,7,118,29,7,232,458
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 151","Pont-Rouge",10,35,11,2,82,26,9,175,425
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 152","Pont-Rouge",5,37,14,5,102,44,0,207,442
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 153","Pont-Rouge",5,47,12,4,114,30,2,214,526
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 154","Pont-Rouge",5,56,11,7,87,20,1,187,471
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 155","Pont-Rouge",5,40,11,7,78,31,4,176,430
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 156","Pont-Rouge",4,40,16,8,113,34,10,225,542
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 157","Pont-Rouge",6,32,11,4,66,19,2,140,392
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 158","Pont-Rouge",0,29,14,3,111,27,9,193,426
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 159","Sainte-Christine",5,63,11,10,113,28,6,236,487
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 160","Saint-Basile",4,49,14,11,103,38,5,224,460
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 161","Saint-Basile",3,49,7,6,111,25,2,203,325
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 162","Saint-Basile",3,30,4,3,64,12,7,123,206
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 163","Saint-Basile",6,23,6,3,103,21,1,163,263
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 164","Saint-Basile",5,34,9,4,66,31,10,159,272
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 165","Saint-Basile",6,41,12,2,146,42,6,255,390
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 166","Saint-Basile",4,41,11,1,104,25,4,190,297
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 167","Neuville",10,52,8,7,109,23,6,215,393
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 168","Neuville",7,77,11,14,67,61,4,241,399
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 169","Neuville",6,54,27,12,89,60,4,252,358
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 170","Neuville",4,86,8,11,111,74,6,300,518
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 171","Neuville",8,59,19,10,90,26,1,213,417
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 172","Neuville",9,97,11,5,82,52,2,258,405
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 173","Neuville",7,51,16,6,64,41,1,186,319
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 174","Neuville",6,35,11,7,98,11,4,172,314
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 175","Neuville",2,78,7,14,71,55,2,229,387
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 176","Portneuf",6,47,15,6,69,24,0,167,389
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 177","Portneuf",2,33,8,4,76,24,6,153,315
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 178A","Portneuf",3,24,2,11,71,17,4,132,273
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 178B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505,,,,,,,,11
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 179","Portneuf",9,54,17,7,93,24,4,208,426
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 180","Saint-Alban",6,33,12,10,83,16,4,164,315
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 181","Saint-Alban",3,51,6,7,100,27,5,199,389
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 182","Saint-Alban",2,32,5,4,57,14,1,115,277
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 183","Cap-Santé",8,58,18,11,122,30,3,250,478
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 184","Cap-Santé",3,57,7,1,83,37,5,193,423
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 185","Cap-Santé",8,41,9,6,112,35,7,218,421
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 186","Cap-Santé",6,44,11,8,89,23,6,187,371
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 187","Cap-Santé",8,35,10,2,97,33,4,189,374
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 188","Cap-Santé",3,51,5,8,40,36,3,146,306
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 189","Cap-Santé",2,41,7,4,84,44,3,185,343
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 190","Donnacona",5,55,6,8,74,41,3,192,431
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 191","Donnacona",6,40,11,6,117,32,4,216,460
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 192","Donnacona",8,44,9,6,116,31,5,219,447
